	RaymondF_2016__P7C0__bin.13	CosteaPI_2017__SID713A073-11-90-0__bin.30	CosteaPI_2017__SID713A058-11-90-0__bin.32	XieH_2016__YSZC12003_37322__bin.16	LiuW_2016__SRR3992983__bin.32	BritoIL_2016__M2.37.ST__bin.52	RaymondF_2016__P7C7__bin.83	YuJ_2015__SZAXPI003412-1__bin.62	BritoIL_2016__M1.48.ST__bin.71	QinJ_2012__T2D-099__bin.10	RaymondF_2016__P7C90__bin.37	BritoIL_2016__M1.59.ST__bin.76	XieH_2016__YSZC12003_36666__bin.31	ZellerG_2014__CCIS07539127ST-4-0__bin.34	CosteaPI_2017__SID713B016-11-90-0__bin.11	LiJ_2014__MH0245__bin.25	BritoIL_2016__W2.59.ST__bin.17	NielsenHB_2014__V1_UC9_0__bin.13	ZellerG_2014__CCIS41222843ST-4-0__bin.49	LiSS_2016__FAT_008-22-42-0__bin.15	BritoIL_2016__M2.50.ST__bin.12	XieH_2016__YSZC12003_36474__bin.114	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.29	CM_madagascar__A73_01_1FE__bin.1	BritoIL_2016__M1.1.ST__bin.41	CosteaPI_2017__SID713A073-11-0-0__bin.1	YuJ_2015__SZAXPI015249-37__bin.28	LeChatelierE_2013__MH0200__bin.5	LiJ_2014__V1.FI14__bin.38	BritoIL_2016__W1.18.ST__bin.80	CosteaPI_2017__SID713A045-11-90-0__bin.3	BritoIL_2016__M2.40.ST__bin.87	KarlssonFH_2013__S144__bin.41	BritoIL_2016__M1.22.ST__bin.28
RaymondF_2016__P7C0__bin.13	1.0	0.7041087095097192	0.7905703940990613	0.692851947441163	0.4391797105091162	0.738217315275791	0.9839260745824606	0.7912637474741303	0.5673077255588612	0.6608228254467029	0.9588846635766429	0.6449120080966153	0.8135628680738147	0.8023671994863537	0.6927314895397586	0.7927299910204111	0.7907075662547276	0.6823473268143899	0.8263550361200799	0.6569675962481687	0.47900689664712054	0.7945939185474046	0.7045167678551462	0.740629355071854	0.8305958458738271	0.8622146041084789	0.7244637894326721	0.7888713037003053	0.7826680099547794	0.7313316188735054	0.5333040161471223	0.4689253195592509	0.8042259398309901	0.6629916440255762
CosteaPI_2017__SID713A073-11-90-0__bin.30	0.7799905634537504	1.0	0.7571615277500221	0.6860107351886766	0.4283840840325082	0.7212624285634934	0.8109064255984513	0.7375880366556828	0.5637621300800447	0.623613967365384	0.7970919092789087	0.6510374135435508	0.7792582414951371	0.7819761966632424	0.6801955752941259	0.7682012653144356	0.7720984695301072	0.674354238241508	0.7841163389520581	0.6520544919045542	0.48006737106632336	0.7531213068658855	0.7072116793540755	0.7315385592730667	0.8235902163829425	0.9141759526410518	0.6991612455474889	0.7695509851230742	0.7584633625134157	0.711292123676218	0.5350726033056005	0.4724204485743345	0.7925300606352366	0.6557358941829885
CosteaPI_2017__SID713A058-11-90-0__bin.32	0.8581701517730842	0.7419450904138146	1.0	0.7455500061625164	0.4681904661802971	0.7797935775942161	0.8756066324944178	0.8101469431728389	0.6073619862197372	0.680220449169249	0.857994973638819	0.6883918834965306	0.8578886154858723	0.8632753431145296	0.7331649120699613	0.8719591734845371	0.8260700099413592	0.7171730253201224	0.864208792315686	0.7142869655581019	0.5050235458181538	0.8311551809246027	0.7546955560435518	0.7655847539967203	0.8698970765897572	0.8847778334593991	0.7713030688080943	0.8223036800546556	0.8308004452027156	0.7591300653852386	0.5586637161663767	0.5084163708971561	0.8399835332553791	0.6981880950191226
XieH_2016__YSZC12003_37322__bin.16	0.8045200840572339	0.7190808582404198	0.7975177684678294	1.0	0.45248557775963383	0.7431904271124733	0.8301060084860328	0.7685534927922261	0.604027519374657	0.6560031320689055	0.8091238238010467	0.6580336228935498	0.8066757237890002	0.8002322281859432	0.739323526656048	0.8125670918606364	0.783661040542892	0.7052930626012234	0.8390839367696858	0.7095126554322657	0.5201001191256976	0.7987137101631621	0.7334803442598814	0.7369804981863447	0.8201610204655271	0.8519863206221306	0.731935056417395	0.8107748524313688	0.7858380961304225	0.759837239496192	0.5571984045187455	0.5036366800069602	0.8168810483061397	0.6870112834790058
LiuW_2016__SRR3992983__bin.32	0.7738021252223928	0.681351701558984	0.7599365926575841	0.6865875801223466	1.0	0.7331296255676603	0.7947040042894398	0.7614212424752017	0.5965408268544922	0.6310381175208989	0.7761255717221939	0.6630586223424565	0.7909751163754234	0.7673466403451048	0.680671321683605	0.7472145044803522	0.7813299700226658	0.6764590594103645	0.7731806439033901	0.6726397926770816	0.5168561575394214	0.785430528137262	0.7120155085991892	0.7034234278147418	0.777889481936422	0.7813025517291804	0.726767565986693	0.7646505081523726	0.7747861373108138	0.7730344130048012	0.5729011804083092	0.5039015216137391	0.7450413508485454	0.7118317044836019
BritoIL_2016__M2.37.ST__bin.52	0.8616523174664681	0.7599613587407685	0.8384837073005339	0.747053133076891	0.4856696360698395	1.0	0.8954970554876105	0.8381258182004099	0.6372504698976249	0.7039389328177578	0.8803473138808499	0.7183291691725631	0.8903715723036891	0.854037083230743	0.7695739101536905	0.8542335186014879	0.8346357267503267	0.7384382311667589	0.8543424998688188	0.7160815987148283	0.5412124098718192	0.8419872532280656	0.7897374627815518	0.791361418209559	0.8830193731020778	0.889922865480789	0.7952712893560283	0.8459287423965384	0.8443767684228797	0.7957435415144629	0.5941968147870089	0.5322873822565042	0.8771572572778632	0.7322283171005062
RaymondF_2016__P7C7__bin.83	0.8303733028647919	0.6177774016229459	0.6807491253184142	0.6033204094964179	0.3806524762256364	0.6474813110228119	1.0	0.6977446761525781	0.4940320279625719	0.5785369944223697	0.8583859747428244	0.5594017387108557	0.7142499286197566	0.7074207727938884	0.6037961156501002	0.6930824640022258	0.6786249854685875	0.5965262749824772	0.7197268726795341	0.5729087777513497	0.4154894398584361	0.7043836467983954	0.6115698740837914	0.647108723176472	0.7264407500203075	0.7884406323097868	0.6373800945672704	0.6900166399872367	0.6897710043966339	0.6435151474470193	0.47096806202274344	0.41026980515990397	0.7040961801963237	0.5782723889544729
YuJ_2015__SZAXPI003412-1__bin.62	0.8393302129262131	0.7062782297803243	0.7916669723491824	0.7020842656650063	0.45840455735949	0.7616807402896892	0.8769951897799331	1.0	0.5982989379366676	0.6701960769928667	0.8582238378562118	0.6406347436301877	0.8292280171475663	0.8087521795163368	0.6984191323018383	0.7881779121150541	0.786183639382668	0.6970191063799609	0.8350439326911554	0.6771301791788634	0.49076227437573516	0.819468797151528	0.7248716744799117	0.7504096145710296	0.824481379043874	0.8570940352782077	0.7490322091553137	0.7987141770659858	0.7906478268418593	0.7378411722557658	0.5467156247783802	0.48554794202303136	0.8101210258216135	0.6856220394648355
BritoIL_2016__M1.48.ST__bin.71	0.8599201325823594	0.7714107493401895	0.8481138726611787	0.7884963661285969	0.5132062548541165	0.8275643058514983	0.8873268352601283	0.854960524947866	1.0	0.6992409013433836	0.8697083030838328	0.7355420492081839	0.8762194807656858	0.8473075105250789	0.8099230592488339	0.8440873037713811	0.8331634119514575	0.7646069050108898	0.8781205035264148	0.7427119452547378	0.5625778078307111	0.851599663477037	0.802875471651959	0.7892511839894746	0.8762893713083596	0.881927790838573	0.8092556045662986	0.8595243773844689	0.8531748215825491	0.8095203149966759	0.6177127096825483	0.5668935488408217	0.8543219001141836	0.7586417471936763
QinJ_2012__T2D-099__bin.10	0.8782775752951829	0.7481918278739634	0.832843851448759	0.7508552527764117	0.476008493544814	0.8015560774652959	0.9111019700305333	0.8397249402893382	0.6131040198795521	1.0	0.8876849728295424	0.6811044672307581	0.8674055621687954	0.847090148928119	0.7456800734146225	0.8334987919985416	0.8342992748927199	0.7282801031359013	0.8634514064752554	0.712690986026403	0.520246472130173	0.842581400301196	0.7649621360100869	0.7947745702287772	0.8733153473636154	0.8848423010397852	0.7928334949619369	0.8294075200963338	0.8359239870635836	0.7993223854849854	0.6001568793270122	0.5220565592870571	0.8708932163479289	0.7209677493485066
RaymondF_2016__P7C90__bin.37	0.9102193826385769	0.6830279498263223	0.7502942043788992	0.6614518678353507	0.4181422477488099	0.7159553148547635	0.9654980739255864	0.7680132136200077	0.5446454803040358	0.6340037345217859	1.0	0.6183380010296469	0.7879392344175629	0.7725618239522576	0.6698630219426407	0.7580214803390504	0.7539291535065715	0.6516910118168673	0.8023110704553151	0.6317950816577862	0.4582760471405413	0.7746211178289222	0.6702470879100739	0.7126223663168676	0.7923434096851371	0.8471576109346097	0.6970649591232354	0.76081334448693	0.7541797264596832	0.7072169934418822	0.512183152415649	0.45070961932059717	0.7738672105595162	0.6428985272547326
BritoIL_2016__M1.59.ST__bin.76	0.8368974678091045	0.7626549710401609	0.8229523179838208	0.7353996637307931	0.48835548202575263	0.7986333827964195	0.8601707972332584	0.7837376142836628	0.6297089655832656	0.6650262074577569	0.845313921066488	1.0	0.8348840409745824	0.8387044660380067	0.745346381216792	0.8261564489493083	0.8095247355320473	0.7219646019817146	0.8290434577090613	0.7033987422813652	0.5156504296108372	0.812631635632569	0.7707124180269015	0.7548211550428414	0.9112424309511273	0.881211556411852	0.7652226138049878	0.8203181094729787	0.8231280814704897	0.7759666243837059	0.573678557752142	0.5204932746158634	0.8295378392609258	0.7095399932985496
XieH_2016__YSZC12003_36666__bin.31	0.8190981250736223	0.7082336952895021	0.7956880929321931	0.6994349862852016	0.4519807975414911	0.768012459663638	0.8520873360215537	0.7870588242120882	0.5819937202645358	0.6570830390855794	0.8357142981487489	0.647737711082265	1.0	0.8112847229274175	0.7012228133934421	0.7948519167351875	0.7883563189910643	0.6766824056574486	0.8187447376315846	0.6687622329212027	0.4896510864777949	0.8120297959579208	0.7251928108576406	0.7499316726251233	0.8277506047915624	0.8479540375820871	0.7473430660915755	0.7837007731003104	0.795099694137076	0.7427646967686229	0.5453505179824304	0.4856825861229568	0.8057709503917145	0.681780701331905
ZellerG_2014__CCIS07539127ST-4-0__bin.34	0.7916255588997771	0.6964509615379147	0.7846267661176091	0.6799331736977771	0.429685389821044	0.7218974985059045	0.8270152946481525	0.7522297705717481	0.5515035065043623	0.628824586074404	0.8029715868801636	0.6376521176920815	0.7950146395775248	1.0	0.6856906303860651	0.7793799460817735	0.7661790219317873	0.6648705297258201	0.8043374546298196	0.6527153303017362	0.46451046833569415	0.7781380413501962	0.698142090050603	0.705020331640878	0.8263630672089953	0.8377614098575619	0.7064203176523906	0.7728133179497881	0.7887840763248264	0.7176412453393033	0.5173278122403813	0.47213078212134846	0.7878259218043556	0.6489333209749406
CosteaPI_2017__SID713B016-11-90-0__bin.11	0.8265522254421519	0.7326381677667456	0.8058870616131344	0.7597023116100398	0.46095143652115544	0.7866976861893438	0.8536596939217599	0.78561525797414	0.6375433418286297	0.6694392141598665	0.8419991775196027	0.6853173495225351	0.8310297922205457	0.8292527944390423	1.0	0.8144426457461397	0.8109175332740084	0.7344825594269595	0.8539031371162847	0.7086425084826887	0.5165197525956959	0.8182359583478321	0.7419790968945175	0.7484475338654241	0.8443022601706303	0.8587286763704683	0.7513193383296496	0.8303393488100854	0.8196134067055534	0.770697141536773	0.5861101215978126	0.5289752416895783	0.8205356025356603	0.7044056341282602
LiJ_2014__MH0245__bin.25	0.7993252863610212	0.6992357894614495	0.8099562395030017	0.7056040168998041	0.4276179295996467	0.7379501723105891	0.828079942814968	0.7492227136157329	0.5614954118310251	0.6323484800055791	0.8051931447699523	0.6419316220441325	0.7960487699987796	0.796527636526358	0.6882613774386452	1.0	0.7712813747653612	0.686974133071429	0.8048595654170032	0.6595997047764611	0.4844600838016423	0.7686046038599896	0.6929367187182185	0.7202960371470247	0.8101451128300198	0.8335630807854806	0.7069923811405624	0.7724332114858228	0.7708641099998257	0.7131205941664294	0.5330092460757935	0.47055028970262625	0.7934719566695531	0.6447037013360608
BritoIL_2016__W2.59.ST__bin.17	0.7584638706417383	0.668562576638954	0.7299666188634933	0.6473673793651723	0.4253690003239706	0.6859115902976881	0.7713259465083596	0.7109374913617048	0.5272417274157648	0.6021353312627225	0.7618506351703831	0.5983803680438919	0.751098238285366	0.7449079669129801	0.6519140250529908	0.7337254520385271	1.0	0.6273320632505642	0.7569263923273143	0.6173376249304791	0.49741818636161095	0.7219569152247394	0.6481739888080866	0.6814246525055755	0.7641217466107477	0.7730851180281357	0.6546053031668404	0.7122002027857051	0.7267556609166489	0.7123124315155965	0.5516119473287904	0.44789048687366145	0.7430492822336945	0.6930859362474473
NielsenHB_2014__V1_UC9_0__bin.13	0.8683136626738602	0.7746572669958312	0.8407410015167385	0.7729373677987931	0.48856798772527377	0.8050771130923567	0.8994764758862065	0.8361885860301645	0.6419037853917849	0.6973050756462273	0.8736413163059645	0.7079706509653438	0.8552857012934815	0.8575542079955877	0.7833345068253228	0.8669883501582748	0.8322419857831446	1.0	0.8801974693645248	0.7510370735456767	0.5199449632256948	0.8496683418264817	0.781286763303732	0.7922647808650396	0.8734403558027712	0.9155437815192614	0.7979774865561824	0.8729482225996954	0.8500614616429475	0.7871439551960759	0.6018128984372021	0.5497978660048172	0.8514791866527021	0.725792327122627
ZellerG_2014__CCIS41222843ST-4-0__bin.49	0.7746671327681403	0.6635586631388477	0.7463357994567793	0.6774190585434617	0.4113786752092189	0.6861714284479307	0.7994756898725046	0.7379827135426431	0.5430791765564646	0.6090312743642929	0.7923399068409397	0.598899510647483	0.7623460608932399	0.7642581935614241	0.6708905761954341	0.7482906160698028	0.7397468031616377	0.6484215315107469	1.0	0.6450646283552146	0.4544791937381032	0.7571548287158131	0.6627698206139679	0.6943051513037785	0.7679862849461291	0.8096220417729938	0.6723077912247213	0.7499066626396075	0.7352325707675492	0.6792496054436618	0.5029314144648864	0.45120009422886054	0.7616993180834585	0.6206839913054425
LiSS_2016__FAT_008-22-42-0__bin.15	0.8279972222585421	0.7418552756022193	0.8293250756542293	0.7701026689272136	0.48114927600028473	0.7732138265277215	0.8555777832983936	0.804536057611985	0.6175411758040124	0.6758330681984923	0.8388445060428952	0.6831478842239685	0.8371665293776668	0.8338004064916632	0.7485257776441208	0.8244553113409431	0.8111266560031613	0.7438325277592547	0.8672408107169681	1.0	0.522789247583641	0.8277793032111098	0.7561667458439205	0.7559110541616001	0.840862436422118	0.8665768840191246	0.7622554040291779	0.8276071471636384	0.822554330850509	0.7600980054595986	0.567016644656843	0.5287122872928498	0.8261238448474494	0.7037107255396765
BritoIL_2016__M2.50.ST__bin.12	0.769298910613672	0.69599466090548	0.74719183807215	0.719355976351736	0.4711241811552549	0.7446861291842423	0.7906830579089965	0.7430412659800265	0.596068989839244	0.628659866911406	0.775355376536679	0.6381708232554222	0.7810795375129705	0.7561400049799459	0.6952402638815994	0.7716370785674417	0.8328293220701395	0.656205077508509	0.7786080773243065	0.6661853335962152	1.0	0.7526836632778967	0.6942276131526113	0.7257271600515767	0.7851227353047625	0.7952760861697272	0.6987067876293699	0.7566620662332818	0.7577006348968327	0.7542072675739796	0.6007740206029067	0.504343568140564	0.7764383759451947	0.7252856295234895
