	BackhedF_2015__SID608_B__bin.2	BackhedF_2015__SID180_B__bin.10	OhJ_2014__MET0267__bin.3	BackhedF_2015__SID268_B__bin.10	OhJ_2014__MET0302__bin.6	OhJ_2014__MET0084__bin.1	BackhedF_2015__SID526_B__bin.7	FerrettiP_2018__CA_C10006IS2091FE_t3M15__bin.6	ChngKR_2016__WBU019__bin.1	OlmMR_2017__S2_005_014Y1__bin.16	BackhedF_2015__SID263_B__bin.4	BackhedF_2015__SID397_B__bin.1	OhJ_2014__MET0207__bin.14	BackhedF_2015__SID105_B__bin.6	FerrettiP_2018__CA_C10019MS2316SK_t0M15__bin.2	OhJ_2014__MET0082__bin.2	BackhedF_2015__SID26_B__bin.10	FerrettiP_2018__CA_C10043MS2744SK_t0M15__bin.2	ChngKR_2016__WBS022__bin.3	OhJ_2014__MET0142__bin.4	FerrettiP_2018__CA_C10029MS2494SK_t0M15__bin.2	OhJ_2014__MET0054__bin.6	FerrettiP_2018__CA_C10007IS2106SA_t2M15__bin.2	OhJ_2014__MET0024__bin.5	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.1	OhJ_2014__MET0179__bin.10	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.3	BackhedF_2015__SID507_B__bin.6	OhJ_2014__MET0158__bin.4	OhJ_2014__MET0192__bin.5	BackhedF_2015__SID385_B__bin.10	BackhedF_2015__SID615_B__bin.9
BackhedF_2015__SID608_B__bin.2	0.0	11557.0	36808.0	11701.0	25873.0	42440.0	13240.0	9266.0	14645.0	8783.0	13233.0	8334.0	42424.0	10296.0	10020.0	9976.0	13131.0	10508.0	28879.0	26705.0	10280.0	42382.0	9258.0	18421.0	9396.0	28550.0	3759.0	11800.0	45302.0	41287.0	11587.0	7915.0
BackhedF_2015__SID180_B__bin.10	11557.0	0.0	35383.0	14035.0	24135.0	39670.0	14051.0	11809.0	13678.0	12585.0	14406.0	6716.0	38385.0	10337.0	11906.0	12450.0	13757.0	11416.0	28587.0	24970.0	12819.0	38352.0	14603.0	17578.0	11509.0	26251.0	3358.0	11177.0	40856.0	38088.0	11569.0	9963.0
OhJ_2014__MET0267__bin.3	36808.0	35383.0	0.0	38014.0	4313.0	9485.0	38130.0	35964.0	31333.0	28239.0	38842.0	27228.0	9631.0	30846.0	37461.0	30697.0	38935.0	35193.0	8104.0	6607.0	38614.0	8629.0	35033.0	36264.0	34586.0	6761.0	15406.0	34902.0	11690.0	8937.0	35773.0	28943.0
BackhedF_2015__SID268_B__bin.10	11701.0	14035.0	38014.0	0.0	26137.0	44283.0	14732.0	13364.0	14146.0	13165.0	15174.0	10732.0	42472.0	9823.0	13956.0	13083.0	17415.0	10863.0	29746.0	26445.0	13609.0	41547.0	13904.0	19283.0	12505.0	27985.0	4421.0	12507.0	45816.0	40142.0	12400.0	11237.0
OhJ_2014__MET0302__bin.6	25873.0	24135.0	4313.0	26137.0	0.0	6405.0	25633.0	24795.0	21776.0	19500.0	25885.0	18485.0	5816.0	21384.0	26571.0	20543.0	26805.0	22679.0	4157.0	3739.0	25946.0	4815.0	23612.0	24887.0	24263.0	3755.0	12276.0	23635.0	5675.0	5431.0	25156.0	19415.0
OhJ_2014__MET0084__bin.1	42440.0	39670.0	9485.0	44283.0	6405.0	0.0	43815.0	42665.0	35075.0	33194.0	42711.0	30260.0	8974.0	34590.0	43211.0	33948.0	44690.0	37937.0	8988.0	4713.0	43265.0	1195.0	39120.0	42462.0	40426.0	7125.0	19557.0	39304.0	15559.0	8819.0	41004.0	32204.0
BackhedF_2015__SID526_B__bin.7	13240.0	14051.0	38130.0	14732.0	25633.0	43815.0	0.0	14731.0	15461.0	13735.0	16256.0	10072.0	42854.0	12348.0	13991.0	13469.0	17577.0	12546.0	29554.0	26514.0	15288.0	43015.0	13024.0	19450.0	13158.0	29518.0	4569.0	15010.0	45594.0	42203.0	14505.0	10946.0
FerrettiP_2018__CA_C10006IS2091FE_t3M15__bin.6	9266.0	11809.0	35964.0	13364.0	24795.0	42665.0	14731.0	0.0	14343.0	11061.0	13939.0	9601.0	41145.0	11232.0	8878.0	8126.0	11279.0	11611.0	28242.0	26004.0	10435.0	41575.0	11638.0	18693.0	7956.0	26813.0	3372.0	12119.0	43878.0	39473.0	12669.0	8693.0
ChngKR_2016__WBU019__bin.1	14645.0	13678.0	31333.0	14146.0	21776.0	35075.0	15461.0	14343.0	0.0	13438.0	14321.0	10264.0	34452.0	11511.0	14531.0	13279.0	16716.0	12716.0	24355.0	22164.0	14978.0	34192.0	14260.0	19859.0	14064.0	23031.0	5515.0	12752.0	36429.0	33018.0	13581.0	11128.0
OlmMR_2017__S2_005_014Y1__bin.16	8783.0	12585.0	28239.0	13165.0	19500.0	33194.0	13735.0	11061.0	13438.0	0.0	13906.0	10027.0	32021.0	10892.0	11438.0	10741.0	13403.0	10794.0	22787.0	22894.0	12205.0	32466.0	3609.0	17675.0	10536.0	22437.0	3163.0	12491.0	35323.0	31750.0	12319.0	8081.0
BackhedF_2015__SID263_B__bin.4	13233.0	14406.0	38842.0	15174.0	25885.0	42711.0	16256.0	13939.0	14321.0	13906.0	0.0	12459.0	43395.0	11777.0	14166.0	14323.0	17120.0	11390.0	30857.0	26184.0	14174.0	42000.0	14735.0	21019.0	13906.0	28056.0	4668.0	13994.0	44442.0	40674.0	12927.0	12066.0
BackhedF_2015__SID397_B__bin.1	8334.0	6716.0	27228.0	10732.0	18485.0	30260.0	10072.0	9601.0	10264.0	10027.0	12459.0	0.0	30270.0	8368.0	7967.0	10348.0	11161.0	8313.0	23975.0	19920.0	10763.0	29484.0	10616.0	13390.0	9757.0	20881.0	2487.0	8972.0	30871.0	28556.0	8851.0	8110.0
OhJ_2014__MET0207__bin.14	42424.0	38385.0	9631.0	42472.0	5816.0	8974.0	42854.0	41145.0	34452.0	32021.0	43395.0	30270.0	0.0	33309.0	43316.0	34728.0	44018.0	36560.0	8604.0	4684.0	43071.0	6983.0	37556.0	41118.0	39223.0	6004.0	18789.0	38906.0	14152.0	8403.0	40339.0	31157.0
BackhedF_2015__SID105_B__bin.6	10296.0	10337.0	30846.0	9823.0	21384.0	34590.0	12348.0	11232.0	11511.0	10892.0	11777.0	8368.0	33309.0	0.0	10446.0	10582.0	11168.0	8168.0	25287.0	22558.0	10150.0	34268.0	12201.0	15712.0	10804.0	23239.0	3249.0	9018.0	35337.0	32545.0	7580.0	9840.0
FerrettiP_2018__CA_C10019MS2316SK_t0M15__bin.2	10020.0	11906.0	37461.0	13956.0	26571.0	43211.0	13991.0	8878.0	14531.0	11438.0	14166.0	7967.0	43316.0	10446.0	0.0	10240.0	13889.0	10534.0	29093.0	26173.0	10512.0	42266.0	11912.0	19022.0	8473.0	28246.0	3500.0	12319.0	45376.0	41483.0	12577.0	9260.0
OhJ_2014__MET0082__bin.2	9976.0	12450.0	30697.0	13083.0	20543.0	33948.0	13469.0	8126.0	13279.0	10741.0	14323.0	10348.0	34728.0	10582.0	10240.0	0.0	13593.0	12011.0	23293.0	20913.0	11711.0	33605.0	11455.0	17763.0	9568.0	22252.0	4141.0	13688.0	36700.0	33258.0	12677.0	8439.0
BackhedF_2015__SID26_B__bin.10	13131.0	13757.0	38935.0	17415.0	26805.0	44690.0	17577.0	11279.0	16716.0	13403.0	17120.0	11161.0	44018.0	11168.0	13889.0	13593.0	0.0	13736.0	31293.0	28327.0	15512.0	44350.0	15899.0	22428.0	12194.0	30175.0	4407.0	13399.0	47784.0	42598.0	12823.0	12033.0
FerrettiP_2018__CA_C10043MS2744SK_t0M15__bin.2	10508.0	11416.0	35193.0	10863.0	22679.0	37937.0	12546.0	11611.0	12716.0	10794.0	11390.0	8313.0	36560.0	8168.0	10534.0	12011.0	13736.0	0.0	27231.0	23245.0	9850.0	36986.0	11698.0	17495.0	11476.0	25955.0	3211.0	11187.0	39066.0	36128.0	8852.0	9406.0
ChngKR_2016__WBS022__bin.3	28879.0	28587.0	8104.0	29746.0	4157.0	8988.0	29554.0	28242.0	24355.0	22787.0	30857.0	23975.0	8604.0	25287.0	29093.0	23293.0	31293.0	27231.0	0.0	5242.0	29927.0	7448.0	27545.0	28405.0	27695.0	5563.0	10909.0	28450.0	9380.0	6632.0	28870.0	22960.0
OhJ_2014__MET0142__bin.4	26705.0	24970.0	6607.0	26445.0	3739.0	4713.0	26514.0	26004.0	22164.0	22894.0	26184.0	19920.0	4684.0	22558.0	26173.0	20913.0	28327.0	23245.0	5242.0	0.0	25698.0	4295.0	25276.0	25895.0	24527.0	4857.0	4570.0	25038.0	9117.0	5140.0	25893.0	21733.0
FerrettiP_2018__CA_C10029MS2494SK_t0M15__bin.2	10280.0	12819.0	38614.0	13609.0	25946.0	43265.0	15288.0	10435.0	14978.0	12205.0	14174.0	10763.0	43071.0	10150.0	10512.0	11711.0	15512.0	9850.0	29927.0	25698.0	0.0	41984.0	12363.0	19783.0	10557.0	27664.0	3615.0	13587.0	44803.0	40070.0	12125.0	9400.0
OhJ_2014__MET0054__bin.6	42382.0	38352.0	8629.0	41547.0	4815.0	1195.0	43015.0	41575.0	34192.0	32466.0	42000.0	29484.0	6983.0	34268.0	42266.0	33605.0	44350.0	36986.0	7448.0	4295.0	41984.0	0.0	38004.0	42104.0	38894.0	6419.0	19373.0	38747.0	12724.0	7777.0	40278.0	31099.0
FerrettiP_2018__CA_C10007IS2106SA_t2M15__bin.2	9258.0	14603.0	35033.0	13904.0	23612.0	39120.0	13024.0	11638.0	14260.0	3609.0	14735.0	10616.0	37556.0	12201.0	11912.0	11455.0	15899.0	11698.0	27545.0	25276.0	12363.0	38004.0	0.0	19126.0	11269.0	26440.0	3194.0	13552.0	41003.0	36619.0	14030.0	8078.0
OhJ_2014__MET0024__bin.5	18421.0	17578.0	36264.0	19283.0	24887.0	42462.0	19450.0	18693.0	19859.0	17675.0	21019.0	13390.0	41118.0	15712.0	19022.0	17763.0	22428.0	17495.0	28405.0	25895.0	19783.0	42104.0	19126.0	0.0	19395.0	27290.0	6999.0	17461.0	42947.0	40031.0	18959.0	16645.0
FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.1	9396.0	11509.0	34586.0	12505.0	24263.0	40426.0	13158.0	7956.0	14064.0	10536.0	13906.0	9757.0	39223.0	10804.0	8473.0	9568.0	12194.0	11476.0	27695.0	24527.0	10557.0	38894.0	11269.0	19395.0	0.0	26116.0	3989.0	13337.0	41945.0	38383.0	11686.0	8457.0
OhJ_2014__MET0179__bin.10	28550.0	26251.0	6761.0	27985.0	3755.0	7125.0	29518.0	26813.0	23031.0	22437.0	28056.0	20881.0	6004.0	23239.0	28246.0	22252.0	30175.0	25955.0	5563.0	4857.0	27664.0	6419.0	26440.0	27290.0	26116.0	0.0	10399.0	26682.0	9289.0	3577.0	27479.0	21943.0
FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.3	3759.0	3358.0	15406.0	4421.0	12276.0	19557.0	4569.0	3372.0	5515.0	3163.0	4668.0	2487.0	18789.0	3249.0	3500.0	4141.0	4407.0	3211.0	10909.0	4570.0	3615.0	19373.0	3194.0	6999.0	3989.0	10399.0	0.0	3957.0	19757.0	19183.0	4031.0	2853.0
BackhedF_2015__SID507_B__bin.6	11800.0	11177.0	34902.0	12507.0	23635.0	39304.0	15010.0	12119.0	12752.0	12491.0	13994.0	8972.0	38906.0	9018.0	12319.0	13688.0	13399.0	11187.0	28450.0	25038.0	13587.0	38747.0	13552.0	17461.0	13337.0	26682.0	3957.0	0.0	41222.0	37191.0	11169.0	10175.0
OhJ_2014__MET0158__bin.4	45302.0	40856.0	11690.0	45816.0	5675.0	15559.0	45594.0	43878.0	36429.0	35323.0	44442.0	30871.0	14152.0	35337.0	45376.0	36700.0	47784.0	39066.0	9380.0	9117.0	44803.0	12724.0	41003.0	42947.0	41945.0	9289.0	19757.0	41222.0	0.0	12437.0	42036.0	33395.0
OhJ_2014__MET0192__bin.5	41287.0	38088.0	8937.0	40142.0	5431.0	8819.0	42203.0	39473.0	33018.0	31750.0	40674.0	28556.0	8403.0	32545.0	41483.0	33258.0	42598.0	36128.0	6632.0	5140.0	40070.0	7777.0	36619.0	40031.0	38383.0	3577.0	19183.0	37191.0	12437.0	0.0	38601.0	30501.0
