	BackhedF_2015__SID608_B__bin.2	BackhedF_2015__SID180_B__bin.10	OhJ_2014__MET0267__bin.3	BackhedF_2015__SID268_B__bin.10	OhJ_2014__MET0302__bin.6	OhJ_2014__MET0084__bin.1	BackhedF_2015__SID526_B__bin.7	FerrettiP_2018__CA_C10006IS2091FE_t3M15__bin.6	ChngKR_2016__WBU019__bin.1	OlmMR_2017__S2_005_014Y1__bin.16	BackhedF_2015__SID263_B__bin.4	BackhedF_2015__SID397_B__bin.1	OhJ_2014__MET0207__bin.14	BackhedF_2015__SID105_B__bin.6	FerrettiP_2018__CA_C10019MS2316SK_t0M15__bin.2	OhJ_2014__MET0082__bin.2	BackhedF_2015__SID26_B__bin.10	FerrettiP_2018__CA_C10043MS2744SK_t0M15__bin.2	ChngKR_2016__WBS022__bin.3	OhJ_2014__MET0142__bin.4	FerrettiP_2018__CA_C10029MS2494SK_t0M15__bin.2	OhJ_2014__MET0054__bin.6	FerrettiP_2018__CA_C10007IS2106SA_t2M15__bin.2	OhJ_2014__MET0024__bin.5	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.1	OhJ_2014__MET0179__bin.10	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.3	BackhedF_2015__SID507_B__bin.6	OhJ_2014__MET0158__bin.4	OhJ_2014__MET0192__bin.5	BackhedF_2015__SID385_B__bin.10	BackhedF_2015__SID615_B__bin.9
BackhedF_2015__SID608_B__bin.2	1.0	0.8514098546282783	0.8391243286823318	0.9462240663070302	0.5968157861306195	0.9358550904109479	0.9679973152294709	0.9371129514170567	0.9143129078045399	0.7103233628051251	0.9486692680799389	0.6655690183082544	0.9518786891837957	0.768366521191582	0.9714433042283135	0.8893722498357028	0.9695232531736608	0.860233887125605	0.6616578958160992	0.5800309688880709	0.9466091768337512	0.9521227592318996	0.8900014304105278	0.9180124695787691	0.9090629010526021	0.6225616752007826	0.4516841333462704	0.8782490574794967	0.9575103054576664	0.9177108830234277	0.9055814018623345	0.6971335773366957
BackhedF_2015__SID180_B__bin.10	0.892062086348654	1.0	0.8161975779616519	0.898166964486902	0.5670572391278147	0.8872997573769461	0.9119650371270915	0.8771546551660894	0.8629661847393767	0.6689301004553767	0.8975894901771725	0.6575425376380147	0.8900545508853384	0.7446321614412753	0.9092500694331633	0.8354098652734618	0.9079054241711252	0.8404080049887073	0.6492210385105145	0.5478229428132746	0.8929702197232106	0.8868768701102022	0.8511808878012482	0.8691334217186935	0.8590166167970613	0.5937195738637853	0.4172309530422206	0.8404410184928025	0.8996483799801919	0.8618856475101005	0.8694850417385016	0.6715455036131446
OhJ_2014__MET0267__bin.3	0.7824942272542624	0.726429917630812	1.0	0.7857463667030917	0.5058674229651509	0.7865037845239577	0.7946586186359297	0.7653016822231146	0.75379816587357	0.5788509729134514	0.7870275408126478	0.5779816214244772	0.7985436496998546	0.658054770076586	0.7928037844773187	0.7275016825029488	0.7983468330000975	0.7361760753910566	0.5938608114164879	0.49490165461280977	0.788379606245339	0.7938694862757664	0.7368523413025441	0.7637229511125041	0.7463970184601938	0.5385963611297279	0.3662077852664511	0.7376671251283157	0.8092407772487358	0.7682329451567002	0.75893592123974	0.5904169855610232
BackhedF_2015__SID268_B__bin.10	0.8689265095600495	0.7872084104551988	0.7737784126138456	1.0	0.5539262110237957	0.8627224669198866	0.89090245213086	0.8510542922623996	0.8383573157457206	0.6495790638821655	0.8831671481520605	0.6174620744136059	0.8868074533020406	0.7070335141391363	0.8888747020378543	0.8133624827193437	0.8929251500718783	0.7916644085078239	0.6219107238815225	0.5352396786831336	0.8764638610382631	0.8647846635037133	0.8384367723178814	0.8428339816928383	0.8221587386154348	0.5746969857024099	0.4101470176228247	0.81184545926358	0.895229849951086	0.8348864873305807	0.8356939130754286	0.6435798630407525
OhJ_2014__MET0302__bin.6	0.8783981838565518	0.7965657280952356	0.7984229467722452	0.8877976389840727	1.0	0.8899073451784085	0.883604726742992	0.8610700317928159	0.855164179456055	0.6454780810654237	0.8852337497046338	0.6230412894382925	0.9170758853809727	0.7240495464426129	0.8951933885076221	0.8248973303309648	0.8900869572898593	0.7956978482616271	0.6543710889278703	0.5658782627386577	0.8768302584574117	0.8890350486535349	0.8228943608422041	0.8525163730425777	0.8496749683286431	0.6029961361312581	0.452958925507349	0.8029228190562562	0.9072384417029878	0.8830276124176747	0.852168190547839	0.661029987125345
OhJ_2014__MET0084__bin.1	0.8015617657402795	0.7253411891403777	0.7223944047508384	0.8046563391419412	0.5178715469311505	1.0	0.815632136442243	0.7907526059058203	0.7744092830348067	0.5953057069262498	0.8009350546540902	0.563704132394966	0.8327619538821175	0.6516587281834503	0.8141636705478774	0.7391164101920443	0.825673221787613	0.7215282326276158	0.5665151222429318	0.48628282361831193	0.8024133731492639	0.8407751169567972	0.7432223744853622	0.7861347347444256	0.7658473729325067	0.5326256024544114	0.393284981337889	0.743169684489736	0.8318255284313931	0.7980773720457726	0.7706575839966346	0.5858592046209554
BackhedF_2015__SID526_B__bin.7	0.9159313666334924	0.8235890402790614	0.8063332107636094	0.9179729333869043	0.5680619265783692	0.9010620974187952	1.0	0.9006910755516939	0.880558880081852	0.6845533280046264	0.919387454255228	0.6380189514562372	0.9170543703205222	0.7302027416812307	0.9417992572937267	0.8575143522521359	0.9360782326108344	0.8247697795117371	0.641786905672896	0.5517667786830901	0.9210665175007323	0.9131742577078137	0.8664378067496639	0.8904269259655205	0.8628416394434104	0.5985155339378528	0.4390651006136531	0.8426138490537286	0.9290638370570394	0.8831929460414002	0.8695541064880082	0.6674049244634499
FerrettiP_2018__CA_C10006IS2091FE_t3M15__bin.6	0.9431978523322361	0.8426177947744984	0.826016459881995	0.9327796702486298	0.5888412289387459	0.9292297562529983	0.9580715489897695	1.0	0.8983824533973109	0.7096817712520394	0.9385490355781724	0.6621133264234516	0.9282008248566468	0.7665498631531311	0.954564423237137	0.873447478941892	0.9614779965235811	0.8466273048390482	0.6491102310716139	0.5613646328491886	0.9387403241939324	0.9300533040829548	0.8893762833326705	0.9073906370263278	0.907081051503453	0.6039454787173796	0.44408558252669106	0.8728529740597535	0.9380355766621848	0.9026562437862662	0.8969055039272056	0.6909123309172239
ChngKR_2016__WBU019__bin.1	0.9212923182677436	0.8299271423020654	0.8145220505785729	0.9199044086038304	0.5854650480098816	0.9110553505832597	0.9377179318029369	0.899400235551553	1.0	0.6781747929600626	0.9233827501072178	0.6522873043558894	0.9274769324273452	0.7450197275685526	0.9406086543273401	0.8623036377444906	0.9421124751106069	0.8410339473430903	0.649083117847843	0.5596415625020473	0.9269165273633395	0.923012842448063	0.8632344544290395	0.9012734600325861	0.8708079861753312	0.6072628899464239	0.43154264092902256	0.8546000839599673	0.9326067554008282	0.8905279953071116	0.8770848252690272	0.6763721230734187
OlmMR_2017__S2_005_014Y1__bin.16	0.8886752394795743	0.7987508079639434	0.7766027407888982	0.8849728405227785	0.5486777548832934	0.869558171213895	0.9051185962795802	0.8821445756445097	0.842027014935366	1.0	0.8780210655675645	0.6515527612187318	0.8647300978066556	0.7432949160687369	0.8982056161080948	0.813375815707257	0.9042206847529617	0.792357803038883	0.6237062408918295	0.6138004308723883	0.8837558106138774	0.8709641692628929	0.8749425117620153	0.8556333467446483	0.8411359863542477	0.5907156573869962	0.33440352707156323	0.8293505064909305	0.8838346516259707	0.8461542793462203	0.8482635892808761	0.6907555158986656
