	BackhedF_2015__SID608_B__bin.2	BackhedF_2015__SID180_B__bin.10	OhJ_2014__MET0267__bin.3	BackhedF_2015__SID268_B__bin.10	OhJ_2014__MET0302__bin.6	OhJ_2014__MET0084__bin.1	BackhedF_2015__SID526_B__bin.7	FerrettiP_2018__CA_C10006IS2091FE_t3M15__bin.6	ChngKR_2016__WBU019__bin.1	OlmMR_2017__S2_005_014Y1__bin.16	BackhedF_2015__SID263_B__bin.4	BackhedF_2015__SID397_B__bin.1	OhJ_2014__MET0207__bin.14	BackhedF_2015__SID105_B__bin.6	FerrettiP_2018__CA_C10019MS2316SK_t0M15__bin.2	OhJ_2014__MET0082__bin.2	BackhedF_2015__SID26_B__bin.10	FerrettiP_2018__CA_C10043MS2744SK_t0M15__bin.2	ChngKR_2016__WBS022__bin.3	OhJ_2014__MET0142__bin.4	FerrettiP_2018__CA_C10029MS2494SK_t0M15__bin.2	OhJ_2014__MET0054__bin.6	FerrettiP_2018__CA_C10007IS2106SA_t2M15__bin.2	OhJ_2014__MET0024__bin.5	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.1	OhJ_2014__MET0179__bin.10	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.3	BackhedF_2015__SID507_B__bin.6	OhJ_2014__MET0158__bin.4	OhJ_2014__MET0192__bin.5	BackhedF_2015__SID385_B__bin.10	BackhedF_2015__SID615_B__bin.9
BackhedF_2015__SID608_B__bin.2	1.0	0.8456296957226724	0.8207150452179776	0.9403718867314921	0.583875572289247	0.914628998522576	0.9613754147440315	0.9324786213643317	0.9069883056437198	0.7059306020827978	0.942050868599288	0.6614008220359242	0.9306605995920829	0.7632170432914246	0.9664318659455263	0.8843828178687283	0.9629558683342119	0.8549783787947141	0.6472142504898906	0.5666746356204231	0.941467701230253	0.930925675668917	0.8853711015061323	0.9087993254063916	0.9043635523395215	0.6082825770996276	0.44980409377491337	0.8723473636933801	0.9348528027543905	0.8970614566380551	0.8997862386504927	0.6931749412081268
BackhedF_2015__SID180_B__bin.10	0.8860059424307372	1.0	0.7976560412092375	0.8908122894079054	0.554409922916088	0.8665117302744313	0.9046019776661025	0.8709664572317914	0.8557985861835865	0.6623352599944453	0.8900404022407261	0.6540231932966866	0.8699398944615917	0.7392153266502822	0.9030110411830362	0.8288857680355917	0.9006964277292473	0.8344257484370988	0.6342407680093904	0.5347380666663173	0.8862527576756397	0.8667795064743149	0.8435285671615199	0.8599221300522452	0.8529856260251217	0.579963423133558	0.4154712808715565	0.8345840036472062	0.8782388605624872	0.8419266261770887	0.8634226095340903	0.6663246537512248
OhJ_2014__MET0267__bin.3	0.7653273336887227	0.7099276302196652	1.0	0.7680170064553079	0.5038558816711883	0.7820800726822618	0.7768751571152269	0.748528422057089	0.7391847591117504	0.5656805776896611	0.7689120094098904	0.5652827467775929	0.7940518448767261	0.6436684953829694	0.7753323380564676	0.7131848999616162	0.7801879273009481	0.7197624021338288	0.5900811845566984	0.4918202140078456	0.7703704118272845	0.7898450045169899	0.7205132904907219	0.7468097738613431	0.7302664441052232	0.5354430964210609	0.3590225765544671	0.7213891714436692	0.803788674831295	0.7640648151905182	0.7422517416179172	0.5769182515774485
BackhedF_2015__SID268_B__bin.10	0.8635523977054045	0.7807623238061994	0.7563190939195055	1.0	0.5419218386158942	0.8423838808794419	0.8841362427604958	0.8449163868846135	0.8318602482903058	0.6435325565266915	0.8761979341291238	0.6125330112203703	0.8673006351932907	0.7025219424146532	0.8824648990258531	0.8073536368605009	0.8849266749032053	0.7866751787772873	0.6082487863353068	0.5230938460195931	0.8702134304571278	0.8457026854484244	0.8320508522061829	0.8339775592594463	0.8164153603791869	0.561843851760675	0.4081165118105535	0.8061011624542437	0.8741871776382567	0.8164498068700081	0.8299987599263304	0.6384188601426544
OhJ_2014__MET0302__bin.6	0.8593526750058705	0.7787995874810358	0.7952480818677893	0.8685577957177234	1.0	0.8851925272528253	0.864735885542918	0.842818055139446	0.8391345346242831	0.631123834453578	0.8661794074714221	0.6094341997654736	0.9127946393145884	0.7083084587734996	0.8756340712397579	0.809775315554188	0.870355389062653	0.7790034913944451	0.6513110579963092	0.5631259279652376	0.8577310131963374	0.8854906539132252	0.8055132084832861	0.8341966737898082	0.8318146049674527	0.6002320235144643	0.44392237517878397	0.7855247360474883	0.9030609878813354	0.879029770707473	0.8336504763033472	0.6467383103064227
OhJ_2014__MET0084__bin.1	0.7833815753794644	0.7083475946160248	0.7183312778523385	0.785686655594628	0.5151278117930491	1.0	0.7968629319026785	0.7724760314066644	0.759384066802347	0.5810862620903192	0.7826387749533179	0.5507415367229993	0.8289177260711383	0.6368412733158585	0.7956532038730145	0.724573971399185	0.80652919004339	0.7052770101554612	0.5626648971966781	0.48426389720053337	0.7838797742811991	0.8402632100887205	0.7264643856325091	0.7679451201567505	0.7485299277033287	0.5295734380736196	0.38490727203330694	0.7263328748304175	0.82516045817164	0.7942995421967615	0.7530925386254079	0.5720638499937243
BackhedF_2015__SID526_B__bin.7	0.9096656402043839	0.8169395144440611	0.7882884865383897	0.9110011296290775	0.5559313098444311	0.8803269914149137	1.0	0.8937197450360445	0.8732420827766822	0.6780533466976925	0.9116944294190052	0.6332524562452114	0.8967740500491462	0.7243591472743853	0.9351781259893719	0.851140253364397	0.9277600548582332	0.8188324831537617	0.627800706361274	0.5392192355908405	0.9138315910922572	0.8928177454458722	0.8602743006308792	0.881222365614602	0.8566147188728507	0.5845463713446183	0.43690285710499777	0.8355104839705776	0.9074868332195186	0.8632207064275279	0.8626897287044569	0.6622248155893546
FerrettiP_2018__CA_C10006IS2091FE_t3M15__bin.6	0.9385334304542551	0.8366732493442072	0.8079125025735869	0.9260523516670047	0.5763596467604015	0.9077525752229897	0.9506560947825022	1.0	0.8911623149345566	0.7041137623601391	0.9315322671174366	0.6572802685289452	0.9074887982896784	0.7608957743841388	0.9500953171036688	0.8693569229111912	0.9558002483731659	0.84078243084539	0.634893459791888	0.5482744508380707	0.933487438126942	0.9091248193455211	0.8835178177794714	0.8979807473042148	0.9030760719587501	0.5904480533111304	0.4423881477573675	0.8667523773902897	0.9159477822350264	0.882785887128642	0.8905280421559837	0.6865363521361654
ChngKR_2016__WBU019__bin.1	0.9139118037332452	0.823033958430241	0.7987314283928822	0.9127753708021906	0.5744907848140307	0.8933789048818236	0.9299261847754272	0.8921719173563799	1.0	0.6714025598214768	0.9161655190625916	0.6471146446643844	0.910114454670941	0.7392186280255952	0.9332855913911301	0.8556115344666753	0.9336882565405369	0.8346255743269974	0.6368091382310653	0.5484717622874605	0.9193681936864725	0.9057813946526673	0.8560479650291113	0.8912652908184786	0.863720273207548	0.5956561552080125	0.42876329387147677	0.8481735683338886	0.9142479459793708	0.8738881981818082	0.8702405256518867	0.6707640407422545
OlmMR_2017__S2_005_014Y1__bin.16	0.8831795203588142	0.7908760925893829	0.758932968245218	0.8767352062036613	0.5364761696783725	0.8487879445835286	0.8965243002390886	0.8752234610828876	0.8336185584233801	1.0	0.8693197710106605	0.6452786435341297	0.844693843455539	0.7364795485788908	0.8910486042325109	0.8066549322874593	0.8958341285221126	0.7856037563362206	0.6094479064269815	0.599475144119493	0.8761188697202333	0.8506494684801769	0.8726842799156277	0.8445737047704444	0.8345433760096812	0.5766763257335187	0.33242436737909326	0.8215346090142809	0.8617322621801542	0.8262875957433363	0.8405553160429571	0.6856990538452827
BackhedF_2015__SID263_B__bin.4	0.9159649440178024	0.8259577079588867	0.8017266364775176	0.9277215945784023	0.572217618636353	0.8884591668417325	0.93683912607082	0.8998943768819588	0.8840479914100978	0.6756115636889896	1.0	0.6549328719373186	0.9153162274456713	0.7418365778887825	0.9432494572955814	0.860452020260965	0.9380723683698637	0.8370865526014799	0.6607119931840993	0.5532195599231265	0.9350729052387511	0.9005863736451841	0.8630911393291474	0.8845678399975102	0.8808428257977171	0.5928666464368245	0.43623806633832074	0.8526868731666706	0.914213312014192	0.871901332835368	0.8758456657563238	0.6676664877103708
