	BackhedF_2015__SID608_B__bin.2	BackhedF_2015__SID180_B__bin.10	OhJ_2014__MET0267__bin.3	BackhedF_2015__SID268_B__bin.10	OhJ_2014__MET0302__bin.6	OhJ_2014__MET0084__bin.1	BackhedF_2015__SID526_B__bin.7	FerrettiP_2018__CA_C10006IS2091FE_t3M15__bin.6	ChngKR_2016__WBU019__bin.1	OlmMR_2017__S2_005_014Y1__bin.16	BackhedF_2015__SID263_B__bin.4	BackhedF_2015__SID397_B__bin.1	OhJ_2014__MET0207__bin.14	BackhedF_2015__SID105_B__bin.6	FerrettiP_2018__CA_C10019MS2316SK_t0M15__bin.2	OhJ_2014__MET0082__bin.2	BackhedF_2015__SID26_B__bin.10	FerrettiP_2018__CA_C10043MS2744SK_t0M15__bin.2	ChngKR_2016__WBS022__bin.3	OhJ_2014__MET0142__bin.4	FerrettiP_2018__CA_C10029MS2494SK_t0M15__bin.2	OhJ_2014__MET0054__bin.6	FerrettiP_2018__CA_C10007IS2106SA_t2M15__bin.2	OhJ_2014__MET0024__bin.5	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.1	OhJ_2014__MET0179__bin.10	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.3	BackhedF_2015__SID507_B__bin.6	OhJ_2014__MET0158__bin.4	OhJ_2014__MET0192__bin.5	BackhedF_2015__SID385_B__bin.10	BackhedF_2015__SID615_B__bin.9
BackhedF_2015__SID608_B__bin.2	1.0	0.9932110735221293	0.9780613160230235	0.9938152285659164	0.9783179095759703	0.9773190399818723	0.9931591747402011	0.9950546729231334	0.9919889546584133	0.9938158295892452	0.9930234912172856	0.993737394383343	0.9777092503143372	0.99329814904979	0.9948412447118897	0.9943899396817292	0.9932261708855862	0.9938906053231037	0.9781705237441569	0.976973068708293	0.9945685339532672	0.9777370267043267	0.9947973916151351	0.9899640315598274	0.9948305571510626	0.9770639622226186	0.9958377117269344	0.9932801592716148	0.976337066479461	0.9774989849555424	0.9936006159137941	0.9943215529171722
BackhedF_2015__SID180_B__bin.10	0.9932110735221293	1.0	0.9772830289465946	0.9918114611538867	0.9776965792180357	0.9765715848227337	0.9919261603666469	0.9929451461063885	0.9916942301071103	0.9901412113815151	0.9915895985647556	0.9946477313027228	0.977400647630262	0.9927254890783813	0.9931382702516409	0.9921905432182866	0.9920597495620654	0.9928817235008502	0.9769257777975083	0.9761147715359244	0.9924773952152032	0.9773391726481828	0.9910097597944244	0.9894017518642498	0.9929791919573957	0.9768305588432843	0.9957824984991321	0.9930310221458492	0.9762023476125461	0.9768426108606502	0.9930275600920176	0.9922256201049225
OhJ_2014__MET0267__bin.3	0.9780613160230235	0.9772830289465946	1.0	0.9774362809691703	0.9960235800871069	0.9943754729109492	0.9776212563437253	0.9780828128885054	0.9806136344934134	0.9772473471755577	0.9769823411972951	0.9780289300279359	0.9943750040153512	0.9781381803646189	0.9779624583498051	0.9803206193392211	0.9772543649595123	0.9777041474099674	0.9936355004621802	0.993773630424867	0.9771566967544691	0.9949305498846464	0.9778258819359392	0.9778543027592351	0.978388747602117	0.994145402872658	0.9803794211891044	0.977933198959063	0.993262694403541	0.9945743931024309	0.9780163526921103	0.9771369484386565
BackhedF_2015__SID268_B__bin.10	0.9938152285659164	0.9918114611538867	0.9774362809691703	1.0	0.978328571262742	0.9764251114114855	0.9924052186025747	0.9927878803578213	0.9922502406391771	0.9906916529616311	0.992108839150642	0.9920172211420164	0.9780033218754354	0.993619012912031	0.992788856520153	0.992612339533103	0.9910423900950386	0.993697797100743	0.9780323171452203	0.9773076751457903	0.9928685815137535	0.9779344166697205	0.9923835400324291	0.9894920914133009	0.9930142708865201	0.9776349376079893	0.9950493220113124	0.9929243962089201	0.9764946708222709	0.9779171411439165	0.9931851207003057	0.9919807887187245
OhJ_2014__MET0302__bin.6	0.9783179095759703	0.9776965792180357	0.9960235800871069	0.978328571262742	1.0	0.9947019002021632	0.9786456085747466	0.9788031449481898	0.9812554767647449	0.9777618372599847	0.9784753549674656	0.9781602120060351	0.9953316337997419	0.9782596539885259	0.978150735339465	0.9816680037372536	0.9778318645548013	0.9790192258234022	0.9953237070168018	0.9951361715855639	0.9782178533680222	0.9960132114637351	0.9788780271368867	0.9785110294276371	0.9789797698803312	0.9954160359392549	0.9800499563653737	0.9783315623919902	0.995395417974341	0.9954725745220403	0.9782698832813893	0.9783796845872708
OhJ_2014__MET0084__bin.1	0.9773190399818723	0.9765715848227337	0.9943754729109492	0.9764251114114855	0.9947019002021632	1.0	0.976988149803127	0.9768871144240875	0.9805978355869162	0.9761140458247073	0.9771563504500698	0.9770046112365834	0.9953837614782252	0.9772619406036399	0.9772644403767039	0.9803245624203083	0.9768140333983758	0.9774766644778792	0.993203667660256	0.9958482464941776	0.9769026794813687	0.999391148884223	0.9774522546304435	0.976861962989603	0.9773878636380671	0.9942695875550723	0.9786981204416134	0.9773445957084771	0.9919874179957885	0.9952663363461527	0.9772077174922041	0.9764527816266767
BackhedF_2015__SID526_B__bin.7	0.9931591747402011	0.9919261603666469	0.9776212563437253	0.9924052186025747	0.9786456085747466	0.976988149803127	1.0	0.9922600204388843	0.9916907347473577	0.9905047845930711	0.9916324452758009	0.9925292262868578	0.9778853676208012	0.9919972987318687	0.9929697000150747	0.9925667729397202	0.9911138006815938	0.9928012682987847	0.9782074093628355	0.9772593356885367	0.9921450554644992	0.9777079652759387	0.9928863836841257	0.9896627560527353	0.9927832405323224	0.9766603174000742	0.9950753464449046	0.99156984531986	0.9767755422427489	0.9773863234490371	0.9921058646812957	0.9922384317462749
FerrettiP_2018__CA_C10006IS2091FE_t3M15__bin.6	0.9950546729231334	0.9929451461063885	0.9780828128885054	0.9927878803578213	0.9788031449481898	0.9768871144240875	0.9922600204388843	1.0	0.9919631795618328	0.9921542174007414	0.9925238126142091	0.9927005578929922	0.977685834775931	0.9926239778509193	0.9953181723258526	0.9953167693200555	0.9940947705813921	0.993096284563171	0.9780980631652416	0.9766814985392309	0.9944043246767941	0.9774975427262532	0.9934128381170158	0.9896297257893791	0.9955847610992813	0.9776512518399605	0.9961776854820061	0.9930107396654798	0.976453137837529	0.9779867953117166	0.992889483068955	0.9936663762025361
ChngKR_2016__WBU019__bin.1	0.9919889546584133	0.9916942301071103	0.9806136344934134	0.9922502406391771	0.9812554767647449	0.9805978355869162	0.9916907347473577	0.9919631795618328	1.0	0.9900140299980382	0.9921839226000396	0.9920699672414859	0.981279881850038	0.9922134953903974	0.9922145486302728	0.9922392728212075	0.9910581604716773	0.99238036343677	0.981090280613869	0.9800411531898224	0.9918565119360438	0.981331302227937	0.9916749275204945	0.988895524324276	0.9918607625558039	0.9808868038364154	0.9935595076964759	0.9924800901068249	0.9803145223695416	0.9813146838583497	0.9921965362756776	0.9917085844613448
OlmMR_2017__S2_005_014Y1__bin.16	0.9938158295892452	0.9901412113815151	0.9772473471755577	0.9906916529616311	0.9777618372599847	0.9761140458247073	0.9905047845930711	0.9921542174007414	0.9900140299980382	1.0	0.9900898795050214	0.990370514779392	0.9768294703723884	0.9908308703012629	0.9920318780608441	0.9917370503400649	0.9907251002191569	0.9914760141482055	0.9771393429630268	0.9766613282878688	0.9913585395400804	0.9766756182405201	0.9974189940298593	0.9870743210087807	0.9921622538429952	0.9762333510583081	0.9940815226747102	0.9905758814693205	0.974992619484702	0.9765212041257606	0.9909128797518543	0.9926798093724891
