	FengQ_2015__SID530052__bin.15	LiJ_2014__V1.FI23__bin.28	VincentC_2016__MM058.2__bin.3	GeversD_2014__SKBSTL021__bin.40	ZellerG_2014__CCIS44743950ST-4-0__bin.36	LiJ_2014__V1.CD4-0-PT__bin.9	HeQ_2017__SZAXPI029574-89__bin.31	HeQ_2017__SZAXPI029550-158__bin.18	LiJ_2014__V1.FI24__bin.86	LiJ_2014__V1.CD12-3__bin.28	YuJ_2015__SZAXPI017455-21__bin.57	NielsenHB_2014__V1_CD20_4__bin.1	QinJ_2012__T2D-068__bin.53	YuJ_2015__SZAXPI003437-3__bin.1	QinJ_2012__NLM027__bin.42	QinJ_2012__NOM002__bin.26	LoombaR_2017__SID0011_vkb__bin.5	QinJ_2012__CON-065__bin.27	HeQ_2017__SZAXPI029501-104__bin.40	NielsenHB_2014__V1_CD17_4__bin.53	FengQ_2015__SID530348__bin.24	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.19	QinJ_2012__DLF012__bin.21	LoombaR_2017__SID5395_kej__bin.17	QinJ_2012__CON-069__bin.17	HeQ_2017__RSZAXPI003094-125__bin.8	FengQ_2015__SID530251__bin.1	XieH_2016__YSZC12003_36389__bin.13	HeQ_2017__RSZAXPI003077-109__bin.4	LiJ_2014__V1.UC38-4__bin.13	NielsenHB_2014__V1_CD21_0__bin.16	LiJ_2014__V1.CD48-0__bin.54	LiJ_2014__V1.FI21__bin.4	HMP_2012__SRS018313__bin.4
FengQ_2015__SID530052__bin.15	0.0	24261.0	26538.0	23078.0	23995.0	24211.0	19971.0	28639.0	31524.0	15085.0	12064.0	21290.0	23240.0	21862.0	27252.0	14758.0	25338.0	24038.0	23728.0	29690.0	10370.0	29380.0	13232.0	23793.0	29772.0	24826.0	19507.0	23003.0	20401.0	23038.0	25008.0	24210.0	21209.0	23624.0
LiJ_2014__V1.FI23__bin.28	24261.0	0.0	29196.0	28851.0	29434.0	30733.0	27027.0	47774.0	45849.0	22632.0	43060.0	26005.0	23283.0	24303.0	45923.0	29350.0	29266.0	27192.0	27542.0	48107.0	31646.0	50356.0	20727.0	21402.0	50765.0	33953.0	21642.0	27316.0	15862.0	26089.0	32966.0	37777.0	29582.0	42747.0
VincentC_2016__MM058.2__bin.3	26538.0	29196.0	0.0	29954.0	33463.0	30587.0	29636.0	48616.0	49305.0	24080.0	48399.0	27171.0	23447.0	26277.0	48452.0	31975.0	27301.0	27900.0	30203.0	50861.0	31010.0	53652.0	21829.0	22639.0	53288.0	33797.0	26227.0	29166.0	17059.0	27951.0	32232.0	35558.0	31291.0	43524.0
GeversD_2014__SKBSTL021__bin.40	23078.0	28851.0	29954.0	0.0	24953.0	27401.0	29921.0	42710.0	43947.0	23398.0	41840.0	22775.0	21103.0	20498.0	43345.0	29158.0	26672.0	21748.0	24737.0	45458.0	30432.0	47201.0	17236.0	15865.0	47850.0	28065.0	25904.0	24346.0	11932.0	22768.0	27210.0	26037.0	26018.0	40697.0
ZellerG_2014__CCIS44743950ST-4-0__bin.36	23995.0	29434.0	33463.0	24953.0	0.0	30321.0	23745.0	44936.0	45169.0	24309.0	41402.0	26774.0	24419.0	24198.0	45910.0	31195.0	31181.0	25998.0	28263.0	47509.0	28757.0	49086.0	22270.0	21362.0	50126.0	31816.0	25609.0	28409.0	14810.0	25167.0	31259.0	29460.0	28289.0	41506.0
LiJ_2014__V1.CD4-0-PT__bin.9	24211.0	30733.0	30587.0	27401.0	30321.0	0.0	27277.0	44857.0	44151.0	22123.0	42817.0	25118.0	26100.0	23979.0	44838.0	28597.0	31337.0	26130.0	28071.0	46273.0	27982.0	48776.0	18733.0	17158.0	49102.0	31448.0	24667.0	20836.0	15436.0	24311.0	29198.0	30835.0	25648.0	40517.0
HeQ_2017__SZAXPI029574-89__bin.31	19971.0	27027.0	29636.0	29921.0	23745.0	27277.0	0.0	41302.0	40321.0	26324.0	37511.0	23095.0	22103.0	16468.0	41368.0	29057.0	28009.0	18785.0	25391.0	42081.0	30838.0	44318.0	18723.0	18160.0	45280.0	27450.0	26465.0	27443.0	10454.0	25122.0	30184.0	29886.0	28429.0	38124.0
HeQ_2017__SZAXPI029550-158__bin.18	28639.0	47774.0	48616.0	42710.0	44936.0	44857.0	41302.0	0.0	46195.0	35954.0	53109.0	41722.0	37241.0	1807.0	3791.0	3424.0	47270.0	1548.0	44992.0	2782.0	31149.0	5735.0	30455.0	30173.0	3330.0	47122.0	35838.0	40127.0	22909.0	40276.0	49401.0	49938.0	43273.0	3322.0
LiJ_2014__V1.FI24__bin.86	31524.0	45849.0	49305.0	43947.0	45169.0	44151.0	40321.0	46195.0	0.0	35654.0	56302.0	42886.0	38680.0	26590.0	49110.0	31732.0	48851.0	28341.0	45474.0	50933.0	40798.0	52588.0	32366.0	34488.0	53712.0	49775.0	36050.0	41567.0	25156.0	39427.0	46556.0	49195.0	42728.0	44924.0
LiJ_2014__V1.CD12-3__bin.28	15085.0	22632.0	24080.0	23398.0	24309.0	22123.0	26324.0	35954.0	35654.0	0.0	32762.0	19504.0	19121.0	10919.0	36496.0	25487.0	25440.0	13077.0	21437.0	37080.0	33746.0	39617.0	17924.0	12782.0	40668.0	24266.0	19966.0	20959.0	5891.0	17938.0	24418.0	24362.0	20669.0	34734.0
