	FengQ_2015__SID530052__bin.15	LiJ_2014__V1.FI23__bin.28	VincentC_2016__MM058.2__bin.3	GeversD_2014__SKBSTL021__bin.40	ZellerG_2014__CCIS44743950ST-4-0__bin.36	LiJ_2014__V1.CD4-0-PT__bin.9	HeQ_2017__SZAXPI029574-89__bin.31	HeQ_2017__SZAXPI029550-158__bin.18	LiJ_2014__V1.FI24__bin.86	LiJ_2014__V1.CD12-3__bin.28	YuJ_2015__SZAXPI017455-21__bin.57	NielsenHB_2014__V1_CD20_4__bin.1	QinJ_2012__T2D-068__bin.53	YuJ_2015__SZAXPI003437-3__bin.1	QinJ_2012__NLM027__bin.42	QinJ_2012__NOM002__bin.26	LoombaR_2017__SID0011_vkb__bin.5	QinJ_2012__CON-065__bin.27	HeQ_2017__SZAXPI029501-104__bin.40	NielsenHB_2014__V1_CD17_4__bin.53	FengQ_2015__SID530348__bin.24	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.19	QinJ_2012__DLF012__bin.21	LoombaR_2017__SID5395_kej__bin.17	QinJ_2012__CON-069__bin.17	HeQ_2017__RSZAXPI003094-125__bin.8	FengQ_2015__SID530251__bin.1	XieH_2016__YSZC12003_36389__bin.13	HeQ_2017__RSZAXPI003077-109__bin.4	LiJ_2014__V1.UC38-4__bin.13	NielsenHB_2014__V1_CD21_0__bin.16	LiJ_2014__V1.CD48-0__bin.54	LiJ_2014__V1.FI21__bin.4	HMP_2012__SRS018313__bin.4
FengQ_2015__SID530052__bin.15	1308847.0	1168129.0	1164802.0	971169.0	1070355.0	1145817.0	923776.0	1082813.0	1105107.0	660194.0	1214966.0	1083681.0	1055545.0	797965.0	1066136.0	564870.0	1157227.0	911104.0	1191355.0	1144328.0	507965.0	1147869.0	701620.0	1062750.0	1134487.0	1161509.0	920469.0	962757.0	901033.0	1054775.0	1134665.0	1106268.0	1009804.0	894162.0
LiJ_2014__V1.FI23__bin.28	1168129.0	3158577.0	2236617.0	1931844.0	1945450.0	2047652.0	1918186.0	1984548.0	2096241.0	1608994.0	2045564.0	1959090.0	1806304.0	976263.0	1907766.0	1243330.0	2194478.0	1104834.0	2178234.0	2000576.0	1381114.0	2116190.0	1511911.0	1406836.0	2105562.0	2188911.0	1743214.0	1788655.0	1076238.0	1818301.0	2300924.0	2167769.0	1998090.0	1721240.0
VincentC_2016__MM058.2__bin.3	1164802.0	2236617.0	2618577.0	1936275.0	1973441.0	2118649.0	1881626.0	1990640.0	2090737.0	1631120.0	2073735.0	1975353.0	1833772.0	1031955.0	1957002.0	1238164.0	2245140.0	1152588.0	2238750.0	2053943.0	1354940.0	2154534.0	1500536.0	1457716.0	2123098.0	2150427.0	1750904.0	1810036.0	1109826.0	1832638.0	2236697.0	2137504.0	1974037.0	1719100.0
GeversD_2014__SKBSTL021__bin.40	971169.0	1931844.0	1936275.0	2386574.0	1723677.0	1762112.0	1855374.0	1675682.0	1774557.0	1588709.0	1800375.0	1725428.0	1535176.0	736548.0	1688165.0	1098682.0	1904418.0	855041.0	1899716.0	1757066.0	1318621.0	1829887.0	1179344.0	1117345.0	1823830.0	1878938.0	1725047.0	1530929.0	860812.0	1586563.0	1886521.0	1884778.0	1684822.0	1507413.0
ZellerG_2014__CCIS44743950ST-4-0__bin.36	1070355.0	1945450.0	1973441.0	1723677.0	2185098.0	1863058.0	1625705.0	1770722.0	1878972.0	1418354.0	1867159.0	1791866.0	1660667.0	909199.0	1766972.0	1177040.0	1952716.0	1018533.0	1945007.0	1839912.0	1204801.0	1921872.0	1314473.0	1272360.0	1917234.0	1900521.0	1552278.0	1646946.0	1010051.0	1642238.0	1967050.0	1920423.0	1771279.0	1550244.0
LiJ_2014__V1.CD4-0-PT__bin.9	1145817.0	2047652.0	2118649.0	1762112.0	1863058.0	2398111.0	1711668.0	1863922.0	1946817.0	1496507.0	1939049.0	1850392.0	1760175.0	1004522.0	1819120.0	1131611.0	2023406.0	1129434.0	2053920.0	1896440.0	1239488.0	1996786.0	1337197.0	1480788.0	1970719.0	1976858.0	1567609.0	1705042.0	1078375.0	1722985.0	2087771.0	1976966.0	1851114.0	1593077.0
HeQ_2017__SZAXPI029574-89__bin.31	923776.0	1918186.0	1881626.0	1855374.0	1625705.0	1711668.0	2247927.0	1648736.0	1710253.0	1608795.0	1730622.0	1625055.0	1516427.0	625611.0	1630810.0	1116058.0	1843485.0	742078.0	1866546.0	1659478.0	1421722.0	1767321.0	1248130.0	1055576.0	1777635.0	1815246.0	1775314.0	1511509.0	714780.0	1524483.0	1908408.0	1809736.0	1693328.0	1474294.0
HeQ_2017__SZAXPI029550-158__bin.18	1082813.0	1984548.0	1990640.0	1675682.0	1770722.0	1863922.0	1648736.0	2552862.0	1886809.0	1379197.0	1840993.0	1736178.0	1579579.0	998590.0	1924769.0	1205946.0	1974909.0	1168168.0	1980901.0	2056297.0	1167307.0	2161305.0	1258225.0	1283907.0	2125014.0	1916774.0	1496561.0	1587808.0	976048.0	1647703.0	1978310.0	1910102.0	1712166.0	1770414.0
LiJ_2014__V1.FI24__bin.86	1105107.0	2096241.0	2090737.0	1774557.0	1878972.0	1946817.0	1710253.0	1886809.0	2486906.0	1473546.0	1959059.0	1868837.0	1731722.0	967534.0	1862244.0	1221567.0	2068019.0	1080037.0	2060425.0	1970605.0	1255634.0	2061069.0	1366465.0	1357394.0	2043813.0	2003680.0	1635054.0	1744719.0	1030317.0	1741169.0	2044811.0	1978284.0	1826723.0	1666349.0
LiJ_2014__V1.CD12-3__bin.28	660194.0	1608994.0	1631120.0	1588709.0	1418354.0	1496507.0	1608795.0	1379197.0	1473546.0	2082533.0	1472461.0	1401819.0	1255857.0	396799.0	1392407.0	983116.0	1569191.0	509638.0	1563555.0	1423776.0	1371968.0	1517855.0	1210275.0	833891.0	1530283.0	1547090.0	1478863.0	1350099.0	460774.0	1239808.0	1627529.0	1608231.0	1456675.0	1273624.0
YuJ_2015__SZAXPI017455-21__bin.57	1214966.0	2045564.0	2073735.0	1800375.0	1867159.0	1939049.0	1730622.0	1840993.0	1959059.0	1472461.0	2297266.0	1859221.0	1765647.0	965237.0	1857684.0	1171827.0	2024546.0	1101305.0	2063792.0	1947081.0	1316089.0	2008745.0	1390931.0	1287474.0	1991263.0	1971284.0	1685513.0	1675954.0	1070520.0	1740782.0	2050294.0	1989256.0	1793150.0	1603303.0
