	FengQ_2015__SID530052__bin.15	LiJ_2014__V1.FI23__bin.28	VincentC_2016__MM058.2__bin.3	GeversD_2014__SKBSTL021__bin.40	ZellerG_2014__CCIS44743950ST-4-0__bin.36	LiJ_2014__V1.CD4-0-PT__bin.9	HeQ_2017__SZAXPI029574-89__bin.31	HeQ_2017__SZAXPI029550-158__bin.18	LiJ_2014__V1.FI24__bin.86	LiJ_2014__V1.CD12-3__bin.28	YuJ_2015__SZAXPI017455-21__bin.57	NielsenHB_2014__V1_CD20_4__bin.1	QinJ_2012__T2D-068__bin.53	YuJ_2015__SZAXPI003437-3__bin.1	QinJ_2012__NLM027__bin.42	QinJ_2012__NOM002__bin.26	LoombaR_2017__SID0011_vkb__bin.5	QinJ_2012__CON-065__bin.27	HeQ_2017__SZAXPI029501-104__bin.40	NielsenHB_2014__V1_CD17_4__bin.53	FengQ_2015__SID530348__bin.24	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.19	QinJ_2012__DLF012__bin.21	LoombaR_2017__SID5395_kej__bin.17	QinJ_2012__CON-069__bin.17	HeQ_2017__RSZAXPI003094-125__bin.8	FengQ_2015__SID530251__bin.1	XieH_2016__YSZC12003_36389__bin.13	HeQ_2017__RSZAXPI003077-109__bin.4	LiJ_2014__V1.UC38-4__bin.13	NielsenHB_2014__V1_CD21_0__bin.16	LiJ_2014__V1.CD48-0__bin.54	LiJ_2014__V1.FI21__bin.4	HMP_2012__SRS018313__bin.4
FengQ_2015__SID530052__bin.15	1.0	0.8739508895997775	0.8696692585153192	0.7243711449848608	0.7994517311801914	0.8569420260733303	0.6905352573677442	0.8054218713111616	0.8202509537019987	0.49288343098925996	0.9190547099852008	0.8116999160329664	0.7887132720631213	0.5929669396040943	0.7937398336092759	0.4203027550202583	0.8647985593426886	0.6777461383950912	0.8921035078966449	0.8516182563737396	0.3801781262439384	0.8545605406896298	0.5259499391449115	0.7937956078899978	0.8440367743517768	0.8684613251205068	0.6883631165445617	0.718001416513924	0.6728303613791374	0.7882793023172303	0.8478126167535243	0.826726118484437	0.7553174664418378	0.6651182300146617
LiJ_2014__V1.FI23__bin.28	0.3621466248883595	1.0	0.698865660074141	0.6024842832705993	0.6066073424836563	0.6385530572786416	0.5987376593953543	0.6131792892812175	0.6491505510234514	0.5022394578318021	0.6339892932798535	0.6120113582793771	0.5645013561486707	0.30138888493141053	0.589456264640691	0.3843439624869047	0.6855023638809502	0.3411795881499802	0.6809053570642729	0.6181482990599881	0.4272392282980595	0.6540394614410223	0.47210626810744205	0.4386260015190384	0.6505451663834696	0.6822559652653711	0.545046709325117	0.5576368725536849	0.3357132024959341	0.567411210807905	0.7180315692794571	0.6743517729661173	0.6232262186421291	0.5314079726408443
VincentC_2016__MM058.2__bin.3	0.4346880003910521	0.842984949459191	1.0	0.7279988329539288	0.7408519970961328	0.797403322491567	0.7072505410381287	0.7416333374958994	0.7795959408487892	0.6137073685440604	0.7734490908611815	0.7439849964312678	0.6913392273742571	0.3840551566747894	0.7288500586387187	0.46062766151234047	0.8469634461770648	0.42950350514802504	0.843414953999825	0.7649505819382054	0.5055913956320551	0.8022991113112198	0.5646986894026794	0.5480369681701168	0.7904331245558179	0.8083130646912425	0.6586313864362209	0.6800907515799611	0.41731329649653226	0.6891861495766594	0.8418560920683257	0.8027054388700429	0.741909059767958	0.6398803625022292
GeversD_2014__SKBSTL021__bin.40	0.39726025675298565	0.7973743952628328	0.7987688628133885	1.0	0.7117835022086053	0.726862439631036	0.7648843069605217	0.6842327118287554	0.7251440768230946	0.6558820300564743	0.7368449501251585	0.7134297951791984	0.6344127607189218	0.3000325990310797	0.689197150392152	0.4481419809316619	0.7867956325678567	0.3491586684510935	0.7856362300100479	0.7171820358388217	0.5397649517676804	0.7469644771123795	0.4869356659378674	0.4615318862939092	0.744154591477155	0.7755355585035284	0.7119590676844715	0.6312743707088069	0.35568978795545414	0.6552468098621707	0.7790711706404243	0.778832334551537	0.6950565957728526	0.6145696718392138
ZellerG_2014__CCIS44743950ST-4-0__bin.36	0.4788618176393004	0.876855866418806	0.8878219649645004	0.7774131869600357	1.0	0.8387436169910915	0.7331295896110838	0.7897979861772789	0.8392314669639531	0.6379782508610597	0.835549252253217	0.8077861954017623	0.7488213343291696	0.40501661710367226	0.7876360694119897	0.5243906680615699	0.8793816112595408	0.4542290551728115	0.877189032253931	0.8202849483181075	0.538211100829345	0.8570718567313685	0.5913707302830353	0.572513452485884	0.8544733462755446	0.8552042059440813	0.6986730114621861	0.7407159770408466	0.45546744356546026	0.7400450689168174	0.8859058037671537	0.8653904767658018	0.7976713172589971	0.6904669721907211
LiJ_2014__V1.CD4-0-PT__bin.9	0.46770395532150094	0.8410448890814479	0.8707111555720314	0.723365599006885	0.7642419387592984	1.0	0.7023824168272444	0.7585407848093771	0.793401973469952	0.6148105738224794	0.7907190284352976	0.761129905996845	0.7231003902655048	0.40888140707415127	0.7398665032602744	0.4599511865797705	0.8306825664033066	0.4600721150939218	0.8447686533275566	0.7715101594546708	0.5051917947084184	0.812310189144706	0.5497927326966934	0.6103262109218464	0.8013044433723043	0.8112260024661077	0.6433989085576105	0.7023052727751135	0.44324011690868353	0.7083383546466365	0.8584143936623451	0.8115266557719805	0.7612099690131108	0.6474095652786714
HeQ_2017__SZAXPI029574-89__bin.31	0.4020615438134779	0.8412902198336512	0.8238657216181842	0.8120606229650695	0.7126388001033841	0.7493085851987187	1.0	0.7150739325609772	0.7428764368237937	0.703969034581639	0.7531877147256116	0.7126388001033841	0.6647564622872539	0.2709798850229567	0.7070701139316357	0.4835570728053002	0.8076223115786233	0.32176000377236447	0.8190457252392983	0.7195060159871739	0.6187407331287893	0.7664852995671123	0.5469069947556127	0.4614989721641317	0.7706455770138442	0.7953087444565593	0.7779830038964788	0.6601931468415122	0.31332245219706867	0.666997193414199	0.8355360294173254	0.7917739321606084	0.7406374851140629	0.6388864051190274
HeQ_2017__SZAXPI029550-158__bin.18	0.4129381063292885	0.7586677227362858	0.7607242381295972	0.6396632485422243	0.6760200903926651	0.7125590807493708	0.6296595742347216	1.0	0.7210001950751744	0.5261714107538911	0.7003449461819715	0.6637475899598175	0.6041603502265301	0.39045706348404263	0.7524801575643337	0.47104857215156953	0.7550893859519238	0.4569851405990609	0.7583288873429116	0.804397182456396	0.44505265071124095	0.8443738831162829	0.48093864846591783	0.4911091943081921	0.8311001534748058	0.7323748796448849	0.572190349497936	0.6062532953210945	0.37336095723153073	0.6296568322141972	0.7555868668184962	0.7286582666826487	0.6537341227218706	0.6922003617900223
LiJ_2014__V1.FI24__bin.86	0.4316942417606455	0.8244750706299313	0.8208722002359559	0.6958887871113745	0.7373833188709182	0.765073549221402	0.6714897949500302	0.7401220633188387	1.0	0.5781851022917633	0.7651101408738409	0.7342259820033408	0.6807824662452059	0.37835929464161494	0.7290721884944585	0.47843987669819443	0.8119197106766399	0.42289334619000474	0.810224029376261	0.7719117650606818	0.48849293057317	0.8076224030984686	0.5364493068897659	0.5319485336397918	0.8002316935179697	0.7856770621808785	0.6429692155634351	0.6848477586205509	0.40418134018736535	0.6842807890607847	0.8035104664189157	0.7756983979289929	0.7173552196986939	0.6519848357758596
LiJ_2014__V1.CD12-3__bin.28	0.30977132175096384	0.7617463924941406	0.7716756469165195	0.7516380292653226	0.6693987562261918	0.7079762961739382	0.7598779947304557	0.6450044248998695	0.6904534045799035	1.0	0.6913210979129742	0.6637661924204803	0.593861417802263	0.1852935823826081	0.651087401736251	0.4598385715856603	0.741285252142463	0.23844087944824885	0.740501110906766	0.6658698805733211	0.6425934186877231	0.7098269271123195	0.5725484302049475	0.3942837880600211	0.7152899858009453	0.7312364317876355	0.7005396793232087	0.6382323833523886	0.2184277512049029	0.5867229955059535	0.7697890021430633	0.7605492926162515	0.6895477766738871	0.5948957351456136
YuJ_2015__SZAXPI017455-21__bin.57	0.5236232983032875	0.8716900872602475	0.8816288579555002	0.7654903698570387	0.7947521096816825	0.8254298805623729	0.7370112995186452	0.7782659909649122	0.8282702133753775	0.626701043762455	1.0	0.7928324364701346	0.7515215913176794	0.40734812598976344	0.7853531110459128	0.49579761333689704	0.8612981692150583	0.4654384820913207	0.878199564177592	0.8233286872308213	0.5602002554340682	0.8497178820389105	0.5931124214609889	0.5472814206104125	0.8417553735614421	0.839155761674965	0.7174898335673796	0.7122605740911152	0.4552041426634965	0.7400758118563545	0.8729272099965786	0.8463921896724192	0.7625529651333367	0.6776785970801814
NielsenHB_2014__V1_CD20_4__bin.1	0.4980065973307858	0.9061532742664256	0.913230146717249	0.798135928264692	0.8274048451989817	0.8556157704050135	0.7509350593708207	0.7942935010619762	0.8559331210474728	0.6479742294402956	0.8537749491746774	1.0	0.7627004711508578	0.4247609440267531	0.7924803366823123	0.5201353591898323	0.8939022269389914	0.4779417865481766	0.8987792078609207	0.8429990901364889	0.5252462514420235	0.8638954814799884	0.5986864402211236	0.6065133289613635	0.8585548967391636	0.8875449013658265	0.7144589546554214	0.7618154519293466	0.47314636989772124	0.7890757314885433	0.8917810871204858	0.8696921698768145	0.8085428730405239	0.6928036405790687
QinJ_2012__T2D-068__bin.53	0.5282994245182355	0.9124909481247585	0.9264642287802295	0.7748522913078969	0.8373773998664289	0.8874420104246896	0.7647454088121125	0.7893173798563471	0.8664426833980292	0.6329204228217287	0.8835372297551451	0.8326747747586379	1.0	0.44446792885417974	0.7976950023413331	0.5174474095644097	0.9049884468645327	0.4939286545906761	0.9136843882979404	0.8558583224796125	0.5514000660179169	0.8750894952188187	0.6295601620253682	0.6058720122414618	0.8620286947643698	0.8689994703213639	0.744256313283163	0.7539727177119929	0.4934568056028229	0.8022650798484147	0.9177150635998187	0.8666852608603312	0.8033336489228589	0.6998513317451504
YuJ_2015__SZAXPI003437-3__bin.1	0.6854967778861237	0.8408233348878619	0.8882700216220799	0.6324546713585166	0.7816814700187956	0.866069409703085	0.5380285397323384	0.8804134692839277	0.8310933989061772	0.34083040092706435	0.8265384533853394	0.8003499455914982	0.7671042311442744	1.0	0.8853791283334039	0.4245143864558161	0.8641757111968457	0.9709117663684798	0.8883274331905994	0.9578634417263746	0.1935829764983536	0.9560907491414763	0.5116174517036219	0.841510507200294	0.9480257486468535	0.8641068173146225	0.5300103517474315	0.6585151071918147	0.8670454063679145	0.7782721061036446	0.8567793346617487	0.8086322267915942	0.6983808171167734	0.7263490835347155
QinJ_2012__NLM027__bin.42	0.478304467650761	0.8571965926554801	0.8787005976941217	0.7572787284059863	0.7923807120948576	0.8168833165900403	0.7317825759870793	0.8844224760982203	0.8347708624345883	0.6242643924026272	0.8306415152020199	0.7783504157892168	0.7176325751123152	0.46150945620055855	1.0	0.5429168504438737	0.8731642613721643	0.5011731047774093	0.8817733219030817	0.9163416994549759	0.5486405704567282	0.9510988419043339	0.5965523242483705	0.5816099712064472	0.9364377945998507	0.8386419240391636	0.7003200716017484	0.7149396827092275	0.44838523140274417	0.7365518822622691	0.8619332103752554	0.8368615487745475	0.7587870059769413	0.7736114960584969
QinJ_2012__NOM002__bin.26	0.3294419192372876	0.7270081385530264	0.72234239413593	0.6404987334039992	0.6862045837001373	0.6605546672415755	0.6509650683003659	0.7201463622045358	0.7125485827898648	0.5734889180335723	0.6820927878885875	0.6644975835863531	0.605510740614314	0.28782870112526426	0.7061934448416906	1.0	0.7327338711126282	0.3276267644011666	0.7155423007132463	0.739602833821407	0.5126509884239713	0.7842001880430941	0.506991729697035	0.40288232933891477	0.7860997826126013	0.7005168190773912	0.6029380236311481	0.6212668355461335	0.2923549103800986	0.5934849655354137	0.7271973793739482	0.6959091644059575	0.6684818215027877	0.6546067563763975
LoombaR_2017__SID0011_vkb__bin.5	0.37499051664647415	0.7173264927295394	0.7347616174807773	0.622090101300437	0.636597230297567	0.6599648759776137	0.6014602873596918	0.6386194622598972	0.6689426715128673	0.5114388293052685	0.655512917735511	0.6317652753220447	0.5858512672245032	0.32413986397640904	0.6283115125095786	0.4053544753311885	1.0	0.36343523672935124	0.7077169153541539	0.653939592114753	0.43531325877181215	0.6871043288154471	0.4703408739659832	0.45844899711672926	0.6818824382207141	0.6915827907529931	0.5603229077734345	0.5778282673175974	0.34766454405195785	0.5943596160542161	0.7170588054055612	0.6822057833051235	0.6291924290868781	0.5564407789833646
QinJ_2012__CON-065__bin.27	0.6536530370130205	0.7940829274403319	0.8287497513061035	0.6140292832457686	0.7313700638866988	0.8129925060239188	0.5329734947571642	0.8596482178779594	0.7749640775482833	0.36590130352445305	0.7878887914581937	0.7513038928884598	0.7111864356822318	0.8100000736870805	0.8021243985292058	0.4031280165648557	0.8083546411807618	1.0	0.8312809025193614	0.9003765409810697	0.2431150476386975	0.8988460603202441	0.48320155627113903	0.7676469504601758	0.8648608419485811	0.8098379621101033	0.5232630112962294	0.631233742787877	0.7674767333043497	0.748595892682136	0.8113330729723158	0.7715803668142864	0.67057895939105	0.6918258921663265
