	XieH_2016__YSZC12003_37270__bin.2	XieH_2016__YSZC12003_36033__bin.55	LeChatelierE_2013__MH0305__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.75	CosteaPI_2017__SID713A052-11-90-0__bin.22	BackhedF_2015__SID532_M__bin.11	NielsenHB_2014__V1_UC35_4__bin.75	NielsenHB_2014__O2_UC49_2__bin.47	XieH_2016__YSZC12003_37264__bin.57	CosteaPI_2017__SID713B026-11-0-0__bin.2	NielsenHB_2014__O2_UC21_2__bin.29	XieH_2016__YSZC12003_37172__bin.8	CosteaPI_2017__halbarad-11-2-0__bin.19	CosteaPI_2017__halbarad-11-0-0__bin.24	BackhedF_2015__SID377_M__bin.5	RaymondF_2016__P12E0__bin.20	ZellerG_2014__CCMD25511638ST-21-0__bin.46	XieH_2016__YSZC12003_37138__bin.8	RaymondF_2016__P23C0__bin.13	XieH_2016__YSZC12003_37348__bin.40	LeChatelierE_2013__MH0440__bin.36	Obregon-TitoAJ_2015__NO21__bin.26	LiJ_2014__V1.FI15__bin.3	HeQ_2017__RSZAXPI003077-109__bin.50	XieH_2016__YSZC12003_37255__bin.85	CosteaPI_2017__SID713B032-11-0-0__bin.61	LeChatelierE_2013__MH0203__bin.118	RaymondF_2016__P22E0__bin.15	XieH_2016__YSZC12003_37308R1__bin.82	CosteaPI_2017__pluto2-11-30-0__bin.1	HeQ_2017__RSZAXPI003105-143__bin.51	KarlssonFH_2013__S312__bin.7	ZellerG_2014__CCMD13934959ST-21-0__bin.7	XieH_2016__YSZC12003_36052__bin.73	XieH_2016__YSZC12003_36694__bin.98	QinN_2014__LD-35__bin.32	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.66	ChengpingW_2017__AS38raw__bin.1	CosteaPI_2017__mickey2-11-7-0__bin.54	ZellerG_2014__MMPU68403337ST__bin.4	LoombaR_2017__SID5639_uuc__bin.14	NielsenHB_2014__V1_UC5_3__bin.31	FengQ_2015__SID530373__bin.60	RaymondF_2016__P22E90__bin.67	CosteaPI_2017__halbarad-11-7-0__bin.51	LiJ_2014__V1.FI17__bin.17	LeChatelierE_2013__MH0456__bin.69	ZellerG_2014__CCMD19497912ST-21-0__bin.24
XieH_2016__YSZC12003_37270__bin.2	1718977.0	1351593.0	1457906.0	1566088.0	1498835.0	1157932.0	1508528.0	1148117.0	1189933.0	1519552.0	1118445.0	1144899.0	1382103.0	1505801.0	1454095.0	1458005.0	1351520.0	1576288.0	1484736.0	822264.0	1146452.0	936970.0	1269930.0	1201225.0	1228882.0	1142439.0	1466103.0	1506629.0	1357266.0	1518520.0	1019073.0	1547109.0	1158980.0	1220238.0	1388323.0	1613148.0	968701.0	1573808.0	1026757.0	1582219.0	1630859.0	1570140.0	1242125.0	1476664.0	1459545.0	1555604.0	1442768.0	1039471.0
XieH_2016__YSZC12003_36033__bin.55	1351593.0	1910599.0	1521662.0	1665469.0	1590575.0	1231333.0	1604892.0	1231689.0	1280875.0	1638906.0	1147452.0	1239021.0	1478956.0	1604307.0	1513297.0	1544498.0	1429560.0	1689675.0	1588798.0	895140.0	1217197.0	963697.0	1357844.0	1267730.0	1304012.0	1219389.0	1552507.0	1625225.0	1446248.0	1614136.0	1063683.0	1648023.0	1271874.0	1268329.0	1408150.0	1699982.0	1031442.0	1657959.0	1105051.0	1674799.0	1725972.0	1669904.0	1310007.0	1581333.0	1543926.0	1630653.0	1515304.0	1072842.0
LeChatelierE_2013__MH0305__bin.5	1457906.0	1521662.0	2086729.0	1875320.0	1770605.0	1442081.0	1830571.0	1394481.0	1349728.0	1875800.0	1324479.0	1483471.0	1596392.0	1738833.0	1768522.0	1694236.0	1585507.0	1908055.0	1749269.0	939752.0	1438379.0	1043106.0	1473866.0	1481892.0	1402023.0	1333136.0	1734350.0	1799101.0	1556818.0	1821737.0	1127172.0	1833028.0	1348644.0	1374463.0	1550415.0	1922323.0	1179358.0	1871168.0	1225380.0	1832588.0	1954879.0	1908577.0	1426148.0	1745206.0	1699504.0	1830408.0	1756233.0	1222588.0
Bengtsson-PalmeJ_2015__TRAVELRES53__bin.75	1566088.0	1665469.0	1875320.0	2226322.0	1900551.0	1495595.0	1918871.0	1450317.0	1483578.0	2008644.0	1363186.0	1599323.0	1726341.0	1891611.0	1845212.0	1835498.0	1692129.0	2051652.0	1884723.0	1002680.0	1444396.0	1106105.0	1577583.0	1549739.0	1490946.0	1410029.0	1835761.0	1948656.0	1680754.0	1973365.0	1218948.0	1956774.0	1429994.0	1475918.0	1652613.0	2055983.0	1200525.0	2011964.0	1287257.0	1981041.0	2111846.0	2024917.0	1518706.0	1887364.0	1830570.0	1977089.0	1826344.0	1300308.0
CosteaPI_2017__SID713A052-11-90-0__bin.22	1498835.0	1590575.0	1770605.0	1900551.0	2237956.0	1404237.0	1834817.0	1401634.0	1412268.0	1895291.0	1282714.0	1481855.0	1669905.0	1798999.0	1741025.0	1744526.0	1603352.0	1932880.0	1818404.0	965104.0	1388687.0	1078836.0	1521854.0	1443861.0	1444950.0	1362759.0	1768949.0	1860469.0	1594286.0	1843143.0	1175214.0	1862046.0	1376359.0	1418972.0	1590525.0	1940273.0	1143410.0	1901526.0	1199391.0	1903270.0	1980056.0	1907216.0	1473364.0	1815073.0	1744249.0	1862471.0	1745800.0	1221113.0
BackhedF_2015__SID532_M__bin.11	1157932.0	1231333.0	1442081.0	1495595.0	1404237.0	1697683.0	1448297.0	1192958.0	1107404.0	1451987.0	1124326.0	1132293.0	1268346.0	1396320.0	1411325.0	1349158.0	1295680.0	1513939.0	1383253.0	770405.0	1173228.0	860797.0	1185888.0	1176070.0	1135378.0	1107233.0	1450325.0	1457976.0	1287822.0	1467220.0	906666.0	1450937.0	1106560.0	1108593.0	1235634.0	1503542.0	945727.0	1485928.0	1030959.0	1468794.0	1543800.0	1495607.0	1175844.0	1400320.0	1362891.0	1478291.0	1426442.0	1029736.0
NielsenHB_2014__V1_UC35_4__bin.75	1508528.0	1604892.0	1830571.0	1918871.0	1834817.0	1448297.0	2159690.0	1436247.0	1401309.0	1936580.0	1342931.0	1488017.0	1688263.0	1841405.0	1789903.0	1793164.0	1631110.0	1950742.0	1847719.0	992237.0	1436521.0	1089106.0	1529883.0	1491473.0	1467923.0	1380209.0	1784986.0	1870965.0	1605854.0	1866336.0	1192163.0	1911260.0	1392417.0	1427603.0	1626264.0	1986071.0	1170430.0	1926312.0	1259288.0	1934491.0	2034006.0	1974604.0	1508307.0	1831065.0	1779388.0	1903672.0	1775061.0	1233079.0
NielsenHB_2014__O2_UC49_2__bin.47	1148117.0	1231689.0	1394481.0	1450317.0	1401634.0	1192958.0	1436247.0	1567090.0	1072724.0	1440905.0	1090485.0	1101710.0	1273590.0	1385652.0	1362568.0	1315648.0	1245729.0	1442928.0	1347510.0	754777.0	1154345.0	862843.0	1176577.0	1134976.0	1127922.0	1085480.0	1392907.0	1397060.0	1225515.0	1395667.0	899698.0	1435151.0	1100566.0	1091893.0	1236293.0	1467733.0	944580.0	1455761.0	999010.0	1443008.0	1484371.0	1445302.0	1136835.0	1365883.0	1334589.0	1418962.0	1363322.0	993227.0
XieH_2016__YSZC12003_37264__bin.57	1189933.0	1280875.0	1349728.0	1483578.0	1412268.0	1107404.0	1401309.0	1072724.0	1657272.0	1458317.0	1043467.0	1041981.0	1295165.0	1407710.0	1345405.0	1365337.0	1259608.0	1484716.0	1415758.0	792253.0	1072894.0	875666.0	1242278.0	1117247.0	1160570.0	1084950.0	1375763.0	1454494.0	1278477.0	1442461.0	966995.0	1451712.0	1136796.0	1149204.0	1251116.0	1495364.0	921794.0	1471106.0	980424.0	1464483.0	1510643.0	1460225.0	1168723.0	1431658.0	1371695.0	1435031.0	1324909.0	968785.0
CosteaPI_2017__SID713B026-11-0-0__bin.2	1519552.0	1638906.0	1875800.0	2008644.0	1895291.0	1451987.0	1936580.0	1440905.0	1458317.0	2308164.0	1309074.0	1603252.0	1739237.0	1892125.0	1807261.0	1838144.0	1679092.0	2055171.0	1948859.0	991576.0	1471667.0	1081004.0	1584433.0	1529717.0	1481135.0	1408476.0	1802945.0	1925713.0	1641989.0	1968997.0	1213048.0	1958690.0	1438080.0	1443265.0	1627976.0	2064745.0	1169933.0	1980270.0	1266983.0	1987881.0	2110205.0	2021671.0	1488815.0	1870351.0	1821842.0	1934856.0	1806686.0	1246925.0
