	XieH_2016__YSZC12003_37270__bin.2	XieH_2016__YSZC12003_36033__bin.55	LeChatelierE_2013__MH0305__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.75	CosteaPI_2017__SID713A052-11-90-0__bin.22	BackhedF_2015__SID532_M__bin.11	NielsenHB_2014__V1_UC35_4__bin.75	NielsenHB_2014__O2_UC49_2__bin.47	XieH_2016__YSZC12003_37264__bin.57	CosteaPI_2017__SID713B026-11-0-0__bin.2	NielsenHB_2014__O2_UC21_2__bin.29	XieH_2016__YSZC12003_37172__bin.8	CosteaPI_2017__halbarad-11-2-0__bin.19	CosteaPI_2017__halbarad-11-0-0__bin.24	BackhedF_2015__SID377_M__bin.5	RaymondF_2016__P12E0__bin.20	ZellerG_2014__CCMD25511638ST-21-0__bin.46	XieH_2016__YSZC12003_37138__bin.8	RaymondF_2016__P23C0__bin.13	XieH_2016__YSZC12003_37348__bin.40	LeChatelierE_2013__MH0440__bin.36	Obregon-TitoAJ_2015__NO21__bin.26	LiJ_2014__V1.FI15__bin.3	HeQ_2017__RSZAXPI003077-109__bin.50	XieH_2016__YSZC12003_37255__bin.85	CosteaPI_2017__SID713B032-11-0-0__bin.61	LeChatelierE_2013__MH0203__bin.118	RaymondF_2016__P22E0__bin.15	XieH_2016__YSZC12003_37308R1__bin.82	CosteaPI_2017__pluto2-11-30-0__bin.1	HeQ_2017__RSZAXPI003105-143__bin.51	KarlssonFH_2013__S312__bin.7	ZellerG_2014__CCMD13934959ST-21-0__bin.7	XieH_2016__YSZC12003_36052__bin.73	XieH_2016__YSZC12003_36694__bin.98	QinN_2014__LD-35__bin.32	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.66	ChengpingW_2017__AS38raw__bin.1	CosteaPI_2017__mickey2-11-7-0__bin.54	ZellerG_2014__MMPU68403337ST__bin.4	LoombaR_2017__SID5639_uuc__bin.14	NielsenHB_2014__V1_UC5_3__bin.31	FengQ_2015__SID530373__bin.60	RaymondF_2016__P22E90__bin.67	CosteaPI_2017__halbarad-11-7-0__bin.51	LiJ_2014__V1.FI17__bin.17	LeChatelierE_2013__MH0456__bin.69	ZellerG_2014__CCMD19497912ST-21-0__bin.24
XieH_2016__YSZC12003_37270__bin.2	1.0	0.786277535999609	0.848124204105116	0.9110581467931217	0.8719342958050049	0.6736169244847371	0.8775731147071776	0.6679071331379071	0.6922332294149369	0.8839862313457364	0.6506457038110458	0.6660350894747283	0.8040264645774784	0.8759867060466777	0.8459071878215939	0.8481817964987315	0.7862350688810845	0.9169919085595677	0.8637323245162675	0.47834496912989527	0.6669385337907372	0.5450741923830278	0.7387707921630132	0.6988022527352024	0.7148914732425158	0.6646040057545854	0.8528927379482099	0.8764683878841892	0.7895777546761824	0.883385874272896	0.5928369024134703	0.9000172777180846	0.674226589419172	0.7098629010161276	0.8076448957723111	0.9384348947077245	0.5635334271488217	0.9155491900124318	0.5973070029441929	0.9204422165043511	0.9487381157514033	0.9134153627419098	0.7225954739359515	0.8590365083418801	0.8490776781771949	0.9049591704833747	0.8393178035540906	0.604703262463663
XieH_2016__YSZC12003_36033__bin.55	0.7074184588184125	1.0	0.7964319043399478	0.8716999223803634	0.8325006974252578	0.6444748479403579	0.8399941588999053	0.6446611769397974	0.6704049358342593	0.8577969526834255	0.600571862541538	0.6484987168945446	0.7740797519521365	0.8396879722013881	0.7920536962491868	0.8083841768994959	0.7482260798838479	0.8843692475501138	0.831570622616258	0.46851275437703044	0.6370761211536278	0.5043952184629009	0.7106902076259853	0.6635248945487776	0.6825147506096255	0.6382234053299515	0.8125760559908175	0.8506363711066529	0.7569605134306048	0.8448324321325407	0.5567274975020923	0.862568754615699	0.6656938478456232	0.6638384087922165	0.7370201701141893	0.8897638908007384	0.5398526849433084	0.8677692179258966	0.5783793459538082	0.8765832076746612	0.9033669545519494	0.8740211839323688	0.6856525100243431	0.827663470984754	0.8080847943498348	0.8534773649520386	0.79310415215333	0.5615212820691312
LeChatelierE_2013__MH0305__bin.5	0.6986561264064476	0.7292092073287907	1.0	0.8986888091362127	0.84850740081726	0.6910724871317742	0.8772442420649734	0.668261666943815	0.6468151829969296	0.8989188342137383	0.6347153847001695	0.7109073578792454	0.7650212365860637	0.8332816575607086	0.847509187824581	0.8119099317640192	0.7598049387342583	0.9143760402045498	0.8382827861212453	0.45034693053098895	0.6892984187213577	0.4998761219113742	0.7063044602341751	0.7101506712179684	0.6718759359744365	0.6388639828171268	0.8311333191804015	0.8621632229196987	0.7460566273818977	0.8730108222006787	0.5401621389265209	0.8784216829305578	0.6462957096968509	0.6586686627731727	0.742988188691488	0.9212135356339994	0.565170657042673	0.896699092215616	0.5872252697882667	0.8782108266094927	0.9368149865171759	0.9146261924763589	0.6834370922146575	0.8363357196837731	0.814434456989863	0.877166129382397	0.8416200666210131	0.5858872905873259
Bengtsson-PalmeJ_2015__TRAVELRES53__bin.75	0.7034418201859389	0.748080915518959	0.8423399669948911	1.0	0.8536730086663116	0.6717783860555661	0.8619018273187796	0.6514408068554324	0.666380694257165	0.9022252845724922	0.6123040602392645	0.7183700291332521	0.7754228723428147	0.8496574170313189	0.8288163167771778	0.8244530665375449	0.7600558230121249	0.9215432448675439	0.8465635249528145	0.450375102972526	0.6487812634470665	0.4968306471390931	0.7086050445533036	0.6960983182127294	0.6696901885711052	0.6333445925611839	0.8245711985957108	0.8752803951988976	0.7549464992036192	0.8863789694392815	0.547516486833441	0.8789267680057062	0.6423122980413435	0.6629400419166679	0.742306368979869	0.9234886058710285	0.539241403534619	0.9037165333675902	0.5781989307925808	0.8898268085209596	0.9485806635338464	0.9095346495250911	0.6821591845204782	0.8477497864190355	0.8222395502537369	0.8880516834492046	0.8203413522392538	0.5840610657398166
CosteaPI_2017__SID713A052-11-90-0__bin.22	0.6697339000409303	0.7107266630800606	0.7911706038903357	0.8492351949725553	1.0	0.6274640788290744	0.8198628569998695	0.626300963915287	0.6310526212311591	0.8468848359842642	0.5731631899822874	0.6621466195045836	0.7461741875175383	0.803858074064012	0.7779531858535199	0.7795175597732932	0.716435890607322	0.8636809660243544	0.8125289326510441	0.4312435097026036	0.6205157742154002	0.4820630968616005	0.6800196250507159	0.6451695207591213	0.6456561255002332	0.6089302023811013	0.7904306429617025	0.8313251020127295	0.7123848726248416	0.8235832161132748	0.525128286704475	0.8320297628729072	0.6150071761911315	0.6340482118504563	0.7107043212645825	0.8669844268609391	0.5109171047151955	0.8496708603743773	0.5359314481607323	0.8504501428982518	0.8847609157642062	0.8522133589757797	0.6583525324001008	0.8110405209038962	0.7793937861155448	0.8322196683044707	0.7800868292316739	0.5456376264770174
BackhedF_2015__SID532_M__bin.11	0.6820660865426584	0.7253020734730806	0.8494406788546507	0.8809624647239797	0.8271491203010221	1.0	0.8531021397987728	0.702697735678569	0.6523031684949429	0.8552756904557565	0.6622708715349096	0.6669637382243917	0.7471041413502992	0.8224857055174611	0.8313242224844096	0.7947054897763599	0.7632049092792942	0.8917677799683451	0.8147887444240179	0.4537979116242549	0.6910760136020683	0.5070422452248152	0.698533236181313	0.6927500599346286	0.668780920819729	0.6522024429766924	0.8542967091029362	0.8588034397469964	0.7585762477447203	0.8642485081137056	0.5340608346787946	0.8546572004314115	0.6518060203229932	0.6530035348177486	0.7278355264204213	0.8856435506510932	0.5570692526225449	0.8752682332331773	0.6072741495320386	0.8651756541121045	0.9093570472225969	0.8809695331814008	0.6926169373198647	0.8248418579911562	0.8027947502566734	0.8707697491227749	0.8402287117206215	0.6065537559132064
NielsenHB_2014__V1_UC35_4__bin.75	0.6984928392500775	0.743112205918442	0.8476082215503151	0.8884937190059684	0.84957424445175	0.6706041144793928	1.0	0.6650246100134741	0.6488472882682237	0.8966935069384958	0.6218165570058666	0.688995642893193	0.7817154313813557	0.8526246822460631	0.8287777412499016	0.8302876801763216	0.7552519111539157	0.9032509295315532	0.8555482499803212	0.4594349189003977	0.6651514800735291	0.5042881154239729	0.7083808324342845	0.6905958725557835	0.6796915298028884	0.6390773675851626	0.826501025610157	0.8663118317906736	0.743557640216883	0.8641684686228116	0.5520065379753576	0.8849696021188226	0.6447300306988503	0.661022183739333	0.7530080706027253	0.9196092957785608	0.5419435196718048	0.8919391208923503	0.5830873875417305	0.8957262384879311	0.9418046108469271	0.914299737462321	0.6983905097490843	0.8478369580819469	0.8239089869379401	0.8814561349082507	0.8219054586537883	0.5709518495710032
NielsenHB_2014__O2_UC49_2__bin.47	0.7326426688958515	0.7859720883931364	0.8898538054610775	0.9254841776796483	0.8944183167527072	0.761256851871941	0.916505752700866	1.0	0.6845324773944061	0.9194781410129603	0.6958662233821925	0.7030291814764946	0.8127101825676891	0.8842197959274835	0.8694893082082076	0.8395484624367459	0.7949313696086376	0.9207690687835415	0.8598804152920381	0.48164240726442004	0.7366169141529842	0.550602071355187	0.75080371899508	0.7242570624533371	0.7197557255805346	0.6926724055414814	0.8888493960142685	0.8914995309777997	0.7820323019099095	0.8906106222361192	0.574120184545878	0.9158063672156672	0.7022991659700464	0.6967647040055134	0.788910017931325	0.9365977703897032	0.6027605306651181	0.9289581325897045	0.6374936985112534	0.9208201188189574	0.9472149015053379	0.9222839785845102	0.7254433376513155	0.8716046940507565	0.8516351964469175	0.9054757544238047	0.869970454792003	0.633803419076122
XieH_2016__YSZC12003_37264__bin.57	0.7180070622082555	0.7728815788838524	0.8144275653000835	0.8951928229041461	0.852164279611313	0.6682089602672343	0.8455516052886913	0.6472830048416917	1.0	0.8799503038728705	0.6296292944067118	0.6287326401459749	0.7815041827774801	0.8494139767038844	0.8118190616869169	0.8238460554453343	0.7600490444537771	0.895879493529125	0.8542701499814153	0.4780464522419977	0.647385583054562	0.5283779608899445	0.7495921007535274	0.6741482387924251	0.7002893912405447	0.6546601885508233	0.830137116900545	0.877643500885793	0.771434622681129	0.8703827736183318	0.5834859938501344	0.8759648386022331	0.6859441298712583	0.6934311326082864	0.7549249610202791	0.9023045100623193	0.556211653850424	0.8876672024869786	0.5915890692656366	0.8836708759938019	0.9115238777943512	0.8811015934620268	0.7052089216495542	0.8638642298910498	0.8276824806066837	0.8658995023146472	0.7994517496222708	0.5845660820915336
CosteaPI_2017__SID713B026-11-0-0__bin.2	0.658337969052459	0.7100474662978887	0.8126805547612734	0.8702345240632815	0.821124928731234	0.629065785620086	0.8390131723742333	0.6242645669891741	0.6318082250654633	1.0	0.5671494746473821	0.6946005569794867	0.753515348129509	0.8197532757637672	0.7829863909150303	0.7963662893971138	0.727457840950643	0.8903921038539723	0.8443329850045317	0.42959512408996936	0.6375920428531074	0.4683393381059578	0.6864473235004098	0.6627419022218525	0.6416940044121648	0.6102148720801468	0.7811165064527478	0.8343051013706132	0.7113831599487731	0.8530576683459234	0.5255467115854853	0.8485922144180397	0.6230406504910396	0.6252870246654917	0.7053121008732481	0.8945399893595083	0.506867362977674	0.8579416367294525	0.548913768692346	0.8612390627355768	0.9142352969719656	0.8758784037875992	0.6450213243079781	0.8103198039654028	0.7893035330245165	0.8382662583767878	0.7827372751676224	0.5402237449332024
