	XieH_2016__YSZC12003_37270__bin.2	XieH_2016__YSZC12003_36033__bin.55	LeChatelierE_2013__MH0305__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.75	CosteaPI_2017__SID713A052-11-90-0__bin.22	BackhedF_2015__SID532_M__bin.11	NielsenHB_2014__V1_UC35_4__bin.75	NielsenHB_2014__O2_UC49_2__bin.47	XieH_2016__YSZC12003_37264__bin.57	CosteaPI_2017__SID713B026-11-0-0__bin.2	NielsenHB_2014__O2_UC21_2__bin.29	XieH_2016__YSZC12003_37172__bin.8	CosteaPI_2017__halbarad-11-2-0__bin.19	CosteaPI_2017__halbarad-11-0-0__bin.24	BackhedF_2015__SID377_M__bin.5	RaymondF_2016__P12E0__bin.20	ZellerG_2014__CCMD25511638ST-21-0__bin.46	XieH_2016__YSZC12003_37138__bin.8	RaymondF_2016__P23C0__bin.13	XieH_2016__YSZC12003_37348__bin.40	LeChatelierE_2013__MH0440__bin.36	Obregon-TitoAJ_2015__NO21__bin.26	LiJ_2014__V1.FI15__bin.3	HeQ_2017__RSZAXPI003077-109__bin.50	XieH_2016__YSZC12003_37255__bin.85	CosteaPI_2017__SID713B032-11-0-0__bin.61	LeChatelierE_2013__MH0203__bin.118	RaymondF_2016__P22E0__bin.15	XieH_2016__YSZC12003_37308R1__bin.82	CosteaPI_2017__pluto2-11-30-0__bin.1	HeQ_2017__RSZAXPI003105-143__bin.51	KarlssonFH_2013__S312__bin.7	ZellerG_2014__CCMD13934959ST-21-0__bin.7	XieH_2016__YSZC12003_36052__bin.73	XieH_2016__YSZC12003_36694__bin.98	QinN_2014__LD-35__bin.32	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.66	ChengpingW_2017__AS38raw__bin.1	CosteaPI_2017__mickey2-11-7-0__bin.54	ZellerG_2014__MMPU68403337ST__bin.4	LoombaR_2017__SID5639_uuc__bin.14	NielsenHB_2014__V1_UC5_3__bin.31	FengQ_2015__SID530373__bin.60	RaymondF_2016__P22E90__bin.67	CosteaPI_2017__halbarad-11-7-0__bin.51	LiJ_2014__V1.FI17__bin.17	LeChatelierE_2013__MH0456__bin.69	ZellerG_2014__CCMD19497912ST-21-0__bin.24
XieH_2016__YSZC12003_37270__bin.2	0.0	28642.0	31096.0	31905.0	31405.0	25310.0	30037.0	24638.0	24736.0	32503.0	23204.0	24556.0	28562.0	31186.0	29413.0	31251.0	29516.0	33164.0	31844.0	18770.0	25371.0	16195.0	27658.0	27584.0	26161.0	24121.0	32203.0	33218.0	28729.0	32676.0	22020.0	38087.0	25487.0	25057.0	23594.0	41428.0	21292.0	33143.0	22387.0	32727.0	33956.0	32595.0	26035.0	32436.0	29623.0	31689.0	29907.0	22548.0
XieH_2016__YSZC12003_36033__bin.55	28642.0	0.0	35009.0	36983.0	36215.0	30058.0	36275.0	28160.0	29471.0	37471.0	26105.0	28449.0	33489.0	36226.0	34271.0	35710.0	32060.0	36303.0	36973.0	20649.0	29173.0	17492.0	32238.0	30500.0	28354.0	27623.0	34961.0	36451.0	33147.0	36955.0	24107.0	42605.0	29859.0	28122.0	31391.0	47573.0	24727.0	38196.0	25282.0	38285.0	39731.0	38684.0	30182.0	35159.0	34332.0	36203.0	33853.0	25124.0
LeChatelierE_2013__MH0305__bin.5	31096.0	35009.0	0.0	39216.0	38542.0	32973.0	39590.0	30629.0	29274.0	40124.0	26565.0	34247.0	33705.0	36739.0	38005.0	37094.0	36940.0	43281.0	38624.0	22295.0	32890.0	18269.0	31662.0	34758.0	31754.0	29319.0	39758.0	41403.0	34265.0	39812.0	24700.0	44861.0	30717.0	29419.0	33045.0	48527.0	16180.0	39821.0	27336.0	38718.0	42284.0	40546.0	31261.0	39720.0	35466.0	38031.0	38312.0	27827.0
Bengtsson-PalmeJ_2015__TRAVELRES53__bin.75	31905.0	36983.0	39216.0	0.0	40698.0	33640.0	41501.0	31810.0	32511.0	44568.0	28083.0	35184.0	35392.0	38983.0	38223.0	41071.0	38214.0	44748.0	41441.0	23362.0	32517.0	19565.0	34817.0	36179.0	32221.0	30960.0	40971.0	44421.0	36502.0	43427.0	26773.0	48823.0	31896.0	31175.0	34784.0	53270.0	26502.0	44505.0	27815.0	41101.0	46926.0	43510.0	32675.0	42334.0	36902.0	40271.0	39090.0	29293.0
CosteaPI_2017__SID713A052-11-90-0__bin.22	31405.0	36215.0	38542.0	40698.0	0.0	32082.0	39328.0	31811.0	31551.0	40639.0	27581.0	33761.0	35373.0	38074.0	37635.0	38149.0	36997.0	42466.0	39947.0	23251.0	31864.0	19175.0	34892.0	33742.0	33574.0	30871.0	41591.0	44164.0	35169.0	41078.0	25980.0	46745.0	31568.0	31355.0	34262.0	50342.0	25336.0	41839.0	26997.0	40386.0	43366.0	41182.0	32472.0	42939.0	37103.0	38758.0	38858.0	28109.0
BackhedF_2015__SID532_M__bin.11	25310.0	30058.0	32973.0	33640.0	32082.0	0.0	33395.0	26706.0	25530.0	34193.0	24620.0	27597.0	29697.0	32591.0	31318.0	31747.0	31529.0	35453.0	33584.0	19415.0	28908.0	16388.0	27200.0	28618.0	27315.0	27573.0	35368.0	35183.0	30273.0	33350.0	21661.0	38509.0	27213.0	25854.0	28502.0	40640.0	22381.0	34204.0	25682.0	34183.0	36400.0	35322.0	27141.0	33646.0	31218.0	32955.0	33388.0	24496.0
NielsenHB_2014__V1_UC35_4__bin.75	30037.0	36275.0	39590.0	41501.0	39328.0	33395.0	0.0	32231.0	29874.0	43430.0	28327.0	34740.0	36061.0	39644.0	37473.0	39795.0	37980.0	43750.0	42356.0	23182.0	33159.0	19029.0	34439.0	36328.0	32810.0	31039.0	41508.0	43763.0	35627.0	41673.0	25883.0	49013.0	32239.0	30902.0	34680.0	52832.0	27078.0	42958.0	28411.0	41449.0	45884.0	44379.0	31409.0	42310.0	37996.0	40086.0	39367.0	27759.0
NielsenHB_2014__O2_UC49_2__bin.47	24638.0	28160.0	30629.0	31810.0	31811.0	26706.0	32231.0	0.0	23962.0	32136.0	24276.0	25175.0	27766.0	30383.0	31156.0	29982.0	28314.0	31048.0	31314.0	18084.0	26652.0	15947.0	27103.0	26916.0	25876.0	24570.0	32243.0	31293.0	27906.0	30811.0	21099.0	36072.0	25789.0	24868.0	27986.0	37622.0	22459.0	33577.0	23588.0	31753.0	32970.0	32819.0	26145.0	30334.0	29286.0	31429.0	30036.0	23530.0
XieH_2016__YSZC12003_37264__bin.57	24736.0	29471.0	29274.0	32511.0	31551.0	25530.0	29874.0	23962.0	0.0	32936.0	22595.0	24101.0	27924.0	30381.0	28732.0	30591.0	29330.0	33386.0	32315.0	18891.0	24942.0	16054.0	27500.0	26361.0	27148.0	24523.0	32237.0	34339.0	28175.0	31753.0	21463.0	36775.0	26504.0	25462.0	26574.0	38998.0	21296.0	33254.0	22047.0	31944.0	33093.0	31763.0	25723.0	33703.0	29186.0	30382.0	29000.0	21754.0
CosteaPI_2017__SID713B026-11-0-0__bin.2	32503.0	37471.0	40124.0	44568.0	40639.0	34193.0	43430.0	32136.0	32936.0	0.0	27801.0	39262.0	37393.0	40458.0	40373.0	41078.0	39019.0	47210.0	44564.0	24352.0	34547.0	19224.0	36722.0	37206.0	33339.0	32041.0	42500.0	45801.0	38107.0	44112.0	26400.0	49774.0	34236.0	31827.0	35438.0	54335.0	26719.0	43958.0	28944.0	42070.0	47415.0	45028.0	33573.0	43498.0	38406.0	40802.0	40583.0	28600.0
