	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.143	ZeeviD_2015__PNP_Main_481__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.105	ZeeviD_2015__PNP_Main_415__bin.82	FengQ_2015__SID530623__bin.43	KarlssonFH_2013__S54__bin.3	ZeeviD_2015__PNP_Main_470__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.35	ZellerG_2014__CCMD42428553ST-21-0__bin.23	ZeeviD_2015__PNP_Main_97__bin.31	SchirmerM_2016__G88838__bin.26	XieH_2016__YSZC12003_35837__bin.7	ZeeviD_2015__PNP_Main_38__bin.43	QinN_2014__HD-35__bin.31	ZellerG_2014__CCIS81139242ST-4-0__bin.51	YuJ_2015__SZAXPI015235-21__bin.73	VogtmannE_2016__MMRS11932626ST-27-0-0__bin.20	ZeeviD_2015__PNP_Main_39__bin.62	ZeeviD_2015__PNP_Main_133__bin.53	ZeeviD_2015__PNP_Main_231__bin.42	XieH_2016__YSZC12003_35520__bin.27	QinN_2014__HD-36__bin.36	HeQ_2017__SZAXPI029490-88__bin.96	KarlssonFH_2013__S77__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES35__bin.40	FengQ_2015__SID31874__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES65__bin.58	VogtmannE_2016__MMRS66868025ST-27-0-0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.27	QinN_2014__HD-47__bin.27	ZellerG_2014__CCIS90443472ST-4-0__bin.5	YuJ_2015__SZAXPI017591-140__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.45	YuJ_2015__SZAXPI015222-123__bin.14
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.101	0.0	33166.0	45414.0	33208.0	23454.0	40723.0	31622.0	27076.0	35303.0	32867.0	23765.0	36052.0	44157.0	36838.0	50915.0	22349.0	35354.0	12597.0	26845.0	39130.0	43158.0	15338.0	32020.0	21397.0	22478.0	25867.0	32777.0	27128.0	22838.0	31842.0	125.0	17649.0	36859.0	47952.0	33382.0	23391.0
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.143	33166.0	0.0	44152.0	31026.0	34712.0	37921.0	31729.0	24453.0	29181.0	30671.0	20038.0	29928.0	44738.0	28442.0	48041.0	28455.0	29212.0	16769.0	22615.0	37514.0	39802.0	21030.0	29918.0	29749.0	31127.0	27744.0	30713.0	21228.0	32273.0	24184.0	26453.0	22302.0	29662.0	47588.0	73.0	33336.0
ZeeviD_2015__PNP_Main_481__bin.39	45414.0	44152.0	0.0	45986.0	46799.0	36161.0	45303.0	43495.0	44496.0	45612.0	28826.0	42161.0	36070.0	47046.0	43590.0	41572.0	45113.0	22937.0	40503.0	33671.0	40977.0	32180.0	44913.0	42821.0	43399.0	40288.0	45750.0	34842.0	46810.0	41183.0	40326.0	33553.0	45917.0	44466.0	44599.0	45287.0
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.41	33208.0	31026.0	45986.0	0.0	31029.0	39330.0	11629.0	26485.0	28421.0	45.0	23346.0	34222.0	42559.0	26554.0	49181.0	28881.0	29160.0	17235.0	24975.0	37825.0	42132.0	22111.0	20450.0	30535.0	30141.0	27376.0	13.0	20532.0	31041.0	24986.0	27368.0	22228.0	28749.0	48126.0	31390.0	30460.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.105	23454.0	34712.0	46799.0	31029.0	0.0	42228.0	30637.0	26106.0	35400.0	30757.0	23512.0	38182.0	48053.0	36028.0	51826.0	19660.0	36450.0	12697.0	23489.0	38703.0	44924.0	14297.0	29944.0	19590.0	21901.0	25226.0	30651.0	26462.0	195.0	30300.0	18070.0	16401.0	37758.0	49303.0	34377.0	25431.0
ZeeviD_2015__PNP_Main_415__bin.82	40723.0	37921.0	36161.0	39330.0	42228.0	0.0	41933.0	36257.0	39660.0	39140.0	23584.0	39827.0	35906.0	40396.0	40991.0	36249.0	40751.0	22519.0	34243.0	33081.0	22534.0	28693.0	39957.0	37229.0	38278.0	36802.0	39370.0	30628.0	39854.0	36674.0	32124.0	29027.0	42111.0	39914.0	38607.0	40976.0
FengQ_2015__SID530623__bin.43	31622.0	31729.0	45303.0	11629.0	30637.0	41933.0	0.0	25209.0	28198.0	11709.0	22656.0	34034.0	45463.0	25685.0	49600.0	27475.0	28672.0	16833.0	24113.0	37949.0	41691.0	20853.0	17982.0	30349.0	28102.0	26219.0	11644.0	18912.0	28957.0	23801.0	25017.0	20510.0	27531.0	48607.0	31928.0	31031.0
KarlssonFH_2013__S54__bin.3	27076.0	24453.0	43495.0	26485.0	26106.0	36257.0	25209.0	0.0	27988.0	26433.0	22124.0	24485.0	38948.0	28922.0	44275.0	24480.0	28293.0	13171.0	18486.0	34636.0	38430.0	18418.0	26699.0	25153.0	25364.0	21899.0	26452.0	22677.0	26265.0	24340.0	23816.0	18212.0	29314.0	42170.0	24458.0	25981.0
ZeeviD_2015__PNP_Main_470__bin.24	35303.0	29181.0	44496.0	28421.0	35400.0	39660.0	28198.0	27988.0	0.0	28128.0	22285.0	33651.0	44521.0	24281.0	48232.0	30279.0	24909.0	16221.0	26792.0	37525.0	41468.0	23065.0	27887.0	30521.0	31453.0	30217.0	28079.0	16783.0	33103.0	21993.0	28949.0	23583.0	24763.0	48663.0	29579.0	35087.0
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.35	32867.0	30671.0	45612.0	45.0	30757.0	39140.0	11709.0	26433.0	28128.0	0.0	23102.0	33668.0	42511.0	26610.0	48655.0	28733.0	29159.0	16909.0	24684.0	37530.0	41941.0	21726.0	20327.0	30306.0	29913.0	27100.0	91.0	20360.0	30757.0	24771.0	26876.0	21968.0	28658.0	47698.0	31002.0	30348.0
ZellerG_2014__CCMD42428553ST-21-0__bin.23	23765.0	20038.0	28826.0	23346.0	23512.0	23584.0	22656.0	22124.0	22285.0	23102.0	0.0	23277.0	26786.0	22746.0	29386.0	20702.0	22073.0	14919.0	20747.0	22156.0	25664.0	16109.0	24323.0	23102.0	23111.0	20853.0	23235.0	18387.0	23862.0	20286.0	23212.0	16853.0	22311.0	28519.0	20149.0	22822.0
ZeeviD_2015__PNP_Main_97__bin.31	36052.0	29928.0	42161.0	34222.0	38182.0	39827.0	34034.0	24485.0	33651.0	33668.0	23277.0	0.0	43923.0	34746.0	45544.0	31798.0	35144.0	18944.0	25697.0	35216.0	42924.0	23949.0	33081.0	32059.0	32908.0	31712.0	33929.0	25152.0	36207.0	29337.0	27693.0	24515.0	35948.0	45386.0	30218.0	37760.0
SchirmerM_2016__G88838__bin.26	44157.0	44738.0	36070.0	42559.0	48053.0	35906.0	45463.0	38948.0	44521.0	42511.0	26786.0	43923.0	0.0	44462.0	42400.0	39839.0	46266.0	25929.0	37562.0	31911.0	40749.0	29773.0	42723.0	39123.0	42487.0	39813.0	42532.0	33883.0	43982.0	39736.0	33358.0	31656.0	47737.0	43414.0	44954.0	46863.0
XieH_2016__YSZC12003_35837__bin.7	36838.0	28442.0	47046.0	26554.0	36028.0	40396.0	25685.0	28922.0	24281.0	26610.0	22746.0	34746.0	44462.0	0.0	51068.0	31413.0	22205.0	19775.0	27855.0	38497.0	42309.0	24965.0	24054.0	33259.0	32823.0	30054.0	26224.0	9547.0	35659.0	19338.0	29685.0	24068.0	7168.0	48320.0	28602.0	35121.0
ZeeviD_2015__PNP_Main_38__bin.43	50915.0	48041.0	43590.0	49181.0	51826.0	40991.0	49600.0	44275.0	48232.0	48655.0	29386.0	45544.0	42400.0	51068.0	0.0	43990.0	50446.0	28586.0	41599.0	295.0	46480.0	34430.0	47669.0	45884.0	46213.0	42370.0	49037.0	37382.0	50946.0	43093.0	40408.0	36007.0	50497.0	46483.0	48810.0	49673.0
QinN_2014__HD-35__bin.31	22349.0	28455.0	41572.0	28881.0	19660.0	36249.0	27475.0	24480.0	30279.0	28733.0	20702.0	31798.0	39839.0	31413.0	43990.0	0.0	31301.0	12969.0	22140.0	35639.0	38384.0	15117.0	28116.0	19305.0	21251.0	24043.0	28534.0	24081.0	19147.0	28488.0	17975.0	17023.0	32388.0	42494.0	28630.0	20322.0
ZellerG_2014__CCIS81139242ST-4-0__bin.51	35354.0	29212.0	45113.0	29160.0	36450.0	40751.0	28672.0	28293.0	24909.0	29159.0	22073.0	35144.0	46266.0	22205.0	50446.0	31301.0	0.0	18280.0	26447.0	39257.0	40872.0	24516.0	27299.0	32323.0	32207.0	31260.0	28818.0	15623.0	35085.0	18880.0	27757.0	24308.0	21203.0	50477.0	29475.0	35048.0
YuJ_2015__SZAXPI015235-21__bin.73	12597.0	16769.0	22937.0	17235.0	12697.0	22519.0	16833.0	13171.0	16221.0	16909.0	14919.0	18944.0	25929.0	19775.0	28586.0	12969.0	18280.0	0.0	15368.0	21051.0	23645.0	8090.0	17142.0	10758.0	12184.0	13225.0	17189.0	14898.0	12386.0	16182.0	8125.0	10080.0	19692.0	24992.0	17117.0	13683.0
VogtmannE_2016__MMRS11932626ST-27-0-0__bin.20	26845.0	22615.0	40503.0	24975.0	23489.0	34243.0	24113.0	18486.0	26792.0	24684.0	20747.0	25697.0	37562.0	27855.0	41599.0	22140.0	26447.0	15368.0	0.0	32910.0	36450.0	17198.0	23768.0	24532.0	23171.0	22546.0	24867.0	20928.0	23698.0	22041.0	21518.0	17732.0	27179.0	39317.0	22758.0	24573.0
ZeeviD_2015__PNP_Main_39__bin.62	39130.0	37514.0	33671.0	37825.0	38703.0	33081.0	37949.0	34636.0	37525.0	37530.0	22156.0	35216.0	31911.0	38497.0	295.0	35639.0	39257.0	21051.0	32910.0	0.0	35574.0	28588.0	38019.0	36308.0	36439.0	34035.0	37755.0	30564.0	38253.0	34973.0	30737.0	30261.0	38655.0	36771.0	37980.0	37450.0
ZeeviD_2015__PNP_Main_133__bin.53	43158.0	39802.0	40977.0	42132.0	44924.0	22534.0	41691.0	38430.0	41468.0	41941.0	25664.0	42924.0	40749.0	42309.0	46480.0	38384.0	40872.0	23645.0	36450.0	35574.0	0.0	30518.0	42263.0	39964.0	42273.0	38975.0	41887.0	31266.0	44930.0	37050.0	35924.0	30944.0	41765.0	44476.0	40350.0	42958.0
ZeeviD_2015__PNP_Main_231__bin.42	15338.0	21030.0	32180.0	22111.0	14297.0	28693.0	20853.0	18418.0	23065.0	21726.0	16109.0	23949.0	29773.0	24965.0	34430.0	15117.0	24516.0	8090.0	17198.0	28588.0	30518.0	0.0	21740.0	15880.0	15210.0	17836.0	22088.0	20072.0	14583.0	21877.0	12600.0	11933.0	25140.0	32303.0	21119.0	15714.0
