	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.143	ZeeviD_2015__PNP_Main_481__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.105	ZeeviD_2015__PNP_Main_415__bin.82	FengQ_2015__SID530623__bin.43	KarlssonFH_2013__S54__bin.3	ZeeviD_2015__PNP_Main_470__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.35	ZellerG_2014__CCMD42428553ST-21-0__bin.23	ZeeviD_2015__PNP_Main_97__bin.31	SchirmerM_2016__G88838__bin.26	XieH_2016__YSZC12003_35837__bin.7	ZeeviD_2015__PNP_Main_38__bin.43	QinN_2014__HD-35__bin.31	ZellerG_2014__CCIS81139242ST-4-0__bin.51	YuJ_2015__SZAXPI015235-21__bin.73	VogtmannE_2016__MMRS11932626ST-27-0-0__bin.20	ZeeviD_2015__PNP_Main_39__bin.62	ZeeviD_2015__PNP_Main_133__bin.53	ZeeviD_2015__PNP_Main_231__bin.42	XieH_2016__YSZC12003_35520__bin.27	QinN_2014__HD-36__bin.36	HeQ_2017__SZAXPI029490-88__bin.96	KarlssonFH_2013__S77__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES35__bin.40	FengQ_2015__SID31874__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES65__bin.58	VogtmannE_2016__MMRS66868025ST-27-0-0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.27	QinN_2014__HD-47__bin.27	ZellerG_2014__CCIS90443472ST-4-0__bin.5	YuJ_2015__SZAXPI017591-140__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.45	YuJ_2015__SZAXPI015222-123__bin.14
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.101	2453577.0	2263784.0	1959660.0	2186148.0	2355885.0	1897481.0	2240396.0	1928351.0	2140774.0	2175462.0	1290274.0	2179774.0	2072511.0	2192162.0	2137014.0	2023802.0	2262202.0	1190110.0	1891895.0	1661409.0	2087838.0	1529186.0	2070859.0	1948476.0	2124718.0	1921790.0	2172662.0	1632743.0	2227700.0	2045396.0	1814158.0	1593991.0	2286376.0	2138273.0	2281403.0	2266120.0
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.143	2263784.0	2578593.0	1946532.0	2157408.0	2377368.0	1929113.0	2266818.0	1897283.0	2230877.0	2142780.0	1266763.0	2224198.0	2155052.0	2181138.0	2130201.0	2002554.0	2388188.0	1165432.0	1879461.0	1658614.0	2051649.0	1481695.0	2040191.0	1903159.0	2109346.0	1942033.0	2144438.0	1654854.0	2144566.0	2036628.0	1666087.0	1576908.0	2396870.0	2204563.0	2590986.0	2327309.0
ZeeviD_2015__PNP_Main_481__bin.39	1959660.0	1946532.0	2151442.0	1902052.0	1964165.0	1652617.0	1881168.0	1804549.0	1815587.0	1891677.0	1301632.0	1857817.0	1780434.0	1922884.0	1888997.0	1769540.0	1931649.0	985472.0	1722488.0	1471522.0	1881123.0	1406435.0	1872738.0	1785105.0	1900172.0	1656484.0	1889581.0	1464891.0	1963993.0	1886074.0	1691077.0	1444117.0	1940297.0	1915637.0	1960616.0	1905073.0
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.41	2186148.0	2157408.0	1902052.0	2349680.0	2213140.0	1805136.0	2170635.0	1866031.0	2028255.0	2293581.0	1243332.0	2062899.0	1945352.0	2079445.0	2013366.0	1947229.0	2152783.0	1158644.0	1821324.0	1590093.0	1999003.0	1490035.0	2067572.0	1894828.0	2069381.0	1850806.0	2299603.0	1602998.0	2157333.0	1991090.0	1659336.0	1562348.0	2189560.0	2075864.0	2178107.0	2128837.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.105	2355885.0	2377368.0	1964165.0	2213140.0	2696701.0	1959779.0	2322705.0	1945065.0	2242485.0	2192618.0	1294875.0	2287290.0	2194821.0	2171545.0	2153942.0	2055213.0	2360583.0	1200885.0	1881875.0	1653343.0	2084259.0	1546904.0	2080460.0	1951549.0	2145235.0	1951384.0	2191089.0	1627550.0	2404471.0	2051261.0	1756804.0	1600394.0	2372007.0	2240467.0	2385944.0	2437332.0
ZeeviD_2015__PNP_Main_415__bin.82	1897481.0	1929113.0	1652617.0	1805136.0	1959779.0	2067273.0	1890045.0	1604265.0	1825056.0	1794641.0	1117433.0	1892210.0	1851728.0	1802694.0	1782152.0	1700210.0	1928239.0	977789.0	1597809.0	1433173.0	1840621.0	1325118.0	1760774.0	1632477.0	1771501.0	1661624.0	1802026.0	1401924.0	1810682.0	1729524.0	1417719.0	1363795.0	1941193.0	1852120.0	1941012.0	1920723.0
FengQ_2015__SID530623__bin.43	2240396.0	2266818.0	1881168.0	2170635.0	2322705.0	1890045.0	2536371.0	1860273.0	2159664.0	2158812.0	1256384.0	2180077.0	2083004.0	2119398.0	2052865.0	1965140.0	2252450.0	1148973.0	1825955.0	1588321.0	2002566.0	1472306.0	2047483.0	1884670.0	2058504.0	1900403.0	2166128.0	1591785.0	2121031.0	1974385.0	1636914.0	1547699.0	2269364.0	2126103.0	2281220.0	2244767.0
KarlssonFH_2013__S54__bin.3	1928351.0	1897283.0	1804549.0	1866031.0	1945065.0	1604265.0	1860273.0	2019389.0	1780092.0	1858560.0	1270652.0	1813262.0	1703947.0	1837686.0	1820327.0	1757249.0	1865531.0	973491.0	1691829.0	1436975.0	1822713.0	1402160.0	1819857.0	1790921.0	1885072.0	1646947.0	1853546.0	1451763.0	1945549.0	1835518.0	1658256.0	1417093.0	1875870.0	1790337.0	1909036.0	1871391.0
ZeeviD_2015__PNP_Main_470__bin.24	2140774.0	2230877.0	1815587.0	2028255.0	2242485.0	1825056.0	2159664.0	1780092.0	2390365.0	2018686.0	1238470.0	2079433.0	2049889.0	2088714.0	2020856.0	1888824.0	2253860.0	1062984.0	1763884.0	1561630.0	1936659.0	1423825.0	1929315.0	1773200.0	1971771.0	1818458.0	2012190.0	1550243.0	2018586.0	1915053.0	1616937.0	1469237.0	2283614.0	2088648.0	2258241.0	2196956.0
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.35	2175462.0	2142780.0	1891677.0	2293581.0	2192618.0	1794641.0	2158812.0	1858560.0	2018686.0	2318323.0	1242592.0	2050668.0	1939662.0	2067527.0	1992830.0	1940149.0	2142794.0	1136036.0	1806220.0	1581209.0	1986601.0	1472913.0	2050848.0	1875531.0	2059300.0	1841659.0	2275551.0	1596688.0	2137057.0	1980013.0	1647311.0	1547535.0	2177304.0	2063651.0	2162878.0	2117479.0
