	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.143	ZeeviD_2015__PNP_Main_481__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.105	ZeeviD_2015__PNP_Main_415__bin.82	FengQ_2015__SID530623__bin.43	KarlssonFH_2013__S54__bin.3	ZeeviD_2015__PNP_Main_470__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.35	ZellerG_2014__CCMD42428553ST-21-0__bin.23	ZeeviD_2015__PNP_Main_97__bin.31	SchirmerM_2016__G88838__bin.26	XieH_2016__YSZC12003_35837__bin.7	ZeeviD_2015__PNP_Main_38__bin.43	QinN_2014__HD-35__bin.31	ZellerG_2014__CCIS81139242ST-4-0__bin.51	YuJ_2015__SZAXPI015235-21__bin.73	VogtmannE_2016__MMRS11932626ST-27-0-0__bin.20	ZeeviD_2015__PNP_Main_39__bin.62	ZeeviD_2015__PNP_Main_133__bin.53	ZeeviD_2015__PNP_Main_231__bin.42	XieH_2016__YSZC12003_35520__bin.27	QinN_2014__HD-36__bin.36	HeQ_2017__SZAXPI029490-88__bin.96	KarlssonFH_2013__S77__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES35__bin.40	FengQ_2015__SID31874__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES65__bin.58	VogtmannE_2016__MMRS66868025ST-27-0-0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.27	QinN_2014__HD-47__bin.27	ZellerG_2014__CCIS90443472ST-4-0__bin.5	YuJ_2015__SZAXPI017591-140__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.45	YuJ_2015__SZAXPI015222-123__bin.14
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.101	1.0	0.9853493089446697	0.9768255717828603	0.9848098115955553	0.9900445055679713	0.9785383885266835	0.9858855309507784	0.9859589877568969	0.9835092354447503	0.9848919447914971	0.9815814315408975	0.9834606706933838	0.978693961093572	0.9831955849978241	0.9761746998381854	0.988956923651622	0.9843718642278629	0.989415264135248	0.9858105233112832	0.9764477019204784	0.9793288559744577	0.989969827084475	0.9845378173984806	0.9890185970984503	0.9894207137135376	0.9865401526701669	0.984913898250165	0.9833850152779708	0.9897481707590788	0.9844323544193887	0.9999310975119036	0.9889277919385994	0.9838788545716015	0.9775744257164544	0.985367775881771	0.9896779517413024
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.143	0.9853493089446697	1.0	0.97731760895788	0.9856188537355938	0.9853989790390045	0.9803427792980505	0.9860028462805571	0.9871115695444486	0.9869194939927213	0.9856863513753161	0.9841817293369004	0.9865443634064953	0.9792404081200825	0.9869600181189819	0.9774476680839038	0.9857906453458933	0.9877681321570999	0.9856113441196054	0.9879672948786913	0.977382320419338	0.9805999954183197	0.9858067955955848	0.9853356867077642	0.9843686208036218	0.985243293418908	0.9857139399793927	0.9856778326069581	0.9871722822678013	0.9849512675291877	0.9881254701398586	0.9841226778673623	0.9858571330730772	0.9876246938715909	0.9784138625205994	0.9999718253977443	0.9856761607504633
ZeeviD_2015__PNP_Main_481__bin.39	0.9768255717828603	0.97731760895788	1.0	0.9758229533156823	0.9761735903042769	0.9781189471002658	0.9759176213926667	0.9758970246859464	0.9754922237270921	0.9758880612282118	0.977853955649523	0.9773061609405017	0.9797408946358023	0.9755336255333135	0.9769242619231264	0.9765068887959583	0.976645342916855	0.9767248587478894	0.9764857578107946	0.9771182489966171	0.9782167354287837	0.9771194545073182	0.9760174674727591	0.9760120553132728	0.9771604886294504	0.9756786060112865	0.9757882832225768	0.9762152951994381	0.9761659028316292	0.9781646955527726	0.9761536582899537	0.9767657329703895	0.9763350662295515	0.9767878778703899	0.9772525573595238	0.9762282075280055
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.41	0.9848098115955553	0.9856188537355938	0.9758229533156823	1.0	0.9859796488247468	0.9782121679474566	0.9946425815487173	0.9858067738424495	0.9859874621287757	0.9999803800258199	0.9812230361641139	0.9834107244222815	0.9781227253473921	0.9872302465321275	0.9755727473295963	0.9851681543362388	0.9864547425355923	0.9851248528452226	0.9862874480323106	0.9762120831926183	0.9789234933614407	0.9851607512575208	0.9901091715306649	0.9838850808622207	0.9854347749399458	0.9852086064125576	0.9999943468503042	0.9871914999270117	0.9856114007434179	0.9874510946265613	0.9835066556743179	0.9857726959678638	0.9868699647417746	0.9768164003036808	0.9855884031408926	0.9856917180601427
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.105	0.9900445055679713	0.9853989790390045	0.9761735903042769	0.9859796488247468	1.0	0.9784526724697019	0.9868097756710388	0.9865783405695954	0.9842139412303761	0.985972476737854	0.9818422627666763	0.9833068828176575	0.9781061872471605	0.983409047475415	0.9759389992859604	0.9904340815282893	0.9845588992210822	0.9894269642805098	0.9875182995682498	0.9765910642861161	0.9784460568480213	0.9907576682198767	0.9856070292146929	0.989961820072158	0.9897908620733858	0.9870727647659302	0.9860110657303286	0.9837412061073393	0.9999189010805287	0.9852285984084912	0.9897142766068383	0.989751898594971	0.9840818344971157	0.9779943199341923	0.9855918663640052	0.989566050090837
ZeeviD_2015__PNP_Main_415__bin.82	0.9785383885266835	0.9803427792980505	0.9781189471002658	0.9782121679474566	0.9784526724697019	1.0	0.977813755757138	0.9773996191402293	0.9782691599600232	0.9781906241972629	0.9788944840540775	0.9789521247641646	0.9806094631608961	0.9775913161080028	0.9769991560764738	0.9786796925085725	0.978866209012472	0.9769694688731413	0.9785687776198532	0.9769176505557947	0.9877573927495122	0.9783468340178006	0.977307138792372	0.9771947782418987	0.9783923350875896	0.977851788370895	0.9781523685007875	0.9781528813259492	0.9779895089253663	0.9787953217185769	0.9773410668827884	0.9787160093709099	0.978306639267708	0.9784495605036391	0.9801098602172476	0.9786663667795928
FengQ_2015__SID530623__bin.43	0.9858855309507784	0.9860028462805571	0.9759176213926667	0.9946425815487173	0.9868097756710388	0.977813755757138	1.0	0.9864487631654064	0.9869433393342668	0.9945761835676289	0.9819672966226886	0.9843886248054541	0.9781743097948924	0.9878809926214897	0.9758386450156245	0.9860188078203079	0.9872707496281826	0.9853495251846649	0.986794307636278	0.976107474496654	0.9791812105069196	0.9858365040962952	0.9912175094982474	0.9838969156404039	0.9863483384049776	0.9862034526360988	0.9946245097242638	0.9881189984828354	0.9863476771438041	0.9879451069573564	0.9847169735245712	0.9867480692305157	0.9878684071836867	0.977137984377991	0.9860039803263166	0.9861762935752352
KarlssonFH_2013__S54__bin.3	0.9859589877568969	0.9871115695444486	0.9758970246859464	0.9858067738424495	0.9865783405695954	0.9773996191402293	0.9864487631654064	1.0	0.9842772171325976	0.9857776988636363	0.982588466393631	0.9864967114515166	0.9771424815443204	0.9842617291528586	0.9756774469641993	0.9860691341978285	0.9848338087118359	0.9864703423041404	0.9890733637974051	0.9758965883192122	0.9789160443799984	0.9868645518343128	0.9853290670640605	0.9859552710588574	0.9865448110204809	0.9867032758188333	0.9857289757038671	0.9843796818075677	0.9864999545115544	0.9867394381313613	0.9856379232157157	0.9871483381824623	0.984373117540128	0.9764457752925846	0.987188298177719	0.9861167441758564
ZeeviD_2015__PNP_Main_470__bin.24	0.9835092354447503	0.9869194939927213	0.9754922237270921	0.9859874621287757	0.9842139412303761	0.9782691599600232	0.9869433393342668	0.9842772171325976	1.0	0.9860661836461936	0.9820060235613297	0.9838172232526847	0.9782812630342423	0.9883751437487373	0.9761328862620593	0.9839693904778847	0.9889482931504175	0.9847401277911991	0.9848107925464487	0.9759706204414618	0.9785878670431913	0.9838006777518304	0.9855456470301636	0.9827876156101962	0.9840483504423181	0.9833831740958549	0.9860455523583757	0.9891739553089419	0.9836008968654295	0.9885157225413604	0.9820963958397885	0.9839488115259826	0.9891562234247995	0.9767011961804957	0.9869017522930458	0.9840292659479752
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.35	0.9848919447914971	0.9856863513753161	0.9758880612282118	0.9999803800258199	0.985972476737854	0.9781906241972629	0.9945761835676289	0.9857776988636363	0.9860661836461936	1.0	0.981408217661147	0.9835819352523177	0.9780832949245797	0.9871295513915901	0.9755849721250683	0.9851903127027872	0.9863920656862022	0.9851157885841646	0.9863338906666962	0.9762649972268056	0.9788880605617334	0.9852496379623237	0.9900884902245315	0.9838413761222822	0.9854741902588258	0.9852850066163171	0.9999600096855663	0.987248604611546	0.9856077774247481	0.9874894760791975	0.9836849265257137	0.9858045213840074	0.9868378508467353	0.9768865956501366	0.9856663205229329	0.9856678625856502
