	QinN_2014__LD-44__bin.36	BackhedF_2015__SID582_12M__bin.30	HeQ_2017__SZAXPI029475-44__bin.13	QinN_2014__LD-91__bin.21	XieH_2016__YSZC12003_36212__bin.18	VatanenT_2016__G80274__bin.12	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	LiJ_2017__nHM612709__bin.42	BackhedF_2015__SID504_12M__bin.16	QinN_2014__LD-21__bin.7	LomanNJ_2013__OBK2535b__bin.9	QinN_2014__LD-78__bin.30	VatanenT_2016__G78889__bin.6	VatanenT_2016__G80445__bin.7	VatanenT_2016__G80267__bin.3	QinN_2014__LD-63__bin.9	GeversD_2014__SKBSTL021__bin.6	QinN_2014__LD-36__bin.6	BackhedF_2015__SID180_12M__bin.10	BackhedF_2015__SID195_12M__bin.33	QinJ_2012__CON-060__bin.43	BackhedF_2015__SID526_12M__bin.22	BackhedF_2015__SID256_12M__bin.21	CosteaPI_2017__alien-11-600-0__bin.10	NielsenHB_2014__V1_UC14_1__bin.34	BackhedF_2015__SID275_12M__bin.27	VatanenT_2016__G78672__bin.6	QinJ_2012__T2D-016__bin.32	QinN_2014__LV-10__bin.11	QinJ_2012__T2D-101__bin.23	Obregon-TitoAJ_2015__NO01__bin.15	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.64	VatanenT_2016__G69175__bin.1
QinN_2014__LD-44__bin.36	0.0	27553.0	24747.0	14513.0	25612.0	26084.0	13500.0	18850.0	24347.0	12999.0	21641.0	22831.0	25838.0	27872.0	24312.0	24431.0	16808.0	14351.0	28344.0	23138.0	25149.0	21017.0	25793.0	13632.0	28322.0	19215.0	24276.0	23859.0	23899.0	18945.0	22238.0	26124.0	27041.0
BackhedF_2015__SID582_12M__bin.30	27553.0	0.0	30597.0	20346.0	27979.0	27953.0	16819.0	22938.0	25238.0	16935.0	21844.0	27926.0	30401.0	34274.0	24221.0	31451.0	24460.0	18472.0	31959.0	25938.0	31602.0	22830.0	29737.0	19924.0	35236.0	25474.0	26145.0	29700.0	31493.0	22716.0	26098.0	31341.0	29098.0
HeQ_2017__SZAXPI029475-44__bin.13	24747.0	30597.0	0.0	17399.0	28115.0	29086.0	17849.0	22331.0	26426.0	15176.0	22055.0	25830.0	29461.0	31013.0	25073.0	28150.0	19639.0	17139.0	31446.0	26133.0	28170.0	22598.0	30322.0	16523.0	32027.0	21464.0	27322.0	26859.0	29854.0	20504.0	23879.0	28353.0	29143.0
QinN_2014__LD-91__bin.21	14513.0	20346.0	17399.0	0.0	16979.0	18199.0	15503.0	10503.0	17835.0	13021.0	13447.0	15401.0	20925.0	22468.0	13694.0	19444.0	17792.0	14699.0	19554.0	15580.0	18064.0	12272.0	19193.0	16714.0	21566.0	18892.0	17163.0	15383.0	18177.0	12195.0	14214.0	19446.0	18954.0
XieH_2016__YSZC12003_36212__bin.18	25612.0	27979.0	28115.0	16979.0	0.0	26177.0	13277.0	25749.0	22752.0	14108.0	23516.0	27305.0	28313.0	4629.0	25946.0	29932.0	17368.0	15897.0	33407.0	26868.0	28121.0	25800.0	29091.0	13323.0	29500.0	21280.0	27136.0	31733.0	29559.0	22956.0	26980.0	25622.0	29603.0
VatanenT_2016__G80274__bin.12	26084.0	27953.0	29086.0	18199.0	26177.0	0.0	16337.0	21518.0	24767.0	17030.0	20802.0	28024.0	28107.0	30025.0	23285.0	29866.0	18577.0	18109.0	27412.0	24469.0	29014.0	21998.0	28078.0	15001.0	29470.0	21179.0	25843.0	29012.0	29750.0	21978.0	24713.0	26474.0	27095.0
VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	13500.0	16819.0	17849.0	15503.0	13277.0	16337.0	0.0	8862.0	15739.0	13152.0	11455.0	14641.0	16132.0	16293.0	13130.0	17117.0	15422.0	15770.0	17004.0	12019.0	16483.0	9914.0	16413.0	15137.0	17475.0	17214.0	14186.0	14728.0	19107.0	11466.0	13400.0	16875.0	15823.0
LiJ_2017__nHM612709__bin.42	18850.0	22938.0	22331.0	10503.0	25749.0	21518.0	8862.0	0.0	19167.0	9271.0	18721.0	21218.0	21266.0	24798.0	22921.0	21689.0	13288.0	9195.0	25396.0	22902.0	21615.0	21618.0	23327.0	8202.0	24610.0	14125.0	20593.0	24739.0	21384.0	17359.0	19489.0	21313.0	22336.0
BackhedF_2015__SID504_12M__bin.16	24347.0	25238.0	26426.0	17835.0	22752.0	24767.0	15739.0	19167.0	0.0	16688.0	19683.0	26038.0	25724.0	25751.0	20399.0	27334.0	18361.0	18425.0	26040.0	21616.0	26539.0	19474.0	26891.0	14892.0	26670.0	19226.0	23786.0	26355.0	29225.0	19997.0	22206.0	25082.0	25439.0
QinN_2014__LD-21__bin.7	12999.0	16935.0	15176.0	13021.0	14108.0	17030.0	13152.0	9271.0	16688.0	0.0	11625.0	14134.0	17807.0	17427.0	11898.0	15186.0	14404.0	12483.0	17731.0	12855.0	15163.0	11055.0	17715.0	13184.0	18435.0	14923.0	15932.0	14715.0	15828.0	11443.0	13569.0	17617.0	16075.0
