	QinN_2014__LD-44__bin.36	BackhedF_2015__SID582_12M__bin.30	HeQ_2017__SZAXPI029475-44__bin.13	QinN_2014__LD-91__bin.21	XieH_2016__YSZC12003_36212__bin.18	VatanenT_2016__G80274__bin.12	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	LiJ_2017__nHM612709__bin.42	BackhedF_2015__SID504_12M__bin.16	QinN_2014__LD-21__bin.7	LomanNJ_2013__OBK2535b__bin.9	QinN_2014__LD-78__bin.30	VatanenT_2016__G78889__bin.6	VatanenT_2016__G80445__bin.7	VatanenT_2016__G80267__bin.3	QinN_2014__LD-63__bin.9	GeversD_2014__SKBSTL021__bin.6	QinN_2014__LD-36__bin.6	BackhedF_2015__SID180_12M__bin.10	BackhedF_2015__SID195_12M__bin.33	QinJ_2012__CON-060__bin.43	BackhedF_2015__SID526_12M__bin.22	BackhedF_2015__SID256_12M__bin.21	CosteaPI_2017__alien-11-600-0__bin.10	NielsenHB_2014__V1_UC14_1__bin.34	BackhedF_2015__SID275_12M__bin.27	VatanenT_2016__G78672__bin.6	QinJ_2012__T2D-016__bin.32	QinN_2014__LV-10__bin.11	QinJ_2012__T2D-101__bin.23	Obregon-TitoAJ_2015__NO01__bin.15	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.64	VatanenT_2016__G69175__bin.1
QinN_2014__LD-44__bin.36	1.0	0.87256333135605	0.850546447839235	0.5518882450353685	0.7831331977395382	0.8654278517164666	0.5192308216384441	0.6536081181864345	0.7748935582652109	0.5294003562743622	0.7392742976480623	0.8578163706343446	0.8710363114611881	0.8856679054210569	0.7454464194063244	0.8410191517908646	0.5797402340219305	0.5123129037268914	0.9041184117176294	0.7359718105405251	0.8611411135345197	0.6996680707498023	0.8688956675693131	0.45621013828568624	0.869801342069716	0.629710393091802	0.8605924401160209	0.8605801767200776	0.8853499655262315	0.6477344057294586	0.8345445329326685	0.8356032727824374	0.8991703585544454
BackhedF_2015__SID582_12M__bin.30	0.6835803369687049	1.0	0.8241489494191115	0.53890832102763	0.7201633248527762	0.8410201576316116	0.4719558062163076	0.632063621968794	0.7273115448253776	0.48938957781059295	0.6838077107833543	0.8170462753749533	0.8537235575640045	0.8438429377123845	0.6849990214741936	0.8238649990214743	0.5700734783923711	0.4884327574857224	0.8678584517942606	0.7029857491059833	0.8422047075986977	0.671424911487893	0.8247958439340296	0.4530649207394097	0.8374166918711193	0.647003042325689	0.8032415891259096	0.7939676552742541	0.8087558489156155	0.5903570729624423	0.7901318341131888	0.7930706139804651	0.8567459569092817
HeQ_2017__SZAXPI029475-44__bin.13	0.7236899870459513	0.8950919150041273	1.0	0.5709493091689314	0.7645856713999957	0.9198398675533542	0.5052882816871798	0.681376390859821	0.7802499451230634	0.5242985027098386	0.7477481133154636	0.8853122265814607	0.8783080744842341	0.887428853211151	0.7183680835737097	0.8816922810564815	0.5871805157504536	0.5395330359157956	0.9430852741218917	0.7558146365291807	0.8937644341801386	0.7308394470878123	0.8803431586237174	0.4714670846588818	0.8784410157952828	0.6820824483461173	0.8491235921360577	0.8617951405313324	0.8740817774562454	0.6387037758423996	0.8531272897594998	0.828295862433568	0.9119824177386993
QinN_2014__LD-91__bin.21	0.6923028274339434	0.8629134677017306	0.8417594188448116	1.0	0.650065949718681	0.8613511858129763	0.7452568905348622	0.5191351043372979	0.8099611138807776	0.6865083683498326	0.6519193789616125	0.8611204330175914	0.8637293640054128	0.8585206181895877	0.5979574104408518	0.8836584288868314	0.8008005127839897	0.7633405028131899	0.8636279467274411	0.6500294850794103	0.8638233744035326	0.5915669824086603	0.847744747525105	0.6923313154333738	0.8501405882771882	0.8293773947724521	0.8124196282316075	0.7783736201125276	0.8521575386368492	0.5916564347268712	0.7976599957268001	0.8451876646962466	0.8674897799302045
XieH_2016__YSZC12003_36212__bin.18	0.6513329402125194	0.7645498458178153	0.7473758052397388	0.43100257518057805	1.0	0.7648584746182089	0.38103115262090825	0.6930159606798597	0.6524499724802838	0.4072136032393558	0.7268642671690353	0.7361280420430245	0.7939496666846731	0.9039427801448553	0.7945945006654218	0.7238916845126139	0.4650303170188196	0.39402944930724737	0.8563720136763734	0.7407416081864828	0.7519731277621238	0.7318695690114019	0.7981541202322612	0.3504036162078095	0.8060930955921991	0.5548858734516146	0.8151385259782721	0.8007236344308858	0.7554859052588911	0.5787356645322045	0.7668092201815282	0.7443072718913959	0.8312053560129542
VatanenT_2016__G80274__bin.12	0.7179665921842442	0.8906091858305042	0.8968732454867796	0.5696507364716433	0.7629341301570913	1.0	0.5104718769193668	0.6888468538398641	0.7821973193864055	0.5278159819433507	0.7356000859122716	0.8836453933312484	0.8953720415845539	0.9026414255408141	0.7271252924973718	0.8774615938233599	0.5917060745251275	0.5333102224298855	0.9276633746189528	0.7544676265227762	0.9055153417462046	0.7472641840029843	0.8881022808200854	0.4744335630607377	0.8840406651418494	0.6808148100698226	0.862111557838176	0.8646162019993443	0.8646587813268924	0.6314420073326877	0.8424798501810563	0.845320984072317	0.9145425359946041
VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	0.7646899070540585	0.8872246990712095	0.8746002388031746	0.8749554334411404	0.6747112789348175	0.906198514336552	1.0	0.5131639413895401	0.8500269238873411	0.7771611854537428	0.6499640457405074	0.8820646775320995	0.9055898003618837	0.9112093675060453	0.6321240438675412	0.8988765548126867	0.8588312022769915	0.8180747915489096	0.9014485385847735	0.6433330769153587	0.8917505878103354	0.5842951794535621	0.9019535705088113	0.8025599432758845	0.8822653524688034	0.8814138218207237	0.8573769779023448	0.8100364225010117	0.9418818626647625	0.6183062366425746	0.8158426173363078	0.9212257225133867	0.9004056978303696
LiJ_2017__nHM612709__bin.42	0.675946197945902	0.8343780752167184	0.8281847795708142	0.4279865565323181	0.8617286270236247	0.8587050211022986	0.3603511647952126	1.0	0.6864576556602776	0.3842910590606013	0.7635744029235549	0.8504097157472233	0.8192318622396855	0.8512082445752884	0.8217242116289283	0.807358678012039	0.46118891548042074	0.3833098080477614	0.9000876033096672	0.8326354034801765	0.8469384639593409	0.8428471780226078	0.8291871681114558	0.31467390666137446	0.8541515278909679	0.5537139810654723	0.8126641974902709	0.8614604152819628	0.8233583773894214	0.621758031673411	0.8098406934988011	0.7708090741058239	0.8736112057080719
BackhedF_2015__SID504_12M__bin.16	0.7558871510132323	0.9056132960336442	0.8945283943440816	0.6298456292638923	0.7652348170209221	0.9197247360917026	0.5630185455779576	0.6474913536969314	1.0	0.5928320087335857	0.7384058015962542	0.8964946917060177	0.911719539891734	0.9143894154895318	0.7273403945177609	0.9010085802872265	0.6619359743805365	0.5870642622131523	0.931934122392485	0.7481508918341505	0.9034582553918107	0.7092378759026227	0.9189781810996202	0.5175327443007062	0.9025393503155025	0.6978113754600064	0.8793917149675193	0.8626476162964315	0.9010723808325439	0.6584344763968997	0.8422735324323869	0.9011255479536417	0.917486843352825
QinN_2014__LD-21__bin.7	0.7598745415263376	0.8966434447230383	0.8844672448030959	0.7855223372671123	0.7027689005889586	0.9132019552850458	0.7574323910257162	0.533363452754884	0.8723171223044096	1.0	0.6889987182947453	0.8978254038414649	0.9217286201002156	0.9072934635639751	0.6465727097178815	0.9161271900144338	0.8004764344863465	0.7406567859317528	0.9280954224998599	0.6949489338898256	0.902256609648385	0.6371339870942843	0.9304430423484282	0.6896141454363861	0.9174245417219183	0.82656624251741	0.8811293348823321	0.8394517482955146	0.9106059479990143	0.6381718684602716	0.86046363047251	0.9122944610253382	0.9244713128808119
LomanNJ_2013__OBK2535b__bin.9	0.7212348598111791	0.8515545862132223	0.8573771392565035	0.5070140937688047	0.8526229405044972	0.8650466025801797	0.43056184535050973	0.7203238119377403	0.7385013439728599	0.468308295764425	1.0	0.840945930017698	0.836930406754516	0.8733931481755558	0.8164765843858093	0.8255932667535766	0.5115245783523327	0.4608670375257783	0.9453012351434058	0.8161730494668863	0.8531391714250012	0.7730471626796506	0.85292647542342	0.40837632303559734	0.8731862126906842	0.653545243541353	0.8744663767502001	0.9115375173590955	0.8365993986020556	0.665189020277905	0.8729314206054569	0.7949242757922704	0.9313855992399662
QinN_2014__LD-78__bin.30	0.7429460462573046	0.9032687734674489	0.9011661687158377	0.5945410952033469	0.7665648473595494	0.9225025913767636	0.5187265571371531	0.7121909770916393	0.7959682701404556	0.541747817244506	0.7465517478762512	1.0	0.9008935578472003	0.9030669706166395	0.7305621173170842	0.8974912325905703	0.6008473359466737	0.5495642356569509	0.9227523863285453	0.7650113981239809	0.9172604377902391	0.7387144804363348	0.8920453092638523	0.475006933285079	0.8866080402504244	0.6847154992850357	0.8648703721551403	0.8676680756150955	0.9004136368374779	0.6405135941559783	0.862637559326301	0.8460629758643003	0.9268108658837135
VatanenT_2016__G78889__bin.6	0.6667190473028434	0.8341252427964168	0.7901307232943062	0.527034839960353	0.7306883198018621	0.8261078765295696	0.47066643813875836	0.6063435268137287	0.71540661685639	0.49153224138248724	0.6566362383842752	0.7961907688863192	1.0	0.8722808278875434	0.6732626866885855	0.7861069169904821	0.5589200457102171	0.49276330221900366	0.8431045817643767	0.6794833507800254	0.796320098067676	0.6633269375649471	0.847686380907119	0.44935145935117776	0.8128662371222727	0.6251762197010758	0.8670040582245537	0.7668855412408858	0.7986250778321786	0.5667340314096081	0.7646188039762465	0.7992432156936095	0.8254577540318894
VatanenT_2016__G80445__bin.7	0.6161149300644946	0.7493070906147272	0.7255541695261423	0.4760982597958366	0.7560740948574939	0.7568899142978835	0.4304117392057167	0.572574437994563	0.6520893445513245	0.4397247825850671	0.6227726107106792	0.7253503726481209	0.792757848865499	1.0	0.6599258874485137	0.7193135615605596	0.5209613778059197	0.4469973294709875	0.7734287418686626	0.6244854523785149	0.7410762244558782	0.6060126082335202	0.7706583681841792	0.41905314390650494	0.7765593146863929	0.6087077824498344	0.7557837238018323	0.7160480720499374	0.7368723214139016	0.525747918744131	0.7118741856023982	0.7699967392499516	0.7648689570276116
VatanenT_2016__G80267__bin.3	0.6721121553348438	0.7883565208880466	0.7612333679648503	0.4297843604506166	0.8613972158553651	0.7902439863401394	0.38699266431576407	0.7164018659248396	0.6722767813083178	0.406148657254047	0.7545672445911974	0.7605355504056474	0.7930549134096045	0.8553220260133608	1.0	0.7446442297572503	0.45773310034526404	0.3879157164157895	0.8756148391067772	0.7978442187821855	0.7755644275213676	0.759447872332148	0.8014373239843252	0.344099817396215	0.8242572686257704	0.5580742692470082	0.834271605828087	0.8230389545185939	0.7654849770608858	0.5986684952981266	0.7996166098597853	0.7638444505690039	0.8600511323359402
QinN_2014__LD-63__bin.9	0.7093819318604108	0.8870287292690683	0.8740509457021028	0.5941740766139383	0.7341425851361757	0.8921317278553997	0.5148128708964343	0.6584852675817839	0.7790911145761101	0.5383594549139348	0.7137880569911464	0.8740605234021523	0.8662619769139117	0.8721710347364026	0.6966229029625742	1.0	0.6004957417545581	0.528663374491903	0.8992640495282025	0.7393869505752366	0.8856537546499733	0.7102370289208231	0.8535251682801899	0.4750677143393494	0.8531631312183218	0.6772437677905778	0.8223394107032713	0.8222815613949728	0.8614792566172329	0.6206227037464132	0.8258881401255828	0.8316466365032966	0.909958892511388
