	ZeeviD_2015__PNP_Main_268__bin.39	XieH_2016__YSZC12003_37296R1__bin.33	VatanenT_2016__G80495__bin.7	LiuW_2016__SRR3993004__bin.12	CosteaPI_2017__SID713B032-11-90-0__bin.76	ZeeviD_2015__PNP_Main_381__bin.1	NielsenHB_2014__MH0101__bin.14	LeChatelierE_2013__MH0101__bin.15	QinJ_2012__CON-094__bin.7	QinJ_2012__T2D-083__bin.12	HeQ_2017__SZAXPI029573-88__bin.21	HMP_2012__SRS019601__bin.18	XieH_2016__YSZC12003_36058__bin.40	CosteaPI_2017__SID713A089-11-0-0__bin.48	HeQ_2017__SZAXPI029578-96__bin.47	BritoIL_2016__M1.44.ST__bin.56	ZeeviD_2015__PNP_Main_391__bin.26	HeQ_2017__SZAXPI029557-42__bin.38	ZeeviD_2015__PNP_Main_154__bin.30	ZeeviD_2015__PNP_Main_178__bin.19	KarlssonFH_2013__S248__bin.9	SchirmerM_2016__G89058__bin.16	FengQ_2015__SID31873__bin.66	QinN_2014__LD-74__bin.66	XieH_2016__YSZC12003_37880__bin.50	ZeeviD_2015__PNP_Main_384__bin.41	XieH_2016__YSZC12003_36052__bin.58	ZeeviD_2015__PNP_Main_137__bin.19	BackhedF_2015__SID560_4M__bin.10	VatanenT_2016__G78589__bin.6	LiuW_2016__SRR3993060__bin.98
ZeeviD_2015__PNP_Main_268__bin.39	0.0	8661.0	21719.0	7192.0	8719.0	8855.0	27961.0	27629.0	15562.0	14982.0	14493.0	13011.0	9794.0	9031.0	13355.0	10508.0	10080.0	13449.0	3448.0	8934.0	13242.0	12308.0	8011.0	9684.0	12880.0	10261.0	9656.0	3478.0	23734.0	29818.0	9303.0
XieH_2016__YSZC12003_37296R1__bin.33	8661.0	0.0	20822.0	5739.0	7174.0	9051.0	25451.0	25253.0	14642.0	14256.0	13918.0	11819.0	8832.0	7047.0	13095.0	9349.0	9234.0	10987.0	8336.0	9193.0	9620.0	11306.0	3503.0	8205.0	12066.0	8705.0	5309.0	8583.0	21360.0	28280.0	7839.0
VatanenT_2016__G80495__bin.7	21719.0	20822.0	0.0	12914.0	21158.0	17680.0	17369.0	17544.0	20351.0	22022.0	20559.0	22527.0	19467.0	21224.0	22398.0	11310.0	21267.0	19459.0	22109.0	20285.0	22561.0	21204.0	19844.0	20599.0	21598.0	20787.0	20997.0	21903.0	8544.0	14805.0	15864.0
LiuW_2016__SRR3993004__bin.12	7192.0	5739.0	12914.0	0.0	7608.0	6258.0	14190.0	14196.0	9141.0	9913.0	8317.0	7588.0	6713.0	6155.0	9632.0	6529.0	7815.0	8097.0	7374.0	7159.0	6148.0	7617.0	5416.0	4536.0	7275.0	6284.0	5675.0	7835.0	13371.0	16781.0	4217.0
CosteaPI_2017__SID713B032-11-90-0__bin.76	8719.0	7174.0	21158.0	7608.0	0.0	7697.0	26762.0	26985.0	14990.0	15903.0	15096.0	9606.0	7784.0	8192.0	14742.0	11822.0	8598.0	11894.0	10237.0	8186.0	11561.0	9504.0	6904.0	10721.0	9688.0	6145.0	8238.0	9701.0	21501.0	27807.0	9791.0
ZeeviD_2015__PNP_Main_381__bin.1	8855.0	9051.0	17680.0	6258.0	7697.0	0.0	22370.0	22452.0	13631.0	12270.0	12710.0	4649.0	9994.0	9445.0	12546.0	8405.0	8924.0	12529.0	8750.0	9913.0	9490.0	4044.0	7769.0	9374.0	3806.0	8854.0	8802.0	8827.0	18443.0	24435.0	8753.0
NielsenHB_2014__MH0101__bin.14	27961.0	25451.0	17369.0	14190.0	26762.0	22370.0	0.0	1048.0	27185.0	26004.0	25703.0	27972.0	22436.0	26989.0	27787.0	11319.0	31272.0	23379.0	27900.0	27511.0	27397.0	28358.0	24166.0	23462.0	30914.0	25885.0	27110.0	30797.0	19134.0	25703.0	18042.0
LeChatelierE_2013__MH0101__bin.15	27629.0	25253.0	17544.0	14196.0	26985.0	22452.0	1048.0	0.0	26965.0	26006.0	25638.0	27790.0	22552.0	27033.0	27225.0	11448.0	29545.0	22393.0	27446.0	26541.0	26927.0	27703.0	24709.0	24072.0	30415.0	25278.0	26665.0	29666.0	18887.0	26308.0	18189.0
QinJ_2012__CON-094__bin.7	15562.0	14642.0	20351.0	9141.0	14990.0	13631.0	27185.0	26965.0	0.0	11429.0	8832.0	18158.0	13993.0	15217.0	10071.0	10922.0	18186.0	8573.0	14836.0	15170.0	17131.0	18256.0	13484.0	14291.0	16568.0	14647.0	15801.0	17144.0	23110.0	28332.0	11159.0
QinJ_2012__T2D-083__bin.12	14982.0	14256.0	22022.0	9913.0	15903.0	12270.0	26004.0	26006.0	11429.0	0.0	6224.0	17000.0	13037.0	14583.0	6717.0	12556.0	17230.0	9145.0	14751.0	13679.0	16219.0	15951.0	12878.0	12951.0	15848.0	15415.0	16421.0	15468.0	23521.0	29462.0	11770.0
HeQ_2017__SZAXPI029573-88__bin.21	14493.0	13918.0	20559.0	8317.0	15096.0	12710.0	25703.0	25638.0	8832.0	6224.0	0.0	15391.0	12943.0	14100.0	5150.0	10584.0	19889.0	5897.0	14615.0	14690.0	15363.0	14980.0	11766.0	12709.0	15400.0	13464.0	13801.0	16747.0	22155.0	28862.0	10564.0
HMP_2012__SRS019601__bin.18	13011.0	11819.0	22527.0	7588.0	9606.0	4649.0	27972.0	27790.0	18158.0	17000.0	15391.0	0.0	11589.0	12667.0	17245.0	12799.0	12309.0	15746.0	13441.0	12377.0	13121.0	3476.0	10980.0	12178.0	4393.0	11918.0	12808.0	14011.0	21944.0	29390.0	10617.0
XieH_2016__YSZC12003_36058__bin.40	9794.0	8832.0	19467.0	6713.0	7784.0	9994.0	22436.0	22552.0	13993.0	13037.0	12943.0	11589.0	0.0	7589.0	13061.0	9572.0	8961.0	11706.0	9754.0	2904.0	11538.0	10000.0	6776.0	8653.0	10851.0	8105.0	7604.0	9229.0	19980.0	24532.0	9243.0
CosteaPI_2017__SID713A089-11-0-0__bin.48	9031.0	7047.0	21224.0	6155.0	8192.0	9445.0	26989.0	27033.0	15217.0	14583.0	14100.0	12667.0	7589.0	0.0	13766.0	9834.0	6996.0	12372.0	10277.0	8165.0	11438.0	11327.0	5732.0	9621.0	11175.0	9025.0	6671.0	9097.0	22498.0	27708.0	8368.0
HeQ_2017__SZAXPI029578-96__bin.47	13355.0	13095.0	22398.0	9632.0	14742.0	12546.0	27787.0	27225.0	10071.0	6717.0	5150.0	17245.0	13061.0	13766.0	0.0	12048.0	16838.0	7881.0	12681.0	12943.0	15535.0	16222.0	12436.0	12576.0	15929.0	14272.0	15092.0	14120.0	23960.0	30976.0	11424.0
BritoIL_2016__M1.44.ST__bin.56	10508.0	9349.0	11310.0	6529.0	11822.0	8405.0	11319.0	11448.0	10922.0	12556.0	10584.0	12799.0	9572.0	9834.0	12048.0	0.0	10157.0	10697.0	11409.0	10530.0	11386.0	11539.0	8959.0	10342.0	11154.0	10499.0	10434.0	11226.0	11455.0	14844.0	8504.0
ZeeviD_2015__PNP_Main_391__bin.26	10080.0	9234.0	21267.0	7815.0	8598.0	8924.0	31272.0	29545.0	18186.0	17230.0	19889.0	12309.0	8961.0	6996.0	16838.0	10157.0	0.0	15151.0	14340.0	10018.0	13740.0	11745.0	8619.0	11194.0	13057.0	9565.0	9079.0	12481.0	23690.0	29752.0	10060.0
HeQ_2017__SZAXPI029557-42__bin.38	13449.0	10987.0	19459.0	8097.0	11894.0	12529.0	23379.0	22393.0	8573.0	9145.0	5897.0	15746.0	11706.0	12372.0	7881.0	10697.0	15151.0	0.0	12959.0	12811.0	13191.0	15328.0	10934.0	11618.0	15000.0	12041.0	13127.0	12943.0	20991.0	27286.0	10728.0
ZeeviD_2015__PNP_Main_154__bin.30	3448.0	8336.0	22109.0	7374.0	10237.0	8750.0	27900.0	27446.0	14836.0	14751.0	14615.0	13441.0	9754.0	10277.0	12681.0	11409.0	14340.0	12959.0	0.0	10539.0	12343.0	12947.0	8598.0	11186.0	13783.0	11465.0	11130.0	3710.0	22767.0	29491.0	9913.0
ZeeviD_2015__PNP_Main_178__bin.19	8934.0	9193.0	20285.0	7159.0	8186.0	9913.0	27511.0	26541.0	15170.0	13679.0	14690.0	12377.0	2904.0	8165.0	12943.0	10530.0	10018.0	12811.0	10539.0	0.0	12846.0	11699.0	7896.0	9196.0	11836.0	8566.0	8291.0	9428.0	21318.0	27902.0	9645.0
KarlssonFH_2013__S248__bin.9	13242.0	9620.0	22561.0	6148.0	11561.0	9490.0	27397.0	26927.0	17131.0	16219.0	15363.0	13121.0	11538.0	11438.0	15535.0	11386.0	13740.0	13191.0	12343.0	12846.0	0.0	13455.0	9022.0	9213.0	12482.0	10702.0	8892.0	14756.0	24640.0	29175.0	10224.0
SchirmerM_2016__G89058__bin.16	12308.0	11306.0	21204.0	7617.0	9504.0	4044.0	28358.0	27703.0	18256.0	15951.0	14980.0	3476.0	10000.0	11327.0	16222.0	11539.0	11745.0	15328.0	12947.0	11699.0	13455.0	0.0	10554.0	11446.0	4407.0	13087.0	13029.0	12325.0	23211.0	29503.0	9962.0
FengQ_2015__SID31873__bin.66	8011.0	3503.0	19844.0	5416.0	6904.0	7769.0	24166.0	24709.0	13484.0	12878.0	11766.0	10980.0	6776.0	5732.0	12436.0	8959.0	8619.0	10934.0	8598.0	7896.0	9022.0	10554.0	0.0	7682.0	11464.0	6713.0	5310.0	8728.0	20973.0	27034.0	8084.0
QinN_2014__LD-74__bin.66	9684.0	8205.0	20599.0	4536.0	10721.0	9374.0	23462.0	24072.0	14291.0	12951.0	12709.0	12178.0	8653.0	9621.0	12576.0	10342.0	11194.0	11618.0	11186.0	9196.0	9213.0	11446.0	7682.0	0.0	11656.0	8971.0	9346.0	10388.0	21050.0	27025.0	8944.0
XieH_2016__YSZC12003_37880__bin.50	12880.0	12066.0	21598.0	7275.0	9688.0	3806.0	30914.0	30415.0	16568.0	15848.0	15400.0	4393.0	10851.0	11175.0	15929.0	11154.0	13057.0	15000.0	13783.0	11836.0	12482.0	4407.0	11464.0	11656.0	0.0	11638.0	11064.0	13824.0	23376.0	30061.0	10345.0
ZeeviD_2015__PNP_Main_384__bin.41	10261.0	8705.0	20787.0	6284.0	6145.0	8854.0	25885.0	25278.0	14647.0	15415.0	13464.0	11918.0	8105.0	9025.0	14272.0	10499.0	9565.0	12041.0	11465.0	8566.0	10702.0	13087.0	6713.0	8971.0	11638.0	0.0	7265.0	10488.0	22153.0	27562.0	9096.0
XieH_2016__YSZC12003_36052__bin.58	9656.0	5309.0	20997.0	5675.0	8238.0	8802.0	27110.0	26665.0	15801.0	16421.0	13801.0	12808.0	7604.0	6671.0	15092.0	10434.0	9079.0	13127.0	11130.0	8291.0	8892.0	13029.0	5310.0	9346.0	11064.0	7265.0	0.0	9887.0	23488.0	29050.0	8291.0
ZeeviD_2015__PNP_Main_137__bin.19	3478.0	8583.0	21903.0	7835.0	9701.0	8827.0	30797.0	29666.0	17144.0	15468.0	16747.0	14011.0	9229.0	9097.0	14120.0	11226.0	12481.0	12943.0	3710.0	9428.0	14756.0	12325.0	8728.0	10388.0	13824.0	10488.0	9887.0	0.0	23900.0	31101.0	10203.0
BackhedF_2015__SID560_4M__bin.10	23734.0	21360.0	8544.0	13371.0	21501.0	18443.0	19134.0	18887.0	23110.0	23521.0	22155.0	21944.0	19980.0	22498.0	23960.0	11455.0	23690.0	20991.0	22767.0	21318.0	24640.0	23211.0	20973.0	21050.0	23376.0	22153.0	23488.0	23900.0	0.0	17424.0	16179.0
