	ZeeviD_2015__PNP_Main_268__bin.39	XieH_2016__YSZC12003_37296R1__bin.33	VatanenT_2016__G80495__bin.7	LiuW_2016__SRR3993004__bin.12	CosteaPI_2017__SID713B032-11-90-0__bin.76	ZeeviD_2015__PNP_Main_381__bin.1	NielsenHB_2014__MH0101__bin.14	LeChatelierE_2013__MH0101__bin.15	QinJ_2012__CON-094__bin.7	QinJ_2012__T2D-083__bin.12	HeQ_2017__SZAXPI029573-88__bin.21	HMP_2012__SRS019601__bin.18	XieH_2016__YSZC12003_36058__bin.40	CosteaPI_2017__SID713A089-11-0-0__bin.48	HeQ_2017__SZAXPI029578-96__bin.47	BritoIL_2016__M1.44.ST__bin.56	ZeeviD_2015__PNP_Main_391__bin.26	HeQ_2017__SZAXPI029557-42__bin.38	ZeeviD_2015__PNP_Main_154__bin.30	ZeeviD_2015__PNP_Main_178__bin.19	KarlssonFH_2013__S248__bin.9	SchirmerM_2016__G89058__bin.16	FengQ_2015__SID31873__bin.66	QinN_2014__LD-74__bin.66	XieH_2016__YSZC12003_37880__bin.50	ZeeviD_2015__PNP_Main_384__bin.41	XieH_2016__YSZC12003_36052__bin.58	ZeeviD_2015__PNP_Main_137__bin.19	BackhedF_2015__SID560_4M__bin.10	VatanenT_2016__G78589__bin.6	LiuW_2016__SRR3993060__bin.98
ZeeviD_2015__PNP_Main_268__bin.39	1.0	0.8450867394767176	0.45101595382488013	0.39289617010882194	0.6962843800624077	0.6661607280102786	0.7404740935238885	0.7358307367723628	0.7727423454220447	0.716257033594649	0.8059419111526603	0.7564462868775303	0.6417284024616332	0.7890786857067174	0.8131539539105996	0.4315192693343491	0.8742590979532686	0.7762178539629014	0.8085727921658783	0.8014844949137052	0.7834856466492198	0.8029694409829002	0.7605353668844781	0.7458280201718065	0.8582965722172649	0.8251031293111533	0.7943391587174681	0.8944856875754679	0.43680906745193504	0.5337652824893987	0.41803197596759156
XieH_2016__YSZC12003_37296R1__bin.33	0.8673792886062627	1.0	0.44368223870629947	0.38120830630792135	0.6864416057609524	0.6598558769645586	0.7329897012921592	0.7288387303122423	0.7587928645635742	0.6927070912806788	0.8196553602596292	0.7422865532685341	0.6463610868465818	0.7716747662970262	0.8032112308406228	0.41777621073570087	0.8693704316579838	0.7469045498280241	0.7601869954544387	0.8018756435245349	0.7762818479527445	0.7721831362090686	0.7539731076616341	0.7542932781722762	0.8604470016924716	0.7819718203644983	0.7919093441168172	0.8543558238784358	0.42420839660394344	0.5266265769968734	0.4067653881124791
VatanenT_2016__G80495__bin.7	0.7437372562377678	0.7128397605913053	1.0	0.47064012545415224	0.7182213015921433	0.593514305163718	0.794488052149986	0.8030516478079799	0.7559877415436154	0.7156471745448381	0.7545465704964867	0.7470989258705614	0.6624710450562572	0.7523784370627531	0.7689014206056638	0.4906831373953597	0.7418964684401077	0.7367758474186724	0.7169374265000109	0.7023880820681017	0.7497400099797906	0.7153921000232224	0.7200163885380139	0.7316674487180646	0.7354159813753087	0.7415988814982227	0.741548397999153	0.7624278418091586	0.6075189592109269	0.7132271550210091	0.47417769022581
LiuW_2016__SRR3993004__bin.12	0.8047201561372789	0.7607144719377299	0.5845590686149945	1.0	0.7668296726833026	0.6304247242879405	0.7924336518869998	0.7955714462037243	0.8128121541017387	0.7725554542772414	0.7979178616004335	0.7958281988308185	0.7139841737416646	0.8164865548087655	0.8237581324249527	0.5096625452039731	0.7942652419645998	0.7908693749558603	0.7607322928141605	0.7524851872215076	0.7946797423497287	0.7800653036116316	0.7663227677537181	0.7808870440248251	0.7952955526352786	0.7889816821191267	0.8194263393873711	0.8208883112871491	0.5442093042135813	0.6387668745548906	0.5733444570803992
CosteaPI_2017__SID713B032-11-90-0__bin.76	0.5049788091524269	0.48504534285141354	0.315876378386691	0.27153031714521164	1.0	0.39559692189325163	0.49003677255935985	0.4900381748433065	0.49244426038169237	0.4580361854698142	0.5104956279123685	0.48535407903365807	0.42405089916783795	0.4987538369994489	0.5031944028303699	0.29417486574299784	0.5090346817539955	0.4773063714640826	0.4795037504084152	0.47556193023450394	0.5059585382031228	0.4736260772462135	0.4895207320670086	0.4757855945239877	0.5015060529586556	0.4898467630845946	0.49265694011359434	0.516608651063609	0.29858130933121807	0.3653239486259253	0.29014890853229014
ZeeviD_2015__PNP_Main_381__bin.1	0.9043222325366529	0.872741263623725	0.48859356175374097	0.4178403098645524	0.7404753134648817	1.0	0.7934382138866846	0.7980044638834036	0.816818918746298	0.7312505085519851	0.8656814684094069	0.8224954525609585	0.7121757625654993	0.8156653259851034	0.862036955215053	0.4430268664185954	0.9193386243154781	0.8053184257242874	0.8436971488716489	0.9000884552356138	0.8430842617050075	0.849371495365943	0.801743031853509	0.8021651846842078	0.942340922751719	0.8631244909011847	0.8537610098770638	0.8690740022975613	0.4610285130333671	0.5842507684056447	0.45110814024398244
NielsenHB_2014__MH0101__bin.14	0.5884671253940107	0.5675478062937228	0.3828882817598002	0.30747383420458746	0.5369755444442054	0.46449524113917634	1.0	0.8586114841642772	0.5796641804423164	0.5222274808206282	0.5929378730745078	0.5655189775645655	0.48280361491078994	0.5743280689299811	0.6011049203066241	0.3457301376079592	0.6080885267968272	0.5583924669553433	0.5550841597698782	0.5586193720618862	0.5815209095872785	0.5631938404739295	0.5600115347697502	0.559321087628396	0.5977254171622213	0.5634376482182059	0.5807925595613099	0.6131862086768922	0.3701257658687597	0.45735285229450745	0.3340883178187607
LeChatelierE_2013__MH0101__bin.15	0.6304096828609055	0.6083711800158473	0.41721584618740115	0.3327798744916581	0.5788797566032683	0.5036236185385705	0.9256127021288931	1.0	0.62470879911211	0.5674890325145566	0.6421322613864447	0.6100980930793718	0.5214236610556947	0.6194027172307548	0.6451984638618249	0.37327495051172394	0.6508576587421006	0.5981010858431781	0.5965928322754668	0.5993467823647803	0.6234821524708247	0.6064570811718161	0.6044270265345507	0.604965668802646	0.639079863172164	0.6058905542963002	0.6229250124928563	0.6559450811276425	0.4009972198218146	0.49826866957292376	0.36149825928267537
QinJ_2012__CON-094__bin.7	0.820937882151235	0.7854002993532272	0.4870378409319663	0.4215981436265562	0.7213502117793988	0.6392300624040557	0.7748893858328962	0.7746548742127599	1.0	0.7694569327112556	0.8566237036813874	0.7804269412426856	0.6840419806611789	0.803386142383131	0.8870129861237591	0.45458417152693426	0.8313005569394214	0.8298417919563541	0.7657554149931324	0.7715709608197842	0.7881007776884618	0.7801578519968065	0.7752830914725413	0.7790760173696081	0.8143503309181489	0.8097994360765829	0.815287350340504	0.8397060011694769	0.47344095990227886	0.5732532136650776	0.4449065445517302
QinJ_2012__T2D-083__bin.12	0.8829579604929935	0.8319802167025852	0.5349860464192431	0.4649793923985262	0.7785462454439821	0.6640382953789316	0.8100624683437447	0.8165516282488008	0.8928527872401705	1.0	0.8894983662889434	0.835362445501584	0.7290192767973305	0.8511036736153181	0.9171071893217865	0.5057707242951207	0.865748080761935	0.8768370559434309	0.8187079282160272	0.8090538379795612	0.8491086591651686	0.8495102839379886	0.8055560079848249	0.8272508963065219	0.8574454519271831	0.8618907350210049	0.8538324179916775	0.889114220734723	0.5165744704094706	0.6213576188537208	0.48968308984914244
HeQ_2017__SZAXPI029573-88__bin.21	0.6735336431125649	0.6673890479917225	0.38239655368360614	0.3255717064232241	0.5882488388665031	0.5329291696447952	0.6235228976118057	0.6263759761843077	0.673860586418872	0.6030170349850883	1.0	0.6256324090766356	0.5476058000927506	0.6416173513714114	0.7059209594358693	0.3539783398713018	0.6956771846895735	0.6597015713207701	0.6179419699869276	0.6506710417103174	0.6506424947659447	0.6379714218155749	0.6128021734458478	0.6317654238332514	0.679921156571372	0.6421500481258392	0.6540543932400835	0.6993023773141204	0.3626905441209184	0.45331901318060897	0.3453808620207682
