	ZeeviD_2015__PNP_Main_268__bin.39	XieH_2016__YSZC12003_37296R1__bin.33	VatanenT_2016__G80495__bin.7	LiuW_2016__SRR3993004__bin.12	CosteaPI_2017__SID713B032-11-90-0__bin.76	ZeeviD_2015__PNP_Main_381__bin.1	NielsenHB_2014__MH0101__bin.14	LeChatelierE_2013__MH0101__bin.15	QinJ_2012__CON-094__bin.7	QinJ_2012__T2D-083__bin.12	HeQ_2017__SZAXPI029573-88__bin.21	HMP_2012__SRS019601__bin.18	XieH_2016__YSZC12003_36058__bin.40	CosteaPI_2017__SID713A089-11-0-0__bin.48	HeQ_2017__SZAXPI029578-96__bin.47	BritoIL_2016__M1.44.ST__bin.56	ZeeviD_2015__PNP_Main_391__bin.26	HeQ_2017__SZAXPI029557-42__bin.38	ZeeviD_2015__PNP_Main_154__bin.30	ZeeviD_2015__PNP_Main_178__bin.19	KarlssonFH_2013__S248__bin.9	SchirmerM_2016__G89058__bin.16	FengQ_2015__SID31873__bin.66	QinN_2014__LD-74__bin.66	XieH_2016__YSZC12003_37880__bin.50	ZeeviD_2015__PNP_Main_384__bin.41	XieH_2016__YSZC12003_36052__bin.58	ZeeviD_2015__PNP_Main_137__bin.19	BackhedF_2015__SID560_4M__bin.10	VatanenT_2016__G78589__bin.6	LiuW_2016__SRR3993060__bin.98
ZeeviD_2015__PNP_Main_268__bin.39	1.0	0.8422956982646304	0.4440169209088979	0.3905785199070749	0.693474648122887	0.6633071695374657	0.7314635516313621	0.7269271831816968	0.7677274298992989	0.7114290253462376	0.8012714850717482	0.7522534411079348	0.6385722475567513	0.7861684105437616	0.8088502527920884	0.42813302512968304	0.8710107784269046	0.7718838609757912	0.8074616606453522	0.7986054783811123	0.7792183602238117	0.7990031397199548	0.7579537907212139	0.7427073131982639	0.8541459417113552	0.8217964818250401	0.7912274748537209	0.8933648884373038	0.4291606928846012	0.5241563150650809	0.4150340477380514
XieH_2016__YSZC12003_37296R1__bin.33	0.8645146224981304	1.0	0.43679526518089473	0.37931010531559123	0.6840687718318748	0.6568622165391221	0.7245716644467517	0.7204861828894661	0.7539499548354512	0.687991852851221	0.8150519169051683	0.7383773639448976	0.6434398616916315	0.7693439382097375	0.7988799985711399	0.4146839854216576	0.8663162431298123	0.7432705483813032	0.7574298246107265	0.7988350159374134	0.7730999881259077	0.7684436240258862	0.7528144740885147	0.7515794361889919	0.8564561159678757	0.7790926010513368	0.7901533676281814	0.8515169566337644	0.4171434770715909	0.5172728352190208	0.40417260233466484
VatanenT_2016__G80495__bin.7	0.7321956655399104	0.7017748404057174	1.0	0.463777558012183	0.7069778292414243	0.5841190602842061	0.785258074304271	0.7937286740429258	0.7451731132323628	0.7039445680552109	0.7436214098925339	0.7351279597279843	0.6521261789889802	0.741099891965312	0.756999005740771	0.48467294397978966	0.7305950729167718	0.7264352325934224	0.7051885877533408	0.6916085265035712	0.7377509760585991	0.7041241830308487	0.7094711826902179	0.7207210319039772	0.7239386907131087	0.7305525604965025	0.730390481894226	0.750788472544682	0.6029786327261674	0.7053597002449247	0.4657474772864109
LiuW_2016__SRR3993004__bin.12	0.799973202682108	0.7569265456475149	0.5760354094214354	1.0	0.7618081457246068	0.6262942411507798	0.7830677912739749	0.7862016253959371	0.8067787973812552	0.7660125524973319	0.7924283716273167	0.7908198725213306	0.7095533758350235	0.8124240550150257	0.8174006997664145	0.505353193270045	0.7891070882866019	0.7855250921240307	0.7558652134511975	0.7477600148375297	0.7906218627832117	0.7750378363607923	0.7627480319482112	0.777893136784467	0.7904938164858948	0.7848340381379957	0.8156806551746215	0.8157169569599433	0.535384010185621	0.6276908698369785	0.5705611001949076
CosteaPI_2017__SID713B032-11-90-0__bin.76	0.5029410568640164	0.4833686786792542	0.3109314577629738	0.2697522211009144	1.0	0.3937980253037464	0.48378211872951205	0.4837314027934431	0.4889408876550868	0.4543194318693333	0.5069674815027062	0.48310902243514087	0.4222316694611069	0.4968392519843487	0.49974899117355737	0.2914118989402006	0.5070252088585082	0.47452657725392605	0.47711122028151315	0.4736487475033503	0.5032565707520029	0.47140485947478855	0.48790717067244654	0.47327994682539276	0.4992418318128681	0.48841059060927833	0.4907316042549034	0.5143413916359372	0.2935562248085532	0.35882506367537687	0.2878606148454192
ZeeviD_2015__PNP_Main_381__bin.1	0.9004484881679091	0.8687817762966217	0.48085919693845147	0.4151026596940727	0.7371081524929766	1.0	0.7836521425677916	0.7881825205105031	0.8108558459636502	0.7258828243730484	0.8601213000382344	0.8204616820843588	0.707803746617309	0.8115334778131346	0.8565485309518955	0.43934998088282	0.9154346949256792	0.7998374383503755	0.8398693382305978	0.8957518738773578	0.8389327276497418	0.8476023906536676	0.7983443734683289	0.7980643964614407	0.9406759344888801	0.8592511839965143	0.849910451104203	0.865212506922869	0.45296036313017796	0.5735613337754637	0.44727901721071156
NielsenHB_2014__MH0101__bin.14	0.5813062973081781	0.5610297906429047	0.37844007092961435	0.30383976709189603	0.5301217809438638	0.4587662713498242	1.0	0.8583430907651157	0.5727020864001376	0.5155678415536494	0.5863553200796165	0.558355332372444	0.47705774248370436	0.5674161705998593	0.5939886537202705	0.34283133523667275	0.6000797497180332	0.5524050916891268	0.5479389538189205	0.5515737892333271	0.5745045222238954	0.5559313404611245	0.5538226083535909	0.5533124560147269	0.5898083240881027	0.5568084849192617	0.5738496730620102	0.6052990793696648	0.36522553752949	0.45077029929961615	0.329467751303808
LeChatelierE_2013__MH0101__bin.15	0.6227817242626453	0.6013991999050268	0.4123722070528731	0.32886056868034025	0.5714295968879674	0.49742495313453355	0.9253233648162514	1.0	0.6172641611012487	0.5603091602315803	0.6350539884651595	0.6024256847603718	0.5151973871294592	0.6119393054247985	0.6376820436932473	0.3701143268904245	0.6427007208585146	0.5919187094672385	0.5890153972728301	0.5920192044880414	0.616048005698399	0.598808692267129	0.5976052367844906	0.5983197453389912	0.63068273114545	0.59891167205493	0.615563200048591	0.6477547369321963	0.3957827982341589	0.4910054195529076	0.35647654517996613
QinJ_2012__CON-094__bin.7	0.8156101889650129	0.7803875706787211	0.4800706205211704	0.41846869732047365	0.7162183443548089	0.634563452339707	0.7655825268644186	0.7654233328449102	1.0	0.7655441833586446	0.8536000443689139	0.7742105003690563	0.6792514389085247	0.7981765608888024	0.8835651517786594	0.45084499500849723	0.8250745301893485	0.8269068020009832	0.7606762698889818	0.7663774699037715	0.7822359330686718	0.7739078605556248	0.7706668072595212	0.7741834545033762	0.80867823088542	0.8047849956384262	0.8098778348517818	0.8338367059641953	0.4655291883090651	0.5635536761151455	0.4410862304362532
QinJ_2012__T2D-083__bin.12	0.8770062865598713	0.8263169498763544	0.5262376975102045	0.46104140389905757	0.7722286996851755	0.6591639769194864	0.7997322501514534	0.8062206155465732	0.8883125602089561	1.0	0.8870258513670537	0.828609111042695	0.7238402637772989	0.8453105044144958	0.9144388277005889	0.5007827909147788	0.8589033776603668	0.8732041592595167	0.8128480201805524	0.8036197872699645	0.8426655808364203	0.8431736699407097	0.8004401585047324	0.8221060472137529	0.8511497551916258	0.8557670496866652	0.8473090941593588	0.8829694808870703	0.5072306363031452	0.6096536929814979	0.4850073988737822
