	CM_madagascar__A75_02_1FE__bin.75	BritoIL_2016__W2.54.ST__bin.11	BritoIL_2016__W2.15.ST__bin.48	CM_madagascar__V40_01_1FE__bin.70	CM_madagascar__A90_04_1FE__bin.99	ZeeviD_2015__PNP_Main_447__bin.51	ZeeviD_2015__PNP_Main_104__bin.52	ZeeviD_2015__PNP_Main_215__bin.39	CosteaPI_2017__SID713B046-11-0-0__bin.46	CosteaPI_2017__SID713A087-11-90-0__bin.49	CM_madagascar__A32_01_1FE__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.14	KarlssonFH_2013__S422__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.67	BritoIL_2016__M1.24.ST__bin.15	LiuW_2016__SRR3993060__bin.85	BritoIL_2016__M1.22.ST__bin.44	WenC_2017__N277__bin.36	ZeeviD_2015__PNP_Validation_4__bin.6	CM_madagascar__A89_01_1FE__bin.11	BritoIL_2016__M2.46.ST__bin.21	CM_madagascar__A73_01_1FE__bin.6	XieH_2016__YSZC12003_36244__bin.70	CM_madagascar__A94_02_1FE__bin.45	Obregon-TitoAJ_2015__HCO02__bin.18	BritoIL_2016__W1.33.ST__bin.82	CosteaPI_2017__SID713B041-11-0-0__bin.33	BritoIL_2016__W1.53.ST__bin.16	FengQ_2015__SID530315__bin.14	LiJ_2014__MH0399__bin.44	BritoIL_2016__WL.43.ST__bin.84	XieH_2016__YSZC12003_36006__bin.69
CM_madagascar__A75_02_1FE__bin.75	1.0	0.9781544791818266	0.9770827866440834	0.9870111853397646	0.9875673660686689	0.9759083102931684	0.9780558213966332	0.9763637352970517	0.9754102526802474	0.9755832589129214	0.9789460734908759	0.9764120299828258	0.9764240981774397	0.976840951724666	0.978316050898363	0.9765183928028729	0.9763583598669431	0.9772138841687332	0.9771825396825397	0.9784207316655361	0.97706544799858	0.9776110604340029	0.9752170796980769	0.9790095853688353	0.9747783192331152	0.9789365552079013	0.975728976388607	0.9783811605012583	0.9757975167015409	0.9771465296329883	0.9769651197587029	0.9772988119240467
BritoIL_2016__W2.54.ST__bin.11	0.9781544791818266	1.0	0.9769135900195358	0.9781576765126433	0.9785612855979867	0.9756656428771668	0.9788175808722235	0.9768751487317201	0.9754068823674392	0.9759556416119286	0.9788894600133946	0.9766573729529173	0.9764927198543466	0.9779812776148429	0.9796902860122251	0.9772912871411521	0.9772133103329171	0.9785266420067124	0.9770711525364516	0.9779011241311657	0.9776280835576132	0.9783415787704808	0.9759727194334841	0.9776895173166279	0.9750324199775562	0.9993689550261056	0.9766092371165527	0.9995978759682982	0.976169696638643	0.9774199837591969	0.9778170710113756	0.9780772253631823
BritoIL_2016__W2.15.ST__bin.48	0.9770827866440834	0.9769135900195358	1.0	0.976734103778508	0.9771326051278344	0.9763060662804288	0.977637204643037	0.9763694128146682	0.975858329222723	0.9765743590824759	0.9772441786680902	0.9760106107559157	0.9766053326679345	0.9759667841559623	0.97771647271385	0.9770877803923854	0.97762758045924	0.976565668467955	0.9769188596491228	0.9769217188064871	0.9759803413488115	0.9766914516845654	0.9760615160104398	0.9766349299663414	0.9750576177218931	0.979066985645933	0.9771679507910841	0.9773577451471437	0.9760207167746747	0.9764301788463816	0.9777073150901683	0.9767855836368553
CM_madagascar__V40_01_1FE__bin.70	0.9870111853397646	0.9781576765126433	0.976734103778508	1.0	0.988869424780151	0.974448760045888	0.9782070279183056	0.976172045580551	0.9747997301194256	0.9751981349507002	0.9779554137925073	0.9760627651909375	0.975566367275568	0.9768805423740965	0.9782494047074081	0.9765969308800772	0.9764143413521812	0.9769552575486223	0.9761965740549381	0.979016088900121	0.9770511831332811	0.9770114744791756	0.9751250955485952	0.9788854178465012	0.9746964553156674	0.9792396259821875	0.9757214022246723	0.9782735976998799	0.9754607530908092	0.9769488919423688	0.9773894536213469	0.9774856490294097
CM_madagascar__A90_04_1FE__bin.99	0.9875673660686689	0.9785612855979867	0.9771326051278344	0.988869424780151	1.0	0.9763814085647425	0.9782149294218221	0.9762188161902494	0.9750571045367781	0.976140659070903	0.9784614614364032	0.9763550736956097	0.9764005500327109	0.9772391250489503	0.9779554715448165	0.976666765990545	0.9768209784852085	0.9775929201022733	0.9766552981300718	0.9789036750861554	0.9779169586061933	0.9776535862510537	0.9751358436542279	0.9787656611148957	0.9748637331732226	0.9793396902151772	0.9760440134552618	0.97866469383748	0.9759530675676568	0.9774427064179102	0.9776857669462437	0.9772293895204065
ZeeviD_2015__PNP_Main_447__bin.51	0.9759083102931684	0.9756656428771668	0.9763060662804288	0.974448760045888	0.9763814085647425	1.0	0.9769507801303535	0.9787328392820345	0.9774423731352867	0.9788959918863717	0.9762008272393464	0.9756916745231706	0.9938197880711579	0.9756370550503666	0.9765781887311121	0.9817790127741646	0.9782493742729228	0.9757659857904085	0.9990522609098111	0.9755097978293998	0.9752951022114308	0.9765183331883305	0.977618416845567	0.9755767625615472	0.9770708010866497	0.9776636211885845	0.978342483552716	0.9758603827727678	0.9784964863169193	0.9761048292901078	0.9752718899799103	0.9771094390812283
ZeeviD_2015__PNP_Main_104__bin.52	0.9780558213966332	0.9788175808722235	0.977637204643037	0.9782070279183056	0.9782149294218221	0.9769507801303535	1.0	0.9771761335153589	0.976872919019827	0.9773220942121746	0.9782389521414636	0.9761484244528434	0.9780214866104503	0.9769716933943884	0.9791070100105718	0.9779684718716184	0.9779409561389812	0.9781285033950192	0.9787017252772164	0.9778103320298569	0.9767858675133001	0.9783290892179137	0.9770237893508058	0.9781206813641239	0.9759651338673699	0.9795266226477154	0.977784299880835	0.9790637461907594	0.9771636655519202	0.9777440070212957	0.9784083460531804	0.9902595505797002
ZeeviD_2015__PNP_Main_215__bin.39	0.9763637352970517	0.9768751487317201	0.9763694128146682	0.976172045580551	0.9762188161902494	0.9787328392820345	0.9771761335153589	1.0	0.9775371534959287	0.9784667117340644	0.9766130091222975	0.975586120758873	0.9799119151237137	0.9756050538888169	0.9770212329201328	0.9786847656064843	0.9771224010384617	0.9758212940447242	0.9797626266768676	0.9759498350765771	0.9753604293260378	0.9762631346051995	0.9935485038968899	0.9762821633322563	0.9772988255164469	0.9782337501357411	0.9781096834017751	0.9766911086291459	0.9950724983762701	0.9766191832025235	0.9761224468305422	0.9769185937339461
CosteaPI_2017__SID713B046-11-0-0__bin.46	0.9754102526802474	0.9754068823674392	0.975858329222723	0.9747997301194256	0.9750571045367781	0.9774423731352867	0.976872919019827	0.9775371534959287	1.0	0.9773143251724108	0.9758842337365544	0.974636944655359	0.9782514021275226	0.9748112406737256	0.9761606848226736	0.977698168471007	0.9774420064913817	0.9757835841668677	0.9781941840345999	0.9750649642225385	0.9750610916205218	0.975241918993142	0.9763844945010314	0.9751192469103918	0.9762964092535947	0.9768499857478486	0.9778707633450894	0.9756706031628546	0.977609484171335	0.9752538054581056	0.9751502357837293	0.9763303131108867
CosteaPI_2017__SID713A087-11-90-0__bin.49	0.9755832589129214	0.9759556416119286	0.9765743590824759	0.9751981349507002	0.976140659070903	0.9788959918863717	0.9773220942121746	0.9784667117340644	0.9773143251724108	1.0	0.9766238598110858	0.974945820771862	0.9790458822232688	0.9756318096543762	0.9762540743257698	0.9789035779331587	0.9782575233083298	0.9761817510147908	0.9794430044240027	0.9754270567445513	0.9753407949908622	0.9762018811078929	0.9780337135063218	0.9756060822973286	0.9772708308878539	0.9777234922392957	0.9787578117347765	0.9757384740066931	0.9786325602909172	0.9763825376212458	0.975515308246889	0.9770350216430473
