	CM_madagascar__A75_02_1FE__bin.75	BritoIL_2016__W2.54.ST__bin.11	BritoIL_2016__W2.15.ST__bin.48	CM_madagascar__V40_01_1FE__bin.70	CM_madagascar__A90_04_1FE__bin.99	ZeeviD_2015__PNP_Main_447__bin.51	ZeeviD_2015__PNP_Main_104__bin.52	ZeeviD_2015__PNP_Main_215__bin.39	CosteaPI_2017__SID713B046-11-0-0__bin.46	CosteaPI_2017__SID713A087-11-90-0__bin.49	CM_madagascar__A32_01_1FE__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.14	KarlssonFH_2013__S422__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.67	BritoIL_2016__M1.24.ST__bin.15	LiuW_2016__SRR3993060__bin.85	BritoIL_2016__M1.22.ST__bin.44	WenC_2017__N277__bin.36	ZeeviD_2015__PNP_Validation_4__bin.6	CM_madagascar__A89_01_1FE__bin.11	BritoIL_2016__M2.46.ST__bin.21	CM_madagascar__A73_01_1FE__bin.6	XieH_2016__YSZC12003_36244__bin.70	CM_madagascar__A94_02_1FE__bin.45	Obregon-TitoAJ_2015__HCO02__bin.18	BritoIL_2016__W1.33.ST__bin.82	CosteaPI_2017__SID713B041-11-0-0__bin.33	BritoIL_2016__W1.53.ST__bin.16	FengQ_2015__SID530315__bin.14	LiJ_2014__MH0399__bin.44	BritoIL_2016__WL.43.ST__bin.84	XieH_2016__YSZC12003_36006__bin.69
CM_madagascar__A75_02_1FE__bin.75	1617659.0	1511660.0	1509084.0	1528161.0	1067674.0	1477854.0	1274780.0	1102670.0	1141126.0	1412023.0	1349392.0	846618.0	925182.0	835872.0	1277212.0	1306299.0	1418641.0	1355299.0	936432.0	1459410.0	1064769.0	1128057.0	965544.0	1496969.0	1405061.0	954972.0	1478100.0	1146315.0	1482947.0	1468836.0	1517134.0	1464637.0
BritoIL_2016__W2.54.ST__bin.11	1511660.0	1880579.0	1654913.0	1618326.0	1076044.0	1623055.0	1325486.0	1151402.0	1176630.0	1518901.0	1387127.0	926074.0	991395.0	888562.0	1338719.0	1369034.0	1511277.0	1458505.0	1019022.0	1527046.0	1147376.0	1148514.0	994994.0	1609378.0	1489051.0	984082.0	1570620.0	1273239.0	1611016.0	1584897.0	1615206.0	1577720.0
BritoIL_2016__W2.15.ST__bin.48	1509084.0	1654913.0	1932956.0	1619237.0	1079091.0	1591420.0	1325684.0	1160826.0	1183928.0	1517824.0	1389974.0	894187.0	1005913.0	899089.0	1338298.0	1372630.0	1550257.0	1459696.0	1039680.0	1546259.0	1157760.0	1172617.0	997724.0	1592163.0	1502142.0	969760.0	1576950.0	1209906.0	1616854.0	1595727.0	1598955.0	1571825.0
CM_madagascar__V40_01_1FE__bin.70	1528161.0	1618326.0	1619237.0	1836753.0	1082334.0	1582115.0	1316663.0	1138117.0	1167924.0	1507306.0	1388232.0	899352.0	988228.0	892668.0	1321619.0	1359608.0	1497181.0	1432778.0	1011283.0	1511539.0	1126289.0	1162580.0	991642.0	1580377.0	1471612.0	972574.0	1559151.0	1204111.0	1586316.0	1584349.0	1574000.0	1542927.0
CM_madagascar__A90_04_1FE__bin.99	1067674.0	1076044.0	1079091.0	1082334.0	1195598.0	1057218.0	939313.0	819135.0	873836.0	1042862.0	998675.0	635316.0	735229.0	625635.0	964956.0	973247.0	1023296.0	984421.0	731258.0	1064356.0	725036.0	868372.0	744606.0	1075993.0	1022626.0	751102.0	1060403.0	855624.0	1060759.0	1049594.0	1072096.0	1056186.0
ZeeviD_2015__PNP_Main_447__bin.51	1477854.0	1623055.0	1591420.0	1582115.0	1057218.0	1899384.0	1320869.0	1150083.0	1168075.0	1492797.0	1387023.0	882496.0	1035725.0	889876.0	1344516.0	1391637.0	1503451.0	1441280.0	1086797.0	1486962.0	1150703.0	1137909.0	985185.0	1553889.0	1480514.0	966898.0	1557704.0	1179969.0	1587508.0	1589861.0	1560006.0	1549547.0
ZeeviD_2015__PNP_Main_104__bin.52	1274780.0	1325486.0	1325684.0	1316663.0	939313.0	1320869.0	1356957.0	1009382.0	1017249.0	1242090.0	1192222.0	728128.0	827399.0	723718.0	1149285.0	1163469.0	1268142.0	1212217.0	829316.0	1275819.0	932320.0	983715.0	849792.0	1318414.0	1242237.0	854329.0	1301557.0	1003809.0	1325563.0	1294348.0	1308978.0	1318009.0
ZeeviD_2015__PNP_Main_215__bin.39	1102670.0	1151402.0	1160826.0	1138117.0	819135.0	1150083.0	1009382.0	1279728.0	881411.0	1090219.0	1035704.0	650122.0	726799.0	648372.0	993787.0	1012656.0	1113185.0	1048650.0	743723.0	1106271.0	818399.0	872314.0	773309.0	1132734.0	1089415.0	755114.0	1147448.0	885499.0	1180923.0	1139695.0	1139564.0	1129004.0
CosteaPI_2017__SID713B046-11-0-0__bin.46	1141126.0	1176630.0	1183928.0	1167924.0	873836.0	1168075.0	1017249.0	881411.0	1245842.0	1144070.0	1058063.0	669044.0	792189.0	671490.0	1033377.0	1078880.0	1130730.0	1077740.0	801621.0	1140243.0	798391.0	909602.0	810061.0	1165439.0	1114810.0	796371.0	1171030.0	907914.0	1166744.0	1154723.0	1162506.0	1157641.0
CosteaPI_2017__SID713A087-11-90-0__bin.49	1412023.0	1518901.0	1517824.0	1507306.0	1042862.0	1492797.0	1242090.0	1090219.0	1144070.0	1605426.0	1295509.0	891947.0	997990.0	886976.0	1271376.0	1358382.0	1448731.0	1350771.0	1026220.0	1426040.0	1029798.0	1116895.0	956056.0	1473851.0	1414174.0	966085.0	1500787.0	1145064.0	1517683.0	1476958.0	1481783.0	1469063.0
