	CM_madagascar__A75_02_1FE__bin.75	BritoIL_2016__W2.54.ST__bin.11	BritoIL_2016__W2.15.ST__bin.48	CM_madagascar__V40_01_1FE__bin.70	CM_madagascar__A90_04_1FE__bin.99	ZeeviD_2015__PNP_Main_447__bin.51	ZeeviD_2015__PNP_Main_104__bin.52	ZeeviD_2015__PNP_Main_215__bin.39	CosteaPI_2017__SID713B046-11-0-0__bin.46	CosteaPI_2017__SID713A087-11-90-0__bin.49	CM_madagascar__A32_01_1FE__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.14	KarlssonFH_2013__S422__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.67	BritoIL_2016__M1.24.ST__bin.15	LiuW_2016__SRR3993060__bin.85	BritoIL_2016__M1.22.ST__bin.44	WenC_2017__N277__bin.36	ZeeviD_2015__PNP_Validation_4__bin.6	CM_madagascar__A89_01_1FE__bin.11	BritoIL_2016__M2.46.ST__bin.21	CM_madagascar__A73_01_1FE__bin.6	XieH_2016__YSZC12003_36244__bin.70	CM_madagascar__A94_02_1FE__bin.45	Obregon-TitoAJ_2015__HCO02__bin.18	BritoIL_2016__W1.33.ST__bin.82	CosteaPI_2017__SID713B041-11-0-0__bin.33	BritoIL_2016__W1.53.ST__bin.16	FengQ_2015__SID530315__bin.14	LiJ_2014__MH0399__bin.44	BritoIL_2016__WL.43.ST__bin.84	XieH_2016__YSZC12003_36006__bin.69
CM_madagascar__A75_02_1FE__bin.75	1.0	0.9344738291568248	0.9328814045481774	0.9446743720400901	0.6600117824584786	0.9135757288773468	0.7880400010138107	0.6816455136712991	0.7054181381861072	0.8728805020093852	0.8341634423571346	0.5233599911971559	0.571926469051883	0.5167170584158961	0.7895434080977511	0.8075243299113101	0.8769715990823777	0.8378150154018863	0.5788809631696173	0.902174067587792	0.6582159775329659	0.6973391796416921	0.596877339414549	0.9253921871049461	0.8685767519607037	0.5903419694756435	0.9137278004820546	0.7086258599618337	0.916724105636602	0.908001006392571	0.9378577314502006	0.9054052800992051
BritoIL_2016__W2.54.ST__bin.11	0.8038269065006043	1.0	0.880001850493917	0.8605466720621681	0.5721876081781196	0.8630613231350558	0.7048286724460924	0.6122593094998934	0.6256743268961314	0.8076773164009595	0.7376063435782277	0.4924408918742579	0.527175407148543	0.47249384365134356	0.7118653350909481	0.7279853704630329	0.8036232458195056	0.7755616754201764	0.5418660954950576	0.8120084293188428	0.6101184794682915	0.6107236122492062	0.5290891794495206	0.8557885629904407	0.7918045453022713	0.5232867111671459	0.8351789528650485	0.6770462713876949	0.8566595713341476	0.842770763685014	0.8588876085503454	0.8389543858566962
BritoIL_2016__W2.15.ST__bin.48	0.7807130633082181	0.8561565809051008	1.0	0.8376998752170252	0.5582594740904604	0.8233089630596868	0.6858324762695064	0.6005444510894196	0.6124960940652555	0.7852346354495394	0.719092415968082	0.46260080415694926	0.520401395582724	0.46513681635795123	0.6923582326757567	0.7101196302450754	0.8020135998957038	0.7551625593133005	0.5378704947241427	0.799945265179342	0.5989582794435052	0.6066444347414013	0.5161648790763991	0.8236933484259341	0.7771216727126743	0.5016979175935717	0.8158230192513435	0.6259356136404554	0.8364670483963422	0.8255371565622808	0.8272071376689382	0.8131716397062323
CM_madagascar__V40_01_1FE__bin.70	0.8319904744949376	0.8810798185711416	0.8815758025167238	1.0	0.5892648603268921	0.8613651372830207	0.7168427110232024	0.6196353020792671	0.6358633958948209	0.82063619877033	0.7558076671169177	0.48964231989821166	0.5380298820799531	0.486003289500548	0.7195409507974126	0.7402236446598971	0.8151237537110324	0.7800602476217543	0.5505819236446055	0.8229408091343801	0.6131956773719711	0.6329539137815482	0.5398885968880954	0.8604189022693851	0.8012029924546197	0.5295072336890153	0.8488626396690246	0.655565010646505	0.8636523255984881	0.8625814140496845	0.8569470146503095	0.8400296610377117
CM_madagascar__A90_04_1FE__bin.99	0.8930041702980434	0.9000048511288912	0.9025533665998103	0.905265816771189	1.0	0.8842587558694478	0.7856428331261845	0.6851257696985107	0.7308777699527768	0.8722513754623209	0.835293300925562	0.5313792763119376	0.6149466626742434	0.5232820730713835	0.807090677635794	0.8140252827455382	0.8558863430684895	0.8233712334747967	0.6116253121868722	0.8902289900116929	0.6064212218488154	0.7263076719767012	0.6227895998487786	0.8999621946507104	0.8553259540414085	0.6282228642068656	0.886922694751915	0.7156452252345689	0.8872204536976476	0.8778820305821856	0.896702737876778	0.8833955894874365
ZeeviD_2015__PNP_Main_447__bin.51	0.7780701532707446	0.8545165169339112	0.8378611170779579	0.8329621603635705	0.5566109854563375	1.0	0.6954196729044785	0.6055031526010538	0.6149756973839939	0.7859374407702708	0.7302488596302801	0.4646222143600241	0.5452952115001495	0.4685076845966903	0.7078694987427503	0.7326780682579194	0.7915466277487859	0.7588144366805238	0.5721839291054363	0.7828653921481912	0.6058295742198523	0.5990937061700004	0.5186865847032511	0.8181015529245271	0.7794706073126867	0.5090587264081408	0.8201100988531018	0.6212377276001061	0.8358015019606356	0.8370403246526242	0.8213220707345118	0.8158155486199736
ZeeviD_2015__PNP_Main_104__bin.52	0.9394402328150413	0.9768076659761511	0.97695358069563	0.9703056176430056	0.692220166151175	0.9734052000173918	1.0	0.7438570271570875	0.749654557955779	0.9153495652404608	0.8785996903365397	0.5365888528523748	0.6097459241523497	0.5333389341003436	0.8469575675574097	0.8574103674619019	0.934548404997358	0.8933348661748309	0.611158643936396	0.940205916620792	0.6870667235586684	0.7249419104658438	0.626248289370997	0.9715960048844584	0.9154578958655285	0.6295917998875425	0.9591733562670004	0.7397500436638744	0.9768644105892818	0.9538607339805167	0.9646422104753504	0.9712975429582514
ZeeviD_2015__PNP_Main_215__bin.39	0.8616440368578323	0.8997240038508183	0.9070880687146019	0.8893428916144681	0.6400852368628334	0.898693316079667	0.7887472963004638	1.0	0.6887487028493555	0.8519146256079417	0.8093157295925384	0.5080157658502432	0.5679324043859321	0.5066482877611492	0.7765611129865096	0.7913056524511458	0.8698606266331596	0.8194319417876299	0.5811570896315467	0.8644579160571622	0.639510114649363	0.6816401610342198	0.6042760649137942	0.8851365290124151	0.8512863671030094	0.5900581998674719	0.8966342847855169	0.6919431316654789	0.9227921870897565	0.8905759661428053	0.890473600640136	0.8822218471425178
CosteaPI_2017__SID713B046-11-0-0__bin.46	0.9159476081236626	0.9444456038566689	0.9503034895275645	0.9374575588236711	0.7014019434246076	0.9375787619938964	0.8165152563487184	0.7074821686859168	1.0	0.9183106686080579	0.8492754297896523	0.5370215484788601	0.6358663458127114	0.5389848793025118	0.829460718132797	0.8659846112107313	0.9076030507881416	0.8650695674090294	0.6434371292667931	0.9152388505123442	0.6408445051619708	0.7301102386980051	0.6502116640793937	0.935462923869961	0.8948245443643736	0.639223111758955	0.9399506518483082	0.7287553317354849	0.9365104082219093	0.9268615121339624	0.9331086927555822	0.9292037031983189
CosteaPI_2017__SID713A087-11-90-0__bin.49	0.8795316632470136	0.9461046476137798	0.9454337976337744	0.9388822655170652	0.6495858420132725	0.9298447888597793	0.7736824992245049	0.6790839316169042	0.7126270535048018	1.0	0.8069565336552417	0.5555827549821667	0.6216356281759483	0.5524863805619193	0.7919243864245378	0.8461193477619025	0.9023966224541026	0.8413785499923385	0.6392197460362545	0.8882626791891997	0.6414484379846844	0.69570008209659	0.5955154582023712	0.9180435597779032	0.8808714945441273	0.6017623982668775	0.9348216610419914	0.7132462038113249	0.9453459704776178	0.9199788716515118	0.9229843044774408	0.9150611737943698
