	CM_madagascar__A75_02_1FE__bin.75	BritoIL_2016__W2.54.ST__bin.11	BritoIL_2016__W2.15.ST__bin.48	CM_madagascar__V40_01_1FE__bin.70	CM_madagascar__A90_04_1FE__bin.99	ZeeviD_2015__PNP_Main_447__bin.51	ZeeviD_2015__PNP_Main_104__bin.52	ZeeviD_2015__PNP_Main_215__bin.39	CosteaPI_2017__SID713B046-11-0-0__bin.46	CosteaPI_2017__SID713A087-11-90-0__bin.49	CM_madagascar__A32_01_1FE__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.14	KarlssonFH_2013__S422__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.67	BritoIL_2016__M1.24.ST__bin.15	LiuW_2016__SRR3993060__bin.85	BritoIL_2016__M1.22.ST__bin.44	WenC_2017__N277__bin.36	ZeeviD_2015__PNP_Validation_4__bin.6	CM_madagascar__A89_01_1FE__bin.11	BritoIL_2016__M2.46.ST__bin.21	CM_madagascar__A73_01_1FE__bin.6	XieH_2016__YSZC12003_36244__bin.70	CM_madagascar__A94_02_1FE__bin.45	Obregon-TitoAJ_2015__HCO02__bin.18	BritoIL_2016__W1.33.ST__bin.82	CosteaPI_2017__SID713B041-11-0-0__bin.33	BritoIL_2016__W1.53.ST__bin.16	FengQ_2015__SID530315__bin.14	LiJ_2014__MH0399__bin.44	BritoIL_2016__WL.43.ST__bin.84	XieH_2016__YSZC12003_36006__bin.69
CM_madagascar__A75_02_1FE__bin.75	1.0	0.9140597616679411	0.9115023623643796	0.9324041717073871	0.651806097576807	0.8915661458935412	0.7707471104849662	0.6655339598765871	0.6880720844133406	0.8515676047918628	0.8166010265451495	0.5110149914166089	0.5584427867677922	0.5047503831153538	0.7724229890230265	0.7885623607942094	0.8562385521299606	0.8187244654157644	0.5656723697639614	0.8827058112989202	0.6431200889680706	0.6817264948916923	0.5820849758818144	0.9059678214011729	0.8466697864012132	0.5779073339931345	0.8915506914621685	0.6933061912306611	0.8945371057806373	0.8872500322997615	0.9162542909228707	0.8848515045507118
BritoIL_2016__W2.54.ST__bin.11	0.7862668890804374	1.0	0.8596857669898472	0.8417503332750179	0.5599206414620178	0.8420592806789824	0.689898696093065	0.5981009040300886	0.6102870445751016	0.7882572335434991	0.7220350753677458	0.48094602779250434	0.5147829471668034	0.4620901328792888	0.6974075537374393	0.7114537597197459	0.7853113323077627	0.758907761918005	0.5294417304457829	0.7940639558348785	0.5964689598256707	0.5974963030002993	0.5163766052901793	0.8366955070752146	0.7720351019553021	0.5229564937181581	0.8156434800133363	0.6767740148113958	0.8362451138718447	0.8237409861537324	0.8398349657206636	0.8205621779249901
BritoIL_2016__W2.15.ST__bin.48	0.7628212954666325	0.8363909990708532	1.0	0.818210036855469	0.5454935342553063	0.8038015350582217	0.6704953449535322	0.5863532330792838	0.597709415009964	0.7668400108434956	0.702728877429181	0.4515032934014018	0.5082267780539236	0.45395808285341205	0.6769300491061359	0.6938492133292222	0.7840706151614418	0.737465829537765	0.525455830344819	0.7814839034101139	0.5845715060249691	0.5925044336239418	0.5038086743826554	0.8044476956537034	0.7577384068752729	0.49119586788318	0.7971961079300305	0.6117630199549292	0.8164091681341945	0.8060793934264412	0.8087664695937208	0.7942943346873907
CM_madagascar__V40_01_1FE__bin.70	0.8211839044226416	0.8618349881557291	0.8610651513839912	1.0	0.5827060034746098	0.8393561899721955	0.7012205778349077	0.6048706603446409	0.6198394667110928	0.8002828905138579	0.7391461998428749	0.47792163671435406	0.5248838575464421	0.47476715704289035	0.7038905067801713	0.7229001395397203	0.7958985231002753	0.7620839601187531	0.5374761875984414	0.8056722923550418	0.5991235620684981	0.6184032365810753	0.526458919626101	0.842251516670995	0.7809297167338232	0.5185144654724941	0.8282534450739975	0.6413219414913165	0.84245894793693	0.8426979566659208	0.8375709744315104	0.8211169384234027
CM_madagascar__A90_04_1FE__bin.99	0.8819017763495758	0.8807099041651124	0.8819143223725701	0.8951896875036592	1.0	0.8633738095915182	0.768527548557291	0.6688326678365135	0.7126475621404519	0.8514400325192916	0.8173023039516627	0.5188148524838616	0.6004342596759111	0.5113717152420797	0.7892987442267384	0.7950314403336238	0.8360477351082889	0.8049218884608371	0.5973471016177679	0.8714484299906825	0.5930295969046452	0.7100773002296759	0.6073044618676177	0.880852092425715	0.8338262526367558	0.615243585218443	0.8656755866102152	0.7003767152504438	0.8658855233949874	0.8580793878879022	0.8766935040038542	0.8632801326198272
ZeeviD_2015__PNP_Main_447__bin.51	0.7593251285679988	0.8337224068434819	0.8180088913037068	0.8116789443314254	0.5434646180024681	1.0	0.6793907919620256	0.5926258197394524	0.601103305071539	0.7693510106434508	0.7128695408616688	0.45332802634959546	0.5419251715292958	0.4570934576683809	0.6912899129401954	0.719327950535542	0.7743299933030919	0.7404253168395649	0.5716416480290452	0.7636928604221158	0.5908626165114584	0.5850259873727481	0.5070775577766264	0.7981208644486845	0.7615979707105042	0.4976881978578318	0.8023485508986071	0.606241286648724	0.8178288329268857	0.8170391032039862	0.8010123282074609	0.797141073105807
ZeeviD_2015__PNP_Main_104__bin.52	0.9188249885589596	0.9561165165882192	0.9551061676972814	0.9491597744070004	0.6771401009759336	0.9509689695399338	1.0	0.7268793336855921	0.7323172362867798	0.8945913540370107	0.8594804404266311	0.5237903632908043	0.596344615194144	0.5210570416011708	0.8292620915769623	0.838520306833599	0.9139331607412762	0.8737962956821772	0.5981420192386347	0.9193430595074126	0.6711170656107747	0.7092317590019434	0.6118594767557114	0.9503381463082471	0.8934549878883413	0.6167019293905408	0.9378646486218798	0.7242624489943308	0.9545564081986386	0.9326316161823847	0.9438139896842714	0.961836668369005
ZeeviD_2015__PNP_Main_215__bin.39	0.8412779903229436	0.8789180200792668	0.8856530450220672	0.8681516697298176	0.6248632521910906	0.8795806608904393	0.7707450333195804	1.0	0.6732774464573723	0.8335701023967593	0.7903882700073765	0.4956131302901867	0.5565237300426341	0.4942886300838928	0.7587166960479101	0.7744387869922358	0.8499603040646138	0.7996191378167861	0.569395996649288	0.843667560606629	0.6237528599827464	0.6654601602840604	0.6003775802358001	0.8641430053886451	0.831961166747934	0.5772148456547017	0.877006676418739	0.6758147043746797	0.9182451270895065	0.8697535726341847	0.8692112698948526	0.8618589262718328
CosteaPI_2017__SID713B046-11-0-0__bin.46	0.89342468788177	0.9212187420234669	0.9273615755448925	0.9138333753397301	0.6839069480720669	0.9164292101245582	0.7976316418935948	0.6915901053263577	1.0	0.8974781713893094	0.8287945020315578	0.5234010412235259	0.6220371443569891	0.5254085188972598	0.8096869426460177	0.846671568304809	0.8871293470600605	0.8441206830400645	0.629406457640696	0.8924173370298962	0.6248625427622443	0.7120341102643835	0.6348565869508332	0.9121879018366695	0.873613989574922	0.6244250876114307	0.9191502614296194	0.7110251540725068	0.9155414571029071	0.9039252168413009	0.9099211617524533	0.9072097424874102
CosteaPI_2017__SID713A087-11-90-0__bin.49	0.8580563663476237	0.9233561683939341	0.9232864049791145	0.91559623427053	0.6340871519459633	0.9102213368912675	0.7561370003974024	0.6644610215606325	0.6964606278956489	1.0	0.7880930045981565	0.5416630850627808	0.6086098020089372	0.5390232872770218	0.7731194088048904	0.8282692568825969	0.8827762849237524	0.8213383861978066	0.6260793085448971	0.8664354507775507	0.6256308294496289	0.6791437288296066	0.5824341950360838	0.8956488807332135	0.8608500173785649	0.5883572335317854	0.9149640033237284	0.6959417624979289	0.9251463474492129	0.8982513052610335	0.9003853182893512	0.8940468137428944
CM_madagascar__A32_01_1FE__bin.71	0.6014414758964832	0.618224699047515	0.6184523484310405	0.6181268098125989	0.4449020197053306	0.6164804494709428	0.5310049354386349	0.4605265074942177	0.4701173760221457	0.576055382542024	1.0	0.3468602597024167	0.38866852428563625	0.348828971571145	0.5387996503305469	0.5456350507202826	0.5856148354550256	0.5851504307126336	0.3934792110582965	0.5973738367116501	0.4475186217195724	0.4780673477936222	0.40416370722468087	0.6131595002640733	0.576912710120381	0.39798257116319724	0.6056689249485513	0.47148919120727023	0.6096286583255933	0.615248411007303	0.6150417053670618	0.6010353493962739
