	HMP_2012__SRS015921__bin.10	HMP_2012__SRS019128__bin.2	HMP_2012__SRS019587__bin.5	HMP_2012__SRS013949__bin.33	HMP_2012__SRS019129__bin.24	HMP_2012__SRS050029__bin.11	HMP_2012__SRS018359__bin.7	HMP_2012__SRS013945__bin.13	HMP_2012__SRS014575__bin.2	HMP_2012__SRS013950__bin.11	HMP_2012__SRS023987__bin.4	HMP_2012__SRS013836__bin.49	HMP_2012__SRS015745__bin.7	HMP_2012__SRS056892__bin.5	HMP_2012__SRS023964__bin.28	HMP_2012__SRS017080__bin.6	HMP_2012__SRS014578__bin.17	HMP_2012__SRS019391__bin.2	HMP_2012__SRS019591__bin.17	HMP_2012__SRS015895__bin.3	HMP_2012__SRS019120__bin.3	HMP_2012__SRS015803__bin.6	HMP_2012__SRS015799__bin.3	HMP_2012__SRS013881__bin.10	HMP_2012__SRS052874__bin.12	HMP_2012__SRS024470__bin.4	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.79	HMP_2012__SRS024557__bin.4
HMP_2012__SRS015921__bin.10	1.0	0.6970645257494825	0.5544487657936418	0.880606224896496	0.66811429523851	0.7391937008493348	0.5559521084017235	0.8942870639967002	0.85330821988036	0.7549696686232126	0.6411501062546262	0.6419301027619648	0.8295145809251058	0.8909357944891796	0.8521803617854148	0.85644178327989	0.8675766313795498	0.8623507484174171	0.8544721282340476	0.9761347287124392	0.5482659123267071	0.7303979059013337	0.8738629537709273	0.8930857008287346	0.8494218147138429	0.8524172634857229	0.5588094425459535	0.8872563271715482
HMP_2012__SRS019128__bin.2	0.8650116662251163	1.0	0.5117638309838206	0.9477192762292529	0.7307303940023518	0.6967769148179651	0.5181047264479366	0.9454714363400588	0.8544318873721247	0.7861374104698561	0.658964517943212	0.6371774939461122	0.8108659732002175	0.8579044485036091	0.8430945010713405	0.8324798629799536	0.8721438664008069	0.8147336057001827	0.7963500053450833	0.8524187663547926	0.6144498514996445	0.6804168932517163	0.8280934088152042	0.8464752662083839	0.8404120826768177	0.8289137628921084	0.565971108663218	0.872541261718514
HMP_2012__SRS019587__bin.5	0.9390649086191694	0.6984813210096614	1.0	0.9072116635053953	0.7240995134391037	0.9193836155217366	0.6970698503523919	0.9181307370731491	0.8885651845696124	0.80250036476208	0.526817149527078	0.7079270729587597	0.9014508015250227	0.8741309146964228	0.8752608841832819	0.9143697228442561	0.9013770561479856	1.01022285377164	0.9375773137017325	0.933631539549725	0.5662637895925449	0.9134245132805116	0.9138384389451715	0.9202273260719247	0.8827670534201996	0.9071696365700946	0.562216516426981	0.9118726885185584
HMP_2012__SRS013949__bin.33	0.8487493208716669	0.736085766011635	0.516264333894686	1.0	0.6942654493798949	0.6791116369655192	0.5110366250976952	0.9254876637804841	0.8429291233694152	0.7839239267967344	0.6330906521256491	0.627300688243544	0.7941514641194616	0.8319024257290815	0.8346351839918847	0.81910187195746	0.8617560950075719	0.804284239349192	0.792658284282669	0.8395334817036961	0.5784702329703494	0.6764592008577324	0.8174367666090874	0.8336992955115258	0.8281069782805283	0.824577315940428	0.548734790684074	0.860158225620421
HMP_2012__SRS019129__bin.24	0.8580619751846719	0.756268621267103	0.5490753629549903	0.925115072290352	1.0	0.7180685292693999	0.5365750998896629	0.9286867478210675	0.8647705920022127	0.7896210957347339	0.6093573088567331	0.6546207800563411	0.8174025981834964	0.8458990370305787	0.8468629083901303	0.8383798783585926	0.8826241593183752	0.8231281022918251	0.8014106314469795	0.8502602091895484	0.6162583391708782	0.7065447646993389	0.8348286467618913	0.8520448443705523	0.8526208822760112	0.8485254812592261	0.5667076547500579	0.8798630256421048
HMP_2012__SRS050029__bin.11	0.9031924241280127	0.686067424986099	0.6632612083227503	0.860925383106913	0.6831562243289193	1.0	0.6149149121662902	0.8720244428731931	0.8557362494536851	0.763589798155229	0.5967457936611452	0.6790282573526552	0.8510144867843275	0.859636537541846	0.8510528146373498	0.8795818946087012	0.8738018255499189	0.8827104771188438	0.857800804999325	0.8999871859118254	0.551597871030779	0.8165222793516986	0.8642278710994259	0.8840067594315121	0.8523393719723856	0.8791562838229001	0.5561022518471737	0.8736496582528448
HMP_2012__SRS018359__bin.7	0.8901887935325621	0.6685183186100766	0.6590021770029326	0.8489831657101048	0.6689711112310561	0.8058194346989079	1.0	0.8532539596864636	0.8240600804831387	0.7357257875892841	0.5611270038322448	0.6971004779810847	0.8917450807530152	0.8281337147586405	0.8249281828922354	0.9056542103716498	0.8337411465548779	0.8622295988437295	0.8377375661946829	0.8836720282110794	0.5250737662150735	0.8336916692154993	0.9121627294699027	0.9307347234966385	0.8309794114295652	0.8696219631408815	0.5604043348146549	0.8468826277564875
HMP_2012__SRS013945__bin.13	0.909659531424718	0.7749993808969565	0.5514069831013443	0.9767307739931004	0.7355348955049309	0.725953085323829	0.5420451926172438	1.0	0.8911564463866289	0.8144538653936638	0.6684584143723343	0.6616935230392054	0.8441789074450474	0.8815441572864618	0.8831528727333685	0.8722847569210957	0.9140123020537076	0.853223050444516	0.8417758351700056	0.8948272512015362	0.6109646958870604	0.7180457107588679	0.8692259116530432	0.8873022918242205	0.8791982329846671	0.8788372482869895	0.5838965583585578	0.9171778235384882
HMP_2012__SRS014575__bin.2	0.9234858215591345	0.745165548149443	0.5677791036154834	0.9464935815098843	0.7287143512220086	0.757952872803184	0.5569785087619293	0.9481484296423531	1.0	0.8265191186641636	0.7027064823330015	0.6920163458054971	0.8715840889341532	0.9005495048376186	0.9077470301657635	0.9011864136258959	0.9832883646340814	0.8938627225950613	0.8777317534752571	0.9173710918400179	0.6125811019991437	0.7456590637896833	0.8949835199217672	0.9141814810029414	0.9125803419647901	0.9122155254750848	0.6003100940162496	0.9530217699173336
HMP_2012__SRS013950__bin.11	0.8615108528639295	0.7229041695427415	0.5406824792014377	0.9281271570561246	0.7015879138609354	0.7131310357502335	0.5243273190423579	0.9136835626713624	0.8714848666819107	1.0	0.6749312413317063	0.6484353796739333	0.8136324878563751	0.8544485309045371	0.8478905460303756	0.8421125740210839	0.8797065228308697	0.830028785680246	0.8124469751528505	0.8563723845527534	0.5851859529299633	0.7076485069698958	0.8332193588507953	0.8516447586341013	0.8450477731166963	0.85031232569918	0.5598756039757149	0.8711819438775401
