	HMP_2012__SRS015921__bin.10	HMP_2012__SRS019128__bin.2	HMP_2012__SRS019587__bin.5	HMP_2012__SRS013949__bin.33	HMP_2012__SRS019129__bin.24	HMP_2012__SRS050029__bin.11	HMP_2012__SRS018359__bin.7	HMP_2012__SRS013945__bin.13	HMP_2012__SRS014575__bin.2	HMP_2012__SRS013950__bin.11	HMP_2012__SRS023987__bin.4	HMP_2012__SRS013836__bin.49	HMP_2012__SRS015745__bin.7	HMP_2012__SRS056892__bin.5	HMP_2012__SRS023964__bin.28	HMP_2012__SRS017080__bin.6	HMP_2012__SRS014578__bin.17	HMP_2012__SRS019391__bin.2	HMP_2012__SRS019591__bin.17	HMP_2012__SRS015895__bin.3	HMP_2012__SRS019120__bin.3	HMP_2012__SRS015803__bin.6	HMP_2012__SRS015799__bin.3	HMP_2012__SRS013881__bin.10	HMP_2012__SRS052874__bin.12	HMP_2012__SRS024470__bin.4	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.79	HMP_2012__SRS024557__bin.4
HMP_2012__SRS015921__bin.10	2135907.0	1488865.0	1184251.0	1880893.0	1427030.0	1578849.0	1187462.0	1910114.0	1822587.0	1612545.0	1369437.0	1371103.0	1771766.0	1902956.0	1820178.0	1829280.0	1853063.0	1841901.0	1825073.0	2084933.0	1171045.0	1560062.0	1866490.0	1907548.0	1814286.0	1820684.0	1193565.0	1895097.0
HMP_2012__SRS019128__bin.2	1488865.0	1721208.0	880852.0	1631222.0	1257739.0	1199298.0	891766.0	1627353.0	1470655.0	1353106.0	1134215.0	1096715.0	1395669.0	1476632.0	1451141.0	1432871.0	1501141.0	1402326.0	1370684.0	1467190.0	1057596.0	1171139.0	1425321.0	1456960.0	1446524.0	1426733.0	974154.0	1501825.0
HMP_2012__SRS019587__bin.5	1184251.0	880852.0	1261096.0	1144081.0	913159.0	1159431.0	879072.0	1157851.0	1120566.0	1012030.0	664367.0	892764.0	1136816.0	1102363.0	1103788.0	1153108.0	1136723.0	1273988.0	1182375.0	1177399.0	714113.0	1151916.0	1152438.0	1160495.0	1113254.0	1144028.0	709009.0	1149959.0
HMP_2012__SRS013949__bin.33	1880893.0	1631222.0	1144081.0	2216076.0	1538545.0	1504963.0	1132496.0	2050951.0	1867995.0	1737235.0	1402977.0	1390146.0	1759900.0	1843559.0	1849615.0	1815192.0	1909717.0	1782355.0	1756591.0	1860470.0	1281934.0	1499085.0	1811502.0	1847541.0	1835148.0	1827326.0	1216038.0	1906176.0
HMP_2012__SRS019129__bin.24	1427030.0	1257739.0	913159.0	1538545.0	1663085.0	1194209.0	892370.0	1544485.0	1438187.0	1313207.0	1013413.0	1088690.0	1359410.0	1406802.0	1408405.0	1394297.0	1467879.0	1368932.0	1332814.0	1414055.0	1024890.0	1175044.0	1388391.0	1417023.0	1417981.0	1411170.0	942483.0	1463287.0
HMP_2012__SRS050029__bin.11	1578849.0	1199298.0	1159431.0	1504963.0	1194209.0	1748076.0	1074918.0	1524365.0	1495892.0	1334813.0	1043157.0	1186993.0	1487638.0	1502710.0	1487705.0	1537576.0	1527472.0	1543045.0	1499501.0	1573246.0	964235.0	1427343.0	1510736.0	1545311.0	1489954.0	1536832.0	972109.0	1527206.0
HMP_2012__SRS018359__bin.7	1187462.0	891766.0	879072.0	1132496.0	892370.0	1074918.0	1333944.0	1138193.0	1099250.0	981417.0	748512.0	929893.0	1189538.0	1104684.0	1100408.0	1208092.0	1112164.0	1150166.0	1117495.0	1178769.0	700419.0	1112098.0	1216774.0	1241548.0	1108480.0	1160027.0	747548.0	1129694.0
HMP_2012__SRS013945__bin.13	1910114.0	1627353.0	1157851.0	2050951.0	1544485.0	1524365.0	1138193.0	2099812.0	1871261.0	1710200.0	1403637.0	1389432.0	1772617.0	1851077.0	1854455.0	1831634.0	1919254.0	1791608.0	1767571.0	1878969.0	1282911.0	1507761.0	1825211.0	1863168.0	1846151.0	1845393.0	1226073.0	1925901.0
HMP_2012__SRS014575__bin.2	1822587.0	1470655.0	1120566.0	1867995.0	1438187.0	1495892.0	1099250.0	1871261.0	1973595.0	1631214.0	1386858.0	1365760.0	1720154.0	1777320.0	1791525.0	1778577.0	1940613.0	1764123.0	1732287.0	1810519.0	1208987.0	1471629.0	1766335.0	1804224.0	1801064.0	1800344.0	1184769.0	1880879.0
HMP_2012__SRS013950__bin.11	1612545.0	1353106.0	1012030.0	1737235.0	1313207.0	1334813.0	981417.0	1710200.0	1631214.0	1871764.0	1263312.0	1213718.0	1522928.0	1599326.0	1587051.0	1576236.0	1646603.0	1553618.0	1520709.0	1602927.0	1095330.0	1324551.0	1559590.0	1594078.0	1581730.0	1591584.0	1047955.0	1630647.0
