	HMP_2012__SRS015921__bin.10	HMP_2012__SRS019128__bin.2	HMP_2012__SRS019587__bin.5	HMP_2012__SRS013949__bin.33	HMP_2012__SRS019129__bin.24	HMP_2012__SRS050029__bin.11	HMP_2012__SRS018359__bin.7	HMP_2012__SRS013945__bin.13	HMP_2012__SRS014575__bin.2	HMP_2012__SRS013950__bin.11	HMP_2012__SRS023987__bin.4	HMP_2012__SRS013836__bin.49	HMP_2012__SRS015745__bin.7	HMP_2012__SRS056892__bin.5	HMP_2012__SRS023964__bin.28	HMP_2012__SRS017080__bin.6	HMP_2012__SRS014578__bin.17	HMP_2012__SRS019391__bin.2	HMP_2012__SRS019591__bin.17	HMP_2012__SRS015895__bin.3	HMP_2012__SRS019120__bin.3	HMP_2012__SRS015803__bin.6	HMP_2012__SRS015799__bin.3	HMP_2012__SRS013881__bin.10	HMP_2012__SRS052874__bin.12	HMP_2012__SRS024470__bin.4	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.79	HMP_2012__SRS024557__bin.4
HMP_2012__SRS015921__bin.10	1.0	0.9632162754850171	0.9621245833864611	0.9642770747724618	0.9628473122499177	0.9605421417754326	0.9642607510808767	0.9651115064336474	0.9610723658184767	0.9628475484405087	0.9616221848832769	0.9600445772491198	0.9610225052292458	0.9617726316320503	0.9618976825343455	0.9612005816496108	0.9605733857942229	0.9627346963816188	0.9634425581880834	0.9998752957529091	0.9625471267116122	0.9606246418411576	0.961584578540469	0.9621535080637551	0.9643815804123496	0.9606494042898164	0.9647844901618261	0.9655094171960591
HMP_2012__SRS019128__bin.2	0.9632162754850171	1.0	0.960994582517835	0.9965191739689632	0.9952772395544703	0.960086650690654	0.9599951108250371	0.9977343575733107	0.9696393783722219	0.9973084148618069	0.9624824217630696	0.961834204875469	0.9601223499268093	0.960059107482433	0.9619623454922712	0.9613314806427097	0.9698775797876416	0.960778021658302	0.9612945069760791	0.9628800632501585	0.9921699779499923	0.9592985973483933	0.9602229953813913	0.9607250713815068	0.9709607306895703	0.9610957341002135	0.9665792061624754	0.9729735488489005
HMP_2012__SRS019587__bin.5	0.9621245833864611	0.960994582517835	1.0	0.9608095930270671	0.9604614311417836	0.9628472931981291	0.9651484747551964	0.9610683930833933	0.9594106906688227	0.9590654427240299	0.9574843422385518	0.9620123571290957	0.9615329129780017	0.9610491281002719	0.9609707661253791	0.9621449161743739	0.959423711845366	0.9985227490368827	0.9994401099481974	0.9620986598425852	0.9601253583116398	0.9620067782720267	0.9617905692106647	0.9622324956160948	0.9592653608251127	0.9624100109437881	0.9574405966637941	0.9601924938193449
HMP_2012__SRS013949__bin.33	0.9642770747724618	0.9965191739689632	0.9608095930270671	1.0	0.9951870111046476	0.960748536674988	0.9606170794422232	0.9981642662355171	0.9699276496992765	0.9976157514671302	0.9626986044675002	0.961352260841667	0.9600267060628445	0.9610297256556476	0.962344055384499	0.9613445850356326	0.9700133580001644	0.9605774382768865	0.9611104690847215	0.9641612065768327	0.9921103582555733	0.959830163066137	0.9603378853570131	0.9610395655630917	0.97082251676704	0.9608882049508407	0.9661581299268608	0.9734520841727102
HMP_2012__SRS019129__bin.24	0.9628473122499177	0.9952772395544703	0.9604614311417836	0.9951870111046476	1.0	0.9609624445972187	0.9601409729148224	0.9966208800991916	0.9694087069344947	0.99626182315507	0.9623746685704644	0.9618853851877026	0.9596140972922076	0.9598678420986038	0.9614975805964904	0.9604209146257935	0.9698864824689228	0.9605597648385749	0.9609225293251722	0.9628600019094024	0.9903755524983169	0.9592423773067221	0.9597246020753519	0.9600211146890347	0.9696349951092433	0.9611365037522056	0.9655770979423501	0.9725276039491911
HMP_2012__SRS050029__bin.11	0.9605421417754326	0.960086650690654	0.9628472931981291	0.960748536674988	0.9609624445972187	1.0	0.9711261696241016	0.9610382027926383	0.9578004294427672	0.9608102408352331	0.9580322041648572	0.9690107692294732	0.9695275329078714	0.9593421218997678	0.9602542170658833	0.969999531730464	0.957610352268323	0.9609758626611667	0.9612624466405825	0.9605420894125902	0.9597940336121381	0.9717916436343612	0.9708201830101355	0.9706939250416259	0.9589994053507692	0.9688755830175322	0.95823102141838	0.9602561802402557
HMP_2012__SRS018359__bin.7	0.9642607510808767	0.9599951108250371	0.9651484747551964	0.9606170794422232	0.9601409729148224	0.9711261696241016	1.0	0.960655178866853	0.9582488060040937	0.9600373745309079	0.9565310910179129	0.9692728088070348	0.9855506927899739	0.9580929931093417	0.9602356580468335	0.9860846690483838	0.958000798443395	0.9607430579585903	0.9609555300023713	0.9642092725546736	0.960092458942433	0.9893966179239599	0.9882435029019357	0.9882114908163036	0.9566631784064665	0.9693851953445911	0.9562382616233339	0.9576770346660246
HMP_2012__SRS013945__bin.13	0.9651115064336474	0.9977343575733107	0.9610683930833933	0.9981642662355171	0.9966208800991916	0.9610382027926383	0.960655178866853	1.0	0.970688749458253	0.999403578528827	0.9627966489911566	0.961721048601155	0.9604048703132149	0.9610529437727334	0.9623404180743129	0.9618171534269401	0.9706880902684064	0.960944581627231	0.9617226125570062	0.9649451374663446	0.9931522919360735	0.9602927784973878	0.9607661799101583	0.9614956890629294	0.9714795810310207	0.9612835856644086	0.9670215395005028	0.9743839376998091
HMP_2012__SRS014575__bin.2	0.9610723658184767	0.9696393783722219	0.9594106906688227	0.9699276496992765	0.9694087069344947	0.9578004294427672	0.9582488060040937	0.970688749458253	1.0	0.9690151016359595	0.9608193484841274	0.9584429182286786	0.9584060496908998	0.9576238381383206	0.9605565091193257	0.9593039829031861	0.9997536860775436	0.9583821536253424	0.9589075020478708	0.961038796057926	0.9672089112620731	0.9578548669535596	0.9585826018280791	0.959137002944202	0.9703031097173671	0.9577975098092365	0.9637313265286314	0.9740323540217101
HMP_2012__SRS013950__bin.11	0.9628475484405087	0.9973084148618069	0.9590654427240299	0.9976157514671302	0.99626182315507	0.9608102408352331	0.9600373745309079	0.999403578528827	0.9690151016359595	1.0	0.9621684904441659	0.9604883506712433	0.96001189813307	0.9595598395824241	0.961131053759457	0.9610940239913313	0.9692220893560864	0.9587974650139224	0.9590237185418118	0.9627905700010044	0.9930176293902294	0.9596414181107409	0.960004873075616	0.9604285361193116	0.970820557237961	0.9603715543760178	0.9657437580812154	0.9725409607352173
