	HMP_2012__SRS017304__bin.33	CM_periimplantitis__SP_287SPT_T016__bin.1	HMP_2012__SRS023964__bin.31	HMP_2012__SRS024144__bin.33	HMP_2012__SRS063932__bin.5	HMP_2012__SRS012285__bin.37	HMP_2012__SRS017139__bin.47	HMP_2012__SRS024649__bin.40	HMP_2012__SRS016746__bin.52	HMP_2012__SRS043772__bin.17	HMP_2012__SRS024355__bin.37	HMP_2012__SRS011126__bin.24	HMP_2012__SRS053917__bin.53	HMP_2012__SRS042984__bin.9	HMP_2012__SRS017227__bin.27	CM_periimplantitis__SP_143SPT_T016__bin.9	HMP_2012__SRS023595__bin.3	HMP_2012__SRS023358__bin.3	HMP_2012__SRS024087__bin.21	HMP_2012__SRS047634__bin.34	HMP_2012__SRS013170__bin.22	CM_periimplantitis__SP_283SPI_T016__bin.8	HMP_2012__SRS014690__bin.18	HMP_2012__SRS015278__bin.12	HMP_2012__SRS016575__bin.30	CM_periimplantitis__SP_384SPT_T016__bin.18
HMP_2012__SRS017304__bin.33	1.0	0.9719067836033944	0.9731819692610973	0.9996227436378995	0.9734104566053128	0.9711778963698854	0.9688620831026336	0.9666783932485397	0.967581322653121	0.9690342178587388	0.9684945284285498	0.9682028933109894	0.9701945641399122	0.9661398837190981	0.9692479735770486	0.9724679031583315	0.9729099579213778	0.974506086426149	0.9699775363017974	0.9691369918200767	0.9719492359601425	0.9711551718057154	0.969569769354714	0.969303499542775	0.9709317072878448	0.9719636829708564
CM_periimplantitis__SP_287SPT_T016__bin.1	0.9719067836033944	1.0	0.9756576112192581	0.968340652078301	0.9700344401732445	0.9686190029071707	0.9669803195541097	0.9643514408754134	0.9676405768634947	0.9664495959774957	0.9667664968134785	0.9659622846574063	0.9659162932498654	0.9660872006872413	0.9678593565794431	0.9682279673977209	0.9702473686210434	0.972990418785791	0.9667151944260999	0.9662849147164511	0.9772364742792699	0.986360982618173	0.9669409457264564	0.9668583390976163	0.9694290302625845	0.9688848873110155
HMP_2012__SRS023964__bin.31	0.9731819692610973	0.9756576112192581	1.0	0.9700507732025617	0.9708338414731991	0.970439413520107	0.9690591725405897	0.9662370659388209	0.9688910573410991	0.9686290991477446	0.9693607916629018	0.9680361842647282	0.9674485955231152	0.9682172938945136	0.969961851125599	0.9692345888208163	0.9707199733817939	0.9740777386234769	0.9691350498238167	0.9671334170351025	0.994052999352052	0.9750455557805223	0.9679175957490834	0.9686632067594532	0.9709138201143868	0.9704807496863457
HMP_2012__SRS024144__bin.33	0.9996227436378995	0.968340652078301	0.9700507732025617	1.0	0.9709124070074394	0.9686139585179735	0.9666541928266277	0.9634879329403095	0.966735494540398	0.966197866906674	0.9664344128958381	0.9657985770385054	0.9673941045643993	0.9651247970185755	0.9679103547573655	0.9705493282158653	0.9706505846260262	0.9725912598604151	0.9675908634538153	0.9665246621605299	0.9703364169344054	0.9675126954949748	0.9684686177602901	0.9665227159249158	0.9693274085474002	0.9695726338558768
HMP_2012__SRS063932__bin.5	0.9734104566053128	0.9700344401732445	0.9708338414731991	0.9709124070074394	1.0	0.9684260290009694	0.969131399900176	0.9659570916930352	0.9685299185631654	0.9692620379731286	0.9690439814083311	0.9679343006315753	0.9706598246201491	0.9691975473391958	0.9703033537598248	0.970785455415782	0.9698678903897683	0.9741657130552701	0.9973656409525231	0.9677281798238371	0.9717294665217168	0.9703899478696265	0.9695570749420961	0.9694586055838779	0.9715933993728861	0.970706617656127
HMP_2012__SRS012285__bin.37	0.9711778963698854	0.9686190029071707	0.970439413520107	0.9686139585179735	0.9684260290009694	1.0	0.9678167680689428	0.9662495067706593	0.9673873527405801	0.9672618373838334	0.9675014184367503	0.9656860114255728	0.9672252640018567	0.9659790439717381	0.9693258430755775	0.9683672903850171	0.9687684148497349	0.9717846280438803	0.9662757178091601	0.9667436962316449	0.9708293023647903	0.9688970718820761	0.9690312403737347	0.9674482772438477	0.9702601415766289	0.969592109422143
HMP_2012__SRS017139__bin.47	0.9688620831026336	0.9669803195541097	0.9690591725405897	0.9666541928266277	0.969131399900176	0.9678167680689428	1.0	0.9644533260665517	0.9827680110150665	0.9909995117259204	0.9969604428200077	0.9660832558715242	0.9656180386296424	0.9909775486705438	0.9667961232666318	0.9677970859010504	0.9879985467252452	0.979407041832856	0.9653037906493943	0.9659425749973964	0.9693779821966706	0.9669338288259427	0.967462633403203	0.9911583836997545	0.9683599180781247	0.9690558089702187
HMP_2012__SRS024649__bin.40	0.9666783932485397	0.9643514408754134	0.9662370659388209	0.9634879329403095	0.9659570916930352	0.9662495067706593	0.9644533260665517	1.0	0.9661470376462737	0.9648822800928554	0.9644783471244998	0.9654494588066336	0.9626161934870539	0.9645657989414805	0.9651778670974043	0.9655763215391628	0.9693834493658208	0.9685179241347854	0.9633250410889331	0.9654449771247526	0.9665679302785649	0.9636519981276158	0.9650742130206738	0.9650137552906648	0.9664490643008602	0.9655698845277838
HMP_2012__SRS016746__bin.52	0.967581322653121	0.9676405768634947	0.9688910573410991	0.966735494540398	0.9685299185631654	0.9673873527405801	0.9827680110150665	0.9661470376462737	1.0	0.984648745223172	0.9822833978400216	0.966841059205905	0.9660768564429445	0.9842029771823467	0.9671814251223517	0.9680013234794452	0.984458891806338	0.9796116311402124	0.9663864077435842	0.9656628774245705	0.9695899166906061	0.9671863602299742	0.9673290074986745	0.9851615883040515	0.9684919889589112	0.9679756377123787
HMP_2012__SRS043772__bin.17	0.9690342178587388	0.9664495959774957	0.9686290991477446	0.966197866906674	0.9692620379731286	0.9672618373838334	0.9909995117259204	0.9648822800928554	0.984648745223172	1.0	0.99121159620226	0.9651494550607307	0.9649110027984622	0.9901201449911083	0.9666286190527956	0.9672974338274571	0.9910441468529141	0.9799296284007427	0.9655109243775977	0.965652940167676	0.969125734775724	0.9664653981268223	0.9669763615271548	0.9992296814732892	0.9679661790821834	0.9685795065326508
