	HMP_2012__SRS017304__bin.33	CM_periimplantitis__SP_287SPT_T016__bin.1	HMP_2012__SRS023964__bin.31	HMP_2012__SRS024144__bin.33	HMP_2012__SRS063932__bin.5	HMP_2012__SRS012285__bin.37	HMP_2012__SRS017139__bin.47	HMP_2012__SRS024649__bin.40	HMP_2012__SRS016746__bin.52	HMP_2012__SRS043772__bin.17	HMP_2012__SRS024355__bin.37	HMP_2012__SRS011126__bin.24	HMP_2012__SRS053917__bin.53	HMP_2012__SRS042984__bin.9	HMP_2012__SRS017227__bin.27	CM_periimplantitis__SP_143SPT_T016__bin.9	HMP_2012__SRS023595__bin.3	HMP_2012__SRS023358__bin.3	HMP_2012__SRS024087__bin.21	HMP_2012__SRS047634__bin.34	HMP_2012__SRS013170__bin.22	CM_periimplantitis__SP_283SPI_T016__bin.8	HMP_2012__SRS014690__bin.18	HMP_2012__SRS015278__bin.12	HMP_2012__SRS016575__bin.30	CM_periimplantitis__SP_384SPT_T016__bin.18
HMP_2012__SRS017304__bin.33	0.0	34422.0	23399.0	506.0	24837.0	24579.0	36836.0	34951.0	33187.0	37697.0	38812.0	32541.0	23573.0	36533.0	20707.0	24153.0	21065.0	27754.0	35163.0	29954.0	26645.0	35986.0	27932.0	36388.0	29108.0	33424.0
CM_periimplantitis__SP_287SPT_T016__bin.1	34422.0	0.0	37902.0	68744.0	48237.0	46556.0	67667.0	62044.0	55355.0	70809.0	70242.0	57124.0	50711.0	60992.0	37023.0	55221.0	39150.0	50170.0	67789.0	56455.0	37018.0	33150.0	51780.0	68898.0	50161.0	65627.0
HMP_2012__SRS023964__bin.31	23399.0	37902.0	0.0	43874.0	36352.0	39732.0	44462.0	45101.0	41827.0	45084.0	44421.0	42677.0	38148.0	44005.0	27543.0	37547.0	32208.0	34059.0	45312.0	42172.0	8086.0	38454.0	40157.0	44398.0	38803.0	42116.0
HMP_2012__SRS024144__bin.33	506.0	68744.0	43874.0	0.0	45453.0	45046.0	68079.0	63420.0	56240.0	71433.0	70878.0	57334.0	48981.0	62605.0	36306.0	50582.0	38018.0	50531.0	64559.0	55429.0	45896.0	70589.0	47569.0	69931.0	50065.0	62878.0
HMP_2012__SRS063932__bin.5	24837.0	48237.0	36352.0	45453.0	0.0	39538.0	47003.0	48952.0	44015.0	46792.0	48000.0	44582.0	34523.0	44433.0	27710.0	36863.0	34906.0	35873.0	4693.0	43970.0	37343.0	46718.0	40509.0	45812.0	38693.0	45130.0
HMP_2012__SRS012285__bin.37	24579.0	46556.0	39732.0	45046.0	39538.0	0.0	45740.0	44649.0	43418.0	46275.0	46625.0	46034.0	37281.0	46976.0	27285.0	37099.0	33973.0	36690.0	48609.0	42569.0	36334.0	44834.0	39108.0	45491.0	39353.0	42329.0
HMP_2012__SRS017139__bin.47	36836.0	67667.0	44462.0	68079.0	47003.0	45740.0	0.0	61048.0	30437.0	19613.0	6796.0	55899.0	49189.0	16659.0	36233.0	51629.0	16087.0	37370.0	66533.0	55595.0	46265.0	68122.0	47500.0	18425.0	50796.0	60912.0
HMP_2012__SRS024649__bin.40	34951.0	62044.0	45101.0	63420.0	48952.0	44649.0	61048.0	0.0	52047.0	60315.0	61254.0	53697.0	48329.0	56533.0	35226.0	45990.0	35916.0	48454.0	62391.0	50159.0	46896.0	63363.0	46958.0	59937.0	49889.0	57126.0
HMP_2012__SRS016746__bin.52	33187.0	55355.0	41827.0	56240.0	44015.0	43418.0	30437.0	52047.0	0.0	27461.0	31882.0	50368.0	43704.0	26146.0	33140.0	43133.0	18887.0	31720.0	55771.0	49610.0	42343.0	55915.0	43996.0	25605.0	46367.0	52107.0
HMP_2012__SRS043772__bin.17	37697.0	70809.0	45084.0	71433.0	46792.0	46275.0	19613.0	60315.0	27461.0	0.0	19570.0	58338.0	50581.0	18717.0	36838.0	54120.0	12108.0	37322.0	66458.0	56479.0	46814.0	71184.0	47967.0	1680.0	51427.0	63068.0
