	HMP_2012__SRS017304__bin.33	CM_periimplantitis__SP_287SPT_T016__bin.1	HMP_2012__SRS023964__bin.31	HMP_2012__SRS024144__bin.33	HMP_2012__SRS063932__bin.5	HMP_2012__SRS012285__bin.37	HMP_2012__SRS017139__bin.47	HMP_2012__SRS024649__bin.40	HMP_2012__SRS016746__bin.52	HMP_2012__SRS043772__bin.17	HMP_2012__SRS024355__bin.37	HMP_2012__SRS011126__bin.24	HMP_2012__SRS053917__bin.53	HMP_2012__SRS042984__bin.9	HMP_2012__SRS017227__bin.27	CM_periimplantitis__SP_143SPT_T016__bin.9	HMP_2012__SRS023595__bin.3	HMP_2012__SRS023358__bin.3	HMP_2012__SRS024087__bin.21	HMP_2012__SRS047634__bin.34	HMP_2012__SRS013170__bin.22	CM_periimplantitis__SP_283SPI_T016__bin.8	HMP_2012__SRS014690__bin.18	HMP_2012__SRS015278__bin.12	HMP_2012__SRS016575__bin.30	CM_periimplantitis__SP_384SPT_T016__bin.18
HMP_2012__SRS017304__bin.33	1.0	0.8893661745897867	0.6333100577920561	0.9735537106100176	0.6780070813777765	0.6189912448156272	0.8586751232853644	0.7613417454333243	0.7430510895711542	0.8836305198962326	0.8941821792584441	0.7428297057845769	0.5740706598978876	0.7831462337899888	0.4887529777933916	0.6367629190141816	0.5644139717122331	0.7901964000818757	0.8501304349719605	0.7044700652828123	0.6894725839770399	0.9055482406158679	0.6662584978710864	0.8604294990629296	0.7268399896058497	0.8653333313977374
CM_periimplantitis__SP_287SPT_T016__bin.1	0.4689786469839841	1.0	0.5959603498667254	0.8310961429229764	0.6161356353620765	0.5678417944678434	0.7843727369737722	0.6661564571171361	0.6547485084121422	0.8078098422598953	0.8089825969933998	0.6423572676345721	0.5694738526217805	0.6883790876090654	0.4408953048473352	0.665238998534822	0.5036453381468332	0.7109592092632314	0.7795278513939093	0.6409093136016584	0.6224319197505064	0.9302911371280982	0.5995011964854102	0.7957026040972928	0.6280227906357219	0.8072900638891057
HMP_2012__SRS023964__bin.31	0.4123126243716735	0.735792153343569	1.0	0.6922737043962655	0.5889864408589803	0.6351606724895411	0.679068037655407	0.6312511902584758	0.635371433891095	0.6791280526733383	0.6851205758417342	0.6309449718992673	0.5538067714897476	0.6542856157233676	0.43330559410851	0.5767249473923475	0.5198146433808397	0.6208908024385945	0.693751397003124	0.6063534638825369	0.6425278703600004	0.7281985996180776	0.5914943125137928	0.6695223418899627	0.6304270470201125	0.674214382150116
HMP_2012__SRS024144__bin.33	0.5427386620817413	0.8786373254097966	0.592786673502511	1.0	0.6323122324521595	0.5807597417863648	0.8261306760404599	0.7028564468635169	0.6841338136768412	0.8551289267495034	0.854464495625154	0.6783360249133347	0.6078666702815173	0.7263887197237715	0.4578153002868546	0.6949884817101373	0.5241633205694037	0.7460116935022116	0.8060577342898659	0.670021733614914	0.6260774244351223	0.8792252781647781	0.6104608651281701	0.8452717146976454	0.6604813605218657	0.8362019465970565
HMP_2012__SRS063932__bin.5	0.4722618123721817	0.8138651755266304	0.6301495774569558	0.7900404721156982	1.0	0.6331112970542063	0.7698448611030357	0.7270066054739738	0.7071269853708848	0.769646166019096	0.7839542344045847	0.7029321428481146	0.594895103657658	0.7293146030774986	0.47176279952778316	0.6379492442761406	0.5856863701745029	0.7020463571303981	0.9006792540592192	0.6888546214302507	0.6678359172963312	0.7977000917637601	0.6727593084602143	0.7583766662200662	0.6886645212990513	0.7789155697568892
HMP_2012__SRS012285__bin.37	0.4114070275394446	0.7157182519677062	0.6484261968453985	0.6923933048539568	0.6041136698595408	1.0	0.685645574078139	0.6382117331493672	0.6422689588464164	0.6819072337777307	0.6921298987623291	0.6472032399914127	0.5487588314611078	0.6661356734343379	0.4291256702744296	0.5657948375300613	0.5247748866895499	0.6273286232207425	0.6953558997416595	0.6175222942381123	0.600896352597517	0.6954075196167586	0.6092211429219262	0.6741936806659447	0.6383694873471002	0.671560102178407
HMP_2012__SRS017139__bin.47	0.48802216116762787	0.8453969786226414	0.5928075212659752	0.8422258524954003	0.6281527684958294	0.5863043819047383	1.0	0.7084824633053637	0.7286568814303276	0.8989480458404495	0.9223583574663994	0.6799023126490268	0.5901928995156885	0.7616948425369009	0.45016542494822737	0.6613862693167661	0.5529652731368035	0.7486192585992096	0.7910641650784221	0.6734115492190788	0.6232688134782143	0.8498849038390139	0.6022375683770204	0.8596713777711773	0.6622905373629365	0.8120454939234177
HMP_2012__SRS024649__bin.40	0.504191101540118	0.8366027995154685	0.6421071353035052	0.8349324155434636	0.6912024841854294	0.6359062854505951	0.825532119440866	1.0	0.7390273798765599	0.8255825914745525	0.8289012478609471	0.7470620469534119	0.6214208117825761	0.7669038051106539	0.48626103174450575	0.6421960622200004	0.5638884616124132	0.7398229152646657	0.8177373146955335	0.6977489472975831	0.6742703185987041	0.8379472783556692	0.6462862196927455	0.823491607221827	0.7147623488242419	0.7975480205349074
HMP_2012__SRS016746__bin.52	0.5182585258007897	0.8660238175154877	0.6806834917168244	0.8559294961850765	0.7080706475928089	0.6739963012632709	0.8942113707044458	0.7783461391840808	1.0	0.9056204496703993	0.9110430022442513	0.7690026016709622	0.6522271143829018	0.8379223285537312	0.5112184720157102	0.6824194578054938	0.6152544286373147	0.7876339880795983	0.839976732283046	0.7314406290991252	0.7049166467959553	0.862675919077351	0.6817491693536425	0.8735969632490562	0.7450094139076754	0.8237384376507706
HMP_2012__SRS043772__bin.17	0.5105485674456174	0.8851217913419758	0.6027091396873153	0.8862721628956316	0.6384235002916819	0.5927948912263514	0.9138823383367296	0.7202965719095454	0.7502133618402925	1.0	0.9338844604220601	0.702027765767073	0.6045452048210759	0.7945074895772479	0.4629501096061267	0.6940460408639822	0.5669931015451382	0.7798692946414829	0.8081240639863247	0.6896198573505723	0.6359038385000799	0.8902286358220586	0.6091580144159212	0.9146422629649558	0.673278542152541	0.8417989579973889
