	HMP_2012__SRS017304__bin.33	CM_periimplantitis__SP_287SPT_T016__bin.1	HMP_2012__SRS023964__bin.31	HMP_2012__SRS024144__bin.33	HMP_2012__SRS063932__bin.5	HMP_2012__SRS012285__bin.37	HMP_2012__SRS017139__bin.47	HMP_2012__SRS024649__bin.40	HMP_2012__SRS016746__bin.52	HMP_2012__SRS043772__bin.17	HMP_2012__SRS024355__bin.37	HMP_2012__SRS011126__bin.24	HMP_2012__SRS053917__bin.53	HMP_2012__SRS042984__bin.9	HMP_2012__SRS017227__bin.27	CM_periimplantitis__SP_143SPT_T016__bin.9	HMP_2012__SRS023595__bin.3	HMP_2012__SRS023358__bin.3	HMP_2012__SRS024087__bin.21	HMP_2012__SRS047634__bin.34	HMP_2012__SRS013170__bin.22	CM_periimplantitis__SP_283SPI_T016__bin.8	HMP_2012__SRS014690__bin.18	HMP_2012__SRS015278__bin.12	HMP_2012__SRS016575__bin.30	CM_periimplantitis__SP_384SPT_T016__bin.18
HMP_2012__SRS017304__bin.33	1377698.0	1225278.0	872510.0	1341263.0	934089.0	852783.0	1182995.0	1048899.0	1023700.0	1217376.0	1231913.0	1023395.0	790896.0	1078939.0	673354.0	877267.0	777592.0	1088652.0	1171223.0	970547.0	949885.0	1247572.0	917903.0	1185412.0	1001366.0	1192168.0
CM_periimplantitis__SP_287SPT_T016__bin.1	1225278.0	2612652.0	1557037.0	2171365.0	1609748.0	1483573.0	2049293.0	1740435.0	1710630.0	2110526.0	2113590.0	1678256.0	1487837.0	1798495.0	1151906.0	1738038.0	1315850.0	1857489.0	2036635.0	1674473.0	1626198.0	2430527.0	1566288.0	2078894.0	1640805.0	2109168.0
HMP_2012__SRS023964__bin.31	872510.0	1557037.0	2116137.0	1464946.0	1246376.0	1344087.0	1437001.0	1335814.0	1344533.0	1437128.0	1449809.0	1335166.0	1171931.0	1384558.0	916934.0	1220429.0	1099999.0	1313890.0	1468073.0	1283127.0	1359677.0	1540968.0	1251683.0	1416801.0	1334070.0	1426730.0
HMP_2012__SRS024144__bin.33	1341263.0	2171365.0	1464946.0	2471287.0	1562625.0	1435224.0	2041606.0	1736960.0	1690691.0	2113269.0	2111627.0	1676363.0	1502213.0	1795115.0	1131393.0	1717516.0	1295358.0	1843609.0	1992000.0	1655816.0	1547217.0	2172818.0	1508624.0	2088909.0	1632239.0	2066495.0
HMP_2012__SRS063932__bin.5	934089.0	1609748.0	1246376.0	1562625.0	1977905.0	1252234.0	1522680.0	1437950.0	1398630.0	1522287.0	1550587.0	1390333.0	1176646.0	1442515.0	933102.0	1261803.0	1158432.0	1388581.0	1781458.0	1362489.0	1320916.0	1577775.0	1330654.0	1499997.0	1362113.0	1540621.0
HMP_2012__SRS012285__bin.37	852783.0	1483573.0	1344087.0	1435224.0	1252234.0	2072845.0	1421237.0	1322914.0	1331324.0	1413488.0	1434678.0	1341552.0	1137492.0	1380796.0	889511.0	1172805.0	1087777.0	1300355.0	1441365.0	1280028.0	1245565.0	1441472.0	1262821.0	1397499.0	1323241.0	1392040.0
HMP_2012__SRS017139__bin.47	1182995.0	2049293.0	1437001.0	2041606.0	1522680.0	1421237.0	2424060.0	1717404.0	1766308.0	2179104.0	2235852.0	1648124.0	1430663.0	1846394.0	1091228.0	1603240.0	1340421.0	1814698.0	1917587.0	1632390.0	1510841.0	2060172.0	1459860.0	2083895.0	1605432.0	1968447.0
HMP_2012__SRS024649__bin.40	1048899.0	1740435.0	1335814.0	1736960.0	1437950.0	1322914.0	1717404.0	2080360.0	1537443.0	1717509.0	1724413.0	1554158.0	1292779.0	1595436.0	1011598.0	1335999.0	1173091.0	1539098.0	1701188.0	1451569.0	1402725.0	1743232.0	1344508.0	1713159.0	1486963.0	1659187.0
HMP_2012__SRS016746__bin.52	1023700.0	1710630.0	1344533.0	1690691.0	1398630.0	1331324.0	1766308.0	1537443.0	1975269.0	1788844.0	1799555.0	1518987.0	1288324.0	1655122.0	1009794.0	1347962.0	1215293.0	1555789.0	1659180.0	1444792.0	1392400.0	1704017.0	1346638.0	1725589.0	1471594.0	1627105.0
HMP_2012__SRS043772__bin.17	1217376.0	2110526.0	1437128.0	2113269.0	1522287.0	1413488.0	2179104.0	1717509.0	1788844.0	2384447.0	2226798.0	1673948.0	1441506.0	1894461.0	1103880.0	1654916.0	1351965.0	1859557.0	1926929.0	1644362.0	1516279.0	2122703.0	1452505.0	2180916.0	1605397.0	2007225.0
