	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.47	ZeeviD_2015__PNP_Main_166__bin.6	LiuW_2016__SRR3993020__bin.68	HMP_2012__SRS024435__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.8	LiuW_2016__SRR3992958__bin.38	LiJ_2017__H2M415914__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.79	VatanenT_2016__G80433__bin.10	HMP_2012__SRS017103__bin.53	XieH_2016__YSZC12003_37830__bin.113	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.13	WenC_2017__N252__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.24	ZeeviD_2015__PNP_Main_520__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.16	XieH_2016__YSZC12003_37332__bin.24	CM_madagascar__A89_01_1FE__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.76	LiuW_2016__SRR3992987__bin.62	LiJ_2017__H2M515921__bin.40	YuJ_2015__SZAXPI015264-87__bin.24	XieH_2016__YSZC12003_35387__bin.46	LiuW_2016__SRR3992984__bin.72	LouisS_2016__AS66_18__bin.38	XieH_2016__YSZC12003_36244__bin.54
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.47	1.0	0.5401510143996293	0.5886654930319278	0.7403849952071461	0.8388656341841089	0.8995047823201626	0.49664006457185594	0.9318311993721888	0.4633540891997514	0.7053336300338134	0.743389087567021	0.7161698908704034	0.8740384666027619	0.9209758461230552	0.5775227660560607	0.5834684066657537	0.817952529678826	0.9455655567610841	0.9420137096689244	0.9063322948816533	0.9297376175829268	0.9401502243687654	0.9057249586550514	0.5787841820020435	0.5397803582526625	0.7625605031969915
ZeeviD_2015__PNP_Main_166__bin.6	0.6358876166494025	1.0	0.5331210479874163	0.6804307245642202	0.7837212249306236	0.8331777426681533	0.45031154947763774	0.8720548702203342	0.47251703068681944	0.6596788438160365	0.6914050011451318	0.6571661417661536	0.8129145289904355	0.8488534537446197	0.530680812822686	0.5603352697880131	0.7564783263947259	0.9045502615977049	0.8909780278079077	0.837299054559039	0.8521846053209294	0.8884703635628751	0.8273695411993618	0.5139758394629854	0.5192159315540582	0.7379093652404641
LiuW_2016__SRR3993020__bin.68	0.6368610532696145	0.4899330866774859	1.0	0.6853560288052434	0.7663001729724879	0.9388980117601349	0.613923412753952	0.9297967457525229	0.43592307727920726	0.6749588046272722	0.7714152725055655	0.6378746001101867	0.8882840609253476	0.89691096137019	0.6107762892718239	0.5097716813018415	0.844062292887971	0.9490751474112354	0.9423122329690478	0.9345247316469139	0.9552942508816896	0.9355482501359527	0.9239487300571483	0.7031169592455166	0.5629141572835236	0.7456232476163308
HMP_2012__SRS024435__bin.32	0.6477598950305393	0.5056793178367445	0.5542383493344946	1.0	0.7960894498319244	0.8778828585976578	0.4677076637383044	0.8806585819906874	0.44574408279592936	0.7279480037140205	0.7277985328236923	0.705533130122042	0.8227255080858279	0.8647452601311888	0.5386107213540048	0.5507849669724052	0.7919696404173896	0.9045013489819852	0.887400323939995	0.8529382117867157	0.8733123325292432	0.8889799922125378	0.8587301367874645	0.539211772891798	0.5355182003128809	0.7149094765120464
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.8	0.640467516735174	0.5082778007461871	0.540788585775699	0.6947205191391077	1.0	0.8480593230029946	0.45418263110738033	0.8750751150759192	0.4299630927682183	0.6508942809498618	0.6936614311259784	0.6857129931802673	0.8158272585730459	0.8713745901814448	0.5259213927484891	0.5451325053815193	0.7652270291123541	0.9083991912327417	0.8936498701272589	0.8526000309131053	0.8683556615593022	0.8861910153447126	0.8435045408335732	0.5219238004521356	0.4987914986447242	0.7095374469544936
LiuW_2016__SRR3992958__bin.38	0.6163159069943681	0.4849225592111347	0.5946236898669511	0.6875115873613745	0.7610644358787563	1.0	0.5048437989854998	0.8955930811893424	0.44026627812824926	0.6637039860523128	0.7291746641074855	0.6567213462314855	0.847314777015186	0.8621362245162628	0.552929036856267	0.5074973329333674	0.8028917092006468	0.9206905729062117	0.9078248239059388	0.8947775113843711	0.9039657532856231	0.9025184326444445	0.8780881022890535	0.5786318906739502	0.5304699675892198	0.7195378137045499
LiJ_2017__H2M415914__bin.38	0.6373115433014788	0.49086034382324994	0.7281957115237013	0.6860062492581276	0.7633713383187156	0.9455122478109222	1.0	0.9383657729560123	0.42089095648625596	0.6846012855882241	0.7811171362058631	0.6411310506686673	0.9090820383040575	0.9028429182185264	0.6060056916658113	0.5313575978923011	0.84191666444897	0.9500507113315009	0.9528382504949688	0.939502923346686	0.9685179998825677	0.9502669895633081	0.9179912652318802	0.701027870745032	0.5758023521102545	0.7580353488183479
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.79	0.6361914843169709	0.5057422596192203	0.5867627212159418	0.6872293970970131	0.7825124085442252	0.8924038471262856	0.4992438569699667	1.0	0.42712024011389904	0.6594589796058258	0.7261629533739892	0.6564020446988519	0.8617221272689067	0.9010431380216674	0.5565091340594733	0.5306611560032407	0.8099641424816639	0.9399753458491916	0.9489551202311243	0.8898152736621977	0.9176279425695377	0.9348330338651843	0.8939990628276311	0.5738443507272075	0.522171318255421	0.7554741991053038
VatanenT_2016__G80433__bin.10	0.6407915096671634	0.5550805926990166	0.5572338588122074	0.7045841806412727	0.7788076732753271	0.8886265212278807	0.4535898314853029	0.8651736747967258	1.0	0.6894284649033557	0.7192641747960429	0.6946714175091946	0.8131666077136093	0.8459335819832172	0.5288175746575601	0.5604318914644623	0.7626308632685124	0.8795067791463689	0.8743890164308317	0.8356220321460324	0.8494561978783273	0.8723149613755045	0.8383024615063849	0.5281420044858952	0.53470013379385	0.7031292464979836
HMP_2012__SRS017103__bin.53	0.6225827615603519	0.49461796344410824	0.5506855174024896	0.7344232419833138	0.7525030261788441	0.8550214810755589	0.47090161243176937	0.8525889156139206	0.4400357504603918	1.0	0.7061770658937004	0.6743686283898869	0.799379887576657	0.8265419855801053	0.5369673242419154	0.5286000777537647	0.770093798468983	0.880753153879814	0.8527934696135615	0.8328959441939497	0.8442059789042066	0.8500802235217342	0.8158703104397503	0.5341102511190905	0.5309841197524199	0.6884645491066161
