	WenC_2017__RA050__bin.36	XieH_2016__YSZC12003_37322__bin.23	CosteaPI_2017__alien-11-895-0__bin.9	CosteaPI_2017__alien-11-881-0__bin.18	HeQ_2017__SZAXPI029486-84__bin.10	YuJ_2015__SZAXPI015232-18__bin.18	CosteaPI_2017__daisy-11-389-0__bin.17	CosteaPI_2017__alien-11-918-0__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	CosteaPI_2017__daisy-11-392-0__bin.21	GeversD_2014__SKBSTL034__bin.76	BackhedF_2015__SID511_4M__bin.19	LeChatelierE_2013__MH0302__bin.44	BackhedF_2015__SID203_B__bin.4	CosteaPI_2017__daisy-11-388-0__bin.53	LeChatelierE_2013__MH0274__bin.42	BackhedF_2015__SID582_12M__bin.15	ZellerG_2014__CCIS33816588ST-4-0__bin.69	LeChatelierE_2013__MH0239__bin.61	HeQ_2017__RSZAXPI003102-140__bin.17	QinN_2014__LD-24__bin.22	HMP_2012__SRS016095__bin.41	XieH_2016__YSZC12003_36057__bin.83	BackhedF_2015__SID179_4M__bin.23	BackhedF_2015__SID511_12M__bin.10	YuJ_2015__SZAXPI017464-37__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.37
WenC_2017__RA050__bin.36	1.0	0.7662029913382767	0.7133094261642461	0.6699254667767088	0.7176751385156869	0.7235635452372351	0.686686388109626	0.7701313863033942	0.70939340638942	0.7396150769855129	0.4321847761500965	0.7386902134993307	0.7491457933907384	0.779230608941257	0.7656497475370186	0.7375320412785391	0.74099327281016	0.7531810153661646	0.7589782460533607	0.7616784033820667	0.7314095978700114	0.66815126486274	0.7358663042677117	0.7681122284168946	0.645134320861386	0.581478889836238	0.6968566106719637	0.7569521726193456
XieH_2016__YSZC12003_37322__bin.23	0.7562550003179367	1.0	0.7097550522296343	0.6659933114741378	0.7380866246367528	0.7663749073582766	0.698621699520724	0.7697022855157741	0.7095039361281346	0.754322232612545	0.45358699053339	0.7578394746608047	0.7672469879539714	0.9003025966985597	0.7830033557589472	0.7870848007219499	0.7590745778896404	0.8110902785736175	0.7702815769516373	0.8000997279395942	0.7529621102087137	0.6583231336128063	0.7521072736371562	0.7847069216435135	0.6609539250452566	0.610550001742365	0.7449635773877674	0.7755805218688355
CosteaPI_2017__alien-11-895-0__bin.9	0.8356962296285746	0.8424702162916821	1.0	0.8714938206640814	0.7620510056399074	0.8123758567959902	0.7530480914461548	0.9829766566001755	0.7569987130470083	0.7977112875755733	0.47275117970690905	0.7978368699665768	0.8023009082016175	0.8380869857411749	0.8273016118041477	0.8025064454256028	0.7959446055860071	0.8038982991581503	0.800372824055872	0.8107115169926408	0.776008987349653	0.7837029876242712	0.7866037489648514	0.8142998898968646	0.7029795221813896	0.6582052421373483	0.7629752835091771	0.7977471073407492
CosteaPI_2017__alien-11-881-0__bin.18	0.7024044494106225	0.707467050731341	0.7799281557873784	1.0	0.6492893048063038	0.6799602883843333	0.6282825241414262	0.8670878250277058	0.6418967085840592	0.6721280632821349	0.4006308979725171	0.6652829042372286	0.6793084775102352	0.7012870593407399	0.6918554552143343	0.6701905669075466	0.6660927067400603	0.6781409041090035	0.677734667179567	0.6831021847112951	0.652174178519855	0.6641376557400572	0.6599449624331016	0.6850291864728636	0.5899207065202459	0.5488963101703868	0.6458497430918733	0.6740710931799517
HeQ_2017__SZAXPI029486-84__bin.10	0.7206122136096157	0.7508559664750956	0.653111420092101	0.6218006899627938	1.0	0.6950833344145029	0.6770465031414522	0.7021750146049252	0.7366587183956638	0.7267600784947342	0.41677367199339094	0.7358375168502553	0.7435411694428968	0.7600551049261312	0.7516680313766967	0.7345088661077842	0.7378696891658957	0.7509508048378164	0.7919284695810976	0.8038855953318329	0.771653343308112	0.6021733517357521	0.7498715844712871	0.7777213539263539	0.6538480163158531	0.5984395708774229	0.665441503643054	0.7515053991169252
YuJ_2015__SZAXPI015232-18__bin.18	0.7116309047981538	0.7636511023888837	0.6819690270436582	0.6378240713312665	0.6808340715048837	1.0	0.6664918561883715	0.7374817948012558	0.6817241730494865	0.7187248691292989	0.41451042714671893	0.7148877492995798	0.7279000924109044	0.7600924860788513	0.7486700830481029	0.7148335162877127	0.7138544582847011	0.7391205982885637	0.7212441088719659	0.7455363814911143	0.6953214451468882	0.6218877992369075	0.7067431322302852	0.7289949548980017	0.618642051919428	0.5827065065116307	0.6692965799374011	0.7302312169869964
CosteaPI_2017__daisy-11-389-0__bin.17	0.7542701004314428	0.7774744193772855	0.7060259865183867	0.6582072584660882	0.7406503566104823	0.7443636873198032	1.0	0.7449623859349204	0.7314291985414543	0.8920319511158084	0.43763449479532	0.7852854872857004	0.7941482257831408	0.7872325071558978	0.891125807268621	0.7649069458434624	0.781027830590081	0.7687518103386755	0.7782556261178123	0.7929314383139527	0.7593971194900487	0.6679839368861715	0.7684703520247907	0.7922957583152641	0.693767557411599	0.6573237032477851	0.7002207088951422	0.7936604713187382
CosteaPI_2017__alien-11-918-0__bin.21	0.7589053875373085	0.7684598343623295	0.8267906136620861	0.8149390609680842	0.6891193865584964	0.7389175715776503	0.6683265344331848	1.0	0.6822508445347657	0.724201675457982	0.41756861861783773	0.7158337109835877	0.7301688782594864	0.760891884665164	0.7480288808741951	0.7223995350194319	0.7179025230145475	0.7361527592439726	0.7261591202670948	0.7373587891423953	0.6975181967046421	0.7159995961369024	0.7122457496188677	0.7426434417887476	0.6231483854353194	0.579765203463969	0.6886369745991273	0.7297714712327347
Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	0.6987982455920194	0.7081007454405364	0.6364866807764112	0.6030718273959705	0.7226987019775991	0.6828027000931128	0.6559466191290417	0.682002438789153	1.0	0.7041845921732867	0.41154728300172566	0.7016547338575427	0.7194454891901979	0.7180124047672914	0.7220025965467577	0.6899441000269264	0.7052577024254156	0.7046618089275746	0.7600142914048279	0.7544881142193741	0.7234855180311565	0.6027624073667065	0.7165508164135315	0.7461283953290841	0.6283341980123259	0.5730751152078689	0.6445341113173513	0.7155813242245048
CosteaPI_2017__daisy-11-392-0__bin.21	0.6761814251323592	0.698698760653919	0.6224905151066985	0.586068990692218	0.661720862372838	0.6681008600668148	0.7424538050798065	0.6718838363242589	0.653550785004593	1.0	0.37862705763910137	0.720644415372357	0.7198597684958955	0.7065350802541018	0.8383224795506815	0.6786571557349351	0.7110873964514861	0.6984355478976505	0.698873126626466	0.7123134487908934	0.6754774724321241	0.5893022482728535	0.6867277380157918	0.7123904826127343	0.6108921830969161	0.5760106696002744	0.6252495904146632	0.7201585865175505
GeversD_2014__SKBSTL034__bin.76	0.7925077422110687	0.8426946231678992	0.7399394639186266	0.7006767760365219	0.7611330992871826	0.7728431935285794	0.730595749793096	0.7770323304055317	0.7661064687508343	0.7594308140000534	1.0	0.7524364604746776	0.7784399444696586	0.8380232666791254	0.7811377045679045	0.7934141148516967	0.7525018688095683	0.8201167338548202	0.7856315241476893	0.8330068478522039	0.7795749125664094	0.7386716768561283	0.7602297300905038	0.7958145339989855	0.7057235630189284	0.6647402354700056	0.7358591184558293	0.801167338548202
BackhedF_2015__SID511_4M__bin.19	0.7668388447512385	0.7970665176946186	0.70694460004349	0.6586995337192526	0.7607640271043986	0.7545733996855944	0.7421656956341606	0.7541037372172367	0.7394359478444175	0.8182863441008713	0.42596855604106654	1.0	0.8725718440939756	0.7974192368532765	0.8408854970081217	0.7674617237368281	0.826009136691993	0.7802616318447023	0.7969397503912122	0.8200824346425757	0.7708952095372842	0.6502714917337705	0.7876113015979292	0.8103360882708506	0.7589975974667699	0.6350618713234412	0.7040172388418796	0.8486039443712577
