	WenC_2017__RA050__bin.36	XieH_2016__YSZC12003_37322__bin.23	CosteaPI_2017__alien-11-895-0__bin.9	CosteaPI_2017__alien-11-881-0__bin.18	HeQ_2017__SZAXPI029486-84__bin.10	YuJ_2015__SZAXPI015232-18__bin.18	CosteaPI_2017__daisy-11-389-0__bin.17	CosteaPI_2017__alien-11-918-0__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	CosteaPI_2017__daisy-11-392-0__bin.21	GeversD_2014__SKBSTL034__bin.76	BackhedF_2015__SID511_4M__bin.19	LeChatelierE_2013__MH0302__bin.44	BackhedF_2015__SID203_B__bin.4	CosteaPI_2017__daisy-11-388-0__bin.53	LeChatelierE_2013__MH0274__bin.42	BackhedF_2015__SID582_12M__bin.15	ZellerG_2014__CCIS33816588ST-4-0__bin.69	LeChatelierE_2013__MH0239__bin.61	HeQ_2017__RSZAXPI003102-140__bin.17	QinN_2014__LD-24__bin.22	HMP_2012__SRS016095__bin.41	XieH_2016__YSZC12003_36057__bin.83	BackhedF_2015__SID179_4M__bin.23	BackhedF_2015__SID511_12M__bin.10	YuJ_2015__SZAXPI017464-37__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.37
WenC_2017__RA050__bin.36	1.0	0.9587117611542684	0.9556782060339238	0.9546685139154883	0.9612268506778702	0.961469952342674	0.9603299437699446	0.9551627121335574	0.9623542305185119	0.9608386635614167	0.9591358756137893	0.9614597476276809	0.9612146859372931	0.9585346423567653	0.9606031838240782	0.9589435427137725	0.9611332778931826	0.9589260015638033	0.9614560231992314	0.960746131717527	0.9609335364022417	0.9533208167672232	0.9615848799773264	0.9609789718369559	0.9610341654522548	0.9608309223860678	0.9583856188855284	0.9607029944582687
XieH_2016__YSZC12003_37322__bin.23	0.9587117611542684	1.0	0.9624096818523477	0.9613421539387682	0.9881930944386956	0.9841360208938383	0.9883977416155846	0.9613747346877337	0.985848545486583	0.988118602988697	0.9886800373041975	0.9874387384886903	0.9876557343582021	0.995497709949251	0.9883049092311385	0.9891647663890953	0.9880760902051384	0.9914659819668348	0.9872463720801162	0.9882106436248168	0.9876751315051827	0.9600972010496098	0.9881091669610238	0.9883298409688461	0.9869625372354317	0.9874037259552089	0.9922400508665714	0.9874564879555882
CosteaPI_2017__alien-11-895-0__bin.9	0.9556782060339238	0.9624096818523477	1.0	0.9987544756063399	0.962674014278152	0.9626338820675125	0.9637592382811891	0.9995176025192254	0.9630873503986552	0.9638182020343274	0.962504842660331	0.9634104789104572	0.9636959161925213	0.9622352160604383	0.9638781011229671	0.9625994387697356	0.9636888718163842	0.962473497520954	0.9631651840621951	0.9636630647779785	0.962620861595391	0.9906077319507695	0.9637322973972213	0.9638043384626099	0.9624858738555776	0.9625205695997512	0.9622226500901084	0.9632919708185267
CosteaPI_2017__alien-11-881-0__bin.18	0.9546685139154883	0.9613421539387682	0.9987544756063399	1.0	0.9618547748388453	0.9614050694186234	0.9628255655780845	0.998873514046415	0.9621895327109471	0.9632537094624863	0.9614096836570427	0.9627167295167447	0.9629255733462093	0.9609046242287012	0.9631166631962305	0.9618531775542347	0.9630092745373044	0.9614599365783246	0.9624503886835661	0.9626295149904008	0.9616454996980606	0.9895989257030824	0.9628517542644788	0.9628496778632291	0.9617126405440207	0.9619105159583362	0.9615098150267124	0.962344815989986
HeQ_2017__SZAXPI029486-84__bin.10	0.9612268506778702	0.9881930944386956	0.962674014278152	0.9618547748388453	1.0	0.9864473153580793	0.9902162307468916	0.9621311544095699	0.9910739401420172	0.9899410938224447	0.9873587161590701	0.9911849168381821	0.9909429968891665	0.9877698059661805	0.9899780720946741	0.9880263520265938	0.9903344973673647	0.9885167615471748	0.992193924782939	0.9935709335182744	0.9929414951848858	0.9603826575124227	0.99135281794325	0.9920226613559596	0.990641007690259	0.9907604470552456	0.987656826325074	0.9908038486695732
YuJ_2015__SZAXPI015232-18__bin.18	0.961469952342674	0.9841360208938383	0.9626338820675125	0.9614050694186234	0.9864473153580793	1.0	0.9865606500215378	0.9619419689717748	0.9854069331639009	0.9864936478929991	0.9842482590783338	0.9874486740375756	0.9875196101092265	0.9840480907371688	0.9864849615881336	0.9839392635092045	0.9870574155901238	0.9854271820420495	0.9860283656438752	0.9864103882684475	0.9858848532072613	0.9603199204257087	0.9869770773058439	0.9863743178381383	0.9873508363579552	0.985880562713345	0.9853231647537735	0.9868537802306189
CosteaPI_2017__daisy-11-389-0__bin.17	0.9603299437699446	0.9883977416155846	0.9637592382811891	0.9628255655780845	0.9902162307468916	0.9865606500215378	1.0	0.9633983213508406	0.9888526523871225	0.9994942189245485	0.987978206473927	0.9924081128112078	0.9923621983819731	0.9881406063363859	0.999715783674363	0.9875835628753469	0.9926766749293915	0.9883919521417981	0.9898403308095551	0.9903097145124617	0.9896630521964666	0.9612919076813778	0.9909530664471894	0.9904994937520705	0.991950346108897	0.9899990055570204	0.9882499073615719	0.9923378586001058
CosteaPI_2017__alien-11-918-0__bin.21	0.9551627121335574	0.9613747346877337	0.9995176025192254	0.998873514046415	0.9621311544095699	0.9619419689717748	0.9633983213508406	1.0	0.962373410725828	0.9633046947258159	0.9616281227130454	0.9629538976158397	0.9633125540798064	0.9612797545043479	0.9634268406151922	0.9620146040197547	0.963177813361045	0.9615965909976769	0.9627449576085964	0.9627905879457275	0.9616795527609974	0.9900093149212315	0.9630726961287768	0.9629725417637728	0.9621249424781575	0.9621365752139903	0.9614796164836907	0.9628096929383412
Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	0.9623542305185119	0.985848545486583	0.9630873503986552	0.9621895327109471	0.9910739401420172	0.9854069331639009	0.9888526523871225	0.962373410725828	1.0	0.988900138414136	0.98424173361839	0.9890719234125073	0.9890855041930432	0.9854661476415291	0.9888977144149699	0.9856946535014659	0.9885098141789143	0.9862679416464478	0.9922280837694112	0.9908574421034299	0.989913847082474	0.961088130919283	0.9901024456048564	0.9902876884563977	0.9887151351227974	0.9886295775507044	0.9859728992586486	0.988564349490435
CosteaPI_2017__daisy-11-392-0__bin.21	0.9608386635614167	0.988118602988697	0.9638182020343274	0.9632537094624863	0.9899410938224447	0.9864936478929991	0.9994942189245485	0.9633046947258159	0.988900138414136	1.0	0.9873712472755396	0.9923240543362848	0.9925274008015981	0.9879138711429898	0.9996719332657088	0.9874676541720755	0.992898727667259	0.9882253730489966	0.9897099610281707	0.9901591847803364	0.9897158863348288	0.961472210905356	0.990827799679804	0.9905238883307013	0.992043955972126	0.9902178609969198	0.9880948927970895	0.9927398165096919
GeversD_2014__SKBSTL034__bin.76	0.9591358756137893	0.9886800373041975	0.962504842660331	0.9614096836570427	0.9873587161590701	0.9842482590783338	0.987978206473927	0.9616281227130454	0.98424173361839	0.9873712472755396	1.0	0.987011253277013	0.9871180404022564	0.9894464251367978	0.9872731793469206	0.9870520161193651	0.987004843193785	0.9889978917847968	0.9855160496679964	0.9874342739132786	0.9869754109834451	0.9606740354754563	0.9871562556791394	0.987688629122416	0.9867000387281102	0.9861963297980756	0.9882927612394481	0.9866474837404706
BackhedF_2015__SID511_4M__bin.19	0.9614597476276809	0.9874387384886903	0.9634104789104572	0.9627167295167447	0.9911849168381821	0.9874486740375756	0.9924081128112078	0.9629538976158397	0.9890719234125073	0.9923240543362848	0.987011253277013	1.0	0.9990202796695582	0.9875279267070532	0.9924654185718805	0.9876830859365384	0.9951221364251095	0.9876536663460896	0.9905318026177171	0.9911399432827362	0.9906390777149909	0.9605606403034521	0.9916381923047862	0.9915686714735777	0.9989167387264412	0.990926036877738	0.9876322897921308	0.9953911561937656
LeChatelierE_2013__MH0302__bin.44	0.9612146859372931	0.9876557343582021	0.9636959161925213	0.9629255733462093	0.9909429968891665	0.9875196101092265	0.9923621983819731	0.9633125540798064	0.9890855041930432	0.9925274008015981	0.9871180404022564	0.9990202796695582	1.0	0.9876803689602349	0.9925950644677244	0.9875163384240124	0.9952396427612147	0.9877602179239965	0.9903331029922056	0.9908870821371847	0.9903797519623098	0.9606668460413545	0.9914695870391209	0.9912836505737026	0.9983360237986306	0.9908021500362152	0.9878743935491049	0.9954519902813247
BackhedF_2015__SID203_B__bin.4	0.9585346423567653	0.995497709949251	0.9622352160604383	0.9609046242287012	0.9877698059661805	0.9840480907371688	0.9881406063363859	0.9612797545043479	0.9854661476415291	0.9879138711429898	0.9894464251367978	0.9875279267070532	0.9876803689602349	1.0	0.9879789802430086	0.9890451865619623	0.987791081004638	0.9913832191606954	0.9873738164535976	0.9881954891551821	0.9876655657525681	0.9593859243339923	0.9875679491097215	0.9884676250193402	0.9868479355926435	0.9870320331913083	0.9913907108432666	0.9872047537686839
CosteaPI_2017__daisy-11-388-0__bin.53	0.9606031838240782	0.9883049092311385	0.9638781011229671	0.9631166631962305	0.9899780720946741	0.9864849615881336	0.999715783674363	0.9634268406151922	0.9888977144149699	0.9996719332657088	0.9872731793469206	0.9924654185718805	0.9925950644677244	0.9879789802430086	1.0	0.9874223591820709	0.9929514847812134	0.9881253224863664	0.9898156876392945	0.9902539929062395	0.9897378850263797	0.9612955054662067	0.9907081469535213	0.9906469535255045	0.992156912463758	0.9900432934606462	0.9881577450052033	0.9927142042408499
LeChatelierE_2013__MH0274__bin.42	0.9589435427137725	0.9891647663890953	0.9625994387697356	0.9618531775542347	0.9880263520265938	0.9839392635092045	0.9875835628753469	0.9620146040197547	0.9856946535014659	0.9874676541720755	0.9870520161193651	0.9876830859365384	0.9875163384240124	0.9890451865619623	0.9874223591820709	1.0	0.9872258044027639	0.9942712388326113	0.9870390067315116	0.9880182271507744	0.9878115837344149	0.9594546560353792	0.987471923690523	0.9881304911370707	0.9870819759772542	0.9866360021936248	0.9884407801057705	0.9869560637824357
BackhedF_2015__SID582_12M__bin.15	0.9611332778931826	0.9880760902051384	0.9636888718163842	0.9630092745373044	0.9903344973673647	0.9870574155901238	0.9926766749293915	0.963177813361045	0.9885098141789143	0.992898727667259	0.987004843193785	0.9951221364251095	0.9952396427612147	0.987791081004638	0.9929514847812134	0.9872258044027639	1.0	0.988085152018875	0.9899155874594829	0.9907039681935752	0.9901627389022745	0.9611384591049191	0.990938296317615	0.9906036662827145	0.9947472560906122	0.9906517769057263	0.987885609890792	0.9959481716447502
ZellerG_2014__CCIS33816588ST-4-0__bin.69	0.9589260015638033	0.9914659819668348	0.962473497520954	0.9614599365783246	0.9885167615471748	0.9854271820420495	0.9883919521417981	0.9615965909976769	0.9862679416464478	0.9882253730489966	0.9889978917847968	0.9876536663460896	0.9877602179239965	0.9913832191606954	0.9881253224863664	0.9942712388326113	0.988085152018875	1.0	0.9881738343707348	0.9889244000232437	0.9888114471100619	0.9595468127252934	0.9882720197706432	0.9889249987502189	0.9869967744475918	0.9875956951137012	0.9909499986153142	0.9874831098886294
LeChatelierE_2013__MH0239__bin.61	0.9614560231992314	0.9872463720801162	0.9631651840621951	0.9624503886835661	0.992193924782939	0.9860283656438752	0.9898403308095551	0.9627449576085964	0.9922280837694112	0.9897099610281707	0.9855160496679964	0.9905318026177171	0.9903331029922056	0.9873738164535976	0.9898156876392945	0.9870390067315116	0.9899155874594829	0.9881738343707348	1.0	0.9919866980797789	0.9915462791637227	0.9605416146000656	0.991298674635367	0.9912337941828325	0.9899068794430285	0.990319501535603	0.9872448630263245	0.989840891814672
HeQ_2017__RSZAXPI003102-140__bin.17	0.960746131717527	0.9882106436248168	0.9636630647779785	0.9626295149904008	0.9935709335182744	0.9864103882684475	0.9903097145124617	0.9627905879457275	0.9908574421034299	0.9901591847803364	0.9874342739132786	0.9911399432827362	0.9908870821371847	0.9881954891551821	0.9902539929062395	0.9880182271507744	0.9907039681935752	0.9889244000232437	0.9919866980797789	1.0	0.992286246810557	0.9605984152309266	0.9910911385853156	0.9916257906602031	0.9907010762777422	0.99068965824605	0.9877699594558557	0.9906891381041834
QinN_2014__LD-24__bin.22	0.9609335364022417	0.9876751315051827	0.962620861595391	0.9616454996980606	0.9929414951848858	0.9858848532072613	0.9896630521964666	0.9616795527609974	0.989913847082474	0.9897158863348288	0.9869754109834451	0.9906390777149909	0.9903797519623098	0.9876655657525681	0.9897378850263797	0.9878115837344149	0.9901627389022745	0.9888114471100619	0.9915462791637227	0.992286246810557	1.0	0.9598173759812036	0.9914843157392565	0.991633590233959	0.9899905223498296	0.9900610856102355	0.9876113095236512	0.9902261776870375
HMP_2012__SRS016095__bin.41	0.9533208167672232	0.9600972010496098	0.9906077319507695	0.9895989257030824	0.9603826575124227	0.9603199204257087	0.9612919076813778	0.9900093149212315	0.961088130919283	0.961472210905356	0.9606740354754563	0.9605606403034521	0.9606668460413545	0.9593859243339923	0.9612955054662067	0.9594546560353792	0.9611384591049191	0.9595468127252934	0.9605416146000656	0.9605984152309266	0.9598173759812036	1.0	0.9609501936642276	0.9605295993113154	0.9599846252789874	0.9603816212530153	0.9596044462220266	0.9604029045399852
XieH_2016__YSZC12003_36057__bin.83	0.9615848799773264	0.9881091669610238	0.9637322973972213	0.9628517542644788	0.99135281794325	0.9869770773058439	0.9909530664471894	0.9630726961287768	0.9901024456048564	0.990827799679804	0.9871562556791394	0.9916381923047862	0.9914695870391209	0.9875679491097215	0.9907081469535213	0.987471923690523	0.990938296317615	0.9882720197706432	0.991298674635367	0.9910911385853156	0.9914843157392565	0.9609501936642276	1.0	0.9912616999333035	0.9909618510225147	0.9904341580458687	0.9876556342923044	0.9908949922813574
BackhedF_2015__SID179_4M__bin.23	0.9609789718369559	0.9883298409688461	0.9638043384626099	0.9628496778632291	0.9920226613559596	0.9863743178381383	0.9904994937520705	0.9629725417637728	0.9902876884563977	0.9905238883307013	0.987688629122416	0.9915686714735777	0.9912836505737026	0.9884676250193402	0.9906469535255045	0.9881304911370707	0.9906036662827145	0.9889249987502189	0.9912337941828325	0.9916257906602031	0.991633590233959	0.9605295993113154	0.9912616999333035	1.0	0.9907243279020524	0.9897416372265107	0.9884454682560354	0.9904213774568221
BackhedF_2015__SID511_12M__bin.10	0.9610341654522548	0.9869625372354317	0.9624858738555776	0.9617126405440207	0.990641007690259	0.9873508363579552	0.991950346108897	0.9621249424781575	0.9887151351227974	0.992043955972126	0.9867000387281102	0.9989167387264412	0.9983360237986306	0.9868479355926435	0.992156912463758	0.9870819759772542	0.9947472560906122	0.9869967744475918	0.9899068794430285	0.9907010762777422	0.9899905223498296	0.9599846252789874	0.9909618510225147	0.9907243279020524	1.0	0.9904608746193807	0.9868458636603976	0.9949137538916336
YuJ_2015__SZAXPI017464-37__bin.10	0.9608309223860678	0.9874037259552089	0.9625205695997512	0.9619105159583362	0.9907604470552456	0.985880562713345	0.9899990055570204	0.9621365752139903	0.9886295775507044	0.9902178609969198	0.9861963297980756	0.990926036877738	0.9908021500362152	0.9870320331913083	0.9900432934606462	0.9866360021936248	0.9906517769057263	0.9875956951137012	0.990319501535603	0.99068965824605	0.9900610856102355	0.9603816212530153	0.9904341580458687	0.9897416372265107	0.9904608746193807	1.0	0.98708501700927	0.9898632147518842
