	WenC_2017__RA050__bin.36	XieH_2016__YSZC12003_37322__bin.23	CosteaPI_2017__alien-11-895-0__bin.9	CosteaPI_2017__alien-11-881-0__bin.18	HeQ_2017__SZAXPI029486-84__bin.10	YuJ_2015__SZAXPI015232-18__bin.18	CosteaPI_2017__daisy-11-389-0__bin.17	CosteaPI_2017__alien-11-918-0__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	CosteaPI_2017__daisy-11-392-0__bin.21	GeversD_2014__SKBSTL034__bin.76	BackhedF_2015__SID511_4M__bin.19	LeChatelierE_2013__MH0302__bin.44	BackhedF_2015__SID203_B__bin.4	CosteaPI_2017__daisy-11-388-0__bin.53	LeChatelierE_2013__MH0274__bin.42	BackhedF_2015__SID582_12M__bin.15	ZellerG_2014__CCIS33816588ST-4-0__bin.69	LeChatelierE_2013__MH0239__bin.61	HeQ_2017__RSZAXPI003102-140__bin.17	QinN_2014__LD-24__bin.22	HMP_2012__SRS016095__bin.41	XieH_2016__YSZC12003_36057__bin.83	BackhedF_2015__SID179_4M__bin.23	BackhedF_2015__SID511_12M__bin.10	YuJ_2015__SZAXPI017464-37__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.37
WenC_2017__RA050__bin.36	5494865.0	4210182.0	3919539.0	3681150.0	3943528.0	3975884.0	3773249.0	4231768.0	3898021.0	4064085.0	2374797.0	4059003.0	4116455.0	4281767.0	4207142.0	4052639.0	4071658.0	4138628.0	4170483.0	4185320.0	4018997.0	3671401.0	4043486.0	4220673.0	3544926.0	3195148.0	3829133.0	4159350.0
XieH_2016__YSZC12003_37322__bin.23	4210182.0	5567146.0	3951310.0	3707682.0	4109036.0	4266521.0	3889329.0	4285045.0	3949912.0	4199422.0	2525185.0	4219003.0	4271376.0	5012116.0	4359094.0	4381816.0	4225879.0	4515458.0	4288270.0	4454272.0	4191850.0	3664981.0	4187091.0	4368578.0	3679627.0	3399021.0	4147321.0	4317770.0
CosteaPI_2017__alien-11-895-0__bin.9	3919539.0	3951310.0	4690148.0	4087435.0	3574132.0	3810163.0	3531907.0	4610306.0	3550436.0	3741384.0	2217273.0	3741973.0	3762910.0	3930752.0	3880167.0	3763874.0	3733098.0	3770402.0	3753867.0	3802357.0	3639597.0	3675683.0	3689288.0	3819187.0	3297078.0	3087080.0	3578467.0	3741552.0
CosteaPI_2017__alien-11-881-0__bin.18	3681150.0	3707682.0	4087435.0	5240784.0	3402785.0	3563525.0	3292693.0	4544220.0	3364042.0	3522478.0	2099620.0	3486604.0	3560109.0	3675294.0	3625865.0	3512324.0	3490848.0	3553990.0	3551861.0	3579991.0	3417904.0	3480602.0	3458629.0	3590090.0	3091647.0	2876647.0	3384759.0	3532661.0
HeQ_2017__SZAXPI029486-84__bin.10	3943528.0	4109036.0	3574132.0	3402785.0	5472469.0	3803822.0	3705116.0	3842631.0	4031342.0	3977172.0	2280781.0	4026848.0	4069006.0	4159378.0	4113480.0	4019577.0	4037969.0	4109555.0	4333804.0	4399239.0	4222849.0	3295375.0	4103649.0	4256056.0	3578163.0	3274942.0	3641608.0	4112590.0
YuJ_2015__SZAXPI015232-18__bin.18	3975884.0	4266521.0	3810163.0	3563525.0	3803822.0	5587003.0	3723692.0	4120313.0	3808795.0	4015518.0	2315871.0	3994080.0	4066780.0	4246639.0	4182822.0	3993777.0	3988307.0	4129469.0	4029593.0	4165314.0	3884763.0	3474489.0	3948576.0	4072897.0	3456355.0	3255583.0	3739362.0	4079804.0
CosteaPI_2017__daisy-11-389-0__bin.17	3773249.0	3889329.0	3531907.0	3292693.0	3705116.0	3723692.0	5002517.0	3726687.0	3658987.0	4462405.0	2189274.0	3928404.0	3972740.0	3938144.0	4457872.0	3826460.0	3907105.0	3845694.0	3893237.0	3966653.0	3798897.0	3341601.0	3844286.0	3963473.0	3470584.0	3288273.0	3502866.0	3970300.0
CosteaPI_2017__alien-11-918-0__bin.21	4231768.0	4285045.0	4610306.0	4544220.0	3842631.0	4120313.0	3726687.0	5576147.0	3804331.0	4038255.0	2328424.0	3991594.0	4071529.0	4242845.0	4171119.0	4028206.0	4003130.0	4104896.0	4049170.0	4111621.0	3889464.0	3992519.0	3971587.0	4141089.0	3474767.0	3232856.0	3839941.0	4069313.0
Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	3898021.0	3949912.0	3550436.0	3364042.0	4031342.0	3808795.0	3658987.0	3804331.0	5578178.0	3928067.0	2295684.0	3913955.0	4013195.0	4005201.0	4027459.0	3848631.0	3934053.0	3930729.0	4239495.0	4208669.0	4035731.0	3362316.0	3997048.0	4162037.0	3504960.0	3196715.0	3595326.0	3991640.0
CosteaPI_2017__daisy-11-392-0__bin.21	4064085.0	4199422.0	3741384.0	3522478.0	3977172.0	4015518.0	4462405.0	4038255.0	3928067.0	6010347.0	2275680.0	4331323.0	4326607.0	4246521.0	5038609.0	4078965.0	4273882.0	4197840.0	4200470.0	4281251.0	4059854.0	3541911.0	4127472.0	4281714.0	3671674.0	3462024.0	3757967.0	4328403.0
GeversD_2014__SKBSTL034__bin.76	2374797.0	2525185.0	2217273.0	2099620.0	2280781.0	2315871.0	2189274.0	2328424.0	2295684.0	2275680.0	2996560.0	2254721.0	2332642.0	2511187.0	2340726.0	2377513.0	2254917.0	2457529.0	2354192.0	2496155.0	2336043.0	2213474.0	2278074.0	2384706.0	2114743.0	1991934.0	2205046.0	2400746.0
BackhedF_2015__SID511_4M__bin.19	4059003.0	4219003.0	3741973.0	3486604.0	4026848.0	3994080.0	3928404.0	3991594.0	3913955.0	4331323.0	2254721.0	5293163.0	4618665.0	4220870.0	4450944.0	4062300.0	4372201.0	4130052.0	4218332.0	4340830.0	4080474.0	3441993.0	4168955.0	4289241.0	4017498.0	3361486.0	3726478.0	4491799.0
LeChatelierE_2013__MH0302__bin.44	4116455.0	4271376.0	3762910.0	3560109.0	4069006.0	4066780.0	3972740.0	4071529.0	4013195.0	4326607.0	2332642.0	4618665.0	5791884.0	4262790.0	4459053.0	4115299.0	4434121.0	4202199.0	4306656.0	4424269.0	4147918.0	3553084.0	4247860.0	4397139.0	4004264.0	3383943.0	3810696.0	4577167.0
BackhedF_2015__SID203_B__bin.4	4281767.0	5012116.0	3930752.0	3675294.0	4159378.0	4246639.0	3938144.0	4242845.0	4005201.0	4246521.0	2511187.0	4220870.0	4262790.0	5547817.0	4404618.0	4404274.0	4228548.0	4569688.0	4342880.0	4510818.0	4257674.0	3625221.0	4182174.0	4504883.0	3678586.0	3397757.0	4056084.0	4324653.0
CosteaPI_2017__daisy-11-388-0__bin.53	4207142.0	4359094.0	3880167.0	3625865.0	4113480.0	4182822.0	4457872.0	4171119.0	4027459.0	5038609.0	2340726.0	4450944.0	4459053.0	4404618.0	5413907.0	4222811.0	4415398.0	4318012.0	4338830.0	4454337.0	4186369.0	3657198.0	4256094.0	4447321.0	3786009.0	3546956.0	3884142.0	4443166.0
LeChatelierE_2013__MH0274__bin.42	4052639.0	4381816.0	3763874.0	3512324.0	4019577.0	3993777.0	3826460.0	4028206.0	3848631.0	4078965.0	2377513.0	4062300.0	4115299.0	4404274.0	4222811.0	5093517.0	4093565.0	4586681.0	4129236.0	4281086.0	4093723.0	3465996.0	4063034.0	4247185.0	3561458.0	3342413.0	3902599.0	4120382.0
BackhedF_2015__SID582_12M__bin.15	4071658.0	4225879.0	3733098.0	3490848.0	4037969.0	3988307.0	3907105.0	4003130.0	3934053.0	4273882.0	2254917.0	4372201.0	4434121.0	4228548.0	4415398.0	4093565.0	5042110.0	4196025.0	4204707.0	4349813.0	4061598.0	3464402.0	4190382.0	4303487.0	3773266.0	3363206.0	3737456.0	4451077.0
ZellerG_2014__CCIS33816588ST-4-0__bin.69	4138628.0	4515458.0	3770402.0	3553990.0	4109555.0	4129469.0	3845694.0	4104896.0	3930729.0	4197840.0	2457529.0	4130052.0	4202199.0	4569688.0	4318012.0	4586681.0	4196025.0	5446388.0	4257593.0	4388295.0	4147632.0	3570621.0	4105481.0	4380767.0	3593493.0	3345129.0	3935911.0	4297633.0
LeChatelierE_2013__MH0239__bin.61	4170483.0	4288270.0	3753867.0	3551861.0	4333804.0	4029593.0	3893237.0	4049170.0	4239495.0	4200470.0	2354192.0	4218332.0	4306656.0	4342880.0	4338830.0	4129236.0	4204707.0	4257593.0	5979384.0	4597231.0	4336552.0	3498724.0	4247284.0	4484038.0	3721842.0	3371314.0	3797372.0	4272816.0
HeQ_2017__RSZAXPI003102-140__bin.17	4185320.0	4454272.0	3802357.0	3579991.0	4399239.0	4165314.0	3966653.0	4111621.0	4208669.0	4281251.0	2496155.0	4340830.0	4424269.0	4510818.0	4454337.0	4281086.0	4349813.0	4388295.0	4597231.0	5255532.0	4400063.0	3583866.0	4404940.0	4599479.0	3794095.0	3477853.0	3907346.0	4422147.0
QinN_2014__LD-24__bin.22	4018997.0	4191850.0	3639597.0	3417904.0	4222849.0	3884763.0	3798897.0	3889464.0	4035731.0	4059854.0	2336043.0	4080474.0	4147918.0	4257674.0	4186369.0	4093723.0	4061598.0	4147632.0	4336552.0	4400063.0	5413482.0	3370860.0	4156683.0	4366150.0	3632757.0	3319276.0	3760123.0	4124589.0
HMP_2012__SRS016095__bin.41	3671401.0	3664981.0	3675683.0	3480602.0	3295375.0	3474489.0	3341601.0	3992519.0	3362316.0	3541911.0	2213474.0	3441993.0	3553084.0	3625221.0	3657198.0	3465996.0	3464402.0	3570621.0	3498724.0	3583866.0	3370860.0	4788366.0	3426291.0	3582482.0	3041356.0	2824371.0	3352869.0	3700827.0
XieH_2016__YSZC12003_36057__bin.83	4043486.0	4187091.0	3689288.0	3458629.0	4103649.0	3948576.0	3844286.0	3971587.0	3997048.0	4127472.0	2278074.0	4168955.0	4247860.0	4182174.0	4256094.0	4063034.0	4190382.0	4105481.0	4247284.0	4404940.0	4156683.0	3426291.0	4728761.0	4369042.0	3665131.0	3367921.0	3731986.0	4213176.0
BackhedF_2015__SID179_4M__bin.23	4220673.0	4368578.0	3819187.0	3590090.0	4256056.0	4072897.0	3963473.0	4141089.0	4162037.0	4281714.0	2384706.0	4289241.0	4397139.0	4504883.0	4447321.0	4247185.0	4303487.0	4380767.0	4484038.0	4599479.0	4366150.0	3582482.0	4369042.0	5189193.0	3740861.0	3419649.0	3847062.0	4369313.0
BackhedF_2015__SID511_12M__bin.10	3544926.0	3679627.0	3297078.0	3091647.0	3578163.0	3456355.0	3470584.0	3474767.0	3504960.0	3671674.0	2114743.0	4017498.0	4004264.0	3678586.0	3786009.0	3561458.0	3773266.0	3593493.0	3721842.0	3794095.0	3632757.0	3041356.0	3665131.0	3740861.0	4660217.0	3040111.0	3315383.0	3875943.0
YuJ_2015__SZAXPI017464-37__bin.10	3195148.0	3399021.0	3087080.0	2876647.0	3274942.0	3255583.0	3288273.0	3232856.0	3196715.0	3462024.0	1991934.0	3361486.0	3383943.0	3397757.0	3546956.0	3342413.0	3363206.0	3345129.0	3371314.0	3477853.0	3319276.0	2824371.0	3367921.0	3419649.0	3040111.0	5175895.0	3067445.0	3349484.0
Bengtsson-PalmeJ_2015__TRAVELRES54__bin.8	3829133.0	4147321.0	3578467.0	3384759.0	3641608.0	3739362.0	3502866.0	3839941.0	3595326.0	3757967.0	2205046.0	3726478.0	3810696.0	4056084.0	3884142.0	3902599.0	3737456.0	3935911.0	3797372.0	3907346.0	3760123.0	3352869.0	3731986.0	3847062.0	3315383.0	3067445.0	5653083.0	3881809.0
VogtmannE_2016__MMRS68910755ST-27-0-0__bin.37	4159350.0	4317770.0	3741552.0	3532661.0	4112590.0	4079804.0	3970300.0	4069313.0	3991640.0	4328403.0	2400746.0	4491799.0	4577167.0	4324653.0	4443166.0	4120382.0	4451077.0	4297633.0	4272816.0	4422147.0	4124589.0	3700827.0	4213176.0	4369313.0	3875943.0	3349484.0	3881809.0	5563073.0
