	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	BritoIL_2016__M1.20.ST__bin.74	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	LiuW_2016__SRR3992961__bin.130	LeChatelierE_2013__MH0447__bin.124	LiSS_2016__FAT_012-22-42-0__bin.38	BritoIL_2016__M1.48.ST__bin.92	LiuW_2016__SRR3993056__bin.8	XieH_2016__YSZC12003_36049__bin.58	LiJ_2014__MH0355__bin.49	ZellerG_2014__CCMD64776337ST-21-0__bin.27	BritoIL_2016__M1.15.ST__bin.19	XieH_2016__YSZC12003_36699__bin.72	BritoIL_2016__W2.39.ST__bin.57	ZellerG_2014__CCIS20795251ST-4-0__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	XieH_2016__YSZC12003_37181R1__bin.110	XieH_2016__YSZC12003_37287__bin.85	KarlssonFH_2013__S552__bin.8	BritoIL_2016__M2.50.ST__bin.13	Obregon-TitoAJ_2015__SM39__bin.24	XieH_2016__YSZC12003_37286__bin.28	BritoIL_2016__M2.44.ST__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.215	LiuW_2016__SRR3993022__bin.75	YuJ_2015__SZAXPI017591-140__bin.53	ZeeviD_2015__PNP_Main_545__bin.5	LiJ_2014__V1.FI16__bin.39	BritoIL_2016__W1.33.ST__bin.55
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	0.0	16182.0	1092.0	13904.0	16516.0	15976.0	9710.0	16751.0	15214.0	14863.0	14513.0	8887.0	16702.0	13740.0	17126.0	17372.0	17873.0	17481.0	11988.0	14417.0	10709.0	16556.0	16300.0	11665.0	7640.0	12171.0	16300.0	17687.0	15620.0
BritoIL_2016__M1.20.ST__bin.74	16182.0	0.0	28147.0	25770.0	15911.0	14676.0	3147.0	17174.0	18069.0	16528.0	15855.0	2632.0	18077.0	12998.0	17675.0	19611.0	19025.0	17778.0	13558.0	14403.0	24288.0	17775.0	17414.0	9845.0	6654.0	12114.0	18597.0	17790.0	16581.0
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	1092.0	28147.0	0.0	23674.0	29205.0	27670.0	16177.0	29186.0	27522.0	24311.0	25079.0	14468.0	27743.0	23523.0	31117.0	31479.0	31345.0	31523.0	20602.0	24397.0	17570.0	29926.0	28497.0	18781.0	12556.0	20071.0	29420.0	31408.0	26852.0
LiuW_2016__SRR3992961__bin.130	13904.0	25770.0	23674.0	0.0	28288.0	24031.0	15339.0	28155.0	23978.0	21956.0	23872.0	14409.0	26100.0	21329.0	28754.0	29517.0	27286.0	27448.0	18366.0	23578.0	16616.0	27317.0	26336.0	17970.0	12733.0	17637.0	27113.0	27884.0	24212.0
LeChatelierE_2013__MH0447__bin.124	16516.0	15911.0	29205.0	28288.0	0.0	10883.0	8160.0	13364.0	19767.0	15959.0	11818.0	9967.0	13253.0	14061.0	12095.0	14722.0	15467.0	12280.0	9927.0	10030.0	21541.0	12264.0	11471.0	7183.0	4795.0	8231.0	14596.0	13397.0	17993.0
LiSS_2016__FAT_012-22-42-0__bin.38	15976.0	14676.0	27670.0	24031.0	10883.0	0.0	9170.0	9666.0	17841.0	15295.0	9623.0	7711.0	9599.0	13691.0	10522.0	13130.0	12711.0	8869.0	7795.0	7862.0	21395.0	8787.0	9741.0	6329.0	5982.0	8799.0	9686.0	10779.0	16963.0
BritoIL_2016__M1.48.ST__bin.92	9710.0	3147.0	16177.0	15339.0	8160.0	9170.0	0.0	9542.0	10774.0	10616.0	8851.0	2086.0	9419.0	8010.0	8778.0	10426.0	10855.0	9340.0	6946.0	7290.0	16648.0	9185.0	8392.0	6647.0	4154.0	7984.0	9332.0	9269.0	9992.0
LiuW_2016__SRR3993056__bin.8	16751.0	17174.0	29186.0	28155.0	13364.0	9666.0	9542.0	0.0	19903.0	15600.0	9306.0	9869.0	8816.0	15468.0	11869.0	15374.0	14797.0	7915.0	8916.0	10350.0	22257.0	8433.0	12023.0	6363.0	6443.0	8660.0	9248.0	13727.0	18033.0
XieH_2016__YSZC12003_36049__bin.58	15214.0	18069.0	27522.0	23978.0	19767.0	17841.0	10774.0	19903.0	0.0	16599.0	17702.0	9973.0	18170.0	13985.0	20239.0	19854.0	20057.0	21122.0	14406.0	16719.0	19308.0	19712.0	18469.0	13086.0	8547.0	14394.0	18864.0	20164.0	17814.0
LiJ_2014__MH0355__bin.49	14863.0	16528.0	24311.0	21956.0	15959.0	15295.0	10616.0	15600.0	16599.0	0.0	13280.0	8902.0	14992.0	13672.0	17067.0	16665.0	15906.0	16420.0	11225.0	13489.0	19646.0	16280.0	15385.0	11503.0	7914.0	12944.0	15372.0	16346.0	16739.0
