	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	BritoIL_2016__M1.20.ST__bin.74	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	LiuW_2016__SRR3992961__bin.130	LeChatelierE_2013__MH0447__bin.124	LiSS_2016__FAT_012-22-42-0__bin.38	BritoIL_2016__M1.48.ST__bin.92	LiuW_2016__SRR3993056__bin.8	XieH_2016__YSZC12003_36049__bin.58	LiJ_2014__MH0355__bin.49	ZellerG_2014__CCMD64776337ST-21-0__bin.27	BritoIL_2016__M1.15.ST__bin.19	XieH_2016__YSZC12003_36699__bin.72	BritoIL_2016__W2.39.ST__bin.57	ZellerG_2014__CCIS20795251ST-4-0__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	XieH_2016__YSZC12003_37181R1__bin.110	XieH_2016__YSZC12003_37287__bin.85	KarlssonFH_2013__S552__bin.8	BritoIL_2016__M2.50.ST__bin.13	Obregon-TitoAJ_2015__SM39__bin.24	XieH_2016__YSZC12003_37286__bin.28	BritoIL_2016__M2.44.ST__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.215	LiuW_2016__SRR3993022__bin.75	YuJ_2015__SZAXPI017591-140__bin.53	ZeeviD_2015__PNP_Main_545__bin.5	LiJ_2014__V1.FI16__bin.39	BritoIL_2016__W1.33.ST__bin.55
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	983424.0	839786.0	948920.0	822868.0	831358.0	858626.0	568518.0	842603.0	870413.0	769028.0	726354.0	464450.0	803365.0	745066.0	867349.0	871433.0	876214.0	893184.0	602346.0	738799.0	554126.0	824939.0	824768.0	634973.0	382156.0	647378.0	820563.0	885887.0	861396.0
BritoIL_2016__M1.20.ST__bin.74	839786.0	2101635.0	1460556.0	1324389.0	1499521.0	1544773.0	1130165.0	1518697.0	1487251.0	1354306.0	1349945.0	952455.0	1492262.0	1434128.0	1608736.0	1720329.0	1676984.0	1665795.0	1066818.0	1345537.0	931841.0	1582069.0	1583030.0	1088284.0	686289.0	1209287.0	1533152.0	1618841.0	1575471.0
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	948920.0	1460556.0	1891644.0	1416511.0	1441649.0	1492749.0	929351.0	1440983.0	1553366.0	1294567.0	1215779.0	779822.0	1340398.0	1260991.0	1506959.0	1511424.0	1533325.0	1566904.0	1005818.0	1233510.0	909406.0	1458327.0	1406626.0	1018742.0	653289.0	1094250.0	1418935.0	1546044.0	1471584.0
LiuW_2016__SRR3992961__bin.130	822868.0	1324389.0	1416511.0	1707194.0	1327719.0	1326103.0	860222.0	1368973.0	1351188.0	1174011.0	1139250.0	742084.0	1228025.0	1156007.0	1367430.0	1401457.0	1387955.0	1382506.0	928074.0	1143891.0	857133.0	1317167.0	1275037.0	917914.0	649268.0	1003574.0	1285960.0	1399448.0	1321124.0
LeChatelierE_2013__MH0447__bin.124	831358.0	1499521.0	1441649.0	1327719.0	1730353.0	1538191.0	995576.0	1536496.0	1463655.0	1325750.0	1292746.0	834583.0	1432310.0	1318419.0	1578850.0	1604530.0	1579080.0	1588572.0	1045233.0	1329211.0	884959.0	1551453.0	1503236.0	1126354.0	687077.0	1150514.0	1526646.0	1619956.0	1516181.0
LiSS_2016__FAT_012-22-42-0__bin.38	858626.0	1544773.0	1492749.0	1326103.0	1538191.0	1794382.0	1046792.0	1584559.0	1510142.0	1385592.0	1350960.0	832243.0	1463689.0	1345034.0	1592032.0	1617143.0	1620499.0	1694798.0	1067640.0	1333884.0	904792.0	1562437.0	1502533.0	1144701.0	712515.0	1221933.0	1542042.0	1630889.0	1555830.0
BritoIL_2016__M1.48.ST__bin.92	568518.0	1130165.0	929351.0	860222.0	995576.0	1046792.0	1366451.0	1021377.0	969429.0	909849.0	935967.0	624757.0	984270.0	962496.0	1066858.0	1129689.0	1124401.0	1093013.0	712442.0	930332.0	650746.0	1046976.0	1038899.0	748548.0	432851.0	863984.0	1026295.0	1048563.0	1046340.0
LiuW_2016__SRR3993056__bin.8	842603.0	1518697.0	1440983.0	1368973.0	1536496.0	1584559.0	1021377.0	1865391.0	1456662.0	1343593.0	1356387.0	851842.0	1472151.0	1323144.0	1605441.0	1642081.0	1598225.0	1619894.0	1089884.0	1360768.0	912265.0	1565286.0	1525289.0	1097790.0	715183.0	1186475.0	1546300.0	1601246.0	1510744.0
XieH_2016__YSZC12003_36049__bin.58	870413.0	1487251.0	1553366.0	1351188.0	1463655.0	1510142.0	969429.0	1456662.0	1837665.0	1303374.0	1222807.0	803006.0	1336711.0	1310035.0	1489640.0	1504097.0	1526512.0	1561916.0	1004623.0	1221370.0	891573.0	1445031.0	1393233.0	1041692.0	663733.0	1099017.0	1415939.0	1550194.0	1524532.0
LiJ_2014__MH0355__bin.49	769028.0	1354306.0	1294567.0	1174011.0	1325750.0	1385592.0	909849.0	1343593.0	1303374.0	1545044.0	1146583.0	764825.0	1226439.0	1204880.0	1396635.0	1419164.0	1403144.0	1402057.0	952245.0	1137960.0	833075.0	1382950.0	1299323.0	961328.0	615775.0	1062041.0	1312681.0	1411929.0	1367392.0
