	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	BritoIL_2016__M1.20.ST__bin.74	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	LiuW_2016__SRR3992961__bin.130	LeChatelierE_2013__MH0447__bin.124	LiSS_2016__FAT_012-22-42-0__bin.38	BritoIL_2016__M1.48.ST__bin.92	LiuW_2016__SRR3993056__bin.8	XieH_2016__YSZC12003_36049__bin.58	LiJ_2014__MH0355__bin.49	ZellerG_2014__CCMD64776337ST-21-0__bin.27	BritoIL_2016__M1.15.ST__bin.19	XieH_2016__YSZC12003_36699__bin.72	BritoIL_2016__W2.39.ST__bin.57	ZellerG_2014__CCIS20795251ST-4-0__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	XieH_2016__YSZC12003_37181R1__bin.110	XieH_2016__YSZC12003_37287__bin.85	KarlssonFH_2013__S552__bin.8	BritoIL_2016__M2.50.ST__bin.13	Obregon-TitoAJ_2015__SM39__bin.24	XieH_2016__YSZC12003_37286__bin.28	BritoIL_2016__M2.44.ST__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.215	LiuW_2016__SRR3993022__bin.75	YuJ_2015__SZAXPI017591-140__bin.53	ZeeviD_2015__PNP_Main_545__bin.5	LiJ_2014__V1.FI16__bin.39	BritoIL_2016__W1.33.ST__bin.55
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	1.0	0.9807308052289512	0.9988492180584243	0.983103000724296	0.9801337089436801	0.9813935287307861	0.9829205055952493	0.9801199378592291	0.9825209412083689	0.9806730054042245	0.9800193844874537	0.9808655398858865	0.9792099481555706	0.981558680707481	0.980254776335708	0.980065019341705	0.9796020150328573	0.9804284447549441	0.9800978175334443	0.9804858967053285	0.9806740705182576	0.9799306372956061	0.9802368666097617	0.9816291401366672	0.9800081642051937	0.9811995464782554	0.9801355898328343	0.9800346996851743	0.9818666443772667
BritoIL_2016__M1.20.ST__bin.74	0.9807308052289512	1.0	0.9807285718589359	0.9805419706747791	0.9893892783095402	0.9904995750184655	0.9972154508412489	0.9886916218310828	0.9878507393842734	0.9877959633937973	0.988255077058695	0.9972366148531951	0.9878861754839298	0.9909366527952874	0.9890131134008314	0.9886004363118915	0.9886552286724262	0.9893276183443941	0.9872911780641122	0.9892957235661302	0.973935467531478	0.9887647125378223	0.9889995767610216	0.9909536481286135	0.9903043761447436	0.9899825268939466	0.9878700872451003	0.9890106563893551	0.9894755282705934
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	0.9988492180584243	0.9807285718589359	1.0	0.9832871047242132	0.9797419482828345	0.981463728999316	0.9825932290383289	0.9797457707689821	0.9822823468519332	0.9812207479412035	0.9793720733784677	0.9814470481725317	0.9793024161480396	0.9813456241955731	0.9793511303227228	0.9791726213160569	0.9795574975950956	0.9798819838356402	0.9795171691101173	0.9802214817877439	0.9806796964172217	0.9794792251669208	0.9797408835042151	0.9815645178072564	0.9807803284610639	0.9816577564541924	0.9792661397456544	0.9796849248792402	0.9817529954117468
LiuW_2016__SRR3992961__bin.130	0.983103000724296	0.9805419706747791	0.9832871047242132	1.0	0.9786942869688541	0.981878481535748	0.9821685564889063	0.9794334877313139	0.9822541348798243	0.9812983012935994	0.979045863506693	0.9805830606777669	0.9787463610268521	0.9815494196834448	0.9789722325822894	0.9789383477338227	0.9803408611950676	0.9801461982805137	0.9802106297558169	0.979387896224378	0.9806144437327696	0.9792607922913343	0.9793449131280112	0.9804230025906566	0.9803886838716832	0.9824258101545078	0.9789161404709322	0.9800750010003945	0.9816731813213597
LeChatelierE_2013__MH0447__bin.124	0.9801337089436801	0.9893892783095402	0.9797419482828345	0.9786942869688541	1.0	0.9929248058271047	0.9918037397446302	0.991302287802897	0.9864947682343175	0.9879622854987743	0.9908582196347929	0.9880575089595642	0.9907471148005669	0.9893349534556162	0.9923393609272572	0.9908247274902932	0.9902050561086202	0.992269786953314	0.9905025960718806	0.9924541701806561	0.9756587593323532	0.992095152092909	0.9923691289990394	0.9936227864419179	0.9930211606559382	0.9928458063091801	0.9904391718839862	0.9917300222969019	0.9881326833669595
LiSS_2016__FAT_012-22-42-0__bin.38	0.9813935287307861	0.9904995750184655	0.981463728999316	0.981878481535748	0.9929248058271047	1.0	0.9912399024830147	0.9938998800297117	0.9881858792087101	0.9889613970057564	0.9928769171552081	0.9907346772517162	0.9934419128653696	0.9898210751549775	0.9933908363650982	0.9918807427667189	0.9921561198124775	0.9947669279760774	0.9926988497995579	0.994105934249155	0.9763536812880751	0.9943760932440796	0.9935169477142931	0.9944710452773257	0.9916043872760574	0.9927991141903852	0.9937187184266058	0.9933907212569341	0.9890971378621057
BritoIL_2016__M1.48.ST__bin.92	0.9829205055952493	0.9972154508412489	0.9825932290383289	0.9821685564889063	0.9918037397446302	0.9912399024830147	1.0	0.9906577101305395	0.9888862412822393	0.988332129836929	0.9905434700155027	0.996661101836394	0.9904304713137655	0.9916778874925194	0.9917721008794047	0.9907709112862035	0.990345970876938	0.9914548134377176	0.9902504344213283	0.9921640876590293	0.9744170536584167	0.9912271150437069	0.9919222176554218	0.9911201419281062	0.9904031641373129	0.9907590881312617	0.9909070978617259	0.9911602831684887	0.990450522774624
LiuW_2016__SRR3993056__bin.8	0.9801199378592291	0.9886916218310828	0.9797457707689821	0.9794334877313139	0.991302287802897	0.9938998800297117	0.9906577101305395	1.0	0.9863365694993074	0.9883893411174366	0.9931391262228257	0.9884145181852972	0.9940114838763143	0.9883096624403693	0.9926070157670073	0.9906374898680393	0.9907416039669008	0.9951138778216353	0.9918193128810039	0.9923940010347098	0.9756024839273676	0.9946124861526903	0.9921175593608818	0.9942038094717569	0.9909911169588762	0.9927010682905244	0.9940192718101274	0.9914273009893545	0.9880634971907881
XieH_2016__YSZC12003_36049__bin.58	0.9825209412083689	0.9878507393842734	0.9822823468519332	0.9822541348798243	0.9864947682343175	0.9881858792087101	0.9888862412822393	0.9863365694993074	1.0	0.9872645917441962	0.9855234718152579	0.9875804165846831	0.9864069346328413	0.9893247126985157	0.9864134958781987	0.9868000534539993	0.9868608959510309	0.9864768655932842	0.9856602924679208	0.9863112734060931	0.9783438933211301	0.9863587701578721	0.9867437822675748	0.9874377455140291	0.9871228340311541	0.9869028413573221	0.9866773921757929	0.9869925957654332	0.9883151026019789
LiJ_2014__MH0355__bin.49	0.9806730054042245	0.9877959633937973	0.9812207479412035	0.9812983012935994	0.9879622854987743	0.9889613970057564	0.988332129836929	0.9883893411174366	0.9872645917441962	1.0	0.9884177595516417	0.988360736116105	0.9877759921202767	0.9886528118982804	0.9877799138643955	0.988257171123281	0.9886640287810802	0.9882886359113788	0.9882120672726031	0.9881463320327604	0.9764174894217207	0.9882280631982356	0.9881592183006073	0.9880342609390343	0.9871479030490032	0.9878121466120423	0.9882896149178666	0.988422930614783	0.9877584481991997
