	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	BritoIL_2016__M1.20.ST__bin.74	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	LiuW_2016__SRR3992961__bin.130	LeChatelierE_2013__MH0447__bin.124	LiSS_2016__FAT_012-22-42-0__bin.38	BritoIL_2016__M1.48.ST__bin.92	LiuW_2016__SRR3993056__bin.8	XieH_2016__YSZC12003_36049__bin.58	LiJ_2014__MH0355__bin.49	ZellerG_2014__CCMD64776337ST-21-0__bin.27	BritoIL_2016__M1.15.ST__bin.19	XieH_2016__YSZC12003_36699__bin.72	BritoIL_2016__W2.39.ST__bin.57	ZellerG_2014__CCIS20795251ST-4-0__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	XieH_2016__YSZC12003_37181R1__bin.110	XieH_2016__YSZC12003_37287__bin.85	KarlssonFH_2013__S552__bin.8	BritoIL_2016__M2.50.ST__bin.13	Obregon-TitoAJ_2015__SM39__bin.24	XieH_2016__YSZC12003_37286__bin.28	BritoIL_2016__M2.44.ST__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.215	LiuW_2016__SRR3993022__bin.75	YuJ_2015__SZAXPI017591-140__bin.53	ZeeviD_2015__PNP_Main_545__bin.5	LiJ_2014__V1.FI16__bin.39	BritoIL_2016__W1.33.ST__bin.55
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	1.0	0.8539409247689704	0.9649144214499544	0.836737765195887	0.8453708674996746	0.8730984804112977	0.5781005954705193	0.8568054064167643	0.8850841549524925	0.7819902707275804	0.7385969836001562	0.4722784882207471	0.8169060344266562	0.7576243817519198	0.8819685100221267	0.886121347455421	0.8909829330990499	0.9082389691526748	0.612498779773526	0.7512517489912794	0.5634660126252766	0.83884367271899	0.8386697904464402	0.645675720747104	0.3885973903423142	0.6582898119224261	0.8343939135103475	0.9008189753351555	0.8759151698555252
BritoIL_2016__M1.20.ST__bin.74	0.3995869882258337	1.0	0.6949617797571891	0.6301707955948583	0.7135021066931223	0.7350339140716633	0.5377551287450009	0.7226264313260866	0.7076637950928681	0.6444059030231225	0.6423308519319482	0.45319715364466234	0.7100481291946509	0.6823868083658675	0.7654687897755795	0.8185669728568472	0.7979425542494296	0.7926186040868182	0.5076133581711382	0.6402334373000069	0.443388599828229	0.7527800974003573	0.7532373604360415	0.5178273106414768	0.3265500431806665	0.5754029600763215	0.7295044096620013	0.7702769510404994	0.7496406369326738
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	0.5016377288749891	0.7721093398123537	1.0	0.7488253603743622	0.7621143301805202	0.7891278697260161	0.4912927591026641	0.7617622554772463	0.8211724827715997	0.6843607993893143	0.6427102562638636	0.4122456445293089	0.7085889311096591	0.666611159393628	0.7966398540105855	0.7990002347164689	0.8105779945909484	0.8283292205087215	0.531716327173612	0.6520835844376638	0.48074902042879103	0.7709309997018466	0.7435997470982912	0.5385484795236313	0.3453551513921224	0.5784650811674924	0.7501067854205126	0.8173017755983684	0.777939189403503
LiuW_2016__SRR3992961__bin.130	0.4820002881922031	0.7757694790398748	0.8297305402900901	1.0	0.7777200482194759	0.7767734656986846	0.5038806368813387	0.8018848472991353	0.7914671677618361	0.6876845865203369	0.6673231044626445	0.434680534256798	0.719323638672582	0.6771386263072621	0.8009810250036024	0.8209125617826679	0.8130036773793722	0.8098118901542531	0.5436253876243707	0.6700416004273679	0.5020712350207417	0.7715391455218329	0.7468612237390713	0.5376741014788009	0.38031295798837156	0.5878500041588712	0.7532594421020693	0.8197357769532929	0.773856984033449
LeChatelierE_2013__MH0447__bin.124	0.4804557220405316	0.8665983183778108	0.8331531196235681	0.7673110631183349	1.0	0.8889463595000557	0.5753600565896092	0.887966790591284	0.8458707558515517	0.7661731450172306	0.747099580259057	0.48231950359261955	0.8277559549987777	0.7619364372471975	0.9124438770586117	0.9272847794640747	0.9125767979134893	0.9180623838026114	0.6040576691576806	0.7681733149247582	0.5114326383113734	0.8966106915756495	0.868745279142464	0.650938854673006	0.3970733139422996	0.6649013236027562	0.8822743105019611	0.9361997234090385	0.8762264116050309
LiSS_2016__FAT_012-22-42-0__bin.38	0.4785079208329107	0.8608941685772594	0.8319014568804189	0.7390304851475327	0.8572260533152919	1.0	0.5833718795663354	0.8830667048599462	0.8415944876843392	0.7721834035339187	0.7528831653460635	0.4638048085636169	0.8157064660702125	0.7495806355614356	0.8872313699089714	0.9012256030209844	0.9030958848227412	0.9445023411960218	0.5949903643705744	0.7433667970365284	0.5042359988007012	0.8707382263085564	0.8373540305241581	0.6379360693542401	0.39708100058961804	0.6809770717717855	0.8593721961098585	0.9088861791970717	0.8670561786732145
BritoIL_2016__M1.48.ST__bin.92	0.4160544359073249	0.8270805173401754	0.6801202531228708	0.6295300746239711	0.7285852182039458	0.7660662548455818	1.0	0.747466978325604	0.7094502473926984	0.6658482448327822	0.6849619927827635	0.45721141848481944	0.7203112296013542	0.7043765199044825	0.7807510111961571	0.8267321696862895	0.8228622907078263	0.7998918365898229	0.5213813009028498	0.6808381712919087	0.47623076129330655	0.7662009102412015	0.760289977467176	0.5478044950020162	0.31677023179023617	0.6322831920061531	0.7510660828672232	0.7673623130284218	0.7657354709389506
LiuW_2016__SRR3993056__bin.8	0.45170315499538705	0.8141440588059018	0.7724830879960287	0.7338799211532595	0.8236857581064774	0.8494514018776761	0.5475404352224279	1.0	0.7808882963410888	0.7202741945254373	0.7271328102258454	0.45665600402274914	0.789191649364664	0.7093118815304673	0.8606458377895037	0.8802878324169034	0.8567774798956358	0.8683938112706666	0.5842657115853995	0.729481379507031	0.48904760449685886	0.8391195197146335	0.8176779023807877	0.5885039651204492	0.38339575992379077	0.636046276625115	0.8289414926950972	0.8583969795072454	0.8098806094808005
XieH_2016__YSZC12003_36049__bin.58	0.4736516176778684	0.809315626079835	0.8452933478082241	0.7352743835247447	0.796475418533846	0.8217721946056544	0.5275330378496624	0.7926700459550571	1.0	0.7092554954249006	0.6654134458674459	0.43697082983024654	0.7273964514751057	0.7128802039544748	0.8106156453978283	0.8184826940710086	0.8306802382371107	0.8499459912443237	0.5466845154040589	0.6646314752688874	0.48516622997118625	0.7863408183754929	0.7581539616850732	0.5668563095014597	0.36118280535353287	0.5980507872762446	0.7705098589786495	0.8435672443018722	0.8296027839676982
LiJ_2014__MH0355__bin.49	0.4977385757298821	0.8765484995896557	0.8378835813090113	0.7598560299900844	0.8580661780505927	0.8967977610993603	0.5888822583693409	0.8696147164740939	0.8435837425989163	1.0	0.7421037847465832	0.49501826485200423	0.7937890441955051	0.7798353962735042	0.9039451303652194	0.9185265921229427	0.9081579553721447	0.9074544155376805	0.6163222536057226	0.736522713916238	0.5391917641180445	0.8950877774354646	0.8409618107963268	0.6222010505849671	0.39854852030104	0.6873856019634392	0.8496075192680597	0.9138438775853632	0.8850181612950828
ZellerG_2014__CCMD64776337ST-21-0__bin.27	0.43649297985418867	0.81123187273597	0.7306065617510823	0.6846174555366727	0.7768588783631438	0.8118418237716247	0.562457183240108	0.8151031087671898	0.7348299468531334	0.6890241264179108	1.0	0.4481733919527327	0.7840953614876315	0.7130976618743946	0.8495001406192535	0.8692853897797446	0.8472808803486396	0.8832475595949204	0.5690981378164834	0.7367451330113913	0.4841743246069271	0.8474040724297325	0.8253124271363911	0.5877115598641401	0.3598020032835197	0.6577111031520346	0.8201401625414346	0.8195440330563415	0.7821663537788119
BritoIL_2016__M1.15.ST__bin.19	0.44181745885280616	0.9060420880001065	0.7418214541877769	0.7059224182050292	0.7939139633152148	0.791687990974348	0.5943127357961085	0.8103319362344539	0.7638757032265183	0.7275552545313757	0.7094487769518638	1.0	0.7900375371233208	0.7804382692208907	0.8111490773630028	0.8732613158350345	0.8437310340497667	0.8119015321158343	0.5669608628401505	0.7260265632699343	0.5061509133145489	0.8009448015935678	0.8149665248005662	0.5953020568364937	0.36915943859836037	0.6262440236447728	0.7951839090737862	0.8329036762789352	0.8408553441410315
XieH_2016__YSZC12003_36699__bin.72	0.4422705532091061	0.8215238904768406	0.737919333030913	0.6760554618443827	0.7885189621989193	0.8057938094839622	0.541862836204125	0.8104523313529202	0.7358895563669035	0.6751823330705505	0.718315224811391	0.45721338694689	1.0	0.7015986073981423	0.8390310582805198	0.8763697001193533	0.8269889278903535	0.8631274305570847	0.5465951280955883	0.7287426725447795	0.4842473475823251	0.8336205226000519	0.8220055977133495	0.5692441765724026	0.34129425650827766	0.631013357879299	0.8185505181518297	0.8186424554186834	0.7739791109721348
BritoIL_2016__W2.39.ST__bin.57	0.4568622293024485	0.879383725985432	0.7732189623339729	0.7088444984863563	0.8084328683562326	0.8247527490552374	0.5901867327923828	0.8113301607215454	0.8032919373105646	0.7388126190725843	0.7276299903178315	0.5030662244386764	0.7814552440378628	1.0	0.8514421770959995	0.8771124940444546	0.8733266986871127	0.8665994617474628	0.572281772566535	0.722593913662527	0.49278497553090966	0.8401847399457824	0.8131672586954029	0.5887813160513676	0.3852988012874402	0.6523433116695578	0.8310648607184181	0.866039011965051	0.8753808636445302
ZellerG_2014__CCIS20795251ST-4-0__bin.66	0.44961492266054565	0.8339338746239813	0.781174883740701	0.7088460742950184	0.818441619973739	0.8252748830668091	0.5530360640985168	0.8322258180398767	0.772197089513051	0.7239853133052684	0.7327930794419968	0.4420217169415886	0.7900412266282651	0.7197994083229787	1.0	0.9212490014737496	0.8620346452970385	0.9325486122234646	0.5973911055610072	0.7425733233182641	0.4858837806160719	0.890599882950174	0.8317872699760975	0.5703550839695132	0.3450471283655065	0.6464784227613702	0.8541470006889248	0.8575895511517588	0.7965302865128846
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	0.3922882313485579	0.7744311045687199	0.6803894823558011	0.6308862389203254	0.7223025015643217	0.7279804268460122	0.508545923535052	0.7392066300232735	0.6770911268068479	0.6388573023440067	0.6511855083032848	0.4132487924336345	0.7166110713465772	0.643926155009656	0.8000211577331515	1.0	0.7803903826848714	0.8064657132181813	0.5119113535997407	0.6591174074124092	0.43791375747835837	0.7821892401672812	0.7539108043990078	0.5077401290171558	0.3121458893225474	0.5727835023701163	0.7620151165250899	0.7526039767535034	0.7080048257638166
XieH_2016__YSZC12003_37181R1__bin.110	0.38971839493027255	0.7458811578036281	0.6819851747477901	0.6173281810555943	0.7023358712215222	0.7207580217459568	0.5001058565350398	0.7108510954372275	0.6789549202384352	0.6240838739577801	0.6271034538585597	0.3944943927170704	0.6681366492225772	0.633471302649171	0.7396369565623491	0.7710478818463159	1.0	0.7724644913593491	0.4811197308575358	0.6123386910972874	0.4215478538254684	0.7461195573951465	0.7130393901951941	0.5015117914394976	0.3161449896500774	0.5639231143526339	0.7132248615191925	0.814371225525124	0.7102777800016545
XieH_2016__YSZC12003_37287__bin.85	0.42130525839135113	0.7857375332540896	0.7390917152506556	0.6521131676760816	0.7493122771268467	0.7994179355106508	0.5155624422180713	0.7640865266693081	0.7367389294541612	0.6613351634874813	0.6932812588441728	0.402582970132639	0.7395299145299146	0.6666284598403803	0.8485561593177487	0.8450269806230071	0.8192071847700987	1.0	0.551593837852116	0.6809777174015584	0.44828210788475686	0.8334993679364541	0.7686274787268165	0.5359776230637158	0.3247990603950869	0.6130412633723892	0.7943515216694025	0.7996410445085942	0.7418034565385558
KarlssonFH_2013__S552__bin.8	0.4687543044981568	0.830213082872825	0.7827420071549028	0.7222405102595889	0.8134153259978848	0.8308527750734829	0.5544325922398021	0.8481633752090478	0.7818120409994451	0.7410507294592267	0.7369830030202499	0.46381886905220493	0.7726625748155826	0.7263043456267855	0.8968321228209025	0.8849581281765737	0.8418053639202704	0.9100446461576055	1.0	0.7273627171509883	0.5097724267758657	0.8518645626863337	0.8162503608969076	0.5939806675989675	0.37509231567798423	0.6506665795066587	0.8383321932493017	0.859354097648781	0.8063927196490565
BritoIL_2016__M2.50.ST__bin.13	0.4522003174220385	0.8235694126590554	0.7550004988410361	0.7001469591813376	0.8135766779880119	0.8164369039538202	0.5694328575267156	0.832891925324415	0.7475699096638668	0.6965167430026068	0.7504001439600144	0.4671465741862311	0.810221283435356	0.7212874138428081	0.8767929968839268	0.896181693207254	0.8426661492593588	0.8836525201877601	0.5720794693555524	1.0	0.502241112213526	0.8523901830532377	0.8577427779753419	0.5930161030783082	0.35564672751099136	0.6473218357105301	0.8440494385130987	0.8339704012824193	0.7936040622186368
