	XieH_2016__YSZC12003_37208R1__bin.34	LiuW_2016__SRR3992981__bin.72	BackhedF_2015__SID238_M__bin.45	VincentC_2016__MM065__bin.17	NielsenHB_2014__O2_UC50_0__bin.60	HMP_2012__SRS019685__bin.8	HMP_2012__SRS014235__bin.74	NielsenHB_2014__O2_UC52_2__bin.45	FengQ_2015__SID532779__bin.35	LiuW_2016__SRR3992969__bin.43	ZeeviD_2015__PNP_Main_72__bin.59	LiuW_2016__SRR3992966__bin.49	LiuW_2016__SRR3993051__bin.40	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.28	LiuW_2016__SRR3992961__bin.10	BackhedF_2015__SID566_M__bin.19	LeChatelierE_2013__MH0189__bin.54	LiuW_2016__SRR3992978__bin.41	VogtmannE_2016__MMRS93508324ST-27-0-0__bin.50	LiuW_2016__SRR3993043__bin.26	SchirmerM_2016__G89164__bin.14	CosteaPI_2017__SID713B051-11-0-0__bin.65	LoombaR_2017__SID5564_meq__bin.19	Obregon-TitoAJ_2015__HCO70__bin.5	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.60	CosteaPI_2017__SID713A076-11-90-0__bin.44	LiuW_2016__SRR3992958__bin.51	LiuW_2016__SRR3993057__bin.12	NielsenHB_2014__O2_UC52_0__bin.36	LiuW_2016__SRR3993013__bin.11	XieH_2016__YSZC12003_37315__bin.44
XieH_2016__YSZC12003_37208R1__bin.34	1482335.0	1181247.0	1084858.0	1288648.0	837091.0	744351.0	1251821.0	876514.0	1252898.0	1365947.0	1118977.0	1360684.0	1274188.0	1320619.0	1240680.0	1106762.0	1103222.0	1033260.0	1228652.0	1172735.0	1210209.0	1292889.0	1359555.0	868480.0	1332965.0	1277306.0	1298546.0	942317.0	1134103.0	1285179.0	1295258.0
LiuW_2016__SRR3992981__bin.72	1181247.0	1495214.0	1059068.0	1168167.0	760501.0	727527.0	1179274.0	827555.0	1175219.0	1241377.0	1050969.0	1307586.0	1194368.0	1249535.0	1154823.0	1020400.0	1017084.0	1008063.0	1187397.0	1117962.0	1131193.0	1218438.0	1280930.0	825470.0	1277922.0	1174977.0	1224365.0	887461.0	1063703.0	1177775.0	1210209.0
BackhedF_2015__SID238_M__bin.45	1084858.0	1059068.0	1287585.0	1070329.0	747790.0	733976.0	1141334.0	837206.0	1082214.0	1154639.0	968395.0	1181596.0	1103059.0	1146172.0	1061814.0	1031179.0	987078.0	885587.0	1118838.0	1017023.0	1061657.0	1120143.0	1193171.0	796306.0	1219117.0	1082154.0	1097629.0	802856.0	1038631.0	1077074.0	1116008.0
VincentC_2016__MM065__bin.17	1288648.0	1168167.0	1070329.0	1482763.0	832761.0	731376.0	1227105.0	865862.0	1228013.0	1333104.0	1114037.0	1338076.0	1256636.0	1305945.0	1207677.0	1121325.0	1067961.0	1027862.0	1200254.0	1173679.0	1180572.0	1266867.0	1341865.0	858308.0	1323203.0	1240872.0	1263880.0	921035.0	1101722.0	1261857.0	1278632.0
NielsenHB_2014__O2_UC50_0__bin.60	837091.0	760501.0	747790.0	832761.0	983338.0	578220.0	834300.0	703809.0	807997.0	892910.0	753712.0	921355.0	849510.0	869409.0	797674.0	765816.0	782339.0	696751.0	803400.0	792476.0	789466.0	853107.0	895576.0	614403.0	858381.0	837831.0	858827.0	617031.0	880126.0	842143.0	848514.0
HMP_2012__SRS019685__bin.8	744351.0	727527.0	733976.0	731376.0	578220.0	866497.0	786858.0	624341.0	729463.0	804193.0	685240.0	823984.0	767518.0	795551.0	719995.0	709444.0	701063.0	620124.0	762771.0	715648.0	731097.0	776196.0	819801.0	566680.0	813360.0	744930.0	770481.0	559004.0	754997.0	748263.0	768633.0
HMP_2012__SRS014235__bin.74	1251821.0	1179274.0	1141334.0	1227105.0	834300.0	786858.0	1443309.0	884379.0	1213127.0	1317627.0	1096615.0	1341581.0	1259135.0	1311271.0	1191525.0	1104216.0	1104121.0	1013962.0	1265218.0	1157766.0	1200168.0	1281082.0	1333415.0	866280.0	1356968.0	1231297.0	1274842.0	912822.0	1135114.0	1245767.0	1279732.0
NielsenHB_2014__O2_UC52_2__bin.45	876514.0	827555.0	837206.0	865862.0	703809.0	624341.0	884379.0	1056389.0	850471.0	924521.0	817173.0	954241.0	898108.0	905257.0	841558.0	825507.0	844813.0	687623.0	856782.0	827533.0	830620.0	890513.0	955033.0	642721.0	938345.0	867671.0	882620.0	666640.0	954630.0	856536.0	896100.0
FengQ_2015__SID532779__bin.35	1252898.0	1175219.0	1082214.0	1228013.0	807997.0	729463.0	1213127.0	850471.0	1554392.0	1301719.0	1095533.0	1337508.0	1228327.0	1287856.0	1206343.0	1081935.0	1073077.0	1005326.0	1213254.0	1137097.0	1160286.0	1258473.0	1353135.0	854091.0	1328555.0	1232005.0	1277991.0	914940.0	1100032.0	1245419.0	1303099.0
LiuW_2016__SRR3992969__bin.43	1365947.0	1241377.0	1154639.0	1333104.0	892910.0	804193.0	1317627.0	924521.0	1301719.0	1545211.0	1175954.0	1430668.0	1342309.0	1385539.0	1283098.0	1161662.0	1153849.0	1085759.0	1289096.0	1227477.0	1265957.0	1353240.0	1434738.0	907841.0	1401228.0	1321659.0	1354628.0	982492.0	1188191.0	1349536.0	1355617.0
ZeeviD_2015__PNP_Main_72__bin.59	1118977.0	1050969.0	968395.0	1114037.0	753712.0	685240.0	1096615.0	817173.0	1095533.0	1175954.0	1301559.0	1185789.0	1123306.0	1162596.0	1075421.0	983253.0	978545.0	919571.0	1077360.0	1046786.0	1061714.0	1136869.0	1189245.0	780709.0	1172739.0	1100079.0	1130853.0	821397.0	1005677.0	1117921.0	1161714.0
