	XieH_2016__YSZC12003_37208R1__bin.34	LiuW_2016__SRR3992981__bin.72	BackhedF_2015__SID238_M__bin.45	VincentC_2016__MM065__bin.17	NielsenHB_2014__O2_UC50_0__bin.60	HMP_2012__SRS019685__bin.8	HMP_2012__SRS014235__bin.74	NielsenHB_2014__O2_UC52_2__bin.45	FengQ_2015__SID532779__bin.35	LiuW_2016__SRR3992969__bin.43	ZeeviD_2015__PNP_Main_72__bin.59	LiuW_2016__SRR3992966__bin.49	LiuW_2016__SRR3993051__bin.40	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.28	LiuW_2016__SRR3992961__bin.10	BackhedF_2015__SID566_M__bin.19	LeChatelierE_2013__MH0189__bin.54	LiuW_2016__SRR3992978__bin.41	VogtmannE_2016__MMRS93508324ST-27-0-0__bin.50	LiuW_2016__SRR3993043__bin.26	SchirmerM_2016__G89164__bin.14	CosteaPI_2017__SID713B051-11-0-0__bin.65	LoombaR_2017__SID5564_meq__bin.19	Obregon-TitoAJ_2015__HCO70__bin.5	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.60	CosteaPI_2017__SID713A076-11-90-0__bin.44	LiuW_2016__SRR3992958__bin.51	LiuW_2016__SRR3993057__bin.12	NielsenHB_2014__O2_UC52_0__bin.36	LiuW_2016__SRR3993013__bin.11	XieH_2016__YSZC12003_37315__bin.44
XieH_2016__YSZC12003_37208R1__bin.34	0.0	21949.0	23535.0	23219.0	17486.0	13214.0	22863.0	17065.0	24981.0	24422.0	20810.0	26249.0	28548.0	24959.0	21421.0	21332.0	21497.0	20392.0	24536.0	24719.0	23280.0	23914.0	25178.0	19600.0	23983.0	24119.0	25275.0	23724.0	21493.0	24039.0	24390.0
LiuW_2016__SRR3992981__bin.72	21949.0	0.0	22858.0	21176.0	15324.0	13254.0	21553.0	16312.0	22545.0	20785.0	19068.0	20036.0	25465.0	23273.0	18123.0	20508.0	20333.0	15984.0	22838.0	22195.0	21196.0	21664.0	23182.0	18575.0	23541.0	22792.0	18531.0	18578.0	20280.0	20638.0	21724.0
BackhedF_2015__SID238_M__bin.45	23535.0	22858.0	0.0	23731.0	16930.0	14430.0	23603.0	18744.0	22714.0	24455.0	20862.0	25614.0	29885.0	25319.0	22619.0	22677.0	22168.0	20012.0	22865.0	25998.0	23179.0	24295.0	25091.0	20418.0	26305.0	25825.0	23898.0	22094.0	22456.0	23245.0	23974.0
VincentC_2016__MM065__bin.17	23219.0	21176.0	23731.0	0.0	16793.0	12866.0	22067.0	16695.0	24302.0	22146.0	20409.0	25086.0	28282.0	24749.0	20632.0	4389.0	20758.0	20488.0	23903.0	25777.0	21965.0	22483.0	24694.0	19479.0	23944.0	23895.0	23760.0	23537.0	20544.0	22091.0	24283.0
NielsenHB_2014__O2_UC50_0__bin.60	17486.0	15324.0	16930.0	16793.0	0.0	10940.0	16789.0	3853.0	17635.0	17442.0	14649.0	20200.0	20819.0	18008.0	14943.0	15853.0	16094.0	15754.0	17280.0	18534.0	16395.0	17607.0	17900.0	14406.0	17188.0	18489.0	18111.0	16327.0	3733.0	16974.0	17647.0
HMP_2012__SRS019685__bin.8	13214.0	13254.0	14430.0	12866.0	10940.0	0.0	1018.0	11710.0	13414.0	13944.0	12178.0	15114.0	17688.0	13501.0	12764.0	12867.0	13005.0	12607.0	13794.0	15161.0	12884.0	13796.0	13304.0	11961.0	13666.0	14747.0	14184.0	13566.0	13111.0	13226.0	13674.0
HMP_2012__SRS014235__bin.74	22863.0	21553.0	23603.0	22067.0	16789.0	1018.0	0.0	16804.0	23471.0	23670.0	19738.0	25270.0	28806.0	23440.0	21237.0	21100.0	21837.0	19722.0	24564.0	24416.0	21824.0	23338.0	23236.0	19521.0	23545.0	24889.0	24671.0	22235.0	20703.0	23087.0	23728.0
NielsenHB_2014__O2_UC52_2__bin.45	17065.0	16312.0	18744.0	16695.0	3853.0	11710.0	16804.0	0.0	17493.0	17756.0	15908.0	19783.0	21941.0	17795.0	15806.0	16340.0	16787.0	14935.0	17975.0	18314.0	16687.0	17269.0	18065.0	14792.0	18063.0	17824.0	17770.0	17631.0	3955.0	16641.0	18147.0
FengQ_2015__SID532779__bin.35	24981.0	22545.0	22714.0	24302.0	17635.0	13414.0	23471.0	17493.0	0.0	25062.0	21502.0	27360.0	29568.0	26280.0	22722.0	23270.0	23072.0	20609.0	22784.0	26279.0	23724.0	25664.0	26548.0	20555.0	26376.0	27262.0	27228.0	23689.0	22225.0	24890.0	25951.0
LiuW_2016__SRR3992969__bin.43	24422.0	20785.0	24455.0	22146.0	17442.0	13944.0	23670.0	17756.0	25062.0	0.0	21133.0	25308.0	30231.0	25636.0	21619.0	21233.0	22409.0	20047.0	24142.0	24324.0	23437.0	23712.0	25687.0	20223.0	24898.0	25249.0	24699.0	24151.0	21855.0	1981.0	25460.0
ZeeviD_2015__PNP_Main_72__bin.59	20810.0	19068.0	20862.0	20409.0	14649.0	12178.0	19738.0	15908.0	21502.0	21133.0	0.0	22852.0	24940.0	21381.0	18582.0	19603.0	18426.0	17931.0	20539.0	22192.0	20288.0	20787.0	21909.0	17794.0	21039.0	21077.0	22214.0	20364.0	17894.0	21254.0	21392.0
LiuW_2016__SRR3992966__bin.49	26249.0	20036.0	25614.0	25086.0	20200.0	15114.0	25270.0	19783.0	27360.0	25308.0	22852.0	0.0	31936.0	27486.0	22270.0	25138.0	26058.0	14482.0	26004.0	27428.0	24891.0	27882.0	28992.0	22371.0	27152.0	27564.0	8876.0	21350.0	24877.0	24670.0	27097.0
LiuW_2016__SRR3993051__bin.40	28548.0	25465.0	29885.0	28282.0	20819.0	17688.0	28806.0	21941.0	29568.0	30231.0	24940.0	31936.0	0.0	29695.0	25832.0	27278.0	26900.0	24309.0	29186.0	15521.0	27602.0	29133.0	29989.0	23221.0	30809.0	27973.0	30306.0	26992.0	26813.0	28278.0	29356.0
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.28	24959.0	23273.0	25319.0	24749.0	18008.0	13501.0	23440.0	17795.0	26280.0	25636.0	21381.0	27486.0	29695.0	0.0	22819.0	23223.0	23152.0	21079.0	25801.0	27228.0	17933.0	25405.0	25768.0	20567.0	26731.0	25889.0	26581.0	24608.0	22529.0	24566.0	26030.0
LiuW_2016__SRR3992961__bin.10	21421.0	18123.0	22619.0	20632.0	14943.0	12764.0	21237.0	15806.0	22722.0	21619.0	18582.0	22270.0	25832.0	22819.0	0.0	19901.0	19294.0	17422.0	22010.0	21642.0	19857.0	20961.0	22359.0	18293.0	21846.0	21786.0	21705.0	21034.0	19564.0	20328.0	22165.0
BackhedF_2015__SID566_M__bin.19	21332.0	20508.0	22677.0	4389.0	15853.0	12867.0	21100.0	16340.0	23270.0	21233.0	19603.0	25138.0	27278.0	23223.0	19901.0	0.0	20860.0	18980.0	22516.0	22413.0	21497.0	22123.0	22989.0	18336.0	23440.0	22292.0	23357.0	22061.0	19809.0	21067.0	22585.0
