	LiuW_2016__SRR3993044__bin.127	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.49	LiJ_2014__V1.FI06__bin.82	VatanenT_2016__G78855__bin.3	VatanenT_2016__G80489__bin.4	VatanenT_2016__G78692__bin.8	CosteaPI_2017__donald1-11-0-0__bin.15	CosteaPI_2017__donald3-11-7-0__bin.57	LiuW_2016__SRR3993005__bin.29	CosteaPI_2017__donald4-11-0-0__bin.31	LiuW_2016__SRR3993002__bin.44	CosteaPI_2017__SID713B058-11-90-0__bin.68	CosteaPI_2017__donald3-11-30-0__bin.17	CosteaPI_2017__SID713A038-11-90-0__bin.46	LiSS_2016__FAT_008-22-14-0__bin.30	LouisS_2016__AS44_12__bin.19	LiuW_2016__SRR3992982__bin.40	ZeeviD_2015__PNP_Main_613__bin.30	CosteaPI_2017__SID713A014-11-0-0__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.59	CosteaPI_2017__donald1-11-7-0__bin.11	VatanenT_2016__G80485__bin.3	ZeeviD_2015__PNP_Main_480__bin.15	VatanenT_2016__G80601__bin.7	LouisS_2016__AS44_6__bin.16	ZeeviD_2015__PNP_Validation_58__bin.38	ZellerG_2014__CCMD72895164ST-21-0__bin.2	ZeeviD_2015__PNP_Main_679__bin.10	ZeeviD_2015__PNP_Main_549__bin.23	NielsenHB_2014__V1_CD29_0__bin.19	CosteaPI_2017__SID713B020-11-90-0__bin.54	BackhedF_2015__SID268_12M__bin.3	LeChatelierE_2013__MH0405__bin.18	LouisS_2016__AS44_0__bin.3	VatanenT_2016__G80366__bin.8	ChengpingW_2017__AS17raw__bin.43	LiuW_2016__SRR3993001__bin.32	LeChatelierE_2013__MH0413__bin.33	LiuW_2016__SRR3992997__bin.26	CosteaPI_2017__donald3-11-0-0__bin.14	ZeeviD_2015__PNP_Main_597__bin.27	ZeeviD_2015__PNP_Main_466__bin.17	LeChatelierE_2013__MH0181__bin.36	BackhedF_2015__SID268_4M__bin.1
LiuW_2016__SRR3993044__bin.127	0.0	10326.0	8046.0	8644.0	3929.0	7677.0	10017.0	9044.0	1823.0	9355.0	2059.0	10518.0	9789.0	2573.0	8310.0	8906.0	10766.0	5152.0	1860.0	6867.0	9844.0	9034.0	1751.0	5182.0	6692.0	25385.0	6095.0	10143.0	8353.0	8964.0	9375.0	9271.0	9300.0	9042.0	8595.0	7410.0	2230.0	9481.0	1845.0	9737.0	2860.0	2272.0	8074.0	7501.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.49	10326.0	0.0	5579.0	7144.0	3315.0	6813.0	7848.0	7122.0	7713.0	6754.0	10333.0	10775.0	7483.0	10295.0	6248.0	6124.0	8331.0	3360.0	8978.0	756.0	7988.0	6557.0	7291.0	4968.0	5121.0	21758.0	6421.0	8420.0	5846.0	7093.0	7531.0	5925.0	7414.0	6641.0	6972.0	4679.0	9698.0	7172.0	9711.0	7406.0	6817.0	9000.0	6358.0	5052.0
LiJ_2014__V1.FI06__bin.82	8046.0	5579.0	0.0	3606.0	1519.0	5499.0	4805.0	4716.0	7755.0	4325.0	8129.0	7474.0	4883.0	8411.0	5604.0	953.0	6329.0	3488.0	7986.0	3849.0	5728.0	3008.0	5863.0	2531.0	2272.0	22374.0	5026.0	5786.0	3485.0	6077.0	3349.0	4740.0	6063.0	1604.0	3615.0	4655.0	8162.0	7528.0	7829.0	5058.0	4911.0	7958.0	2619.0	4158.0
VatanenT_2016__G78855__bin.3	8644.0	7144.0	3606.0	0.0	354.0	6236.0	5054.0	5233.0	6689.0	4531.0	9063.0	8964.0	4959.0	8604.0	5890.0	3909.0	8923.0	3694.0	8547.0	5499.0	5444.0	5177.0	6562.0	1386.0	3227.0	22889.0	5034.0	7951.0	4392.0	7552.0	2409.0	6243.0	6533.0	3903.0	381.0	5076.0	8332.0	10309.0	8187.0	5234.0	6445.0	7995.0	4479.0	5660.0
VatanenT_2016__G80489__bin.4	3929.0	3315.0	1519.0	354.0	0.0	2211.0	2002.0	2185.0	2615.0	1858.0	3691.0	3961.0	1929.0	4423.0	2099.0	1920.0	5885.0	1935.0	4089.0	2830.0	2174.0	2197.0	3030.0	581.0	1440.0	11329.0	2059.0	5180.0	1930.0	3065.0	1418.0	2839.0	2283.0	1794.0	325.0	2618.0	3528.0	6472.0	3968.0	2003.0	2908.0	3150.0	2051.0	2731.0
VatanenT_2016__G78692__bin.8	7677.0	6813.0	5499.0	6236.0	2211.0	0.0	6397.0	6083.0	6789.0	5343.0	7416.0	8062.0	6188.0	7778.0	2622.0	6154.0	9490.0	3753.0	7542.0	4330.0	6391.0	5586.0	5449.0	3850.0	4574.0	23960.0	4156.0	9168.0	4752.0	6149.0	5473.0	4964.0	3941.0	6450.0	5939.0	5415.0	7114.0	9264.0	8087.0	6210.0	4307.0	6676.0	5812.0	4825.0
CosteaPI_2017__donald1-11-0-0__bin.15	10017.0	7848.0	4805.0	5054.0	2002.0	6397.0	0.0	1433.0	7546.0	745.0	9414.0	10830.0	792.0	9103.0	6124.0	5885.0	8642.0	3701.0	9142.0	5636.0	932.0	6985.0	6667.0	3359.0	4614.0	24539.0	5039.0	7720.0	5685.0	8353.0	6820.0	7038.0	8853.0	5949.0	5273.0	5335.0	9096.0	9885.0	9048.0	485.0	6602.0	8364.0	5801.0	5561.0
CosteaPI_2017__donald3-11-7-0__bin.57	9044.0	7122.0	4716.0	5233.0	2185.0	6083.0	1433.0	0.0	6986.0	1391.0	8755.0	9703.0	1403.0	8093.0	5636.0	5872.0	8377.0	3654.0	8366.0	5221.0	2349.0	7364.0	6328.0	3059.0	4262.0	20670.0	4560.0	7328.0	5488.0	7010.0	6875.0	6521.0	7861.0	6163.0	5479.0	4707.0	8667.0	8950.0	8304.0	1436.0	6071.0	7823.0	5176.0	4772.0
LiuW_2016__SRR3993005__bin.29	1823.0	7713.0	7755.0	6689.0	2615.0	6789.0	7546.0	6986.0	0.0	7149.0	2623.0	9728.0	7485.0	2395.0	6780.0	7807.0	9307.0	4452.0	1563.0	5285.0	7917.0	7930.0	1525.0	4549.0	6036.0	24251.0	4958.0	8938.0	6052.0	7148.0	6962.0	6455.0	6557.0	7804.0	6373.0	5954.0	1892.0	8495.0	146.0	7509.0	2081.0	1935.0	6894.0	6025.0
CosteaPI_2017__donald4-11-0-0__bin.31	9355.0	6754.0	4325.0	4531.0	1858.0	5343.0	745.0	1391.0	7149.0	0.0	8810.0	9674.0	795.0	8361.0	5404.0	4935.0	8143.0	3417.0	8450.0	5553.0	1494.0	6392.0	6600.0	2625.0	4004.0	21085.0	4492.0	7292.0	5613.0	7544.0	6323.0	6410.0	7981.0	5565.0	4821.0	4834.0	8534.0	8742.0	8341.0	705.0	6155.0	7759.0	5100.0	5215.0
