	BritoIL_2016__W2.5.ST__bin.78	CosteaPI_2017__SID713B046-11-90-0__bin.66	BritoIL_2016__WL.37.ST__bin.29	XieH_2016__YSZC12003_36696__bin.110	RampelliS_2015__H14__bin.28	BritoIL_2016__W1.9.ST__bin.81	LeChatelierE_2013__MH0426__bin.42	NielsenHB_2014__MH0094__bin.25	KarlssonFH_2013__S577__bin.22	RampelliS_2015__H4__bin.4	LeChatelierE_2013__MH0267__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.35	ZeeviD_2015__PNP_Validation_68__bin.20	BritoIL_2016__W2.7.ST__bin.26	LiJ_2014__MH0346__bin.53	BritoIL_2016__M1.15.ST__bin.37	RampelliS_2015__H3__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.14	LeChatelierE_2013__MH0094__bin.24	LiJ_2014__MH0402__bin.29	CM_madagascar__A79_02_1FE__bin.22	XieH_2016__YSZC12003_37406__bin.2	ZellerG_2014__CCIS07648107ST-4-0__bin.16	XieH_2016__YSZC12003_35723__bin.27	ZeeviD_2015__PNP_Main_729__bin.23	ZeeviD_2015__PNP_Main_443__bin.2	BritoIL_2016__W1.2.ST__bin.8	WenC_2017__RA025__bin.37	ZellerG_2014__CCIS05314658ST-4-0__bin.73	ZeeviD_2015__PNP_Main_502__bin.13	BritoIL_2016__W2.11.ST__bin.19	CM_madagascar__A08_01_1FE__bin.48	LeChatelierE_2013__MH0250__bin.57
BritoIL_2016__W2.5.ST__bin.78	1.0	0.7722927636864338	0.7451009105645419	0.9229203149247569	0.7501133883699125	0.8803798459545267	0.916512600854633	0.8659749467633976	0.6399781968910232	0.8236897287424773	0.9119445241044353	0.9305158103048164	0.919138329743549	0.9376119900828397	0.884705891924104	0.9193030733841394	0.7994225837090911	0.8757731256343139	0.8440701441811935	0.9249470684784399	0.6291274892052239	0.8687816902697525	0.9402702609254524	0.8973423393190189	0.9127407850339554	0.9332818763690502	0.9936339803080502	0.8919251209645435	0.9088459199508616	0.895205756671609	0.7782072637708396	0.8563618502541324	0.8931718845655547
CosteaPI_2017__SID713B046-11-90-0__bin.66	0.5668254220602077	1.0	0.41244606459038197	0.8924844584664693	0.7581476895380419	0.8352220522959821	0.8821896152924659	0.8612513686774937	0.6467890284871515	0.8097480439200865	0.8595070745792087	0.988022066029406	0.8847489582377032	0.879139899551947	0.8913656322562299	0.8564707937097934	0.7974551368602855	0.839643617652525	0.8052197459764426	0.8835995303766168	0.6428399227644188	0.8444727074325439	0.8818604609504276	0.8569611665050749	0.8855192241809767	0.8882144086007059	0.8937018070648016	0.8659834288328754	0.888417424430716	0.8835831099786012	0.7668333337065242	0.8244405682353371	0.8748347697449689
BritoIL_2016__WL.37.ST__bin.29	0.9937501695375016	0.7494832496948325	1.0	0.9135399430353994	0.7058225959582259	0.8535982639359826	0.9066635019666351	0.8471965278719653	0.6060558795605588	0.8036199647361996	0.9242520005425201	0.9210511325105113	0.9067069035670691	0.9184863691848637	0.8674623626746236	0.9090912789909128	0.7707690221076903	0.8651525837515259	0.8164329309643292	0.9191997829919978	0.5982734300827343	0.8563922419639224	0.9332863149328631	0.8790804285908042	0.9029947104299471	0.9270988742709887	0.9921415977214161	0.886508883765089	0.8929879289298793	0.8770771734707719	0.7668303268683032	0.844885392648854	0.8750128848501288
XieH_2016__YSZC12003_36696__bin.110	0.5688645462403417	0.7495109288059016	0.4221920794598874	1.0	0.7221129129211952	0.8132540957557836	0.8756239144374569	0.8491886840114306	0.6050981245114773	0.7975825058873452	0.8608925447435111	0.8770411396471417	0.8875985585797912	0.8624062992244438	0.8710218500900417	0.8527991294814812	0.7785894315491506	0.8346434779120342	0.7834290581939874	0.8665213295214718	0.6085581347536091	0.8247053506676504	0.8858779556604702	0.8346522533003295	0.8779832402619829	0.8936830367356557	0.8931295604596047	0.8417784954095318	0.8727136195906783	0.8819528498386896	0.7490345505841588	0.8059197515812937	0.8548187224162906
RampelliS_2015__H14__bin.28	0.5631300773594715	0.775475833658432	0.3972969609706083	0.8795129857488478	1.0	0.8501609715244159	0.8679789198684744	0.8749353938095628	0.6469871948049369	0.9060127845821573	0.8606621017987433	0.8719808773310715	0.8925655356797946	0.8853151369727581	0.874317006639646	0.8591123166691987	0.8995296440303879	0.9247522061534867	0.8292571948583779	0.8687805328665146	0.7098901484816305	0.8584870585307273	0.8838073410954919	0.8681629091375483	0.8955482994734547	0.8905011913496033	0.8961804285804807	0.8738421463684259	0.8927021916099366	0.876260727299656	0.7744024356820085	0.9087848386734756	0.8843516744932088
BritoIL_2016__W1.9.ST__bin.81	0.605855619426727	0.7831296127559454	0.4404437483466511	0.9079891218390419	0.7793246358433443	1.0	0.8891741863423933	0.8872279584972685	0.6534013848240416	0.8459337764658295	0.8924185992478225	0.8987107727665269	0.9188231934932585	0.9635766363080317	0.8925354708947609	0.8805025900716487	0.8271853248401938	0.8810302620584247	0.8347819818911931	0.8885576359175265	0.6488482894049904	0.8544954993918475	0.9153625330494822	0.8923584138488002	0.9066545456072357	0.9235827388275605	0.9896306156126523	0.8854063004315154	0.9148705524039868	0.8943025422032616	0.8455754633925809	0.852208454229004	0.9014135170807562
LeChatelierE_2013__MH0426__bin.42	0.5719082179098056	0.7500366465866639	0.4242012154609887	0.8864634806452084	0.7214650004473738	0.8062610772636961	1.0	0.8469860641439009	0.6107688295238862	0.7932732731208233	0.8549804139065388	0.8827068089040735	0.8849271795835043	0.8584033002868905	0.8670525293125101	0.8504990598802054	0.7808699106457859	0.8418111219059017	0.7830255548864337	0.8696599894787808	0.6067913264033739	0.8165785985203028	0.8780211223945228	0.8388920864313713	0.8839588212934754	0.8912189701769762	0.8852190831309574	0.8514052300231683	0.8660974970539952	0.8901579642392771	0.7376028246110227	0.8102170049046141	0.863690561933366
NielsenHB_2014__MH0094__bin.25	0.5419368757613054	0.7343548138691567	0.3975258923423326	0.8621898614789915	0.7293526309827316	0.8068253703588207	0.8494381135788265	1.0	0.6057910767675971	0.7938769717573954	0.8439592595751073	0.8474257850436003	0.8757485773053636	0.8485636861887567	0.8431351085779163	0.8520327572973957	0.785340167528578	0.8282055655330507	0.8806603899666139	0.8355300086424483	0.6127814046078633	0.8124747822523061	0.8596932249060342	0.8536893326222511	0.8611728782407589	0.8737044282683155	0.8709805933123488	0.8657722135741169	0.8521116721419143	0.8503004491782037	0.7345998317331863	0.8137094177230013	0.858343399218743
KarlssonFH_2013__S577__bin.22	0.5872406817112954	0.8086232895630688	0.4169668251752428	0.9008077218809021	0.7907966735594257	0.8712282672797989	0.8981314899557321	0.888240256201617	1.0	0.8429654665303045	0.9184299812626441	0.9020049344192539	0.9160439544032786	0.9103247683958285	0.9125876214008972	0.8818716080533305	0.8263771210164456	0.874165777077719	0.8530787864762572	0.8954412610016648	0.6568917637749427	0.8955588360444023	0.9304021066461626	0.8890623483655203	0.9109051785274379	0.9124476511119239	0.9280767335786857	0.9056040371163881	0.9010428719663773	0.8970126607792053	0.8033585404271519	0.842400919698112	0.9157985398299454
RampelliS_2015__H4__bin.4	0.558793681411741	0.7484630917812406	0.4087675689771859	0.8778469280117778	0.8187293420287395	0.833921466766839	0.8624278286113636	0.8605927143203075	0.6232275796981168	1.0	0.8553923039721947	0.8589390417805852	0.884863825551	0.865090124118576	0.8563891987656442	0.8458710963290126	0.8709749079165865	0.9137668756351324	0.8056013759217827	0.8566237622464558	0.6760195405177367	0.8260332348856606	0.8857606859188093	0.8590873686875691	0.8842429222194397	0.8846775545515319	0.8904305688647335	0.8602981301841116	0.8834281590699143	0.8641918839655853	0.7562388711701477	0.8992674030580179	0.8662732899114938
