	BritoIL_2016__W2.5.ST__bin.78	CosteaPI_2017__SID713B046-11-90-0__bin.66	BritoIL_2016__WL.37.ST__bin.29	XieH_2016__YSZC12003_36696__bin.110	RampelliS_2015__H14__bin.28	BritoIL_2016__W1.9.ST__bin.81	LeChatelierE_2013__MH0426__bin.42	NielsenHB_2014__MH0094__bin.25	KarlssonFH_2013__S577__bin.22	RampelliS_2015__H4__bin.4	LeChatelierE_2013__MH0267__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.35	ZeeviD_2015__PNP_Validation_68__bin.20	BritoIL_2016__W2.7.ST__bin.26	LiJ_2014__MH0346__bin.53	BritoIL_2016__M1.15.ST__bin.37	RampelliS_2015__H3__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.14	LeChatelierE_2013__MH0094__bin.24	LiJ_2014__MH0402__bin.29	CM_madagascar__A79_02_1FE__bin.22	XieH_2016__YSZC12003_37406__bin.2	ZellerG_2014__CCIS07648107ST-4-0__bin.16	XieH_2016__YSZC12003_35723__bin.27	ZeeviD_2015__PNP_Main_729__bin.23	ZeeviD_2015__PNP_Main_443__bin.2	BritoIL_2016__W1.2.ST__bin.8	WenC_2017__RA025__bin.37	ZellerG_2014__CCIS05314658ST-4-0__bin.73	ZeeviD_2015__PNP_Main_502__bin.13	BritoIL_2016__W2.11.ST__bin.19	CM_madagascar__A08_01_1FE__bin.48	LeChatelierE_2013__MH0250__bin.57
BritoIL_2016__W2.5.ST__bin.78	983346.0	773657.0	732807.0	926312.0	772882.0	866189.0	920601.0	870216.0	640798.0	848522.0	915942.0	933057.0	921967.0	922152.0	886921.0	922948.0	823926.0	904404.0	847934.0	927857.0	647349.0	871768.0	943409.0	901553.0	916468.0	937264.0	977185.0	898395.0	911810.0	898790.0	765573.0	882798.0	896867.0
CosteaPI_2017__SID713B046-11-90-0__bin.66	773657.0	1339797.0	563442.0	1217667.0	1062214.0	1140408.0	1205606.0	1178770.0	883170.0	1135100.0	1173611.0	1324517.0	1207481.0	1200455.0	1217028.0	1169140.0	1117062.0	1177925.0	1101504.0	1204972.0	900479.0	1152492.0	1203310.0	1172925.0	1209011.0	1211484.0	1220472.0	1187900.0	1212516.0	1205939.0	1046752.0	1155894.0	1193834.0
BritoIL_2016__WL.37.ST__bin.29	732807.0	563442.0	737300.0	688120.0	546329.0	629884.0	683264.0	638679.0	455238.0	621371.0	696472.0	693107.0	682454.0	677315.0	652380.0	684779.0	596608.0	671092.0	615165.0	692040.0	462240.0	644637.0	702454.0	662785.0	680027.0	698508.0	731594.0	670240.0	671796.0	660955.0	565784.0	653890.0	658786.0
XieH_2016__YSZC12003_36696__bin.110	926312.0	1217667.0	688120.0	1595371.0	1205074.0	1322726.0	1425824.0	1384779.0	984412.0	1332066.0	1398868.0	1426336.0	1442738.0	1402650.0	1415867.0	1386829.0	1299560.0	1395746.0	1276757.0	1409164.0	1014789.0	1340379.0	1439477.0	1360760.0	1429452.0	1453174.0	1453715.0	1375301.0	1417741.0	1434210.0	1218178.0	1346372.0	1389267.0
RampelliS_2015__H14__bin.28	772882.0	1062214.0	546329.0	1205074.0	1309859.0	1165834.0	1189275.0	1198448.0	887621.0	1217399.0	1179711.0	1195656.0	1223202.0	1214078.0	1198203.0	1178792.0	1209391.0	1246504.0	1136095.0	1191539.0	953658.0	1176409.0	1210910.0	1190194.0	1226858.0	1220905.0	1229240.0	1199014.0	1223286.0	1200685.0	1060826.0	1221485.0	1212137.0
BritoIL_2016__W1.9.ST__bin.81	866189.0	1140408.0	629884.0	1322726.0	1165834.0	1428918.0	1296297.0	1295116.0	950916.0	1265423.0	1299999.0	1309359.0	1338537.0	1377876.0	1300488.0	1283741.0	1236742.0	1318511.0	1218569.0	1294173.0	968698.0	1245371.0	1333360.0	1302216.0	1322248.0	1345667.0	1415082.0	1294792.0	1332430.0	1303505.0	1209343.0	1273930.0	1313295.0
LeChatelierE_2013__MH0426__bin.42	920601.0	1205606.0	683264.0	1425824.0	1189275.0	1296297.0	1575863.0	1366205.0	982354.0	1308623.0	1375451.0	1420366.0	1423744.0	1380634.0	1393269.0	1369111.0	1286950.0	1389718.0	1262422.0	1398298.0	999556.0	1313209.0	1411728.0	1352561.0	1422699.0	1433836.0	1424399.0	1376351.0	1391467.0	1432798.0	1185960.0	1336564.0	1389429.0
NielsenHB_2014__MH0094__bin.25	870216.0	1178770.0	638679.0	1384779.0	1198448.0	1295116.0	1366205.0	1571314.0	972349.0	1305392.0	1355982.0	1360844.0	1406526.0	1362674.0	1353859.0	1369629.0	1290723.0	1363353.0	1384210.0	1341638.0	1006363.0	1304046.0	1379999.0	1362005.0	1383711.0	1403283.0	1399285.0	1387590.0	1367883.0	1367053.0	1179326.0	1338366.0	1378845.0
KarlssonFH_2013__S577__bin.22	640798.0	883170.0	455238.0	984412.0	887621.0	950916.0	982354.0	972349.0	1071656.0	947582.0	1004148.0	985508.0	1001007.0	993486.0	997735.0	964582.0	927413.0	982757.0	933758.0	978842.0	736761.0	978864.0	1016546.0	973385.0	996342.0	997528.0	1013096.0	992589.0	984754.0	981309.0	876772.0	945997.0	1001489.0
RampelliS_2015__H4__bin.4	848522.0	1135100.0	621371.0	1332066.0	1217399.0	1265423.0	1308623.0	1305392.0	947582.0	1449501.0	1298845.0	1303718.0	1342617.0	1313103.0	1299681.0	1284432.0	1294422.0	1362725.0	1222244.0	1300663.0	1005852.0	1253974.0	1343612.0	1304304.0	1341340.0	1342564.0	1351568.0	1307190.0	1340112.0	1311161.0	1146855.0	1338454.0	1314944.0
