	BritoIL_2016__W2.5.ST__bin.78	CosteaPI_2017__SID713B046-11-90-0__bin.66	BritoIL_2016__WL.37.ST__bin.29	XieH_2016__YSZC12003_36696__bin.110	RampelliS_2015__H14__bin.28	BritoIL_2016__W1.9.ST__bin.81	LeChatelierE_2013__MH0426__bin.42	NielsenHB_2014__MH0094__bin.25	KarlssonFH_2013__S577__bin.22	RampelliS_2015__H4__bin.4	LeChatelierE_2013__MH0267__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.35	ZeeviD_2015__PNP_Validation_68__bin.20	BritoIL_2016__W2.7.ST__bin.26	LiJ_2014__MH0346__bin.53	BritoIL_2016__M1.15.ST__bin.37	RampelliS_2015__H3__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.14	LeChatelierE_2013__MH0094__bin.24	LiJ_2014__MH0402__bin.29	CM_madagascar__A79_02_1FE__bin.22	XieH_2016__YSZC12003_37406__bin.2	ZellerG_2014__CCIS07648107ST-4-0__bin.16	XieH_2016__YSZC12003_35723__bin.27	ZeeviD_2015__PNP_Main_729__bin.23	ZeeviD_2015__PNP_Main_443__bin.2	BritoIL_2016__W1.2.ST__bin.8	WenC_2017__RA025__bin.37	ZellerG_2014__CCIS05314658ST-4-0__bin.73	ZeeviD_2015__PNP_Main_502__bin.13	BritoIL_2016__W2.11.ST__bin.19	CM_madagascar__A08_01_1FE__bin.48	LeChatelierE_2013__MH0250__bin.57
BritoIL_2016__W2.5.ST__bin.78	0.0	14226.0	115.0	18762.0	35261.0	471.0	19352.0	18663.0	11478.0	38550.0	19185.0	18038.0	18136.0	155.0	16949.0	18955.0	37817.0	43216.0	17921.0	18314.0	28699.0	17455.0	18798.0	19155.0	18928.0	19525.0	99.0	21324.0	18100.0	18493.0	326.0	40698.0	18570.0
CosteaPI_2017__SID713B046-11-90-0__bin.66	14226.0	0.0	10848.0	21919.0	46450.0	21380.0	23651.0	24868.0	16604.0	50202.0	22046.0	768.0	22097.0	22586.0	22779.0	21643.0	48634.0	52973.0	22673.0	21128.0	39204.0	21070.0	21796.0	24771.0	22595.0	21457.0	23093.0	27658.0	22217.0	22117.0	19351.0	51311.0	21733.0
BritoIL_2016__WL.37.ST__bin.29	115.0	10848.0	0.0	14567.0	25926.0	526.0	14781.0	14041.0	8393.0	28862.0	15021.0	14016.0	13939.0	115.0	12800.0	14506.0	28320.0	33215.0	13209.0	14314.0	21133.0	13219.0	14342.0	14639.0	14249.0	14958.0	88.0	16617.0	13396.0	14286.0	400.0	30956.0	13639.0
XieH_2016__YSZC12003_36696__bin.110	18762.0	21919.0	14567.0	0.0	53036.0	25284.0	28879.0	30008.0	19056.0	59626.0	25425.0	27130.0	26689.0	26792.0	26264.0	26298.0	57421.0	64180.0	26897.0	26741.0	43913.0	24668.0	26173.0	29180.0	28743.0	27418.0	28842.0	32352.0	25439.0	27168.0	23190.0	60631.0	25514.0
RampelliS_2015__H14__bin.28	35261.0	46450.0	25926.0	53036.0	0.0	52243.0	52345.0	52406.0	40159.0	30650.0	52365.0	53484.0	54067.0	54440.0	52971.0	53476.0	31134.0	35209.0	49885.0	53559.0	23802.0	51912.0	53247.0	53023.0	53816.0	54474.0	55370.0	54404.0	53972.0	52907.0	46468.0	31105.0	53761.0
BritoIL_2016__W1.9.ST__bin.81	471.0	21380.0	526.0	25284.0	52243.0	0.0	25740.0	27340.0	17259.0	56653.0	24806.0	25175.0	25614.0	1004.0	25128.0	25575.0	54762.0	59591.0	25734.0	24497.0	41547.0	24367.0	25382.0	27109.0	26713.0	25943.0	981.0	29619.0	25155.0	25620.0	1085.0	56194.0	25249.0
LeChatelierE_2013__MH0426__bin.42	19352.0	23651.0	14781.0	28879.0	52345.0	25740.0	0.0	31471.0	19866.0	58533.0	28119.0	29341.0	29220.0	27908.0	26913.0	28841.0	56406.0	63139.0	28481.0	27833.0	43336.0	26393.0	28087.0	30582.0	29701.0	29397.0	29415.0	34653.0	26616.0	30031.0	23599.0	59773.0	28371.0
NielsenHB_2014__MH0094__bin.25	18663.0	24868.0	14041.0	30008.0	52406.0	27340.0	31471.0	0.0	20461.0	57962.0	29857.0	29272.0	30450.0	29314.0	29029.0	30818.0	56707.0	61982.0	416.0	28758.0	43491.0	27393.0	29151.0	20591.0	30538.0	30419.0	30701.0	27190.0	28948.0	30964.0	25039.0	59773.0	30118.0
KarlssonFH_2013__S577__bin.22	11478.0	16604.0	8393.0	19056.0	40159.0	17259.0	19866.0	20461.0	0.0	44213.0	19907.0	18869.0	19323.0	17931.0	19755.0	19519.0	41821.0	45952.0	19551.0	19237.0	32799.0	19133.0	19475.0	20616.0	20165.0	19698.0	18517.0	22093.0	19146.0	20020.0	15848.0	43233.0	20068.0
RampelliS_2015__H4__bin.4	38550.0	50202.0	28862.0	59626.0	30650.0	56653.0	58533.0	57962.0	44213.0	0.0	58953.0	58685.0	60006.0	59154.0	58344.0	58341.0	31943.0	38219.0	54524.0	58986.0	25961.0	56638.0	59701.0	59056.0	59629.0	60223.0	60888.0	60187.0	59582.0	58514.0	50686.0	34965.0	59280.0
