	LiJ_2014__MH0399__bin.80	XieH_2016__YSZC12003_37315__bin.119	LiuW_2016__SRR3992981__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.16	LiJ_2014__MH0402__bin.1	XieH_2016__YSZC12003_36033__bin.79	NielsenHB_2014__MH0012__bin.89	LiJ_2014__O2.UC13-1__bin.11	LeChatelierE_2013__MH0250__bin.73	XieH_2016__YSZC12003_37652__bin.41	LiJ_2014__MH0262__bin.31	XieH_2016__YSZC12003_35520__bin.37	XieH_2016__YSZC12003_37264__bin.28	LeChatelierE_2013__MH0428__bin.92	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.12	XieH_2016__YSZC12003_37203__bin.14	XieH_2016__YSZC12003_37228__bin.96	LoombaR_2017__SID0012_qdz__bin.71	QinJ_2012__T2D-085__bin.20	XieH_2016__YSZC12003_35550__bin.91	LeChatelierE_2013__MH0407__bin.9	XieH_2016__YSZC12003_36667__bin.109	XieH_2016__YSZC12003_35549__bin.54	XieH_2016__YSZC12003_37393__bin.68	XieH_2016__YSZC12003_37176__bin.69	HMP_2012__SRS017307__bin.46	ZellerG_2014__CCIS07539127ST-4-0__bin.75	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.100	LiuW_2016__SRR3993056__bin.66	XieH_2016__YSZC12003_36058__bin.61	XieH_2016__YSZC12003_37265R1__bin.26	LiJ_2014__MH0338__bin.39	LeChatelierE_2013__MH0224__bin.18	CosteaPI_2017__SID713A004-11-90-0__bin.60	LeChatelierE_2013__MH0318__bin.94	HMP_2012__SRS011134__bin.70	XieH_2016__YSZC12003_37797__bin.14	LeChatelierE_2013__MH0012__bin.34	LiJ_2014__MH0339__bin.58	CosteaPI_2017__SID713A028-11-0-0__bin.13
LiJ_2014__MH0399__bin.80	1365806.0	948283.0	538351.0	1170920.0	900215.0	813808.0	1148904.0	1105078.0	799538.0	904372.0	1106565.0	1121759.0	1138648.0	751769.0	1152259.0	941797.0	1027818.0	915007.0	991339.0	843893.0	746054.0	686845.0	1179421.0	1133667.0	1159501.0	778638.0	997036.0	1069308.0	867126.0	897886.0	843073.0	768961.0	744750.0	855125.0	1138928.0	1157996.0	879063.0	1165477.0	996224.0	1109544.0
XieH_2016__YSZC12003_37315__bin.119	948283.0	1615486.0	691965.0	1397065.0	998429.0	968919.0	1350055.0	1321120.0	942058.0	1117020.0	1286397.0	1299587.0	1332337.0	837487.0	1370507.0	1112681.0	1239879.0	1032310.0	1175468.0	1015814.0	841895.0	878706.0	1396150.0	1324981.0	1368848.0	905301.0	1179559.0	1242154.0	1068570.0	1116100.0	992720.0	865469.0	843205.0	982254.0	1340767.0	1380864.0	1093347.0	1367332.0	1147599.0	1302545.0
LiuW_2016__SRR3992981__bin.39	538351.0	691965.0	917361.0	857200.0	579425.0	615942.0	830520.0	807189.0	556554.0	782321.0	800282.0	815222.0	816033.0	473486.0	833646.0	679572.0	773999.0	606430.0	713604.0	690862.0	488799.0	686899.0	863756.0	801481.0	843760.0	539542.0	716193.0	764239.0	728081.0	809739.0	614495.0	490776.0	506004.0	573935.0	812835.0	856095.0	806182.0	848296.0	667176.0	808711.0
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.16	1170920.0	1397065.0	857200.0	1977069.0	1257499.0	1186247.0	1709531.0	1677625.0	1176393.0	1381649.0	1626301.0	1660861.0	1680723.0	1057700.0	1729583.0	1413249.0	1562719.0	1331235.0	1456585.0	1259747.0	1061698.0	1076785.0	1813337.0	1676438.0	1752450.0	1146725.0	1479334.0	1564134.0	1336807.0	1368468.0	1241737.0	1056647.0	1033519.0	1246617.0	1715646.0	1774800.0	1353074.0	1759367.0	1448381.0	1649875.0
LiJ_2014__MH0402__bin.1	900215.0	998429.0	579425.0	1257499.0	1397417.0	847258.0	1211346.0	1206088.0	878082.0	961911.0	1173062.0	1170785.0	1182750.0	805100.0	1215792.0	989369.0	1081936.0	966210.0	1067132.0	884007.0	789861.0	711465.0	1269758.0	1182787.0	1235383.0	815571.0	1060612.0	1119654.0	935062.0	945383.0	884396.0	838106.0	759544.0	935409.0	1228424.0	1234859.0	931565.0	1238518.0	1080406.0	1182328.0
XieH_2016__YSZC12003_36033__bin.79	813808.0	968919.0	615942.0	1186247.0	847258.0	1275394.0	1163677.0	1109577.0	788295.0	962677.0	1084808.0	1115278.0	1128117.0	728912.0	1157121.0	951778.0	1059029.0	889036.0	989035.0	875562.0	734044.0	775132.0	1176040.0	1119554.0	1158956.0	776553.0	999086.0	1044665.0	887307.0	968005.0	861217.0	733039.0	730598.0	834197.0	1122523.0	1166730.0	960528.0	1176210.0	980253.0	1116909.0
NielsenHB_2014__MH0012__bin.89	1148904.0	1350055.0	830520.0	1709531.0	1211346.0	1163677.0	1822459.0	1619529.0	1127284.0	1352341.0	1566539.0	1603236.0	1633599.0	1016959.0	1680247.0	1354297.0	1496090.0	1278172.0	1406883.0	1234776.0	1017374.0	1032999.0	1706834.0	1612900.0	1672755.0	1096648.0	1424455.0	1494893.0	1281301.0	1331926.0	1209464.0	1033698.0	1012510.0	1184460.0	1623063.0	1685900.0	1312290.0	1799588.0	1398323.0	1606843.0
LiJ_2014__O2.UC13-1__bin.11	1105078.0	1321120.0	807189.0	1677625.0	1206088.0	1109577.0	1619529.0	2096000.0	1107223.0	1292053.0	1544702.0	1570514.0	1594564.0	1011032.0	1614303.0	1334830.0	1468335.0	1267564.0	1386521.0	1190155.0	1030167.0	1000494.0	1684513.0	1601561.0	1666349.0	1091778.0	1389979.0	1489200.0	1257822.0	1301502.0	1172518.0	1028149.0	977026.0	1197438.0	1645137.0	1655086.0	1275345.0	1669961.0	1373295.0	1564442.0
LeChatelierE_2013__MH0250__bin.73	799538.0	942058.0	556554.0	1176393.0	878082.0	788295.0	1127284.0	1107223.0	1301585.0	936833.0	1094354.0	1086694.0	1104429.0	727843.0	1134017.0	932961.0	1017764.0	883600.0	1012787.0	840233.0	739279.0	672100.0	1163482.0	1108550.0	1140004.0	781507.0	995562.0	1053428.0	887429.0	865855.0	834558.0	734367.0	704061.0	863630.0	1119604.0	1140952.0	862834.0	1147801.0	971973.0	1090412.0
XieH_2016__YSZC12003_37652__bin.41	904372.0	1117020.0	782321.0	1381649.0	961911.0	962677.0	1352341.0	1292053.0	936833.0	1543327.0	1270238.0	1298802.0	1330549.0	797854.0	1343255.0	1079457.0	1221434.0	1006717.0	1135495.0	1059093.0	813896.0	967022.0	1402391.0	1281801.0	1348480.0	887595.0	1156150.0	1211885.0	1080539.0	1248970.0	978644.0	822788.0	814808.0	932853.0	1316089.0	1350793.0	1181634.0	1366231.0	1085668.0	1291623.0
