	LiJ_2014__MH0399__bin.80	XieH_2016__YSZC12003_37315__bin.119	LiuW_2016__SRR3992981__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.16	LiJ_2014__MH0402__bin.1	XieH_2016__YSZC12003_36033__bin.79	NielsenHB_2014__MH0012__bin.89	LiJ_2014__O2.UC13-1__bin.11	LeChatelierE_2013__MH0250__bin.73	XieH_2016__YSZC12003_37652__bin.41	LiJ_2014__MH0262__bin.31	XieH_2016__YSZC12003_35520__bin.37	XieH_2016__YSZC12003_37264__bin.28	LeChatelierE_2013__MH0428__bin.92	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.12	XieH_2016__YSZC12003_37203__bin.14	XieH_2016__YSZC12003_37228__bin.96	LoombaR_2017__SID0012_qdz__bin.71	QinJ_2012__T2D-085__bin.20	XieH_2016__YSZC12003_35550__bin.91	LeChatelierE_2013__MH0407__bin.9	XieH_2016__YSZC12003_36667__bin.109	XieH_2016__YSZC12003_35549__bin.54	XieH_2016__YSZC12003_37393__bin.68	XieH_2016__YSZC12003_37176__bin.69	HMP_2012__SRS017307__bin.46	ZellerG_2014__CCIS07539127ST-4-0__bin.75	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.100	LiuW_2016__SRR3993056__bin.66	XieH_2016__YSZC12003_36058__bin.61	XieH_2016__YSZC12003_37265R1__bin.26	LiJ_2014__MH0338__bin.39	LeChatelierE_2013__MH0224__bin.18	CosteaPI_2017__SID713A004-11-90-0__bin.60	LeChatelierE_2013__MH0318__bin.94	HMP_2012__SRS011134__bin.70	XieH_2016__YSZC12003_37797__bin.14	LeChatelierE_2013__MH0012__bin.34	LiJ_2014__MH0339__bin.58	CosteaPI_2017__SID713A028-11-0-0__bin.13
LiJ_2014__MH0399__bin.80	1.0	0.9891857177656881	0.9910207281123282	0.9900719092679261	0.9961309242791999	0.9889064742543696	0.9900444249476023	0.9918802111706142	0.9859794031052933	0.9867698248066061	0.989713211605283	0.99217657268629	0.9895121231495598	0.991946994355979	0.9891283122978427	0.989761063159046	0.9894378187577957	0.9891935252954349	0.9896412831533915	0.9895282932788872	0.9896482024089409	0.9951968784805888	0.9907268057801243	0.9950699808673976	0.9932005233285698	0.9910035215337551	0.99225604692308	0.9926877943492427	0.9894605858894786	0.9927396128238997	0.9898786937785933	0.9958060291744315	0.9923370258475999	0.9901511474930565	0.9931374064032142	0.9897598955436806	0.9908914378150372	0.9899037046634125	0.9923561367724528	0.9933071604190551
XieH_2016__YSZC12003_37315__bin.119	0.9891857177656881	1.0	0.9909489641817144	0.9896647614821071	0.9900042967501945	0.9897555936048318	0.9900996626063383	0.9896284970328206	0.9861749488884973	0.9868722135682441	0.990242514558103	0.9896413245130953	0.9905204163811409	0.9890278893881338	0.9891828352573172	0.9896115778017239	0.9898248135503545	0.9891737946934545	0.9895879768738919	0.9902551057575502	0.9891862999542699	0.9893730098576771	0.9903663646456327	0.9896285305223245	0.989587594824261	0.9912791436218451	0.9892943040577029	0.9900463227586918	0.9888701722863266	0.9899211540184572	0.9898511161253929	0.9887575407091416	0.9889077982222592	0.9900188749549506	0.9898476021560794	0.9902235122358176	0.9906031662409098	0.9903059388648843	0.9889944135538633	0.9898130198956658
LiuW_2016__SRR3992981__bin.39	0.9910207281123282	0.9909489641817144	1.0	0.9907046196920205	0.9907580791301721	0.9904439054326544	0.9903843375234793	0.9911420993100748	0.9871423078443422	0.9881301920822783	0.9912543328476712	0.9908429851009909	0.991257706489811	0.9895266174712664	0.9904119974185686	0.9906073234329843	0.9905219515787488	0.9902874198176211	0.9907007247717221	0.9900862979871523	0.9901084085687573	0.9910685559303478	0.9913876140947212	0.9911838209514636	0.9911455864226795	0.9915502407597555	0.9907064157287212	0.9915196685853509	0.9907359208659476	0.9908353185409126	0.9910902448351899	0.990172706081797	0.990253041477933	0.9907829283803915	0.9912614491255913	0.9914472108819699	0.9915999116824736	0.9907414393089204	0.9899202009664616	0.9909881280210112
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.16	0.9900719092679261	0.9896647614821071	0.9907046196920205	1.0	0.9901359762512734	0.9894600365691125	0.9903827424012784	0.990140824081663	0.9857029071067237	0.987111053530962	0.9896409090322148	0.9902044782796393	0.9899257640908109	0.9897163656991586	0.9901091766049966	0.9896316926458112	0.9896731274144616	0.9896216670985964	0.9897733396952461	0.9894566131135855	0.9890684544945926	0.9897333265229363	0.990343769525466	0.9901911075745121	0.9900796028417359	0.9901519544790599	0.9897960839134368	0.9910257049587823	0.9894060997586039	0.99020072080604	0.9900309002630991	0.989855647155578	0.9892774104781819	0.990046662286813	0.9905644870795024	0.9903267973856209	0.9906930441350584	0.9904147343902665	0.989463407763565	0.9902768391544814
LiJ_2014__MH0402__bin.1	0.9961309242791999	0.9900042967501945	0.9907580791301721	0.9901359762512734	1.0	0.9894258891624511	0.9901968553988704	0.9920635973494472	0.9861596069615366	0.98728676561553	0.9905103055081488	0.9926621881899751	0.9899877404354259	0.9925785616693579	0.9898732677958072	0.9902351903081661	0.9899670590497035	0.9894277641506505	0.9898859747435181	0.9896177292713746	0.9900969917491812	0.9949512625357537	0.9910447502594982	0.9950895638859744	0.9934951347072123	0.9912785030365229	0.9921677295750001	0.99311662352834	0.9896445369397965	0.9928632099371366	0.9902306206721876	0.996249877700434	0.9922242819375836	0.9900920346073215	0.9933215241642951	0.9906637114034882	0.9907081094716955	0.9902585186489014	0.9924361767705844	0.9935956857995413
XieH_2016__YSZC12003_36033__bin.79	0.9889064742543696	0.9897555936048318	0.9904439054326544	0.9894600365691125	0.9894258891624511	1.0	0.9903194786869552	0.9898258525546222	0.9860724728686596	0.9874049135899164	0.9893842965759839	0.9900894664827962	0.9902563297955798	0.988936936145927	0.9898662283373995	0.9893262924757664	0.989910569021245	0.9889318317818401	0.9893856132492783	0.9899184752193448	0.9890224564195061	0.990054597152485	0.9900462569300363	0.9898522090046572	0.9898684678279417	0.9897817663443448	0.9895594573440124	0.9899412730396826	0.989122141491051	0.9898554243004943	0.9898968552641204	0.9888641668451474	0.9887735799988503	0.9899232435503844	0.9902220266310802	0.9905650836097469	0.9899950860360135	0.9905399545999439	0.988535612744873	0.989321421888444
NielsenHB_2014__MH0012__bin.89	0.9900444249476023	0.9900996626063383	0.9903843375234793	0.9903827424012784	0.9901968553988704	0.9903194786869552	1.0	0.9901810958618216	0.9864470710131609	0.9869500370098961	0.9903002734052584	0.9905378871232932	0.9901285443979826	0.9896583834746534	0.9951644014243144	0.9910588297840134	0.9897004859333329	0.9893684105112613	0.9899344863787536	0.9902200885018821	0.9898454255760418	0.98947143220855	0.9905708463740469	0.990234980469961	0.9903022259685369	0.9910700607669918	0.9902004626330773	0.9907097029687074	0.9895481233527484	0.9901826377741706	0.9900964394144844	0.990102525108881	0.9894677583431275	0.9901018185502254	0.9907828593221581	0.9901518476777982	0.9903260712190141	0.9995804595274029	0.9897942034851748	0.9899374114334755
LiJ_2014__O2.UC13-1__bin.11	0.9918802111706142	0.9896284970328206	0.9911420993100748	0.990140824081663	0.9920635973494472	0.9898258525546222	0.9901810958618216	1.0	0.9861401000521124	0.9871429422786836	0.9903754899003173	0.9922897853823652	0.9902669319011341	0.9918687044524802	0.9897918792197004	0.990323112306436	0.9896072762686989	0.989236046463926	0.9894974544200917	0.989651768047019	0.9888037570607484	0.9918320349747225	0.9910816954217628	0.9922444415167452	0.992300532481491	0.9914314082166887	0.9926236295656266	0.9955089981197959	0.989979504254179	0.992761440243657	0.990754086504429	0.9914516281200487	0.9917422873086285	0.9901331008369536	0.9926553229305523	0.9908246459700584	0.9911710164700532	0.9901333025142504	0.9917810812680451	0.9922298174045442
LeChatelierE_2013__MH0250__bin.73	0.9859794031052933	0.9861749488884973	0.9871423078443422	0.9857029071067237	0.9861596069615366	0.9860724728686596	0.9864470710131609	0.9861401000521124	1.0	0.9898989467706625	0.9857459286483167	0.9863346995566369	0.9862399484258382	0.9856205253055947	0.986551347995665	0.9856564207935808	0.9865076776148498	0.985487777274785	0.985983232407209	0.9862930877506596	0.9860039308569566	0.9863710757327778	0.9866254914128453	0.9865355644761175	0.9864342581254101	0.9870800901335497	0.9858130382638148	0.9868999115269387	0.9853746046162566	0.987027851083611	0.9864167619266726	0.9859593364080902	0.9855921574977168	0.9861097923879439	0.9865648925870218	0.9860931923516502	0.9868109045308832	0.9863207995114136	0.9859636018695993	0.9865931409412222
XieH_2016__YSZC12003_37652__bin.41	0.9867698248066061	0.9868722135682441	0.9881301920822783	0.987111053530962	0.98728676561553	0.9874049135899164	0.9869500370098961	0.9871429422786836	0.9898989467706625	1.0	0.9869630730618987	0.9873614299947182	0.9874187271569855	0.986605318767594	0.9868863320813993	0.9866636651575746	0.9870521043298287	0.9864728617873743	0.9871395294563164	0.9866546186217829	0.9865425066593275	0.9867862365075458	0.9872909908862793	0.987546428813833	0.9873887636449928	0.9879156597321976	0.987669420057951	0.9882183540517459	0.9866131625050091	0.9874936948045189	0.987674782658454	0.9868763278025445	0.9859218368008169	0.9873098977009239	0.987652050887136	0.9876583606814664	0.9873624150963835	0.987185915119771	0.9864360006926611	0.9872021479951968
