	LiJ_2014__MH0399__bin.80	XieH_2016__YSZC12003_37315__bin.119	LiuW_2016__SRR3992981__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.16	LiJ_2014__MH0402__bin.1	XieH_2016__YSZC12003_36033__bin.79	NielsenHB_2014__MH0012__bin.89	LiJ_2014__O2.UC13-1__bin.11	LeChatelierE_2013__MH0250__bin.73	XieH_2016__YSZC12003_37652__bin.41	LiJ_2014__MH0262__bin.31	XieH_2016__YSZC12003_35520__bin.37	XieH_2016__YSZC12003_37264__bin.28	LeChatelierE_2013__MH0428__bin.92	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.12	XieH_2016__YSZC12003_37203__bin.14	XieH_2016__YSZC12003_37228__bin.96	LoombaR_2017__SID0012_qdz__bin.71	QinJ_2012__T2D-085__bin.20	XieH_2016__YSZC12003_35550__bin.91	LeChatelierE_2013__MH0407__bin.9	XieH_2016__YSZC12003_36667__bin.109	XieH_2016__YSZC12003_35549__bin.54	XieH_2016__YSZC12003_37393__bin.68	XieH_2016__YSZC12003_37176__bin.69	HMP_2012__SRS017307__bin.46	ZellerG_2014__CCIS07539127ST-4-0__bin.75	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.100	LiuW_2016__SRR3993056__bin.66	XieH_2016__YSZC12003_36058__bin.61	XieH_2016__YSZC12003_37265R1__bin.26	LiJ_2014__MH0338__bin.39	LeChatelierE_2013__MH0224__bin.18	CosteaPI_2017__SID713A004-11-90-0__bin.60	LeChatelierE_2013__MH0318__bin.94	HMP_2012__SRS011134__bin.70	XieH_2016__YSZC12003_37797__bin.14	LeChatelierE_2013__MH0012__bin.34	LiJ_2014__MH0339__bin.58	CosteaPI_2017__SID713A028-11-0-0__bin.13
LiJ_2014__MH0399__bin.80	1.0	0.6867944642211266	0.39062429071185806	0.8487991705996314	0.6565588377851612	0.5892344886462646	0.8328166664958274	0.8025334491135636	0.5771888540539433	0.6533922094353077	0.8018576576761268	0.8148909874462406	0.8249385344624346	0.5459889618291324	0.8344757601006292	0.6824937070125626	0.7445874450690655	0.662699534194461	0.7183084566915067	0.6114016192636437	0.5405826303296368	0.5004707842841516	0.8555270660694124	0.8259430695135327	0.8431775815891861	0.5649653025393064	0.7243451851873546	0.7771887076202624	0.6281909729493061	0.6526307542945338	0.611023820366875	0.5606477054574369	0.5411039342337053	0.619929184671908	0.8281644684530599	0.8391660309004353	0.6377596818288981	0.8447100100599939	0.7238282742937138	0.8069359777303658
XieH_2016__YSZC12003_37315__bin.119	0.5806475574532989	1.0	0.42445555083733316	0.8558576180790177	0.6118585985889076	0.5936250762928308	0.827422212263059	0.8093032065892245	0.5750801925860082	0.6823680304255191	0.788521225191676	0.7961226528735005	0.8169102053499689	0.5127237252442918	0.839179045810363	0.6816041736047233	0.7596865587197908	0.6320909001996922	0.7200489512134429	0.6226702057461346	0.5155049316428617	0.5381464153821203	0.8559034247279148	0.8116684390951082	0.8385061832785924	0.5555021832439279	0.7223405216758301	0.7612507938787461	0.6540923288719308	0.6839124573038702	0.6082658716943384	0.5297099448710791	0.5161616999466414	0.6019550772956249	0.8215205826605739	0.8464103062483984	0.6704316843352404	0.8381855367363134	0.7025557634049444	0.7980731495042359
LiuW_2016__SRR3992981__bin.39	0.5815780265348102	0.7474723691109606	1.0	0.9257337078859904	0.625784178747516	0.6650119200620039	0.8966306612118894	0.8721092350775757	0.5988896410464365	0.8426726228823768	0.8647446316117646	0.8805224987763814	0.8817673740217864	0.5107335062205609	0.9000306313436041	0.7338321554982171	0.8357266114430415	0.654638686405897	0.7706540827438707	0.7456312182445078	0.5275611237015744	0.7420895372704965	0.933456948791152	0.8659786060231468	0.911624758410266	0.5831760888025542	0.7734545070043309	0.8260194187457282	0.7863164010678457	0.8745935351513744	0.6638825936572408	0.5297292995887115	0.5462102705477997	0.6198704762901409	0.8783150798867622	0.9252333596043433	0.8714235726175409	0.9161518747799394	0.7199466731199604	0.8736179105063329
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.16	0.5863705313269288	0.6993311816633613	0.42954090120273997	1.0	0.629768106221887	0.5936788245630273	0.8563636372832714	0.8401755325686661	0.5865116493152237	0.6898297429174197	0.81406061194627	0.8318333856835548	0.8415442253153532	0.5294822790706849	0.8661690613731741	0.707408795545325	0.7822594962543037	0.6663495305424343	0.7292052022463555	0.630461051182331	0.5311357367901676	0.539045425324053	0.9083279339264334	0.8396237055965169	0.8775945604326405	0.5743006440341738	0.7406109751354152	0.7840378863863628	0.6689928373769454	0.6853873081819603	0.621808343563123	0.529029588749811	0.5171478587747823	0.6242619756821841	0.8595845668512327	0.8890089319088004	0.6780142726429882	0.8813566951886859	0.724871008548513	0.8263914916474843
LiJ_2014__MH0402__bin.1	0.6417068062002967	0.7073400423781877	0.41080794065050014	0.8909974617454919	1.0	0.5998918003716858	0.8583486532652744	0.8562340375134981	0.6196639943552998	0.6795981442905017	0.8314840881426232	0.8316730081285686	0.8379087988767848	0.5718586506390004	0.861217517748818	0.7010849302677725	0.7664719979791286	0.6841157650150241	0.7559225342184902	0.6260328878208867	0.5596318063970883	0.5065581712545361	0.9005092967954447	0.8422532429475238	0.8782968863267013	0.5785374015057781	0.7530357795847624	0.7957159530762828	0.6622067714934053	0.6716935603331003	0.626696254589718	0.5975045387311018	0.5393078801817925	0.6627520632710208	0.8731967623121802	0.8754222969950989	0.6604392246552031	0.8776571345561132	0.7672970917056254	0.840662450793142
XieH_2016__YSZC12003_36033__bin.79	0.631005007080165	0.7519190148299271	0.4783274815468788	0.9202991389327534	0.6572862974108393	1.0	0.9035733271443962	0.8611362449564605	0.6094712692705156	0.7453006678720457	0.841537595441095	0.8657912770485042	0.8759057985218686	0.5651963236458694	0.8980714979057451	0.738296557769599	0.8219765813544677	0.6893524667671324	0.76724290689779	0.6795821526524353	0.5692248826637101	0.6017144505933069	0.9129210267572216	0.8689024724908538	0.8994977238406328	0.6026514159545991	0.7751761416472086	0.8108529599480632	0.688144212690353	0.7512854851128357	0.6684334409602053	0.5683545633741416	0.5664100662226732	0.6474791319388362	0.8715322480739286	0.9061686035844609	0.7455876380161738	0.9135082962598224	0.7597769787218694	0.8663848191225614
NielsenHB_2014__MH0012__bin.89	0.6241380464526226	0.7334535372263519	0.45133196412100357	0.9290140409194391	0.6581607597207949	0.6323390539924355	1.0	0.8799248707378328	0.6101679104989467	0.7323583136849718	0.8512367082057813	0.8713864070467429	0.8875222981696708	0.5522439736641538	0.9175087066430575	0.7364708890570377	0.8124632707786568	0.6938883124394019	0.764199359217409	0.6709067254736595	0.5525737478867837	0.5608482824579318	0.9277245743251289	0.8763708813202382	0.9089548790946738	0.5963673256846931	0.7739521163439068	0.8126410525559148	0.6957133192022427	0.7236651140025646	0.6570715719804945	0.5615857476080395	0.5497221062311964	0.6434910195510571	0.8823808930681019	0.91595860318394	0.7130997185670569	0.9870361966990752	0.759442050548188	0.8728174406118328
LiJ_2014__O2.UC13-1__bin.11	0.5229508587786259	0.6237681297709924	0.3816979961832061	0.7925023854961831	0.5708568702290077	0.5239923664122138	0.7650892175572519	1.0	0.5209336832061069	0.608511927480916	0.7298831106870228	0.7435138358778626	0.7533606870229007	0.47844036259541983	0.762320610687023	0.6306836832061069	0.6932609732824427	0.5982442748091603	0.6545605916030534	0.5619460877862595	0.4859890267175573	0.47343606870229005	0.7965124045801527	0.7581774809160304	0.7888926526717557	0.5164231870229007	0.6582662213740458	0.7073053435114504	0.5940925572519083	0.616450858778626	0.5542352099236642	0.4863358778625954	0.4622891221374046	0.5656598282442747	0.7791288167938931	0.782395038167939	0.6030939885496184	0.7888759541984733	0.6498129770992366	0.7405944656488549
LeChatelierE_2013__MH0250__bin.73	0.6056677051441128	0.7137712865467872	0.4220992098095784	0.8908937948731739	0.6652880910582099	0.5972072511591636	0.854347583907313	0.8388825931460488	1.0	0.7124928452617386	0.828801038733544	0.8234913586127682	0.8368504554062932	0.5511564746059612	0.859541251627823	0.7065070663844466	0.7713918030708713	0.6690127805713804	0.7672115151910939	0.6366975648920354	0.5600341122554424	0.5093328518690673	0.8819408644076262	0.8402248028365416	0.8639766131293768	0.5926697065500909	0.7540329674973206	0.7987399977719473	0.6718347245857934	0.656601758625061	0.6324765574280589	0.55628791050911	0.5331322963924753	0.6543053277350308	0.84862840306242	0.8643961016760334	0.6541670348075616	0.8697856843771248	0.7362792287864413	0.8265253517826342
XieH_2016__YSZC12003_37652__bin.41	0.5782358502119123	0.714272477576042	0.5008886645539151	0.8837018985607068	0.6153472336063582	0.6159109508224764	0.8648154279682788	0.8264230457965162	0.6008901548408082	1.0	0.8123216920328615	0.8309237122139378	0.8512836229781504	0.510045505586308	0.8589495291665344	0.6901071516276202	0.7811818234243293	0.6434793144939472	0.7262828940334745	0.6770820441811748	0.5202675777719175	0.6183031852614514	0.8971319752716048	0.8202007740420534	0.8627296742686417	0.5681679903222064	0.7398911572207316	0.7759904414294573	0.6907635258114451	0.7991501477003901	0.6262976025171594	0.5261295888687232	0.5205228703962285	0.5967724273598531	0.8422311020282804	0.8644454480482751	0.7559648732899767	0.8739068259675363	0.6939177504184142	0.826197558910069
