	LiJ_2014__MH0399__bin.80	XieH_2016__YSZC12003_37315__bin.119	LiuW_2016__SRR3992981__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.16	LiJ_2014__MH0402__bin.1	XieH_2016__YSZC12003_36033__bin.79	NielsenHB_2014__MH0012__bin.89	LiJ_2014__O2.UC13-1__bin.11	LeChatelierE_2013__MH0250__bin.73	XieH_2016__YSZC12003_37652__bin.41	LiJ_2014__MH0262__bin.31	XieH_2016__YSZC12003_35520__bin.37	XieH_2016__YSZC12003_37264__bin.28	LeChatelierE_2013__MH0428__bin.92	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.12	XieH_2016__YSZC12003_37203__bin.14	XieH_2016__YSZC12003_37228__bin.96	LoombaR_2017__SID0012_qdz__bin.71	QinJ_2012__T2D-085__bin.20	XieH_2016__YSZC12003_35550__bin.91	LeChatelierE_2013__MH0407__bin.9	XieH_2016__YSZC12003_36667__bin.109	XieH_2016__YSZC12003_35549__bin.54	XieH_2016__YSZC12003_37393__bin.68	XieH_2016__YSZC12003_37176__bin.69	HMP_2012__SRS017307__bin.46	ZellerG_2014__CCIS07539127ST-4-0__bin.75	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.100	LiuW_2016__SRR3993056__bin.66	XieH_2016__YSZC12003_36058__bin.61	XieH_2016__YSZC12003_37265R1__bin.26	LiJ_2014__MH0338__bin.39	LeChatelierE_2013__MH0224__bin.18	CosteaPI_2017__SID713A004-11-90-0__bin.60	LeChatelierE_2013__MH0318__bin.94	HMP_2012__SRS011134__bin.70	XieH_2016__YSZC12003_37797__bin.14	LeChatelierE_2013__MH0012__bin.34	LiJ_2014__MH0339__bin.58	CosteaPI_2017__SID713A028-11-0-0__bin.13
LiJ_2014__MH0399__bin.80	0.0	10255.0	4834.0	11625.0	3483.0	9028.0	11438.0	8973.0	11210.0	11965.0	11383.0	8776.0	11942.0	6054.0	12527.0	9643.0	10856.0	9888.0	10269.0	8837.0	7723.0	3299.0	10937.0	5589.0	7884.0	7005.0	7721.0	7819.0	9139.0	6519.0	8533.0	3225.0	5707.0	8422.0	7816.0	11858.0	8007.0	11767.0	7615.0	7426.0
XieH_2016__YSZC12003_37315__bin.119	10255.0	0.0	6263.0	14439.0	9980.0	9926.0	13366.0	13702.0	13024.0	14664.0	12552.0	13462.0	12630.0	9189.0	14825.0	11559.0	12616.0	11176.0	12239.0	9899.0	9104.0	9338.0	13450.0	13742.0	14253.0	7895.0	12628.0	12364.0	11893.0	11249.0	10075.0	9730.0	9353.0	9804.0	13612.0	13500.0	10274.0	13255.0	12630.0	13269.0
LiuW_2016__SRR3992981__bin.39	4834.0	6263.0	0.0	7968.0	5355.0	5886.0	7986.0	7150.0	7156.0	9286.0	6999.0	7465.0	7134.0	4959.0	7993.0	6383.0	7336.0	5890.0	6636.0	6849.0	4835.0	6135.0	7439.0	7066.0	7471.0	4559.0	6656.0	6481.0	6745.0	7421.0	5475.0	4823.0	4932.0	5290.0	7103.0	7322.0	6772.0	7854.0	6725.0	7288.0
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.16	11625.0	14439.0	7968.0	0.0	12404.0	12503.0	16441.0	16540.0	16819.0	17808.0	16847.0	16269.0	16932.0	10877.0	17107.0	14653.0	16138.0	13816.0	14896.0	13282.0	11606.0	11055.0	17510.0	16444.0	17385.0	11293.0	15095.0	14037.0	14162.0	13410.0	12379.0	10719.0	11082.0	12408.0	16188.0	17168.0	12593.0	16864.0	15261.0	16042.0
LiJ_2014__MH0402__bin.1	3483.0	9980.0	5355.0	12404.0	0.0	8959.0	11875.0	9572.0	12153.0	12229.0	11132.0	8591.0	11842.0	5975.0	12312.0	9661.0	10855.0	10215.0	10793.0	9178.0	7822.0	3592.0	11371.0	5808.0	8036.0	7113.0	8307.0	7707.0	9683.0	6747.0	8640.0	3143.0	5906.0	9268.0	8204.0	11529.0	8656.0	12065.0	8172.0	7572.0
XieH_2016__YSZC12003_36033__bin.79	9028.0	9926.0	5886.0	12503.0	8959.0	0.0	11265.0	11289.0	10979.0	12125.0	11516.0	11053.0	10992.0	8064.0	11726.0	10159.0	10685.0	9840.0	10498.0	8827.0	8058.0	7709.0	11706.0	11361.0	11742.0	7935.0	10431.0	10508.0	9652.0	9820.0	8701.0	8163.0	8202.0	8406.0	10976.0	11008.0	9610.0	11127.0	11238.0	11927.0
NielsenHB_2014__MH0012__bin.89	11438.0	13366.0	7986.0	16441.0	11875.0	11265.0	0.0	15902.0	15278.0	17648.0	15195.0	15170.0	16126.0	10517.0	8125.0	12109.0	15409.0	13589.0	14161.0	12076.0	10331.0	10876.0	16094.0	15750.0	16222.0	9793.0	13959.0	13888.0	13392.0	13076.0	11978.0	10231.0	10664.0	11724.0	14960.0	16603.0	12695.0	755.0	14271.0	16169.0
LiJ_2014__O2.UC13-1__bin.11	8973.0	13702.0	7150.0	16540.0	9572.0	11289.0	15902.0	0.0	15346.0	16612.0	14867.0	12109.0	15520.0	8221.0	16479.0	12917.0	15260.0	13644.0	14562.0	12316.0	11534.0	8172.0	15023.0	12421.0	12830.0	9355.0	10253.0	6688.0	12604.0	9421.0	10841.0	8789.0	8068.0	11815.0	12083.0	15186.0	11260.0	16477.0	11287.0	12156.0
LeChatelierE_2013__MH0250__bin.73	11210.0	13024.0	7156.0	16819.0	12153.0	10979.0	15278.0	15346.0	0.0	9463.0	15599.0	14850.0	15197.0	10466.0	15251.0	13382.0	13732.0	12823.0	14196.0	11517.0	10347.0	9160.0	15561.0	14926.0	15465.0	10097.0	14124.0	13800.0	12979.0	11232.0	11336.0	10311.0	10144.0	11996.0	15042.0	15867.0	11380.0	15701.0	13643.0	14619.0
XieH_2016__YSZC12003_37652__bin.41	11965.0	14664.0	9286.0	17808.0	12229.0	12125.0	17648.0	16612.0	9463.0	0.0	16560.0	16415.0	16740.0	10687.0	17615.0	14396.0	15815.0	13618.0	14603.0	14134.0	10953.0	12778.0	17823.0	15963.0	17006.0	10726.0	14256.0	14278.0	14465.0	15620.0	12062.0	10798.0	11471.0	11838.0	16251.0	16671.0	14933.0	17507.0	14726.0	16530.0
LiJ_2014__MH0262__bin.31	11383.0	12552.0	6999.0	16847.0	11132.0	11516.0	15195.0	14867.0	15599.0	16560.0	0.0	14632.0	16785.0	10192.0	16743.0	13475.0	14594.0	12261.0	14161.0	12684.0	6854.0	9050.0	9569.0	14572.0	15195.0	5769.0	13003.0	12952.0	6071.0	12079.0	8423.0	10103.0	9721.0	11721.0	14596.0	15207.0	8297.0	15748.0	12938.0	13722.0
XieH_2016__YSZC12003_35520__bin.37	8776.0	13462.0	7465.0	16269.0	8591.0	11053.0	15170.0	12109.0	14850.0	16415.0	14632.0	0.0	15441.0	3850.0	15945.0	12391.0	15128.0	12942.0	14053.0	11966.0	9827.0	7546.0	14973.0	11619.0	10228.0	9128.0	5111.0	9730.0	12390.0	8893.0	10726.0	8303.0	6192.0	10868.0	9478.0	15329.0	12237.0	15515.0	10080.0	11343.0
