	BackhedF_2015__SID1_4M__bin.2	BackhedF_2015__SID238_4M__bin.5	VatanenT_2016__G78865__bin.3	VatanenT_2016__G80320__bin.2	VatanenT_2016__G69181__bin.2	BackhedF_2015__SID172_4M__bin.16	LiJ_2014__V1.CD7-0-PN__bin.1	VatanenT_2016__G80583__bin.1	VatanenT_2016__G80606__bin.6	FengQ_2015__SID31750__bin.46	BackhedF_2015__SID133_4M__bin.16	BackhedF_2015__SID626_4M__bin.19	KarlssonFH_2013__S457__bin.44	VatanenT_2016__G78867__bin.2	VatanenT_2016__G80328__bin.12	VatanenT_2016__G78658__bin.1	BackhedF_2015__SID184_4M__bin.10	VatanenT_2016__G78780__bin.7	VatanenT_2016__G78546__bin.4	BackhedF_2015__SID567_12M__bin.10	VatanenT_2016__G69158__bin.1	VatanenT_2016__G80589__bin.10	XieH_2016__YSZC12003_37134__bin.34	GeversD_2014__SKBSTL023__bin.20	BackhedF_2015__SID39_4M__bin.6	BackhedF_2015__SID26_4M__bin.10	BackhedF_2015__SID42_4M__bin.4	BackhedF_2015__SID608_4M__bin.1
BackhedF_2015__SID1_4M__bin.2	1.0	0.8812799007221547	0.8946905597356973	0.8800745405677315	0.8503435790087899	0.8575706034573976	0.42761521205606706	0.8510650829421336	0.8385974812766819	0.7984819310691511	0.8514472369001834	0.8729437394723604	0.5855711540878318	0.8834368790212201	0.848297206201167	0.7544708759989165	0.8354549840786306	0.9287046590251855	0.8460662626198983	0.8658423875171258	0.8604891502176669	0.6438441537806703	0.8709706470832168	0.7599354036535424	0.566124448641898	0.8833769534453612	0.8309571415705774	0.6965793454004039
BackhedF_2015__SID238_4M__bin.5	0.882256933791101	1.0	0.8280947736672775	0.8987122286004205	0.8455538205484642	0.8580852949293036	0.42189914142859836	0.8520459847346039	0.8261050957215411	0.796045326536524	0.7664987461669389	0.8568079792804729	0.578988397544784	0.8865266510230352	0.8717549034899924	0.7557303513303658	0.8416971911739751	0.8445226435566007	0.8403331442156559	0.8559087847160921	0.8529252962319874	0.6138427283681658	0.8630725166306429	0.7647140694981754	0.5612547586521337	0.8744915676941298	0.8214977091621516	0.6853223542236948
VatanenT_2016__G78865__bin.3	0.9632674233922285	0.8905798138024501	1.0	0.8917452075440534	0.87309337749614	0.8816780637578401	0.4522948044306345	0.8861619355342967	0.8498879953752929	0.8270490799988792	0.8426323962500939	0.8953685829608448	0.6011662048350015	0.8892872258688653	0.8611485524932274	0.7813576081298104	0.8594736446260639	0.9416289262450652	0.8798225032701812	0.89934035986002	0.8944472545963188	0.6759047746856276	0.8904397158518619	0.7784988725801766	0.5809017736400545	0.9110153119686417	0.8664862844106375	0.7143992673614543
VatanenT_2016__G80320__bin.2	0.8981395054639948	0.9161440771106298	0.845261538235733	1.0	0.8502595270886314	0.8697265923270282	0.43243262133018073	0.8483738364264695	0.8297888103339762	0.8024260270042365	0.7837082057946896	0.8449421310331356	0.5909693729030165	0.9096825462834666	0.9108518422352074	0.7607772847661984	0.8386497392497985	0.8750188272024507	0.8307760371910198	0.8634590122629302	0.8457955143906224	0.6342085113981893	0.8739526221968437	0.7892094182490544	0.5577957548196765	0.8689242302513567	0.8180741842448378	0.6822066075355637
VatanenT_2016__G69181__bin.2	0.8704983918602714	0.8646365253665419	0.8301569579429834	0.8529050803193494	1.0	0.8633773563409782	0.4300935087242676	0.8570254235060075	0.8283901951676935	0.8045641371694987	0.7594359679949522	0.8765625246479182	0.589619217050663	0.8462008465738298	0.8298537337761925	0.7638963429062197	0.8335362422988949	0.8510492783089556	0.8497995740839739	0.880352300910549	0.861155932589587	0.6283327052678627	0.8757439946716677	0.7402921818994452	0.5688138326307765	0.8603079565670817	0.8346292514920207	0.6899650328200724
BackhedF_2015__SID172_4M__bin.16	0.8908588885473938	0.8904064075857437	0.8506972902366561	0.8853142181470478	0.8761251550956756	1.0	0.4373071975776617	0.8776786019192023	0.8475117815797563	0.8225001138316885	0.7800063888035151	0.8823314721852269	0.614621395804164	0.8720268585868934	0.8585655499778028	0.7810885012919896	0.8713570302450796	0.8686435673712848	0.8706057411012077	0.8975529032772143	0.8799979225716855	0.6470659170849982	0.9040928895035799	0.7653306383681089	0.5792702535031703	0.8841022663889174	0.8586292245785382	0.7091461627337818
LiJ_2014__V1.CD7-0-PN__bin.1	0.9382372475889655	0.9246703892817536	0.921737176963464	0.9297231179806517	0.9218258345079207	0.9236493248502589	1.0	0.9348855416074364	0.9062626787801924	0.8952691432675866	0.8402623962781863	0.9338321697656736	0.6531889667939929	0.9205673481777119	0.8894778521432585	0.8410227474221692	0.9141794969661088	0.9233420287851511	0.9126708160401032	0.9216327413814347	0.9320267114662756	0.7263847857643031	0.9407444528927904	0.8070173197772442	0.6256194758085117	0.928853071908782	0.9091417949696611	0.7839257861219386
VatanenT_2016__G80583__bin.1	0.8650210533716371	0.8650589905101466	0.8365713319137651	0.8449418656858234	0.8509108741760854	0.8587374102647455	0.43307471110346957	1.0	0.8332492219406135	0.8027411496832424	0.7522885839841235	0.986955193106996	0.5817214690095344	0.839727771447187	0.8193478710304354	0.7631720181235108	0.8335297479372986	0.8476270493885856	0.8899032916210434	0.8580552378658585	0.900721988991965	0.631498823252612	0.8653743212210608	0.7332169927752374	0.5638576013843922	0.8940753327156656	0.8850737894746367	0.7298183124307821
VatanenT_2016__G80606__bin.6	0.9026070021557626	0.8881764032267516	0.8496358349737744	0.8751618480513549	0.8709767421632003	0.8781159320402199	0.444569553290164	0.8823810174948853	1.0	0.8212781029583962	0.7849109886395845	0.8997281063308066	0.5906642100285532	0.8749687176695502	0.8486038405671841	0.7738362143791467	0.8600936240068435	0.8709373052340913	0.8717455779961102	0.8765458262644789	0.8871982199570765	0.6397528668251762	0.886885304510221	0.7569210889162694	0.585945047034988	0.8912292638231043	0.8511908294028474	0.7195698942168877
FengQ_2015__SID31750__bin.46	0.9072056734056775	0.9034356972004912	0.8727662210132016	0.8933493573532821	0.8929513505774406	0.8995754594391022	0.46359074476677503	0.8973302032285626	0.8669334570020403	1.0	0.7945215125969338	0.9028493861436061	0.6753404650337624	0.8810477187947903	0.8605237193363597	0.8844204663409988	0.8794253451337349	0.8808998765906654	0.8771929278514481	0.8923413069562092	0.8919421330050719	0.6661322300673693	0.9851103447524577	0.770054405931118	0.5893663327507832	0.9060377199930902	0.8702871406850852	0.722922311256083
