	BackhedF_2015__SID1_4M__bin.2	BackhedF_2015__SID238_4M__bin.5	VatanenT_2016__G78865__bin.3	VatanenT_2016__G80320__bin.2	VatanenT_2016__G69181__bin.2	BackhedF_2015__SID172_4M__bin.16	LiJ_2014__V1.CD7-0-PN__bin.1	VatanenT_2016__G80583__bin.1	VatanenT_2016__G80606__bin.6	FengQ_2015__SID31750__bin.46	BackhedF_2015__SID133_4M__bin.16	BackhedF_2015__SID626_4M__bin.19	KarlssonFH_2013__S457__bin.44	VatanenT_2016__G78867__bin.2	VatanenT_2016__G80328__bin.12	VatanenT_2016__G78658__bin.1	BackhedF_2015__SID184_4M__bin.10	VatanenT_2016__G78780__bin.7	VatanenT_2016__G78546__bin.4	BackhedF_2015__SID567_12M__bin.10	VatanenT_2016__G69158__bin.1	VatanenT_2016__G80589__bin.10	XieH_2016__YSZC12003_37134__bin.34	GeversD_2014__SKBSTL023__bin.20	BackhedF_2015__SID39_4M__bin.6	BackhedF_2015__SID26_4M__bin.10	BackhedF_2015__SID42_4M__bin.4	BackhedF_2015__SID608_4M__bin.1
BackhedF_2015__SID1_4M__bin.2	0.0	27509.0	12437.0	20767.0	32844.0	31557.0	13541.0	32956.0	31431.0	32535.0	3482.0	34854.0	23035.0	20505.0	18903.0	30230.0	34149.0	3460.0	32542.0	31651.0	32965.0	13427.0	34665.0	16951.0	20522.0	28542.0	32533.0	27378.0
BackhedF_2015__SID238_4M__bin.5	27509.0	0.0	27799.0	13433.0	33642.0	27653.0	14280.0	34094.0	30945.0	33088.0	26828.0	36200.0	23916.0	14939.0	12545.0	32006.0	34330.0	24904.0	33556.0	31798.0	33715.0	23369.0	36446.0	11039.0	19981.0	27767.0	33246.0	28124.0
VatanenT_2016__G78865__bin.3	12437.0	27799.0	0.0	18996.0	30423.0	29956.0	13813.0	31216.0	27971.0	29134.0	12558.0	31864.0	21206.0	17631.0	17196.0	27117.0	30380.0	9568.0	30130.0	27009.0	30280.0	11116.0	31115.0	15784.0	17746.0	25883.0	30772.0	25453.0
VatanenT_2016__G80320__bin.2	20767.0	13433.0	18996.0	0.0	32503.0	31321.0	13433.0	33074.0	30067.0	32695.0	20490.0	33578.0	23796.0	3510.0	703.0	31712.0	33186.0	16043.0	31668.0	32435.0	32164.0	17249.0	36147.0	2177.0	20250.0	26505.0	33081.0	26776.0
VatanenT_2016__G69181__bin.2	32844.0	33642.0	30423.0	32503.0	0.0	32701.0	15149.0	33580.0	29922.0	31539.0	29591.0	34267.0	23323.0	31674.0	30733.0	29656.0	32855.0	31677.0	33429.0	32579.0	33390.0	22932.0	33997.0	27750.0	19784.0	32902.0	32284.0	25807.0
BackhedF_2015__SID172_4M__bin.16	31557.0	27653.0	29956.0	31321.0	32701.0	0.0	15149.0	32434.0	30129.0	31932.0	29023.0	32481.0	23531.0	30061.0	28973.0	30448.0	33277.0	30726.0	31454.0	30677.0	31434.0	23463.0	34799.0	26043.0	18885.0	29754.0	31821.0	25173.0
LiJ_2014__V1.CD7-0-PN__bin.1	13541.0	14280.0	13813.0	13433.0	15149.0	15149.0	0.0	15751.0	14847.0	15078.0	12757.0	15576.0	10854.0	13430.0	12753.0	13757.0	15808.0	13327.0	15546.0	15303.0	15801.0	11407.0	15319.0	11767.0	9434.0	15007.0	15467.0	13162.0
VatanenT_2016__G80583__bin.1	32956.0	34094.0	31216.0	33074.0	33580.0	32434.0	15751.0	0.0	30865.0	33095.0	29654.0	1889.0	24233.0	32590.0	30989.0	31540.0	33804.0	32276.0	17226.0	33374.0	17070.0	22775.0	35570.0	28013.0	19739.0	20312.0	6972.0	5451.0
VatanenT_2016__G80606__bin.6	31431.0	30945.0	27971.0	30067.0	29922.0	30129.0	14847.0	30865.0	0.0	30270.0	28792.0	32647.0	20579.0	29390.0	28077.0	27739.0	30805.0	29391.0	30253.0	27839.0	30553.0	21444.0	31705.0	25273.0	18241.0	31109.0	30049.0	25242.0
FengQ_2015__SID31750__bin.46	32535.0	33088.0	29134.0	32695.0	31539.0	31932.0	15078.0	33095.0	30270.0	0.0	29655.0	33852.0	822.0	32580.0	30615.0	1298.0	32781.0	31609.0	30913.0	30334.0	31206.0	23391.0	1328.0	27289.0	17994.0	32495.0	32016.0	26808.0
