	BackhedF_2015__SID1_4M__bin.2	BackhedF_2015__SID238_4M__bin.5	VatanenT_2016__G78865__bin.3	VatanenT_2016__G80320__bin.2	VatanenT_2016__G69181__bin.2	BackhedF_2015__SID172_4M__bin.16	LiJ_2014__V1.CD7-0-PN__bin.1	VatanenT_2016__G80583__bin.1	VatanenT_2016__G80606__bin.6	FengQ_2015__SID31750__bin.46	BackhedF_2015__SID133_4M__bin.16	BackhedF_2015__SID626_4M__bin.19	KarlssonFH_2013__S457__bin.44	VatanenT_2016__G78867__bin.2	VatanenT_2016__G80328__bin.12	VatanenT_2016__G78658__bin.1	BackhedF_2015__SID184_4M__bin.10	VatanenT_2016__G78780__bin.7	VatanenT_2016__G78546__bin.4	BackhedF_2015__SID567_12M__bin.10	VatanenT_2016__G69158__bin.1	VatanenT_2016__G80589__bin.10	XieH_2016__YSZC12003_37134__bin.34	GeversD_2014__SKBSTL023__bin.20	BackhedF_2015__SID39_4M__bin.6	BackhedF_2015__SID26_4M__bin.10	BackhedF_2015__SID42_4M__bin.4	BackhedF_2015__SID608_4M__bin.1
BackhedF_2015__SID1_4M__bin.2	1.0	0.8906998588153433	0.8989493848040382	0.8871858230469656	0.8615904110860261	0.8683767257281728	0.4322520819001133	0.8623502673879195	0.8493604571328386	0.8096229517010132	0.8526395846438486	0.8848788595923212	0.5934590720301998	0.8904584443525966	0.8547701956895362	0.7648225911887487	0.8471486897358447	0.9298894732678855	0.8572096802747947	0.876680698382934	0.8717774165502113	0.6484419863924427	0.8828410475812497	0.7657399661471861	0.5731518353149294	0.8931506436520495	0.8420974773387154	0.7059544449196637
BackhedF_2015__SID238_4M__bin.5	0.8916873353433514	1.0	0.8376245905545148	0.9033172154793104	0.857086685029936	0.8675650613375476	0.42679448964794975	0.8637338000140553	0.8367133975876355	0.807388273447021	0.7756956930877204	0.8692177555788286	0.5871870773776977	0.8916479120208567	0.8760554737569226	0.7667023761979119	0.8534659099674158	0.8530600211514695	0.8518365269081316	0.8668095047916478	0.8644831859529559	0.6218538903106043	0.8755666245579874	0.768498365646174	0.5681044752327261	0.8840104146133686	0.8328948202896415	0.6949635848484174
VatanenT_2016__G78865__bin.3	0.9678526818434531	0.9008287162456109	1.0	0.8987486303581936	0.884309693155994	0.8927222064099974	0.45738736493451526	0.8976706134962992	0.8602003105750358	0.8377901686631853	0.8472622648382163	0.9071161647964819	0.6089844078354572	0.8957874020973401	0.8674883534361603	0.7913550716195471	0.8706741070967723	0.9451564451693489	0.8909307960365552	0.9092980060374843	0.9056108491852936	0.6800030084191495	0.9019111572533133	0.7843180990330292	0.587444347932523	0.9205578257977841	0.8778312689777421	0.7237832492991416
VatanenT_2016__G80320__bin.2	0.905396758610977	0.9208383844984765	0.8518998962450783	1.0	0.8616180525875653	0.8806720551197584	0.4371269287180274	0.8599319040618182	0.8402960492404294	0.813851648983366	0.7908686582905564	0.8566763269289976	0.5992851429172501	0.9109091538120411	0.9110975132017567	0.7718593867451602	0.8502469464985947	0.8806252273679553	0.8418427628932701	0.8747937744251282	0.8570355726667112	0.6402363613299221	0.8865845829761553	0.7899701944854381	0.5648723367152988	0.878186689665849	0.8296346981060271	0.6915637708361654
VatanenT_2016__G69181__bin.2	0.8820117959459104	0.8764296668916017	0.8408216849097777	0.8642989474791205	1.0	0.8748406320383499	0.43540396294705846	0.8687968310445459	0.838879297501468	0.8156200758936787	0.7698090388845558	0.8885747587790407	0.5977950520125846	0.8573041093009193	0.8406271306755939	0.7742921994268538	0.8450535024144005	0.8621535926805542	0.8615180488488875	0.8917728097312172	0.8728607359758823	0.6363714758954315	0.8876615807969712	0.7500198936086305	0.5757490776201285	0.8718416924465633	0.8459463486026274	0.6990116294355299
BackhedF_2015__SID172_4M__bin.16	0.902084471650218	0.9002432440892896	0.8613533591731266	0.8964558503796287	0.8877576864847636	1.0	0.44269606085442065	0.889216154993227	0.8582293907728034	0.8338590934444331	0.7903305672233036	0.893885744288495	0.6229919378706644	0.8827202785461417	0.8688719421962686	0.7919195864494758	0.8831944586734055	0.8795735438081254	0.8817946846293071	0.9084654492367585	0.8911797516192558	0.6554122699176997	0.9164717299001696	0.7745947591890631	0.5859881017427632	0.8946864790720441	0.8699487188243463	0.7181008036517206
LiJ_2014__V1.CD7-0-PN__bin.1	0.9484110764829101	0.9353994548312351	0.9321153690107321	0.9398158026813648	0.9332078102788656	0.9350313006212039	1.0	0.946719821122134	0.9174177513441385	0.9065977742448331	0.8498471784360809	0.9455349656339315	0.6613439582137458	0.9306577788730575	0.899059628960663	0.8513588647025765	0.9260566025827897	0.933355071962878	0.9243510718546858	0.9331304227612467	0.9438985577370989	0.7349552655068056	0.9522541556345626	0.8158582801638512	0.6327075713542966	0.9401283580923301	0.9207626953095651	0.7938148590044509
VatanenT_2016__G80583__bin.1	0.8764912949929242	0.876925309779359	0.8474359715074687	0.8564531768699006	0.862598297214161	0.8700259712777576	0.43855680164166877	1.0	0.8439916969873735	0.8142597698573076	0.7626095739415713	0.9876126541587805	0.5901556954086317	0.8510706278143962	0.8301335039228394	0.7741494249913162	0.8452951335352471	0.8588606189531159	0.8958987516941195	0.8696709631926225	0.9066631537108438	0.6394255969182514	0.8777543580722922	0.7429668373721884	0.5707277039260413	0.9011448662698465	0.887500374150678	0.7317155174034012
VatanenT_2016__G80606__bin.6	0.9141915079391698	0.8995817842667293	0.8599450905261807	0.8862436251309803	0.8820050766753416	0.8892205604245625	0.4500417036311092	0.8937569129803888	1.0	0.8324346996324994	0.7955228396947803	0.9117607925422188	0.598249000347561	0.8858009732444393	0.8589521644792685	0.7840599618235784	0.8714474053264917	0.8817699293784114	0.8828959089898876	0.886806430652003	0.8984591217801314	0.6476564697019342	0.8985707983177017	0.7662359441440398	0.5926681220244929	0.9026950902497537	0.8622659722327162	0.7288733237922993
FengQ_2015__SID31750__bin.46	0.9198636894877968	0.9163088625954555	0.8841010493684025	0.9060696227845068	0.9052218644613798	0.9119988732867812	0.4694569678030804	0.9102060920325502	0.8787102557358885	1.0	0.8060590403951589	0.916019792180548	0.6756602710647907	0.8937232425063455	0.8724347432292161	0.8849254641856151	0.8921790695901036	0.8931976245648381	0.889219891157013	0.9041430054296995	0.9040830904311857	0.6752326958481241	0.9856270143500312	0.7806714214794491	0.5963670501745316	0.9186801737379333	0.8827432354410444	0.7333521896986664
