	BackhedF_2015__SID1_4M__bin.2	BackhedF_2015__SID238_4M__bin.5	VatanenT_2016__G78865__bin.3	VatanenT_2016__G80320__bin.2	VatanenT_2016__G69181__bin.2	BackhedF_2015__SID172_4M__bin.16	LiJ_2014__V1.CD7-0-PN__bin.1	VatanenT_2016__G80583__bin.1	VatanenT_2016__G80606__bin.6	FengQ_2015__SID31750__bin.46	BackhedF_2015__SID133_4M__bin.16	BackhedF_2015__SID626_4M__bin.19	KarlssonFH_2013__S457__bin.44	VatanenT_2016__G78867__bin.2	VatanenT_2016__G80328__bin.12	VatanenT_2016__G78658__bin.1	BackhedF_2015__SID184_4M__bin.10	VatanenT_2016__G78780__bin.7	VatanenT_2016__G78546__bin.4	BackhedF_2015__SID567_12M__bin.10	VatanenT_2016__G69158__bin.1	VatanenT_2016__G80589__bin.10	XieH_2016__YSZC12003_37134__bin.34	GeversD_2014__SKBSTL023__bin.20	BackhedF_2015__SID39_4M__bin.6	BackhedF_2015__SID26_4M__bin.10	BackhedF_2015__SID42_4M__bin.4	BackhedF_2015__SID608_4M__bin.1
BackhedF_2015__SID1_4M__bin.2	1.0	0.9894240938740941	0.995262441756641	0.9919844498249408	0.9869464284507766	0.9875559512932434	0.9892727645783375	0.9869134563151826	0.9873281411139754	0.9862392480247072	0.9986015805914487	0.9865121423225554	0.98670857298485	0.9921146625360138	0.9924272166706194	0.9864652073446958	0.9861963952740571	0.9987258547636461	0.9870003595254264	0.9876371056351534	0.9870514352422499	0.9929094156327661	0.9865543174158534	0.9924196688820498	0.9877390488173696	0.9890570641401273	0.9867707289619904	0.9867199653083468
BackhedF_2015__SID238_4M__bin.5	0.9894240938740941	1.0	0.9886228066908489	0.9949021375880162	0.9865441096181898	0.9890731348797879	0.9885299638629603	0.9864682668673367	0.9873214628848066	0.9859510630962349	0.9881436148186253	0.9857230524587113	0.9860373633058686	0.9942564089156958	0.9950909840806229	0.9856893297736253	0.9862106750181856	0.989992055209263	0.9864957860703285	0.9874243187052086	0.9866302897398429	0.9871172922333298	0.9857302601801983	0.9950757264853561	0.987942857556638	0.989232200478767	0.986316266052025	0.9861269988314202
VatanenT_2016__G78865__bin.3	0.995262441756641	0.9886228066908489	1.0	0.9922075844373204	0.9873163036132463	0.9876286905681775	0.9888659790490499	0.9871793976666142	0.9880117281138283	0.9871792615071563	0.994535495347469	0.9870495287246118	0.9871618995497039	0.9927436172765373	0.9926917739957883	0.9873666526591199	0.9871358727916512	0.9962677936099228	0.9875318118805736	0.9890490838962053	0.9876728568357835	0.9939732123493845	0.9872809629760135	0.9925805276455726	0.9888626483249099	0.9896339876086844	0.9870761216101174	0.9870348174722555
VatanenT_2016__G80320__bin.2	0.9919844498249408	0.9949021375880162	0.9922075844373204	1.0	0.9868172150469426	0.9875714657583387	0.9892609970252491	0.9865593222198697	0.9874957892329126	0.9859610507720885	0.9909460914643603	0.9863026495223387	0.9861238508704665	0.9986534249618183	0.9997303571099806	0.9856423304953332	0.9863601894760637	0.9936336139469213	0.9868541654213242	0.9870429322960755	0.986884957130642	0.9905849615926038	0.9857521086855495	0.9990369557716298	0.9874722456108007	0.9894527444750766	0.9860655371724679	0.9864695582747373
VatanenT_2016__G69181__bin.2	0.9869464284507766	0.9865441096181898	0.9873163036132463	0.9868172150469426	1.0	0.986896726926523	0.9878033856493939	0.9864509087534473	0.9874962913436828	0.9864447442492561	0.9865251375787506	0.9864814591991921	0.9863233478858745	0.9870486299941528	0.9871840956516083	0.9865737294934273	0.986370969314251	0.9871202597009731	0.9863978766543879	0.987193477199523	0.9865902968207075	0.9873678017760654	0.9865741782869509	0.9870300617462537	0.9879543967000015	0.9867708369771632	0.9866219682497587	0.9870580170135899
BackhedF_2015__SID172_4M__bin.16	0.9875559512932434	0.9890731348797879	0.9876286905681775	0.9875714657583387	0.986896726926523	1.0	0.9878271713862593	0.9870250298431514	0.9875119527386538	0.9863778188640674	0.9869368858450448	0.9870741063082229	0.9865639640617015	0.9878858340301635	0.9881381919268631	0.9863229987705612	0.9865970304590609	0.9875735502576407	0.9873111692289197	0.9879879350736868	0.9874527792768484	0.987265491941813	0.9864929380877487	0.9880400419560637	0.9885358623842129	0.9881699199320587	0.9869883201148852	0.9875301059789905
LiJ_2014__V1.CD7-0-PN__bin.1	0.9892727645783375	0.9885299638629603	0.9888659790490499	0.9892609970252491	0.9878033856493939	0.9878271713862593	1.0	0.9874997023927622	0.9878407927603292	0.9875042369404856	0.9887217579806138	0.9876230956087259	0.9876690618875855	0.9891577431313536	0.9893424456968651	0.9878592709738	0.9871745360018434	0.9892719893227032	0.9873638315892831	0.9876783768920652	0.9874225400881163	0.9883387736033261	0.9879132029262688	0.9891636076981024	0.988797201319066	0.9880066524039042	0.9873790495649946	0.9875423434440186
VatanenT_2016__G80583__bin.1	0.9869134563151826	0.9864682668673367	0.9871793976666142	0.9865593222198697	0.9864509087534473	0.9870250298431514	0.9874997023927622	1.0	0.9872718237808437	0.9858538753841617	0.9864662203175559	0.9993342926004279	0.985708472417169	0.986672250226355	0.9870073514182527	0.985820041308009	0.9860813281288601	0.9869203811228145	0.9933078820996918	0.9866435401222068	0.9934472194060578	0.9876032900405567	0.9858957842392031	0.9868771469916001	0.9879625564093182	0.9921549422087438	0.997265821236004	0.9974071822621015
VatanenT_2016__G80606__bin.6	0.9873281411139754	0.9873214628848066	0.9880117281138283	0.9874957892329126	0.9874962913436828	0.9875119527386538	0.9878407927603292	0.9872718237808437	1.0	0.9865976314069698	0.9866605325130988	0.9868028036412247	0.9873216832546291	0.9877712308948887	0.9879523862445146	0.9869605030964046	0.9869713522006593	0.9877149086361379	0.9873707297992417	0.988429713596032	0.9874664282992157	0.9877966124844001	0.9869954667686083	0.987843359086768	0.9886562567823968	0.9872982288809424	0.9871557695809435	0.9872358758761999
FengQ_2015__SID31750__bin.46	0.9862392480247072	0.9859510630962349	0.9871792615071563	0.9859610507720885	0.9864447442492561	0.9863778188640674	0.9875042369404856	0.9858538753841617	0.9865976314069698	1.0	0.9856864978617833	0.9856221381356943	0.9995266762828541	0.9858171712352382	0.9863473755655705	0.9994293329042339	0.9857049723636443	0.9862317726380384	0.9864747027982966	0.9869470886766618	0.986570971678805	0.9865224746421319	0.9994757960262339	0.9864001483130881	0.9882610593229462	0.9862384602321357	0.9858893342300881	0.9857778041859135
BackhedF_2015__SID133_4M__bin.16	0.9986015805914487	0.9881436148186253	0.994535495347469	0.9909460914643603	0.9865251375787506	0.9869368858450448	0.9887217579806138	0.9864662203175559	0.9866605325130988	0.9856864978617833	1.0	0.9858701739725662	0.9858811998658792	0.9911926806736476	0.9914404179511593	0.985891929085763	0.9857699543567183	0.9975405391666808	0.9864983453967147	0.9867956912160981	0.9864594825674721	0.9924824308064704	0.9859388722016813	0.991608448879989	0.9873070070722849	0.9881258576222535	0.9860683622225822	0.9862419774878076
BackhedF_2015__SID626_4M__bin.19	0.9865121423225554	0.9857230524587113	0.9870495287246118	0.9863026495223387	0.9864814591991921	0.9870741063082229	0.9876230956087259	0.9993342926004279	0.9868028036412247	0.9856221381356943	0.9858701739725662	1.0	0.9853394894429439	0.9860329770675604	0.9866626940194944	0.9855628005709345	0.9858422300486441	0.9867009583402363	0.9931378002941276	0.9866289575804842	0.9932300388436626	0.987335688353536	0.9857258765074483	0.9864905063928603	0.9879710210690728	0.9919460345277149	0.9973345760347564	0.99726582877599
KarlssonFH_2013__S457__bin.44	0.98670857298485	0.9860373633058686	0.9871618995497039	0.9861238508704665	0.9863233478858745	0.9865639640617015	0.9876690618875855	0.985708472417169	0.9873216832546291	0.9995266762828541	0.9858811998658792	0.9853394894429439	1.0	0.9862189940588474	0.9864259242258053	0.9997160077946797	0.9861920592185629	0.9867414436884749	0.9863586342609875	0.9874203329616366	0.9864684153869603	0.9867936710952935	0.9997725136610012	0.9864406981916732	0.9885654929106474	0.9865667666850132	0.9854988609706322	0.9859500036635722
VatanenT_2016__G78867__bin.2	0.9921146625360138	0.9942564089156958	0.9927436172765373	0.9986534249618183	0.9870486299941528	0.9878858340301635	0.9891577431313536	0.986672250226355	0.9877712308948887	0.9858171712352382	0.9911926806736476	0.9860329770675604	0.9862189940588474	1.0	0.9987904893259488	0.9854853709595305	0.9864677427203343	0.9937408228849338	0.9869544966262714	0.9875964932579047	0.9870402180928833	0.9910283283490713	0.9855950458792528	0.9986793591659301	0.9876606061053224	0.9900984871012348	0.9863577056191432	0.9861815090346324
VatanenT_2016__G80328__bin.12	0.9924272166706194	0.9950909840806229	0.9926917739957883	0.9997303571099806	0.9871840956516083	0.9881381919268631	0.9893424456968651	0.9870073514182527	0.9879523862445146	0.9863473755655705	0.9914404179511593	0.9866626940194944	0.9864259242258053	0.9987904893259488	1.0	0.986103543131061	0.9866335732619221	0.9940891436873408	0.9871687484545943	0.9876132845853842	0.9872142643855275	0.990781048347766	0.9862789766642213	0.9992427238765969	0.9878485588566709	0.9900045931294028	0.9865199840289742	0.9867768347690036
VatanenT_2016__G78658__bin.1	0.9864652073446958	0.9856893297736253	0.9873666526591199	0.9856423304953332	0.9865737294934273	0.9863229987705612	0.9878592709738	0.985820041308009	0.9869605030964046	0.9994293329042339	0.985891929085763	0.9855628005709345	0.9997160077946797	0.9854853709595305	0.986103543131061	1.0	0.9856902557849563	0.98650293730294	0.9866225635296109	0.9871329725104797	0.9867304863177806	0.9868632974276067	0.9996766202496282	0.9864941339614497	0.9880968796750998	0.9860828074081389	0.9854762846880906	0.9856532246631998
BackhedF_2015__SID184_4M__bin.10	0.9861963952740571	0.9862106750181856	0.9871358727916512	0.9863601894760637	0.986370969314251	0.9865970304590609	0.9871745360018434	0.9860813281288601	0.9869713522006593	0.9857049723636443	0.9857699543567183	0.9858422300486441	0.9861920592185629	0.9864677427203343	0.9866335732619221	0.9856902557849563	1.0	0.9868225899414179	0.9864717247482461	0.986521443892344	0.9865611116893588	0.9868575254847315	0.9858885628976987	0.9868375133941956	0.9872032600079208	0.9866371455362892	0.9859121076658243	0.9861982370602144
VatanenT_2016__G78780__bin.7	0.9987258547636461	0.989992055209263	0.9962677936099228	0.9936336139469213	0.9871202597009731	0.9875735502576407	0.9892719893227032	0.9869203811228145	0.9877149086361379	0.9862317726380384	0.9975405391666808	0.9867009583402363	0.9867414436884749	0.9937408228849338	0.9940891436873408	0.98650293730294	0.9868225899414179	1.0	0.987010044930503	0.9877912693898406	0.9871408911755263	0.9939406998372282	0.9865293466100289	0.9935933225712916	0.9879609137890863	0.989575469246702	0.986669267240802	0.9869057818208813
VatanenT_2016__G78546__bin.4	0.9870003595254264	0.9864957860703285	0.9875318118805736	0.9868541654213242	0.9863978766543879	0.9873111692289197	0.9873638315892831	0.9933078820996918	0.9873707297992417	0.9864747027982966	0.9864983453967147	0.9931378002941276	0.9863586342609875	0.9869544966262714	0.9871687484545943	0.9866225635296109	0.9864717247482461	0.987010044930503	1.0	0.9868352289884248	0.9999136374988223	0.9876502279779096	0.9865821356210065	0.9868260069255212	0.9879536477971156	0.9945265301539263	0.9928125038751596	0.9928054384796221
BackhedF_2015__SID567_12M__bin.10	0.9876371056351534	0.9874243187052086	0.9890490838962053	0.9870429322960755	0.987193477199523	0.9879879350736868	0.9876783768920652	0.9866435401222068	0.988429713596032	0.9869470886766618	0.9867956912160981	0.9866289575804842	0.9874203329616366	0.9875964932579047	0.9876132845853842	0.9871329725104797	0.986521443892344	0.9877912693898406	0.9868352289884248	1.0	0.9869396250075207	0.9874930646601423	0.9869827202894773	0.9874634965163605	0.9944240615582668	0.9872971289733189	0.9868806294732602	0.9873262101521623
