	BackhedF_2015__SID1_4M__bin.2	BackhedF_2015__SID238_4M__bin.5	VatanenT_2016__G78865__bin.3	VatanenT_2016__G80320__bin.2	VatanenT_2016__G69181__bin.2	BackhedF_2015__SID172_4M__bin.16	LiJ_2014__V1.CD7-0-PN__bin.1	VatanenT_2016__G80583__bin.1	VatanenT_2016__G80606__bin.6	FengQ_2015__SID31750__bin.46	BackhedF_2015__SID133_4M__bin.16	BackhedF_2015__SID626_4M__bin.19	KarlssonFH_2013__S457__bin.44	VatanenT_2016__G78867__bin.2	VatanenT_2016__G80328__bin.12	VatanenT_2016__G78658__bin.1	BackhedF_2015__SID184_4M__bin.10	VatanenT_2016__G78780__bin.7	VatanenT_2016__G78546__bin.4	BackhedF_2015__SID567_12M__bin.10	VatanenT_2016__G69158__bin.1	VatanenT_2016__G80589__bin.10	XieH_2016__YSZC12003_37134__bin.34	GeversD_2014__SKBSTL023__bin.20	BackhedF_2015__SID39_4M__bin.6	BackhedF_2015__SID26_4M__bin.10	BackhedF_2015__SID42_4M__bin.4	BackhedF_2015__SID608_4M__bin.1
BackhedF_2015__SID1_4M__bin.2	2920289.0	2601101.0	2625192.0	2590839.0	2516093.0	2535911.0	1262301.0	2518312.0	2480378.0	2364333.0	2489954.0	2584102.0	1733072.0	2600396.0	2496176.0	2233503.0	2473919.0	2715546.0	2503300.0	2560161.0	2545842.0	1893638.0	2578151.0	2236182.0	1673769.0	2608258.0	2459168.0	2061591.0
BackhedF_2015__SID238_4M__bin.5	2601101.0	2917055.0	2443397.0	2635026.0	2500169.0	2530735.0	1244983.0	2519559.0	2440739.0	2355196.0	2262747.0	2535556.0	1712857.0	2600986.0	2555502.0	2236513.0	2489607.0	2488423.0	2484854.0	2528531.0	2521745.0	1813982.0	2554076.0	2241752.0	1657192.0	2578707.0	2429600.0	2027247.0
VatanenT_2016__G78865__bin.3	2625192.0	2443397.0	2712388.0	2437755.0	2398591.0	2421409.0	1240612.0	2434831.0	2333197.0	2272412.0	2298104.0	2460451.0	1651802.0	2429723.0	2352965.0	2146462.0	2361606.0	2563631.0	2416550.0	2466369.0	2456368.0	1844432.0	2446333.0	2127375.0	1593377.0	2496910.0	2381019.0	1963181.0
VatanenT_2016__G80320__bin.2	2590839.0	2635026.0	2437755.0	2861551.0	2465564.0	2520088.0	1250861.0	2460739.0	2404550.0	2328878.0	2263111.0	2451423.0	1714885.0	2606613.0	2607152.0	2208715.0	2433025.0	2519954.0	2408976.0	2503267.0	2452451.0	1832069.0	2537007.0	2260540.0	1616411.0	2512976.0	2374042.0	1978945.0
VatanenT_2016__G69181__bin.2	2516093.0	2500169.0	2398591.0	2465564.0	2852675.0	2495636.0	1242066.0	2478395.0	2393050.0	2326699.0	2196015.0	2534815.0	1705315.0	2445610.0	2398036.0	2208804.0	2410663.0	2459444.0	2457631.0	2543938.0	2489988.0	1815361.0	2532210.0	2139563.0	1642425.0	2487081.0	2413210.0	1994053.0
BackhedF_2015__SID172_4M__bin.16	2535911.0	2530735.0	2421409.0	2520088.0	2495636.0	2811168.0	1244493.0	2499736.0	2412627.0	2344118.0	2221752.0	2512863.0	1751335.0	2481475.0	2442545.0	2226219.0	2482808.0	2472629.0	2478873.0	2553849.0	2505256.0	1842474.0	2576356.0	2177516.0	1647311.0	2515114.0	2445572.0	2018702.0
LiJ_2014__V1.CD7-0-PN__bin.1	1262301.0	1244983.0	1240612.0	1250861.0	1242066.0	1244493.0	1330964.0	1260050.0	1221050.0	1206649.0	1131116.0	1258473.0	880225.0	1238672.0	1196616.0	1133128.0	1232548.0	1242262.0	1230278.0	1241963.0	1256295.0	978199.0	1267416.0	1085878.0	842111.0	1251277.0	1225502.0	1056539.0
VatanenT_2016__G80583__bin.1	2518312.0	2519559.0	2434831.0	2460739.0	2478395.0	2499736.0	1260050.0	2873174.0	2424935.0	2339510.0	2191110.0	2837583.0	1695620.0	2445274.0	2385118.0	2224266.0	2428680.0	2467656.0	2574073.0	2498716.0	2605001.0	1837181.0	2521941.0	2134673.0	1639800.0	2589146.0	2549943.0	2102346.0
VatanenT_2016__G80606__bin.6	2480378.0	2440739.0	2333197.0	2404550.0	2393050.0	2412627.0	1221050.0	2424935.0	2713193.0	2258556.0	2158407.0	2473783.0	1623165.0	2403349.0	2330503.0	2127306.0	2364405.0	2392412.0	2395467.0	2406077.0	2437693.0	1757217.0	2437996.0	2078946.0	1608023.0	2449186.0	2339494.0	1977574.0
FengQ_2015__SID31750__bin.46	2364333.0	2355196.0	2272412.0	2328878.0	2326699.0	2344118.0	1206649.0	2339510.0	2258556.0	2570308.0	2071820.0	2354453.0	1736655.0	2297144.0	2242426.0	2274531.0	2293175.0	2295793.0	2285569.0	2323926.0	2323772.0	1735556.0	2533365.0	2006566.0	1532847.0	2361291.0	2268922.0	1884941.0
