	KarlssonFH_2013__S353__bin.6	ZeeviD_2015__PNP_Main_251__bin.30	WenC_2017__RA064__bin.43	KarlssonFH_2013__S397__bin.10	QinN_2014__LD-45__bin.10	FengQ_2015__SID532826__bin.13	ZeeviD_2015__PNP_Main_124__bin.16	GeversD_2014__SKBSTL023__bin.18	BackhedF_2015__SID229_12M__bin.34	LiJ_2014__O2.UC15-0__bin.11	BackhedF_2015__SID274_M__bin.36	NielsenHB_2014__V1_CD18_0__bin.7	KarlssonFH_2013__S195__bin.42	NielsenHB_2014__V1_CD10_0__bin.8	IjazUZ_2017__S47_a_WGS__bin.4	LoombaR_2017__SID1049_baw__bin.4	FengQ_2015__SID31582__bin.27	BackhedF_2015__SID598_M__bin.5	HeQ_2017__RSZAXPI003097-131__bin.25	ZeeviD_2015__PNP_Main_108__bin.39	BackhedF_2015__SID195_12M__bin.32	YuJ_2015__SZAXPI015210-17__bin.59	HeQ_2017__SZAXPI029466-158__bin.40	BackhedF_2015__SID1_4M__bin.5	XieH_2016__YSZC12003_35563__bin.69	XieH_2016__YSZC12003_37399__bin.52	XieH_2016__YSZC12003_35734__bin.1	XieH_2016__YSZC12003_37400__bin.21	FengQ_2015__SID31236__bin.21	GeversD_2014__SKBSTL006__bin.30	BackhedF_2015__SID103_B__bin.11	XieH_2016__YSZC12003_37754__bin.94	FengQ_2015__SID31398__bin.3	ZeeviD_2015__PNP_Main_396__bin.81	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.25	ZeeviD_2015__PNP_Main_240__bin.1	QinJ_2012__CON-104__bin.37	ZeeviD_2015__PNP_Main_191__bin.9
KarlssonFH_2013__S353__bin.6	1.0	0.9930342782295453	0.9878887036156166	0.9991917824893622	0.9875280382395005	0.9918365594106886	0.9934863257896642	0.9895351106443507	0.989798085220778	0.9881992960542906	0.9908154769550246	0.9895074867071115	0.9983681095996825	0.98661708137778	0.9885667441047676	0.9929455080229782	0.9965385698709349	0.9952845409325229	0.9847156734784305	0.9925237890005797	0.9927498682398168	0.9852944129382776	0.9847225029305954	0.9930279427858062	0.9930092858643026	0.9918569591484686	0.9940185884820959	0.9932361216073784	0.995293842828044	0.9926098592221727	0.9955449982162005	0.9958154271253313	0.9976690923903039	0.9889321518530041	0.9891165586154713	0.9870933304560778	0.9854177144073979	0.9903114731030601
ZeeviD_2015__PNP_Main_251__bin.30	0.9930342782295453	1.0	0.9884937399058341	0.9916423204143667	0.9874046024027321	0.9912063370694317	0.9916094569404214	0.9892564404980342	0.9907220478710946	0.9898375991446514	0.9915425911509018	0.9903620512705883	0.9934250375564175	0.9862648891455276	0.9885219765545459	0.9956785686640939	0.9920688547775353	0.9934612695270759	0.9841312625404125	0.9934274596804129	0.9921738373412158	0.9849064616158175	0.9839750188191771	0.9926916349807365	0.9915482154318792	0.9922688300109058	0.9923481028542745	0.9925779338502696	0.9919432612795767	0.9927071468968917	0.9922719497008755	0.992329404949831	0.9920262795523672	0.9907738012217914	0.990342917360029	0.9865541532866295	0.9848546348361747	0.9914149699533962
WenC_2017__RA064__bin.43	0.9878887036156166	0.9884937399058341	1.0	0.9862412292736467	0.9902793231606446	0.986550627371287	0.9870112617082711	0.9874787700764868	0.9898608655576544	0.9903368149278253	0.9902690342687295	0.9894760342717258	0.9892651261280775	0.9895337667461448	0.9873330246825062	0.9876518251968056	0.9870088284167463	0.9876326499722508	0.9873778176100567	0.9901951763072818	0.9882165176964973	0.9886784314900792	0.9889160695939722	0.9878987824645237	0.9869607823611872	0.9884773011781683	0.987627875550739	0.9882987629729066	0.9867362821348562	0.9900462704778128	0.9870016463082345	0.987303395388583	0.9870322129286282	0.9920910999378479	0.9898718394546144	0.9876667914873642	0.9897198926983165	0.9899236835349029
KarlssonFH_2013__S397__bin.10	0.9991917824893622	0.9916423204143667	0.9862412292736467	1.0	0.9854830426897921	0.9905375965753325	0.9917654722456094	0.9876154577880978	0.9879696890950213	0.9870841417723213	0.9890329445059625	0.9876465450943076	0.9983836613846131	0.9848850062327792	0.9868051396746357	0.9912446904682295	0.995140588366598	0.9939943143937692	0.9822744128079517	0.991306222006535	0.9919674588186106	0.9838955498487187	0.9823265800242538	0.9913430030522046	0.9915353732599168	0.9898965096692608	0.9925083772401797	0.9919380431938266	0.9934647809335816	0.991224107855865	0.99417992467714	0.9944430645074741	0.9974778112201702	0.9870872360775788	0.9873749547470009	0.9850454007020469	0.983461734643944	0.9885071072040366
QinN_2014__LD-45__bin.10	0.9875280382395005	0.9874046024027321	0.9902793231606446	0.9854830426897921	1.0	0.9853592936805505	0.9860838661964081	0.9864061891041502	0.9865692749039165	0.9862230033014824	0.9870162332361045	0.9862121411118893	0.9888130843821318	0.9894739111066404	0.9867014266964483	0.9871062631669311	0.9862422377956354	0.9871329220778422	0.9876371629191861	0.9882577752496223	0.9872217370053835	0.9912758024160444	0.9896338060815456	0.987174037196778	0.9863536216079831	0.9866615649405154	0.9866078905476358	0.9878952824374726	0.9863658488653892	0.9879590556183209	0.9869842660261258	0.9867547366879063	0.9868462226367224	0.9867805271651425	0.9863533652527855	0.9870998204700966	0.9896546722272176	0.9865342276998912
FengQ_2015__SID532826__bin.13	0.9918365594106886	0.9912063370694317	0.986550627371287	0.9905375965753325	0.9853592936805505	1.0	0.9912572905228135	0.9871240503131433	0.9881103327217277	0.9871635021566099	0.9889587923747688	0.9874608067149759	0.9921513588829625	0.9845218021938175	0.9874228328822662	0.9910864368237362	0.9911509388919062	0.9924537903343533	0.9817982394403127	0.991843464110752	0.9947689638046922	0.982262283303912	0.9818422885007686	0.9909717084964725	0.9899181799828796	0.9902689058769654	0.9973983047275519	0.9911724124645729	0.9908070265519932	0.9921446597413929	0.9909293050034563	0.9913464237082004	0.9907887336188171	0.9873099866756855	0.9869781202044012	0.9848724547449459	0.9829285176999278	0.9881266956528824
ZeeviD_2015__PNP_Main_124__bin.16	0.9934863257896642	0.9916094569404214	0.9870112617082711	0.9917654722456094	0.9860838661964081	0.9912572905228135	1.0	0.9884788432706638	0.988293592664829	0.9872645810177735	0.9893485914461393	0.988432740250781	0.9934879531069629	0.9853929787364334	0.9878279160967485	0.9909179606112074	0.9923738605539192	0.9934961386749146	0.9829090196329042	0.9917152098079723	0.9916519510394123	0.9835508503741068	0.9825352299811076	0.9915228247514977	0.9921240590117352	0.9906436338287412	0.9936172806830046	0.9922757301412148	0.992453179697719	0.9917646060520107	0.9929498608252496	0.9936044298541528	0.9922141437302411	0.9880433034194589	0.9877239003380175	0.9854049268746196	0.9833455082867096	0.9885584225579491
GeversD_2014__SKBSTL023__bin.18	0.9895351106443507	0.9892564404980342	0.9874787700764868	0.9876154577880978	0.9864061891041502	0.9871240503131433	0.9884788432706638	1.0	0.9879000579680083	0.9876007034699865	0.9883430546115789	0.9873110268531704	0.9906844459915428	0.9855656163690075	0.9866412298804976	0.9885456363192141	0.9881993146718075	0.9891344467565945	0.9833658304186663	0.9903421679144231	0.9890271938345429	0.9837154794410757	0.9833729780465269	0.9882166863878681	0.9874467420160504	0.987936385442877	0.9881628536134518	0.989278263358605	0.9874971140630738	0.9905897039685128	0.988536439829567	0.9883069361578675	0.9882241152757628	0.9884349230847785	0.9877446980054921	0.9851060446274628	0.9835545698607036	0.9881901008470694
BackhedF_2015__SID229_12M__bin.34	0.989798085220778	0.9907220478710946	0.9898608655576544	0.9879696890950213	0.9865692749039165	0.9881103327217277	0.988293592664829	0.9879000579680083	1.0	0.9935896540750382	0.9973085048350735	0.9952695998875805	0.9925096638711662	0.9856231374040961	0.9881208508510484	0.9896830906459351	0.988735868694986	0.9895176342865111	0.983267974595917	0.9932251370269484	0.9896310681127373	0.9840421158554169	0.9835291251270059	0.988906069453615	0.9884398826890533	0.9912853846009854	0.9892789376416092	0.9897969877952327	0.9883034714553595	0.9945823997356613	0.9887144521601701	0.9890226987230469	0.9884100779474845	0.9945734447386196	0.996407007159127	0.9859220259262574	0.9839627599030702	0.9945607641664768
LiJ_2014__O2.UC15-0__bin.11	0.9881992960542906	0.9898375991446514	0.9903368149278253	0.9870841417723213	0.9862230033014824	0.9871635021566099	0.9872645810177735	0.9876007034699865	0.9935896540750382	1.0	0.9936518008263733	0.9929197695371499	0.9897728952165131	0.9853096624384834	0.9869363979355629	0.9883128942396977	0.9868067949277387	0.9879727990329424	0.9838644283290396	0.9917880851797569	0.9886450063379811	0.9837760803837852	0.9839042480994262	0.9882732644818819	0.9866969985112468	0.9897170007933576	0.9877786938189939	0.9882531200104272	0.9862552537545841	0.9913755083653867	0.9871025659853568	0.9872454504722713	0.9875453077364944	0.9959724171156673	0.9928588304143364	0.9850265816654526	0.9836881745230123	0.9940937723742131
