	KarlssonFH_2013__S353__bin.6	ZeeviD_2015__PNP_Main_251__bin.30	WenC_2017__RA064__bin.43	KarlssonFH_2013__S397__bin.10	QinN_2014__LD-45__bin.10	FengQ_2015__SID532826__bin.13	ZeeviD_2015__PNP_Main_124__bin.16	GeversD_2014__SKBSTL023__bin.18	BackhedF_2015__SID229_12M__bin.34	LiJ_2014__O2.UC15-0__bin.11	BackhedF_2015__SID274_M__bin.36	NielsenHB_2014__V1_CD18_0__bin.7	KarlssonFH_2013__S195__bin.42	NielsenHB_2014__V1_CD10_0__bin.8	IjazUZ_2017__S47_a_WGS__bin.4	LoombaR_2017__SID1049_baw__bin.4	FengQ_2015__SID31582__bin.27	BackhedF_2015__SID598_M__bin.5	HeQ_2017__RSZAXPI003097-131__bin.25	ZeeviD_2015__PNP_Main_108__bin.39	BackhedF_2015__SID195_12M__bin.32	YuJ_2015__SZAXPI015210-17__bin.59	HeQ_2017__SZAXPI029466-158__bin.40	BackhedF_2015__SID1_4M__bin.5	XieH_2016__YSZC12003_35563__bin.69	XieH_2016__YSZC12003_37399__bin.52	XieH_2016__YSZC12003_35734__bin.1	XieH_2016__YSZC12003_37400__bin.21	FengQ_2015__SID31236__bin.21	GeversD_2014__SKBSTL006__bin.30	BackhedF_2015__SID103_B__bin.11	XieH_2016__YSZC12003_37754__bin.94	FengQ_2015__SID31398__bin.3	ZeeviD_2015__PNP_Main_396__bin.81	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.25	ZeeviD_2015__PNP_Main_240__bin.1	QinJ_2012__CON-104__bin.37	ZeeviD_2015__PNP_Main_191__bin.9
KarlssonFH_2013__S353__bin.6	0.0	13327.0	23170.0	1235.0	24365.0	14257.0	13156.0	20806.0	20322.0	12214.0	17948.0	20941.0	1731.0	14668.0	13347.0	8078.0	7054.0	9075.0	25388.0	11258.0	13096.0	20506.0	30236.0	8690.0	13880.0	13798.0	11559.0	8073.0	9348.0	14086.0	8916.0	8190.0	4761.0	22058.0	18713.0	24881.0	25748.0	18728.0
ZeeviD_2015__PNP_Main_251__bin.30	13327.0	0.0	27735.0	15279.0	31113.0	18861.0	21502.0	27537.0	23769.0	12860.0	20858.0	25008.0	7935.0	16365.0	16933.0	5862.0	20177.0	15757.0	32086.0	12040.0	17350.0	23174.0	40788.0	11027.0	21266.0	16319.0	18781.0	10329.0	19791.0	17653.0	19263.0	18115.0	20215.0	23814.0	20445.0	33133.0	33843.0	21435.0
WenC_2017__RA064__bin.43	23170.0	27735.0	0.0	24219.0	24086.0	28809.0	32460.0	31834.0	25652.0	12351.0	23755.0	26869.0	12836.0	12203.0	18550.0	16492.0	32781.0	29415.0	25576.0	17475.0	26033.0	17377.0	28169.0	17955.0	32081.0	24337.0	29774.0	16213.0	32433.0	23560.0	31795.0	29805.0	32586.0	20551.0	21640.0	30268.0	23070.0	24883.0
KarlssonFH_2013__S397__bin.10	1235.0	15279.0	24219.0	0.0	27025.0	16136.0	15991.0	23617.0	23101.0	12355.0	20244.0	23693.0	1605.0	14987.0	14696.0	9191.0	9557.0	11089.0	27720.0	12343.0	13602.0	19992.0	33782.0	10483.0	16186.0	16171.0	13687.0	8688.0	12369.0	15737.0	11309.0	10045.0	4981.0	24517.0	20401.0	27547.0	28727.0	21174.0
QinN_2014__LD-45__bin.10	24365.0	31113.0	24086.0	27025.0	0.0	32258.0	36166.0	35682.0	34921.0	17756.0	32205.0	36008.0	13941.0	13185.0	19981.0	17498.0	35951.0	31377.0	26019.0	21716.0	28837.0	14282.0	27549.0	19853.0	34939.0	28620.0	32944.0	16990.0	34481.0	29341.0	33135.0	32008.0	34301.0	34405.0	29363.0	32184.0	24035.0	33481.0
FengQ_2015__SID532826__bin.13	14257.0	18861.0	28809.0	16136.0	32258.0	0.0	19944.0	29155.0	26931.0	14434.0	24168.0	28306.0	8517.0	17074.0	16702.0	10701.0	20350.0	16490.0	32974.0	13313.0	10575.0	25281.0	40811.0	12009.0	22872.0	18721.0	5864.0	10998.0	20482.0	16709.0	20352.0	18315.0	20979.0	28629.0	24693.0	33200.0	35314.0	26232.0
ZeeviD_2015__PNP_Main_124__bin.16	13156.0	21502.0	32460.0	15991.0	36166.0	19944.0	0.0	31015.0	31247.0	16580.0	27268.0	30936.0	8270.0	18367.0	18679.0	12641.0	20962.0	16612.0	35837.0	15656.0	19321.0	27340.0	46795.0	13351.0	21453.0	20455.0	16543.0	11193.0	19963.0	20672.0	19052.0	16096.0	21202.0	31963.0	26661.0	37457.0	39442.0	29483.0
GeversD_2014__SKBSTL023__bin.18	20806.0	27537.0	31834.0	23617.0	35682.0	29155.0	31015.0	0.0	32667.0	16519.0	29860.0	34741.0	11775.0	18020.0	20979.0	16315.0	31745.0	27230.0	35788.0	18121.0	25292.0	26617.0	45491.0	18841.0	33379.0	26700.0	30501.0	15320.0	32276.0	23775.0	30047.0	28939.0	31689.0	31936.0	27482.0	39149.0	39241.0	30805.0
BackhedF_2015__SID229_12M__bin.34	20322.0	23769.0	25652.0	23101.0	34921.0	26931.0	31247.0	32667.0	0.0	8722.0	7248.0	13364.0	9520.0	18139.0	18055.0	14356.0	30010.0	26311.0	35482.0	12866.0	23910.0	26008.0	44077.0	17205.0	30493.0	19553.0	27364.0	14603.0	30346.0	13707.0	29320.0	27011.0	31186.0	14991.0	8294.0	36330.0	37690.0	14730.0
LiJ_2014__O2.UC15-0__bin.11	12214.0	12860.0	12351.0	12355.0	17756.0	14434.0	16580.0	16519.0	8722.0	0.0	8484.0	9713.0	7266.0	10173.0	10841.0	9490.0	17143.0	14586.0	17869.0	8001.0	13616.0	13957.0	21132.0	10595.0	17362.0	11743.0	15061.0	9373.0	17548.0	10951.0	16335.0	15429.0	16088.0	5551.0	8554.0	19262.0	18459.0	7845.0
BackhedF_2015__SID274_M__bin.36	17948.0	20858.0	23755.0	20244.0	32205.0	24168.0	27268.0	29860.0	7248.0	8484.0	0.0	13107.0	8575.0	17918.0	16965.0	12658.0	26514.0	23507.0	33601.0	12726.0	21554.0	24715.0	41212.0	15843.0	27230.0	16496.0	24090.0	13398.0	26008.0	13251.0	26165.0	24219.0	26719.0	14185.0	9140.0	33909.0	34670.0	14523.0
NielsenHB_2014__V1_CD18_0__bin.7	20941.0	25008.0	26869.0	23693.0	36008.0	28306.0	30936.0	34741.0	13364.0	9713.0	13107.0	0.0	10075.0	19255.0	19584.0	15075.0	31331.0	26764.0	38015.0	13078.0	24169.0	27194.0	46842.0	18092.0	32689.0	20005.0	28408.0	14586.0	30858.0	13455.0	30479.0	27567.0	31982.0	17426.0	9106.0	37750.0	39563.0	18045.0
KarlssonFH_2013__S195__bin.42	1731.0	7935.0	12836.0	1605.0	13941.0	8517.0	8270.0	11775.0	9520.0	7266.0	8575.0	10075.0	0.0	8628.0	8052.0	5438.0	5194.0	6520.0	14718.0	7263.0	8576.0	10981.0	17644.0	6338.0	8584.0	8488.0	7121.0	5765.0	6758.0	8016.0	6057.0	5531.0	3415.0	10993.0	9511.0	13867.0	14652.0	9605.0
NielsenHB_2014__V1_CD10_0__bin.8	14668.0	16365.0	12203.0	14987.0	13185.0	17074.0	18367.0	18020.0	18139.0	10173.0	17918.0	19255.0	8628.0	0.0	11594.0	12628.0	17672.0	15657.0	14318.0	13154.0	15270.0	14609.0	13964.0	10832.0	17296.0	15611.0	16199.0	10106.0	17302.0	16053.0	17219.0	16565.0	17340.0	18465.0	16646.0	16788.0	14410.0	16887.0
IjazUZ_2017__S47_a_WGS__bin.4	13347.0	16933.0	18550.0	14696.0	19981.0	16702.0	18679.0	20979.0	18055.0	10841.0	16965.0	19584.0	8052.0	11594.0	0.0	10720.0	19276.0	16130.0	23364.0	11570.0	15094.0	16474.0	26042.0	12148.0	19345.0	16272.0	17312.0	10394.0	18126.0	14227.0	18747.0	17342.0	18916.0	19740.0	16598.0	22155.0	22928.0	18634.0
LoombaR_2017__SID1049_baw__bin.4	8078.0	5862.0	16492.0	9191.0	17498.0	10701.0	12641.0	16315.0	14356.0	9490.0	12658.0	15075.0	5438.0	12628.0	10720.0	0.0	11664.0	8002.0	19949.0	8291.0	9665.0	16171.0	23147.0	7561.0	12413.0	9925.0	11816.0	6687.0	11533.0	10247.0	10887.0	10834.0	11645.0	15440.0	13756.0	18702.0	18441.0	13246.0
FengQ_2015__SID31582__bin.27	7054.0	20177.0	32781.0	9557.0	35951.0	20350.0	20962.0	31745.0	30010.0	17143.0	26514.0	31331.0	5194.0	17672.0	19276.0	11664.0	0.0	15751.0	35023.0	15119.0	18563.0	26693.0	44812.0	14163.0	23180.0	21082.0	17020.0	10749.0	15262.0	20036.0	12746.0	12489.0	11017.0	32990.0	26328.0	36885.0	39758.0	28367.0
