	KarlssonFH_2013__S353__bin.6	ZeeviD_2015__PNP_Main_251__bin.30	WenC_2017__RA064__bin.43	KarlssonFH_2013__S397__bin.10	QinN_2014__LD-45__bin.10	FengQ_2015__SID532826__bin.13	ZeeviD_2015__PNP_Main_124__bin.16	GeversD_2014__SKBSTL023__bin.18	BackhedF_2015__SID229_12M__bin.34	LiJ_2014__O2.UC15-0__bin.11	BackhedF_2015__SID274_M__bin.36	NielsenHB_2014__V1_CD18_0__bin.7	KarlssonFH_2013__S195__bin.42	NielsenHB_2014__V1_CD10_0__bin.8	IjazUZ_2017__S47_a_WGS__bin.4	LoombaR_2017__SID1049_baw__bin.4	FengQ_2015__SID31582__bin.27	BackhedF_2015__SID598_M__bin.5	HeQ_2017__RSZAXPI003097-131__bin.25	ZeeviD_2015__PNP_Main_108__bin.39	BackhedF_2015__SID195_12M__bin.32	YuJ_2015__SZAXPI015210-17__bin.59	HeQ_2017__SZAXPI029466-158__bin.40	BackhedF_2015__SID1_4M__bin.5	XieH_2016__YSZC12003_35563__bin.69	XieH_2016__YSZC12003_37399__bin.52	XieH_2016__YSZC12003_35734__bin.1	XieH_2016__YSZC12003_37400__bin.21	FengQ_2015__SID31236__bin.21	GeversD_2014__SKBSTL006__bin.30	BackhedF_2015__SID103_B__bin.11	XieH_2016__YSZC12003_37754__bin.94	FengQ_2015__SID31398__bin.3	ZeeviD_2015__PNP_Main_396__bin.81	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.25	ZeeviD_2015__PNP_Main_240__bin.1	QinJ_2012__CON-104__bin.37	ZeeviD_2015__PNP_Main_191__bin.9
KarlssonFH_2013__S353__bin.6	1.0	0.8790737401625262	0.8744565069027153	0.7064514949906326	0.8926390317459656	0.8014747014576281	0.9284414443301588	0.910290382745919	0.9122758069284873	0.4732485953736979	0.8958741950842359	0.9137592070518418	0.4899949149821099	0.5003379986868717	0.5339671329244035	0.526087900017166	0.9396557826925239	0.8862672591013261	0.7568116799020567	0.6915369848296194	0.8297120510297046	0.6357105213600827	0.9017388540248217	0.5726840612219497	0.9122545229591565	0.7776306407724045	0.8888037530115661	0.5485124124870272	0.9147415085059533	0.8754036435379324	0.9218873698612516	0.9017920639481486	0.9428756770962743	0.9119357261141812	0.7868998094159355	0.8804539593041252	0.8050689161046081	0.8857277567482906
ZeeviD_2015__PNP_Main_251__bin.30	0.681212766605892	1.0	0.8543192081735536	0.6500047508152579	0.8745354509420059	0.7622742242277236	0.9111328632715369	0.90913752086325	0.9100450162155185	0.44911841003659025	0.8767968390047312	0.9213838676655929	0.4298738434453988	0.42133707661720443	0.522884049630781	0.484272291631932	0.9049295534771485	0.8583873402426322	0.7134745670035264	0.6525017076043521	0.7886615071020207	0.542197099672104	0.8979894191276786	0.537036459369773	0.8945476775684431	0.7509827016541801	0.8733049001522054	0.4952794823941957	0.8736702647369392	0.8615777367833216	0.8868230312352657	0.8402671930211421	0.9017542161244463	0.9169302920944641	0.751759684043894	0.8716573532760009	0.7890663124171969	0.8875430038418858
WenC_2017__RA064__bin.43	0.5581892637053818	0.7037298367744155	1.0	0.5127406923907313	0.724709485631925	0.624142264542701	0.7285203961834777	0.7414981075401567	0.7396607306091166	0.37385466676314794	0.7139870724982685	0.7461315698925366	0.3493683186125604	0.34075707254257115	0.42704408552766626	0.3895942028557463	0.7355851857977644	0.6937862635326015	0.5909076275804425	0.521238228427213	0.6448233138057271	0.44818913079755035	0.7422926010210275	0.43291920237580134	0.7171901512343446	0.6166199766377568	0.7019792929598722	0.4044435518288856	0.712624914902069	0.6921225528345548	0.7130605572382342	0.6845264272455148	0.7325454360189083	0.7613887982326212	0.6246600143835809	0.7159062615832867	0.6559946600586861	0.7220058449910731
KarlssonFH_2013__S397__bin.10	0.726341393332661	0.8624173908741296	0.8258724265818232	1.0	0.8727553057275027	0.8035605889057824	0.9162186951135739	0.895954364939669	0.9025074355349113	0.449186705663185	0.8685009238521304	0.9011278417253866	0.4716212796160733	0.4645639436973495	0.522852257871772	0.49502299640163877	0.9310555129520073	0.8731059128439234	0.7307665594072124	0.6695349531984693	0.7990987922369781	0.5810487576995607	0.8932517882390104	0.5710781002327232	0.9019722482812165	0.7537172917336642	0.8626205241695322	0.5085306469628956	0.8944996070536253	0.8455820648998985	0.9189964358907514	0.8551607274360297	0.9371204927718798	0.8915729652894198	0.7590211163482817	0.8631951963494996	0.8126640051606323	0.8663763493854623
QinN_2014__LD-45__bin.10	0.6474712530263946	0.818586476521487	0.8235032141704072	0.615713490789759	1.0	0.7286340061041382	0.8600726670331565	0.8689667601685853	0.8609029748108651	0.4265845487575924	0.821648949630456	0.8643943619618354	0.41355871792961385	0.4159650666629078	0.4975506927398076	0.4495861550037622	0.8649404051123332	0.8078793993055486	0.6976045251438272	0.6133933947237532	0.7477085988875084	0.544624847883185	0.8826742219975849	0.5128251339601251	0.847549585215286	0.7105135624768008	0.8145379709748027	0.4653599890992738	0.8371999363676821	0.8079653163593454	0.8432725268809627	0.8002884933572022	0.8636647382315451	0.8619208905302626	0.7122735196256701	0.8265035987834682	0.7716546214984606	0.823225326199533
FengQ_2015__SID532826__bin.13	0.6550995401186009	0.8040281223526564	0.7992042841582959	0.6388187552946871	0.8210739894711364	1.0	0.8551944662955344	0.84531344547985	0.84644839949171	0.41979910444148616	0.8186807908749849	0.843026140626891	0.4071761920609948	0.4107262798015249	0.4959079632094881	0.4499837377465812	0.8620238563475735	0.8201897767154785	0.6726555881641051	0.6122454768243979	0.7605489077816774	0.5294637994675058	0.8345841401428052	0.4985110583323248	0.8493306002662472	0.7204980031465569	0.8501947688490863	0.4670175027229819	0.8348677840977854	0.7981283280890717	0.8408556970833837	0.7935037970470773	0.8534120476824397	0.8423835925208762	0.7078153364395497	0.8174512888781313	0.7689708640929445	0.8256285550042357
ZeeviD_2015__PNP_Main_124__bin.16	0.6784967131746564	0.8592459017391214	0.8340492180158807	0.6512293007435891	0.866530308752954	0.7646111652312342	1.0	0.8997691563538809	0.8919873551648012	0.43460314808922523	0.8564136967004609	0.8938585851891501	0.426617452482964	0.4189614369044838	0.5125756869263778	0.46636266223216033	0.922340572655899	0.8580347080370581	0.6968928587248383	0.633686265665296	0.7760539363288117	0.552764189512929	0.8901695502116207	0.5280236476947927	0.9137756546008285	0.7323146953097184	0.8707945085789506	0.4861938457699348	0.8876869750690891	0.8417725221333645	0.9073152785897675	0.8455518387185016	0.9136163937874081	0.8931004901919346	0.7253366371217006	0.8551247323251775	0.7874476780889244	0.8613430048491706
GeversD_2014__SKBSTL023__bin.18	0.6231410602386437	0.803116455972046	0.7951941861967784	0.5965321540515954	0.8200965039643022	0.7079567309519648	0.8428383466743697	1.0	0.8447733037372639	0.41674395092323013	0.8018884598134535	0.8561917359057588	0.3966329403238844	0.38971156501886495	0.4907708661157946	0.4459786214008975	0.8420034233124792	0.7851494500148234	0.670120069327779	0.5885576223815207	0.7220626914685783	0.5092779116526921	0.8521783391233178	0.5004836600810345	0.8316330796889372	0.6925705123819514	0.8064859228627101	0.44772701933626763	0.807432971744369	0.7927062032651965	0.8206831041411692	0.7747262110189612	0.842309392951169	0.8645324175782407	0.7015687437127357	0.8201528834629428	0.7433519702417604	0.8164258185162943
BackhedF_2015__SID229_12M__bin.34	0.6264665903676397	0.8064494707469911	0.7957214293294561	0.6027873080953436	0.8150445497774895	0.7111394461097347	0.838179867859914	0.8474332960734808	1.0	0.42954456344014136	0.8533371504029211	0.8933998587980806	0.4008085112602494	0.39511785784868514	0.4771871840511733	0.4375689884490221	0.8369800963757115	0.7891655805387914	0.6625185160707737	0.5993179477044521	0.7250791639473753	0.5095794254441791	0.8362750399870872	0.4872937336723365	0.8284279117176623	0.7066924117630985	0.8022820441615041	0.4501179754110393	0.8147067963114654	0.7995447477270748	0.8161664759190993	0.7732463668466535	0.8450509108540555	0.8729910341229499	0.7308209728697861	0.8084149862134309	0.7347535924831267	0.855781176424236
LiJ_2014__O2.UC15-0__bin.11	0.5199427396999833	0.6367509049862314	0.6434661798727808	0.47999270012510437	0.6461400894793857	0.5642742292557228	0.653379979330577	0.6688505289613387	0.6872308615936603	1.0	0.6750645728836082	0.6924383768046983	0.35746968848953087	0.3468574191078801	0.4163480596617352	0.40795727031446904	0.6518229099151721	0.6090845824710482	0.5538754659643333	0.49122413716851276	0.6026483905453403	0.43022290544171105	0.6566639063379284	0.4539017475473488	0.6546284816107713	0.5745545475018009	0.6188092765346132	0.4008531093349438	0.6400902419074838	0.6399107951220975	0.6355344286195764	0.607097959135951	0.6484657808197312	0.6978065299312664	0.6045724870968611	0.6441534661442884	0.5658795917153536	0.6712295968242494
